description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,odds_ratio,fisher_pval
OXYGEN ADMINISTRATION,0.222,10,35,28,0.052,7,127,24,5.18,0.002
CV EP PROCEDURE,0.244,11,34,36,0.06,8,126,16,5.1,0.001
"CREATINE KINASE, TOTAL",0.267,12,33,161,0.067,9,125,119,5.05,< 10^-3
VANCOMYCIN PEAK LEVEL,0.267,12,33,86,0.067,9,125,50,5.05,< 10^-3
PROCALCITONIN,0.511,23,22,374,0.172,23,111,137,5.05,< 10^-4
SLING (AKA SHOULDER IMMOBILIZER),0.133,6,39,13,0.03,4,130,10,5.0,0.017
LAVENDER TOP,0.133,6,39,16,0.03,4,130,8,5.0,0.017
SLIDE SAVE FOR CLINICIAN,0.133,6,39,29,0.03,4,130,15,5.0,0.017
HEPATITIS B CORE TOTAL ANTIBODY,0.133,6,39,12,0.03,4,130,8,5.0,0.017
SHC IP 4% CHLORHEXIDINE GLUCONATE SOAP,0.133,6,39,24,0.03,4,130,11,5.0,0.017
"TEG, PERIOPERATIVE",0.778,35,10,127,0.418,56,78,150,4.88,< 10^-4
NON-VIOLENT RESTRAINTS,0.778,35,10,575,0.418,56,78,232,4.88,< 10^-4
TYPE AND SCREEN,0.911,41,4,390,0.679,91,43,356,4.84,0.002
WOUND CARE,0.156,7,38,930,0.037,5,129,131,4.75,0.012
US CHEST,0.156,7,38,21,0.037,5,129,12,4.75,0.012
RESP - SPUTUM INDUCTION,0.156,7,38,27,0.037,5,129,11,4.75,0.012
PATIENT ON ACTIVE PROTOCOL,0.978,44,1,539,0.903,121,13,759,4.73,0.195
CRYOPRECIPITATE,0.756,34,11,335,0.396,53,81,503,4.72,< 10^-4
CONSULT TO ENDOCRINOLOGY,0.067,3,42,8,0.015,2,132,5,4.71,0.102
"ISTAT G3+, OTHER",0.067,3,42,8,0.015,2,132,4,4.71,0.102
CONSULT TO SPIRITUAL CARE,0.067,3,42,8,0.015,2,132,4,4.71,0.102
CONSULT TO HEMATOLOGY,0.067,3,42,12,0.015,2,132,5,4.71,0.102
"POC ISTAT, VENOUS NA, K, GLUCOSE, HCT, HEMOGLOBIN (EC4)",0.067,3,42,7,0.015,2,132,5,4.71,0.102
HEAD OF BED 30 DEGREE,0.067,3,42,10,0.015,2,132,6,4.71,0.102
CHANGE IV TUBING,0.178,8,37,36,0.045,6,128,17,4.61,0.008
CHANGE PICC DRESSING,0.178,8,37,86,0.045,6,128,23,4.61,0.008
VITAMIN B12,0.178,8,37,23,0.045,6,128,15,4.61,0.008
DIET NPO AFTER MIDNIGHT,0.689,31,14,191,0.328,44,90,190,4.53,< 10^-4
VITAL SIGNS PER PROTOCOL,0.222,10,35,19,0.06,8,126,17,4.5,0.004
DISCHARGE PATIENT WHEN CRITERIA MET,0.222,10,35,28,0.06,8,126,30,4.5,0.004
LIPASE,0.222,10,35,90,0.06,8,126,24,4.5,0.004
ADMIT TO PHASE (POST PROCEDURE AREA),0.222,10,35,28,0.06,8,126,26,4.5,0.004
RESP - VENTILATOR SETTINGS,0.733,33,12,1263,0.381,51,83,440,4.48,< 10^-4
RESP - EXTUBATION,0.889,40,5,116,0.642,86,48,209,4.47,0.001
ULTRASOUND-GUIDED PERIPHERAL IV INSERTION,0.333,15,30,66,0.104,14,120,40,4.29,< 10^-3
TRANSFUSE CRYOPRECIPITATE,0.711,32,13,142,0.366,49,85,208,4.27,< 10^-4
REFERENCE REPORT,0.089,4,41,8,0.022,3,131,8,4.26,0.068
POC ISTAT INR AND PROTIME,0.089,4,41,10,0.022,3,131,6,4.26,0.068
AB SCREEN,0.089,4,41,10,0.022,3,131,8,4.26,0.068
DROPLET ISOLATION,0.089,4,41,15,0.022,3,131,8,4.26,0.068
AB ID,0.089,4,41,10,0.022,3,131,16,4.26,0.068
FOLIC ACID,0.089,4,41,10,0.022,3,131,6,4.26,0.068
COMP HEPATITIS PANEL,0.089,4,41,8,0.022,3,131,6,4.26,0.068
HEPARIN INDUCED THROMBOCYTOPENIA PANEL,0.667,30,15,131,0.321,43,91,102,4.23,< 10^-4
SLP SWALLOW EVALUATE AND TREAT (AT BEDSIDE),0.533,24,21,69,0.216,29,105,78,4.14,< 10^-3
HEPATIC FUNCTION PANEL A,0.711,32,13,513,0.373,50,84,282,4.14,< 10^-3
PLATELET COUNT,0.356,16,29,152,0.119,16,118,89,4.07,0.001
US RETROPERITONEUM KIDNEY,0.111,5,40,10,0.03,4,130,8,4.06,0.046
HEPATITIS C AB IGG,0.111,5,40,14,0.03,4,130,8,4.06,0.046
VOID ON CALL TO OR/PROCEDURE,0.244,11,34,31,0.075,10,124,24,4.01,0.005
CT CHEST WO IV CONTRAST,0.133,6,39,17,0.037,5,129,18,3.97,0.031
RESP - UNLISTED RESPIRATORY CARE ORDER,0.222,10,35,55,0.067,9,125,22,3.97,0.009
RETICULOCYTE COUNT,0.133,6,39,24,0.037,5,129,10,3.97,0.031
BLADDER SCAN,0.133,6,39,157,0.037,5,129,10,3.97,0.031
VSC ARTERIAL EXAM/ABIS,0.156,7,38,28,0.045,6,128,20,3.93,0.021
OK TO USE PICC LINE,0.178,8,37,36,0.052,7,127,23,3.92,0.024
POC STOOL - OCCULT BLOOD EXAM (UNIT PERFORMED),0.378,17,28,103,0.134,18,116,62,3.91,< 10^-3
SLP SWALLOW ONGOING TREATMENT,0.422,19,26,63,0.164,22,112,70,3.72,< 10^-3
AB SCREEN (SHC),0.644,29,16,270,0.328,44,90,152,3.71,< 10^-3
DIC SCREEN,0.222,10,35,66,0.075,10,124,51,3.54,0.012
RESP - NITRIC OXIDE VENT,0.289,13,32,259,0.104,14,120,237,3.48,0.007
"PART. THROMBOPLASTIN TIME, ALTERNATIVE METHOD",0.2,9,36,423,0.067,9,125,66,3.47,0.019
"HEPARIN, UNFRACTIONATED, ANTI XA",0.378,17,28,326,0.149,20,114,142,3.46,0.002
"SODIUM, URINE (RANDOM)",0.178,8,37,22,0.06,8,126,20,3.41,0.03
SLP FEES SWALLOW IMAGE,0.267,12,33,41,0.097,13,121,42,3.38,0.011
US LOWER EXTREMITY VEINS DEEP VEIN THROMBOSIS BILATERAL,0.267,12,33,38,0.097,13,121,28,3.38,0.011
SLP FEES SWALLOW EVALUATE AND TREAT,0.267,12,33,36,0.097,13,121,39,3.38,0.011
RAINBOW DRAW (FOR ED/RRT/CODE BLUE ONLY),0.156,7,38,22,0.052,7,127,16,3.34,0.048
US CAROTID DOPPLER BILATERAL,0.156,7,38,18,0.052,7,127,15,3.34,0.048
US UPPER EXTREMITY VEINS DEEP VEIN THROMBOSIS BILATERAL,0.133,6,39,31,0.045,6,128,13,3.28,0.077
NEUROLOGICAL CHECKS,0.378,17,28,381,0.157,21,113,271,3.27,0.003
RESP - OXYGEN ADMINISTRATION,0.533,24,21,1193,0.261,35,99,181,3.23,0.002
"OSMOLALITY, URINE",0.111,5,40,16,0.037,5,129,10,3.23,0.125
DIET NOURISHMENTS,0.089,4,41,14,0.03,4,130,10,3.17,0.111
POC ISTAT CREATININE,0.089,4,41,10,0.03,4,130,9,3.17,0.111
Cardioversion,0.089,4,41,6,0.03,4,130,4,3.17,0.111
XR OR CHEST RO RFO,0.089,4,41,8,0.03,4,130,8,3.17,0.111
RESTRICT FLUID INTAKE,0.089,4,41,17,0.03,4,130,9,3.17,0.111
CARDIOVERSION,0.089,4,41,6,0.03,4,130,4,3.17,0.111
RESP - BEDSIDE SPIROMETRY,0.089,4,41,12,0.03,4,130,11,3.17,0.111
AIRBORNE ISOLATION,0.067,3,42,12,0.022,3,131,8,3.12,0.168
VASCULAR ACCESS SERVICES TEAM (VAST) EVALUATION,0.067,3,42,6,0.022,3,131,8,3.12,0.168
NOTIFY MD:VITAL SIGNS,0.267,12,33,32,0.104,14,120,32,3.12,0.013
HEPARIN (HIT) AB,0.067,3,42,7,0.022,3,131,6,3.12,0.168
RESP - WEAN VENTILATOR,0.067,3,42,6,0.022,3,131,6,3.12,0.168
VAS CV INV VASCULAR PROCEDURE,0.067,3,42,10,0.022,3,131,6,3.12,0.168
"COMPLEMENT C4, SERUM",0.044,2,43,4,0.015,2,132,4,3.07,0.263
LUMBAR PUNCTURE,0.044,2,43,3,0.015,2,132,4,3.07,0.263
Lumbar Puncture,0.044,2,43,3,0.015,2,132,4,3.07,0.263
"COMPLEMENT C3, SERUM",0.044,2,43,4,0.015,2,132,4,3.07,0.263
STRICT I & O AFTER FOLEY DC'D,0.044,2,43,5,0.015,2,132,7,3.07,0.263
IGM ANTI-HAV,0.044,2,43,4,0.015,2,132,4,3.07,0.263
"BACTERIAL ID BY SEQUENCING, SPECIMEN",0.044,2,43,12,0.015,2,132,4,3.07,0.263
INTRA OP NEUROPHYS MONITOR PER HOUR,0.044,2,43,6,0.015,2,132,4,3.07,0.263
"DIGOXIN, SERUM",0.044,2,43,24,0.015,2,132,6,3.07,0.263
WOUND CULTURE,0.044,2,43,8,0.015,2,132,6,3.07,0.263
USE FRAZIER WATER PROTOCOL,0.044,2,43,4,0.015,2,132,4,3.07,0.263
LUMBAR DRAIN,0.044,2,43,13,0.015,2,132,6,3.07,0.263
MAY GO OFF MONITOR FOR PROCEDURE,0.044,2,43,3,0.015,2,132,3,3.07,0.263
SPIROMETRY WITH DLCO,0.044,2,43,8,0.015,2,132,5,3.07,0.263
"URINALYSIS SCREEN, CULTURE IF POSITIVE",0.622,28,17,199,0.351,47,87,146,3.05,0.002
SLIDE REVIEW,0.644,29,16,600,0.373,50,84,308,3.04,0.002
"ISTAT EC4, ARTERIAL",0.022,1,44,2,0.007,1,133,2,3.02,0.441
ECHO-CONGENITAL TRANSTHORACIC ECHO +DOPPLER,0.022,1,44,3,0.007,1,133,2,3.02,0.441
US CAROTID DOPPLER LIMITED LEFT,0.022,1,44,2,0.007,1,133,2,3.02,0.441
EPIDURAL/INTRATHECAL CATHETER BEDSIDE SIGN,0.022,1,44,3,0.007,1,133,3,3.02,0.441
"URIC ACID, SERUM / PLASMA",0.022,1,44,2,0.007,1,133,2,3.02,0.441
"SPECIFIC GRAVITY, URINE",0.022,1,44,2,0.007,1,133,2,3.02,0.441
ANTI CCP,0.022,1,44,2,0.007,1,133,2,3.02,0.441
"DIFFERENTIAL, BODY FLUID",0.022,1,44,2,0.007,1,133,4,3.02,0.441
HSV DNA PCR QUAL,0.022,1,44,2,0.007,1,133,2,3.02,0.441
ISTAT ACTIVATED CLOTTING TIME - ARTERIAL,0.022,1,44,2,0.007,1,133,2,3.02,0.441
US UPPER EXTREMITY VEINS DEEP VEIN THROMBOSIS RIGHT,0.022,1,44,5,0.007,1,133,2,3.02,0.441
CONSULT TO GASTROENTEROLOGY,0.022,1,44,3,0.007,1,133,2,3.02,0.441
HEMOGLOBIN,0.022,1,44,2,0.007,1,133,2,3.02,0.441
QUANTIFERON TEST FOR LATENT TB,0.022,1,44,4,0.007,1,133,4,3.02,0.441
EXTENDED DWELL PERIPHERAL IV,0.022,1,44,2,0.007,1,133,2,3.02,0.441
WEAN O2 THERAPY,0.022,1,44,5,0.007,1,133,3,3.02,0.441
LAB ONLY EXTRA FLUID FOR SAVE,0.022,1,44,2,0.007,1,133,2,3.02,0.441
SHEATH TO BE REMOVED BY RN,0.022,1,44,3,0.007,1,133,3,3.02,0.441
LIMITED ULTRASOUND- PERIPHERAL IV ACCESS,0.022,1,44,7,0.007,1,133,3,3.02,0.441
MONITOR SCV02,0.022,1,44,3,0.007,1,133,3,3.02,0.441
PICC REMOVAL,0.022,1,44,3,0.007,1,133,2,3.02,0.441
TOTAL IGE,0.022,1,44,2,0.007,1,133,2,3.02,0.441
FILARIA IGG4 AB ELISA,0.022,1,44,3,0.007,1,133,2,3.02,0.441
ASSESS LEVEL OF SEDATION,0.022,1,44,7,0.007,1,133,3,3.02,0.441
INSERT AIRWAY,0.022,1,44,1,0.007,1,133,1,3.02,0.441
CT ABDOMEN PELVIS WO IV CONTRAST,0.022,1,44,13,0.007,1,133,3,3.02,0.441
MITOCHONDRIAL AB,0.022,1,44,2,0.007,1,133,2,3.02,0.441
"PROTEIN TOTAL, FLUID",0.022,1,44,2,0.007,1,133,4,3.02,0.441
DRESSING CHANGE,0.022,1,44,18,0.007,1,133,27,3.02,0.441
"PROTEIN WITH CREATININE, URINE (RANDOM)",0.022,1,44,2,0.007,1,133,2,3.02,0.441
CT HEAD NECK  REFERENCE ONLY,0.022,1,44,2,0.007,1,133,2,3.02,0.441
SPEECH PATHOLOGY (SLP) COGNITION/LANGUAGE/SPEECH/VOICE EVALUATION,0.022,1,44,2,0.007,1,133,2,3.02,0.441
PTT INHIBITOR SCREEN,0.022,1,44,7,0.007,1,133,2,3.02,0.441
"ALBUMIN, SERUM/PLASMA",0.022,1,44,2,0.007,1,133,2,3.02,0.441
SPECIALTY BEDS,0.022,1,44,3,0.007,1,133,4,3.02,0.441
CT CHEST ABDOMEN REFERENCE ONLY,0.022,1,44,2,0.007,1,133,2,3.02,0.441
"BILIRUBIN TOTAL, SERUM/PLASMA",0.022,1,44,3,0.007,1,133,2,3.02,0.441
MYELOPEROXIDASE ANTIBODY,0.022,1,44,2,0.007,1,133,2,3.02,0.441
"POC AVOX, THB, O2SAT, O2 CONTENT",0.022,1,44,2,0.007,1,133,1,3.02,0.441
"LDH TOTAL, FLUID",0.022,1,44,2,0.007,1,133,4,3.02,0.441
"CELL COUNT, BODY FLUID",0.022,1,44,2,0.007,1,133,4,3.02,0.441
"HELICOBACTER PYLORI AG, STOOL",0.022,1,44,2,0.007,1,133,2,3.02,0.441
REFERRAL TO VASCULAR SURGERY,0.022,1,44,1,0.007,1,133,1,3.02,0.441
PLACE IN OUTPATIENT PROCEDURE/PRE-OP AND POST-PROCEDURE RECOVERY,0.022,1,44,2,0.007,1,133,2,3.02,0.441
BRUCELLA ANTIBODIES,0.022,1,44,2,0.007,1,133,2,3.02,0.441
VSC GRAFT W ABIS ART DUP,0.022,1,44,2,0.007,1,133,2,3.02,0.441
