name,num_ordered,window,num_repeated,order_code_description,price_description,min_price,max_price,mean_price,median_price,min_volume_charge,max_volume_charge,mean_volume_charge,median_volume_charge
LAB11098R,276,3,15,1 25 OH VITAMIN D,"HC 6956 11098R VITD 1,25 DIHYD",43,43,43,43,645,645,645,645
LAB11098R,276,7,20,1 25 OH VITAMIN D,"HC 6956 11098R VITD 1,25 DIHYD",43,43,43,43,860,860,860,860
LAB11099R,51,1,3,VIP,HC 6956 11099R VASOACT INT PEP,50,50,50,50,150,150,150,150
LAB11099R,51,3,3,VIP,HC 6956 11099R VASOACT INT PEP,50,50,50,50,150,150,150,150
LAB11099R,51,7,4,VIP,HC 6956 11099R VASOACT INT PEP,50,50,50,50,200,200,200,200
LAB11101R,63,7,2,VITAMIN C,HC 6956 11101R VITC ASCRBC ACD,30,30,30,30,60,60,60,60
LAB11102R,127,1,2,VITAMIN E,HC 6956 11102R VIT E TOCO ALPA,25,25,25,25,50,50,50,50
LAB11102R,127,3,3,VITAMIN E,HC 6956 11102R VIT E TOCO ALPA,25,25,25,25,75,75,75,75
LAB11102R,127,7,4,VITAMIN E,HC 6956 11102R VIT E TOCO ALPA,25,25,25,25,100,100,100,100
LAB11106R,110,1,2,HBE AB,HC 6942 HEPATITIS BE AB,20,20,20,20,40,40,40,40
LAB11106R,110,3,4,HBE AB,HC 6942 HEPATITIS BE AB,20,20,20,20,80,80,80,80
LAB11106R,110,7,4,HBE AB,HC 6942 HEPATITIS BE AB,20,20,20,20,80,80,80,80
LAB11107R,121,1,5,HBE AG,HC 6942 HEPATITIS BE ANTGEN,18,18,18,18,90,90,90,90
LAB11107R,121,3,7,HBE AG,HC 6942 HEPATITIS BE ANTGEN,18,18,18,18,126,126,126,126
LAB11107R,121,7,8,HBE AG,HC 6942 HEPATITIS BE ANTGEN,18,18,18,18,144,144,144,144
LAB11112R,5,3,1,DONOR TOXOPLASMA AB,HC 6944 TOXO IGM ELISA,121,121,121,121,121,121,121,121
LAB11112R,5,7,1,DONOR TOXOPLASMA AB,HC 6944 TOXO IGM ELISA,121,121,121,121,121,121,121,121
LAB11118R,173,1,8,"ELASTASE, STOOL",HC 7032 ELASTASE-1,55,55,55,55,440,440,440,440
LAB11118R,173,3,14,"ELASTASE, STOOL",HC 7032 ELASTASE-1,55,55,55,55,770,770,770,770
LAB11118R,173,7,30,"ELASTASE, STOOL",HC 7032 ELASTASE-1,55,55,55,55,1650,1650,1650,1650
LAB11120R,35,7,1,"TOXOPLASMOSIS, CSF",HC 6944 TOXO DYE TEST IGG,114,114,114,114,114,114,114,114
LAB11124R,960,1,29,COCCI CF,HC 6922 COCCI CF SERUM,40,40,40,40,1160,1160,1160,1160
LAB11124R,960,3,39,COCCI CF,HC 6922 COCCI CF SERUM,40,40,40,40,1560,1560,1560,1560
LAB11124R,960,7,64,COCCI CF,HC 6922 COCCI CF SERUM,40,40,40,40,2560,2560,2560,2560
LAB11125R,1486,1,64,COCCI ID,HC 6922 COCCI IMMUNODIFF,34,34,34,34,2176,2176,2176,2176
LAB11125R,1486,3,83,COCCI ID,HC 6922 COCCI IMMUNODIFF,34,34,34,34,2822,2822,2822,2822
LAB11125R,1486,7,107,COCCI ID,HC 6922 COCCI IMMUNODIFF,34,34,34,34,3638,3638,3638,3638
LAB11127R,22,1,9,CASPOFUNGIN LEVEL,HC 6939 CASPOFUNGIN LVL,95,95,95,95,855,855,855,855
LAB11127R,22,3,9,CASPOFUNGIN LEVEL,HC 6939 CASPOFUNGIN LVL,95,95,95,95,855,855,855,855
LAB11127R,22,7,9,CASPOFUNGIN LEVEL,HC 6939 CASPOFUNGIN LVL,95,95,95,95,855,855,855,855
LAB11128R,44,1,2,FUNGAL MIC,HC MIC SUSCEPTIBILITY EA,65,65,65,65,130,130,130,130
LAB11128R,44,3,2,FUNGAL MIC,HC MIC SUSCEPTIBILITY EA,65,65,65,65,130,130,130,130
LAB11128R,44,7,2,FUNGAL MIC,HC MIC SUSCEPTIBILITY EA,65,65,65,65,130,130,130,130
LAB11131R,569,1,83,VORICONAZOLE LEVEL,HC 6939 11131R VORI QNT SNG AN,120,120,120,120,9960,9960,9960,9960
LAB11131R,569,3,105,VORICONAZOLE LEVEL,HC 6939 11131R VORI QNT SNG AN,120,120,120,120,12600,12600,12600,12600
LAB11131R,569,7,146,VORICONAZOLE LEVEL,HC 6939 11131R VORI QNT SNG AN,120,120,120,120,17520,17520,17520,17520
LAB11133R,32,1,1,DONOR HBC AB,HC 6949 DONOR HBC LIVING,35,35,35,35,35,35,35,35
LAB11133R,32,3,1,DONOR HBC AB,HC 6949 DONOR HBC LIVING,35,35,35,35,35,35,35,35
LAB11133R,32,7,1,DONOR HBC AB,HC 6949 DONOR HBC LIVING,35,35,35,35,35,35,35,35
LAB11136R,320,1,2,HTLV AB I & II,HC 6949 11136R HTLVS 1,15,26,20.5,20.5,30,52,41,41
LAB11136R,320,1,2,HTLV AB I & II,HC 6949 11136R HTLVS 2,15,26,20.5,20.5,30,52,41,41
LAB11136R,320,3,12,HTLV AB I & II,HC 6949 11136R HTLVS 1,15,26,20.5,20.5,180,312,246,246
LAB11136R,320,3,12,HTLV AB I & II,HC 6949 11136R HTLVS 2,15,26,20.5,20.5,180,312,246,246
LAB11136R,320,7,17,HTLV AB I & II,HC 6949 11136R HTLVS 1,15,26,20.5,20.5,255,442,348.5,348.5
LAB11136R,320,7,17,HTLV AB I & II,HC 6949 11136R HTLVS 2,15,26,20.5,20.5,255,442,348.5,348.5
LAB11153R,41,1,1,"HERPES VIRUS 6 DNA, QUANT",HC 6942 HHV-6 QUANT PCR,224,224,224,224,224,224,224,224
LAB11153R,41,3,1,"HERPES VIRUS 6 DNA, QUANT",HC 6942 HHV-6 QUANT PCR,224,224,224,224,224,224,224,224
LAB11153R,41,7,1,"HERPES VIRUS 6 DNA, QUANT",HC 6942 HHV-6 QUANT PCR,224,224,224,224,224,224,224,224
LAB11175R,44,1,6,"LIPASE,BF",HC 6956 LIPASE BODY FLUID,27,27,27,27,162,162,162,162
LAB11175R,44,3,7,"LIPASE,BF",HC 6956 LIPASE BODY FLUID,27,27,27,27,189,189,189,189
LAB11175R,44,7,8,"LIPASE,BF",HC 6956 LIPASE BODY FLUID,27,27,27,27,216,216,216,216
LAB11179R,16,1,1,"NICOTINE & METABOLITES, URINE",HC 6956 NICTN AND MTABLIT UR,23,23,23,23,23,23,23,23
LAB11179R,16,3,1,"NICOTINE & METABOLITES, URINE",HC 6956 NICTN AND MTABLIT UR,23,23,23,23,23,23,23,23
LAB11179R,16,7,3,"NICOTINE & METABOLITES, URINE",HC 6956 NICTN AND MTABLIT UR,23,23,23,23,69,69,69,69
LAB11182R,25,1,1,"NICOTINE & METABOLITES, SERUM",HC 6956 NICOTINE,51,51,51,51,51,51,51,51
LAB11182R,25,3,1,"NICOTINE & METABOLITES, SERUM",HC 6956 NICOTINE,51,51,51,51,51,51,51,51
LAB11182R,25,7,1,"NICOTINE & METABOLITES, SERUM",HC 6956 NICOTINE,51,51,51,51,51,51,51,51
LAB11199R,158,1,1,PARANEOPLASTIC AUTOAB EVAL,HC 6956 IMM ANLYT QUANT RIA,24,27,25.66666667,26,24,27,25.66666667,26
LAB11199R,158,1,1,PARANEOPLASTIC AUTOAB EVAL,HC 6956 FLUOR AB TITER,24,27,25.66666667,26,24,27,25.66666667,26
LAB11199R,158,1,1,PARANEOPLASTIC AUTOAB EVAL,HC 6956 IMM ANLYT QUANT,24,27,25.66666667,26,24,27,25.66666667,26
LAB11199R,158,3,3,PARANEOPLASTIC AUTOAB EVAL,HC 6956 IMM ANLYT QUANT RIA,24,27,25.66666667,26,72,81,77,78
LAB11199R,158,3,3,PARANEOPLASTIC AUTOAB EVAL,HC 6956 FLUOR AB TITER,24,27,25.66666667,26,72,81,77,78
LAB11199R,158,3,3,PARANEOPLASTIC AUTOAB EVAL,HC 6956 IMM ANLYT QUANT,24,27,25.66666667,26,72,81,77,78
LAB11199R,158,7,7,PARANEOPLASTIC AUTOAB EVAL,HC 6956 IMM ANLYT QUANT RIA,24,27,25.66666667,26,168,189,179.6666667,182
LAB11199R,158,7,7,PARANEOPLASTIC AUTOAB EVAL,HC 6956 FLUOR AB TITER,24,27,25.66666667,26,168,189,179.6666667,182
LAB11199R,158,7,7,PARANEOPLASTIC AUTOAB EVAL,HC 6956 IMM ANLYT QUANT,24,27,25.66666667,26,168,189,179.6666667,182
LAB11214R,64,1,3,"BETA-2 TRANSFERRIN,BF",HC 6956 BEAT2 TRSFRN BDY FLD,78,78,78,78,234,234,234,234
LAB11214R,64,3,5,"BETA-2 TRANSFERRIN,BF",HC 6956 BEAT2 TRSFRN BDY FLD,78,78,78,78,390,390,390,390
LAB11214R,64,7,8,"BETA-2 TRANSFERRIN,BF",HC 6956 BEAT2 TRSFRN BDY FLD,78,78,78,78,624,624,624,624
LAB11234R,245,1,2,VZV TOTAL AND IGM AB PANEL,HC 6942 VZV AB PNL TOT AND IGM,42,42,42,42,84,84,84,84
LAB11234R,245,3,5,VZV TOTAL AND IGM AB PANEL,HC 6942 VZV AB PNL TOT AND IGM,42,42,42,42,210,210,210,210
LAB11234R,245,7,6,VZV TOTAL AND IGM AB PANEL,HC 6942 VZV AB PNL TOT AND IGM,42,42,42,42,252,252,252,252
LAB11240R,14,1,1,"MEASLES IGG,IFA",HC 6942 MEASLES IGG AB TIT,51,51,51,51,51,51,51,51
LAB11240R,14,3,1,"MEASLES IGG,IFA",HC 6942 MEASLES IGG AB TIT,51,51,51,51,51,51,51,51
LAB11240R,14,7,1,"MEASLES IGG,IFA",HC 6942 MEASLES IGG AB TIT,51,51,51,51,51,51,51,51
LAB11242R,194,1,5,VZV QUANT,HC 6942 VZV DNA PCR QUANT,262,262,262,262,1310,1310,1310,1310
LAB11242R,194,3,14,VZV QUANT,HC 6942 VZV DNA PCR QUANT,262,262,262,262,3668,3668,3668,3668
LAB11242R,194,7,15,VZV QUANT,HC 6942 VZV DNA PCR QUANT,262,262,262,262,3930,3930,3930,3930
LAB11250R,56,1,4,"HHV-8 DNA,QUANT",HC 6942 11250R HHV8 DNA QN PCR,262,262,262,262,1048,1048,1048,1048
LAB11250R,56,3,6,"HHV-8 DNA,QUANT",HC 6942 11250R HHV8 DNA QN PCR,262,262,262,262,1572,1572,1572,1572
LAB11250R,56,7,12,"HHV-8 DNA,QUANT",HC 6942 11250R HHV8 DNA QN PCR,262,262,262,262,3144,3144,3144,3144
LAB11253R,37,7,1,HELICOBACTER PYLORI AB IGA,HC 6942 H PYLORI IGA AB,107,107,107,107,107,107,107,107
LAB11265R,50,1,4,ENTAMOEBA HISTOLYTICA AG,HC 6942 11265R ENTMB HSTLYT AG,65,65,65,65,260,260,260,260
LAB11265R,50,3,6,ENTAMOEBA HISTOLYTICA AG,HC 6942 11265R ENTMB HSTLYT AG,65,65,65,65,390,390,390,390
LAB11265R,50,7,7,ENTAMOEBA HISTOLYTICA AG,HC 6942 11265R ENTMB HSTLYT AG,65,65,65,65,455,455,455,455
LAB11312R,19,1,1,"SOLUBLE LIVER AG AB,IGG",HC 6959 11312R IMM QL MLT SM,18,18,18,18,18,18,18,18
LAB11312R,19,3,1,"SOLUBLE LIVER AG AB,IGG",HC 6959 11312R IMM QL MLT SM,18,18,18,18,18,18,18,18
LAB11312R,19,7,1,"SOLUBLE LIVER AG AB,IGG",HC 6959 11312R IMM QL MLT SM,18,18,18,18,18,18,18,18
LAB11340R,16,3,1,ADAMTS 13 PROFILE,HC 6957 ADAMTS-13,121,121,121,121,121,121,121,121
LAB11340R,16,7,2,ADAMTS 13 PROFILE,HC 6957 ADAMTS-13,121,121,121,121,242,242,242,242
LAB11343R,103,1,3,SRA UNFRACTIONATED HEPARIN,HC 6957 AB ID PLATELETS,148,148,148,148,444,444,444,444
LAB11343R,103,3,3,SRA UNFRACTIONATED HEPARIN,HC 6957 AB ID PLATELETS,148,148,148,148,444,444,444,444
LAB11343R,103,7,5,SRA UNFRACTIONATED HEPARIN,HC 6957 AB ID PLATELETS,148,148,148,148,740,740,740,740
LAB11523R,50,1,2,GQ1B AB,HC 6961 GQ1B AB NES,248,248,248,248,496,496,496,496
LAB11523R,50,3,2,GQ1B AB,HC 6961 GQ1B AB NES,248,248,248,248,496,496,496,496
LAB11523R,50,7,2,GQ1B AB,HC 6961 GQ1B AB NES,248,248,248,248,496,496,496,496
LAB11531R,92,1,1,PARANEOPLASTIC AB SCREEN,HC 6961 PARANEO AB RIA,175,244,208.25,207,175,244,208.25,207
LAB11531R,92,1,1,PARANEOPLASTIC AB SCREEN,HC 6961 PARANEO AB WB RPT,175,244,208.25,207,175,244,208.25,207
LAB11531R,92,1,1,PARANEOPLASTIC AB SCREEN,HC 6961 PARANEO AB NES,175,244,208.25,207,175,244,208.25,207
LAB11531R,92,1,1,PARANEOPLASTIC AB SCREEN,HC 6961 PARANEO AB WB,175,244,208.25,207,175,244,208.25,207
LAB11531R,92,3,2,PARANEOPLASTIC AB SCREEN,HC 6961 PARANEO AB RIA,175,244,208.25,207,350,488,416.5,414
LAB11531R,92,3,2,PARANEOPLASTIC AB SCREEN,HC 6961 PARANEO AB WB RPT,175,244,208.25,207,350,488,416.5,414
