"","protocol_id","protocol_name","ct_orderset","order_id","description","ct_dw30m","ct_order","prob_order","ct_dw30m_noorderset","ct_med_noorderset","rate_dw30m_orderset","rate_dw30m_noorderset","RR_dw30m","ct_nodw30m_orderset","ct_nodw30m_noorderset","RR_pvalue"
"15",523,"ED AMI-STEMI PROTOCOL",203,"15846","HEPARIN (PORCINE) IN 5 % DEX 25,000 UNIT/250 ML(100 UNIT/ML) IV SOLP",1,31,0.152709359605911,68,899,0.032258064516129,0.0756395995550612,0.426470588235294,30,831,0.577113320157024
"16",523,"ED AMI-STEMI PROTOCOL",203,"77545","ATORVASTATIN 40 MG PO TABS",1,1,0.00492610837438424,159,9613,1,0.0165401019452824,60.4591194968553,0,9454,0.000157731528933068
"17",523,"ED AMI-STEMI PROTOCOL",203,"90097","NITROGLYCERIN 0.4 MG/DOSE TL SPRY",1,1,0.00492610837438424,1,33,1,0.0303030303030303,33,0,32,0.0570148352207188
"18",523,"ED AMI-STEMI PROTOCOL",203,"203749","CLOPIDOGREL 75 MG PO TABS",1,17,0.083743842364532,40,500,0.0588235294117647,0.08,0.735294117647059,16,460,1
"19",523,"ED AMI-STEMI PROTOCOL",203,"208212","PRASUGREL 10 MG PO TABS",1,15,0.0738916256157636,24,451,0.0666666666666667,0.0532150776053215,1.25277777777778,14,427,0.999999999999999
"20",523,"ED AMI-STEMI PROTOCOL",203,"214201","TICAGRELOR 90 MG PO TABS",1,4,0.0197044334975369,23,361,0.25,0.0637119113573407,3.92391304347826,3,338,0.63071241331896
"21",524,"ED SHORTNESS OF BREATH",628,"250","ALBUTEROL SULFATE 2.5 MG /3 ML (0.083 %) INH NEBU",7,41,0.0652866242038217,106,3939,0.170731707317073,0.0269103833460269,6.3444546709618,34,3833,4.57330089358468e-07
"22",524,"ED SHORTNESS OF BREATH",628,"78668","IPRATROPIUM-ALBUTEROL 0.5 MG-3 MG(2.5 MG BASE)/3 ML INH NEBU",2,130,0.207006369426752,493,18456,0.0153846153846154,0.0267121803207629,0.575940084256514,128,17963,0.598869850205443
"23",524,"ED SHORTNESS OF BREATH",628,"209509","METHYLPREDNISOLONE SOD SUC(PF) 125 MG/2 ML INJ SOLR",1,53,0.0843949044585987,275,8000,0.0188679245283019,0.034375,0.548885077186964,52,7725,0.810540610602515
"24",524,"ED SHORTNESS OF BREATH",628,"520002","DEXAMETHASONE (CUSTOM DOSE) IVPB",5,8,0.0127388535031847,168,1360,0.625,0.123529411764706,5.05952380952381,3,1192,0.000198015923642377
"25",524,"ED SHORTNESS OF BREATH",628,"540102","NS IV BOLUS",1,34,0.054140127388535,2225,80957,0.0294117647058824,0.0274837259285794,1.07015201586252,33,78732,0.999999999997799
"26",525,"ED ABDOMINAL PAIN ",1002,"3844","IBUPROFEN 600 MG PO TABS",1,2,0.00199600798403194,98,3745,0.5,0.0261682242990654,19.1071428571429,1,3647,0.0486130032760359
"27",525,"ED ABDOMINAL PAIN ",1002,"82384","PANTOPRAZOLE 40 MG IV SOLR",2,2,0.00199600798403194,688,12925,1,0.0532301740812379,18.7863372093023,0,12237,1.16997135943892e-05
"28",525,"ED ABDOMINAL PAIN ",1002,"112586","HYDROMORPHONE 1 MG/ML INJ SYRG",8,136,0.135728542914172,1219,33427,0.0588235294117647,0.036467526251234,1.61303865270472,128,32208,0.247089678427697
"29",525,"ED ABDOMINAL PAIN ",1002,"198509","ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN",2,229,0.228542914171657,705,36939,0.00873362445414847,0.0190855193697718,0.457604757038001,227,36234,0.36778953274521
"30",525,"ED ABDOMINAL PAIN ",1002,"540102","NS IV BOLUS",2,268,0.267465069860279,2225,80957,0.00746268656716418,0.0274837259285794,0.271531108502432,266,78732,0.0692980754713673
"31",525,"ED ABDOMINAL PAIN ",1002,"540141","GI COCKTAIL",1,10,0.00998003992015968,39,917,0.1,0.0425299890948746,2.35128205128205,9,878,0.914641606875305
"32",525,"ED ABDOMINAL PAIN ",1002,"540300","MORPHINE INJECTABLE SYRINGE",3,94,0.093812375249501,61,1002,0.0319148936170213,0.0608782435129741,0.524241367282874,91,941,0.360177192335494
"33",526,"ED GI BLEED ",377,"82384","PANTOPRAZOLE 40 MG IV SOLR",4,124,0.328912466843501,688,12925,0.032258064516129,0.0532301740812379,0.60601087771943,120,12237,0.40324632809615
"34",526,"ED GI BLEED ",377,"530014","PANTOPRAZOLE 0.8 MG/ML IV INFUSION",2,102,0.270557029177719,72,1751,0.0196078431372549,0.0411193603655054,0.476851851851852,100,1679,0.4130877929008
"35",526,"ED GI BLEED ",377,"540102","NS IV BOLUS",1,56,0.148541114058355,2225,80957,0.0178571428571429,0.0274837259285794,0.649735152487961,55,78732,0.974743155880719
"36",534,"ED CELLULITIS/ABSCESS",32,"9488","CEFTRIAXONE 2 GRAM IV SOLR",1,2,0.0625,23,339,0.5,0.0678466076696165,7.3695652173913,1,316,0.319245865298994
"37",536,"ED FEVER/NEUTROPENIA",237,"520046","VANCOMYCIN IVPB (CUSTOM DOSE)",5,23,0.0970464135021097,1808,23328,0.217391304347826,0.0775034293552812,2.80492497114275,18,21520,0.034349581581189
"38",536,"ED FEVER/NEUTROPENIA",237,"540102","NS IV BOLUS",1,66,0.278481012658228,2225,80957,0.0151515151515152,0.0274837259285794,0.551290432414028,65,78732,0.813435685574951
"39",536,"ED FEVER/NEUTROPENIA",237,"541084","CEFEPIME 2 GRAM/100 ML MINI-BAG PLUS",5,43,0.181434599156118,277,3459,0.116279069767442,0.0800809482509396,1.45201914196961,38,3182,0.558542641171762
"40",538,"ED SEPTIC SHOCK",26,"95725","CEFTRIAXONE 2 GRAM INJ SOLR",1,1,0.0384615384615385,31,319,1,0.0971786833855799,10.2903225806452,0,288,0.181738411507938
"41",538,"ED SEPTIC SHOCK",26,"541089","VANCOMYCIN 1 GRAM/100 ML CENTRAL LINE MINI-BAG PLUS",1,1,0.0384615384615385,112,785,1,0.142675159235669,7.00892857142857,0,673,0.309636054941106
"42",539,"ED SEPSIS PROTOCOL",864,"5018","METRONIDAZOLE IN NACL (ISO-OS) 500 MG/100 ML IV PGBK",1,5,0.00578703703703704,223,3847,0.2,0.0579672472056148,3.45022421524664,4,3624,0.689078870446924
"43",539,"ED SEPSIS PROTOCOL",864,"96560","PIPERACILLIN-TAZOBACTAM-DEXTRS 4.5 GRAM/100 ML IV PGBK",1,46,0.0532407407407407,290,2601,0.0217391304347826,0.111495578623606,0.194977511244378,45,2311,0.0907672691055761
"44",539,"ED SEPSIS PROTOCOL",864,"115288","LEVOFLOXACIN IN D5W 750 MG/150 ML IV PGBK",1,22,0.025462962962963,208,3699,0.0454545454545455,0.0562314138956475,0.808347902097902,21,3491,0.999999999999994
"45",539,"ED SEPSIS PROTOCOL",864,"124216","VANCOMYCIN IN D5W 1 GRAM/200 ML IV PGBK",6,39,0.0451388888888889,1951,16917,0.153846153846154,0.115327776792576,1.33399045854197,33,14966,0.61629915644815
"46",539,"ED SEPSIS PROTOCOL",864,"520039","AZITHROMYCIN IVPB",1,12,0.0138888888888889,127,2522,0.0833333333333333,0.0503568596352102,1.65485564304462,11,2395,0.999999999999999
"47",539,"ED SEPSIS PROTOCOL",864,"520058","CASPOFUNGIN 70 MG IVPB",1,1,0.00115740740740741,56,1656,1,0.0338164251207729,29.5714285714286,0,1600,0.0106046631275878
"48",539,"ED SEPSIS PROTOCOL",864,"540102","NS IV BOLUS",9,211,0.244212962962963,2225,80957,0.042654028436019,0.0274837259285794,1.55197401352575,202,78732,0.25657982421943
"49",539,"ED SEPSIS PROTOCOL",864,"540967","PIPERACILLIN-TAZOBACTAM 4.5 GRAM/100 ML MINI-BAG PLUS",5,47,0.0543981481481481,135,2073,0.106382978723404,0.065123010130246,1.63356973995272,42,1938,0.406931664366999
"50",539,"ED SEPSIS PROTOCOL",864,"541020","VANCOMYCIN ED ORDER ",12,77,0.0891203703703704,213,1807,0.155844155844156,0.117874930824571,1.3221145052131,65,1594,0.408360276740031
"51",539,"ED SEPSIS PROTOCOL",864,"541084","CEFEPIME 2 GRAM/100 ML MINI-BAG PLUS",2,16,0.0185185185185185,277,3459,0.125,0.0800809482509396,1.56092057761733,14,3182,0.842558049696187
"52",539,"ED SEPSIS PROTOCOL",864,"541085","CEFTRIAXONE 1 GRAM/50 ML MINI-BAG PLUS",2,9,0.0104166666666667,411,7130,0.222222222222222,0.0576437587657784,3.85509597188429,7,6719,0.161762888221869
"53",539,"ED SEPSIS PROTOCOL",864,"541086","CEFTRIAXONE 2 GRAM/50 ML MINI-BAG PLUS",3,10,0.0115740740740741,174,2732,0.3,0.0636896046852123,4.71034482758621,7,2558,0.0168089936072586
"54",539,"ED SEPSIS PROTOCOL",864,"541110","ERTAPENEM 1 GRAM/50 ML MINI-BAG PLUS",1,2,0.00231481481481481,72,1340,0.5,0.0537313432835821,9.30555555555556,1,1268,0.222234783408579
"55",539,"ED SEPSIS PROTOCOL",864,"541442","NS IV BOLUS - 2000 ML",6,32,0.037037037037037,5,120,0.1875,0.0416666666666667,4.5,26,115,0.0144814201647833
"56",539,"ED SEPSIS PROTOCOL",864,"541448","LR IV BOLUS - 30 ML/KG",2,8,0.00925925925925926,1,6,0.25,0.166666666666667,1.5,6,5,1
"57",540,"ED ALLERGIC REACTION",10,"213662","EPINEPHRINE 1 MG/ML (1:1,000) (1ML) INJ SOLN",1,5,0.5,69,5047,0.2,0.0136714880126808,14.6289855072464,4,4978,0.099211920834331
"58",543,"ED ETOH/ALTERED MENTAL STATUS",147,"10467","LORAZEPAM 2 MG/ML INJ SOLN",1,8,0.054421768707483,749,20621,0.125,0.0363221958197954,3.44142189586115,7,19872,0.692745738725335
"59",543,"ED ETOH/ALTERED MENTAL STATUS",147,"520094","MULTIVITAMINS (+ FOLIC ACID, THIAMINE, VIT K) IVPB",1,6,0.0408163265306122,109,1474,0.166666666666667,0.0739484396200814,2.25382262996942,5,1365,0.932816017719159
"60",543,"ED ETOH/ALTERED MENTAL STATUS",147,"540102","NS IV BOLUS",2,31,0.210884353741497,2225,80957,0.0645161290322581,0.0274837259285794,2.3474302283436,29,78732,0.476859945095999
"61",543,"ED ETOH/ALTERED MENTAL STATUS",147,"540300","MORPHINE INJECTABLE SYRINGE",1,1,0.00680272108843537,61,1002,1,0.0608782435129741,16.4262295081967,0,941,0.0686866302622316
"62",547,"ED GENERAL COMPLAINT",2569,"5172","MORPHINE 4 MG/ML INJ SYRG",4,94,0.0365901128843908,238,5949,0.0425531914893617,0.0400067238191293,1.06365099231182,90,5711,0.999999999999996
"63",547,"ED GENERAL COMPLAINT",2569,"12580","IPRATROPIUM BROMIDE 0.02 % INH SOLN",1,10,0.00389256520046711,127,3899,0.1,0.0325724544755065,3.07007874015748,9,3772,0.758847960380584
"64",547,"ED GENERAL COMPLAINT",2569,"94176","ONDANSETRON 4 MG PO TBDL",1,3,0.00116776956014013,153,4277,0.333333333333333,0.0357727379003975,9.31808278867102,2,4124,0.224064876529558
"65",547,"ED GENERAL COMPLAINT",2569,"112586","HYDROMORPHONE 1 MG/ML INJ SYRG",1,103,0.0400934215648112,1219,33427,0.00970873786407767,0.036467526251234,0.266229680543498,102,32208,0.23617666798263
"66",547,"ED GENERAL COMPLAINT",2569,"122689","ALBUTEROL SULFATE 2.5 MG/0.5 ML INH NEBU",1,11,0.00428182172051382,142,1409,0.0909090909090909,0.100780695528744,0.902048655569782,10,1267,0.999999999999965
"67",547,"ED GENERAL COMPLAINT",2569,"198509","ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN",1,193,0.0751265083690152,705,36939,0.00518134715025907,0.0190855193697718,0.271480542387829,192,36234,0.251598965076661
"68",547,"ED GENERAL COMPLAINT",2569,"540102","NS IV BOLUS",11,630,0.245231607629428,2225,80957,0.0174603174603175,0.0274837259285794,0.635296593543785,619,78732,0.157796097679712
"69",550,"ED SEIZURE TREATMENT",37,"10467","LORAZEPAM 2 MG/ML INJ SOLN",2,9,0.243243243243243,749,20621,0.222222222222222,0.0363221958197954,6.11808337041982,7,19872,0.0368890631652922
"70",550,"ED SEIZURE TREATMENT",37,"203954","FOSPHENYTOIN 100 MG PE/2 ML INJ SOLN",2,2,0.0540540540540541,9,107,1,0.0841121495327103,11.8888888888889,0,98,0.0020996190510804
"71",571,"PED ED DKA",16,"27838","SODIUM CHLORIDE 0.9 % 0.9 % IV SOLP",1,1,0.0625,692,19620,1,0.0352701325178389,28.3526011560694,0,18928,0.0118194121841506
"72",571,"PED ED DKA",16,"570056","INSULIN REGULAR 0.1 UNIT/ML PEDIATRIC IV INFUSION",1,2,0.125,2,3,0.5,0.666666666666667,0.75,1,1,1
"73",571,"PED ED DKA",16,"570057","INSULIN REGULAR 1 UNIT/ML PEDIATRIC IV INFUSION",1,2,0.125,6,10,0.5,0.6,0.833333333333333,1,4,1
"74",591,"NURSING TRIAGE CARDIAC COMPLAINTS PROTOCOL",1097,"680","ASPIRIN 81 MG PO CHEW",15,116,0.105742935278031,357,11203,0.129310344827586,0.031866464339909,4.05788177339902,101,10846,2.20966158120887e-08
"75",591,"NURSING TRIAGE CARDIAC COMPLAINTS PROTOCOL",1097,"5604","NITROGLYCERIN 0.4 MG SL SUBL",10,96,0.0875113947128532,77,2947,0.104166666666667,0.0261282660332542,3.98674242424242,86,2870,2.62239881186508e-05
"76",592,"NURSING TRIAGE COPD PROTOCOL",98,"101","ACETAMINOPHEN 325 MG PO TABS",2,5,0.0510204081632653,981,42092,0.4,0.0233060914187969,17.1628950050968,3,41111,4.19328604996452e-05
"77",592,"NURSING TRIAGE COPD PROTOCOL",98,"12580","IPRATROPIUM BROMIDE 0.02 % INH SOLN",1,17,0.173469387755102,127,3899,0.0588235294117647,0.0325724544755065,1.80592867068087,16,3772,0.999999999999899
"78",592,"NURSING TRIAGE COPD PROTOCOL",98,"122689","ALBUTEROL SULFATE 2.5 MG/0.5 ML INH NEBU",2,9,0.0918367346938776,142,1409,0.222222222222222,0.100780695528744,2.20500782472613,7,1267,0.516481576855816
"79",598,"NURSING TRIAGE ABDOMINAL PAIN PROTOCOL",760,"112586","HYDROMORPHONE 1 MG/ML INJ SYRG",8,95,0.125,1219,33427,0.0842105263157895,0.036467526251234,2.3091921765036,87,32208,0.0277376599148412
"80",598,"NURSING TRIAGE ABDOMINAL PAIN PROTOCOL",760,"198509","ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN",1,111,0.146052631578947,705,36939,0.00900900900900901,0.0190855193697718,0.472033735863523,110,36234,0.66887279964401
"81",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"101","ACETAMINOPHEN 325 MG PO TABS",9,986,0.15773476243801,981,42092,0.00912778904665314,0.0233060914187969,0.391648212590952,977,41111,0.00466314526492194
"82",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"102","ACETAMINOPHEN 500 MG PO TABS",1,26,0.00415933450647896,392,15968,0.0384615384615385,0.0245490981963928,1.56671899529042,25,15576,0.999999999999926
"83",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"1755","CLONIDINE HCL 0.1 MG PO TABS",1,9,0.0014397696368581,104,2839,0.111111111111111,0.0366326171187038,3.03311965811966,8,2735,0.765714822380169
"84",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"2509","DIPHENHYDRAMINE HCL 25 MG PO CAPS",2,118,0.0188769796832507,356,12049,0.0169491525423729,0.0295460204166321,0.573652637592839,116,11693,0.594665094718473
"85",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"2566","DOCUSATE SODIUM 100 MG PO CAPS",4,695,0.111182210846265,542,37509,0.00575539568345324,0.0144498653656456,0.398300990204147,691,36967,0.0797307046210229
"86",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"2567","DOCUSATE SODIUM 250 MG PO CAPS",4,338,0.0540713485842265,296,17760,0.0118343195266272,0.0166666666666667,0.710059171597633,334,17464,0.635305546859246
"87",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"3233","FOLIC ACID 1 MG PO TABS",1,84,0.013437849944009,58,4621,0.0119047619047619,0.0125513958017745,0.948481116584565,83,4563,0.999999999999999
"88",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"3774","HYDROXYZINE HCL 25 MG PO TABS",7,473,0.0756678931370981,133,4979,0.0147991543340381,0.0267121912030528,0.554022476911094,466,4846,0.157582770437956
"89",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"3843","IBUPROFEN 400 MG PO TABS",6,363,0.0580707086866101,148,4216,0.0165289256198347,0.0351043643263757,0.470851016305562,357,4068,0.08327534912658
"90",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"3845","IBUPROFEN 800 MG PO TABS",1,17,0.00271956486962086,25,565,0.0588235294117647,0.0442477876106195,1.32941176470588,16,540,0.999999999999999
"91",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"4572","LORAZEPAM 0.5 MG PO TABS",2,35,0.00559910414333707,349,13238,0.0571428571428571,0.0263634990179785,2.16749897666803,33,12889,0.544552135408463
"92",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"4573","LORAZEPAM 1 MG PO TABS",7,162,0.0259158534634459,337,8494,0.0432098765432099,0.0396750647515894,1.08909403963806,155,8157,0.979942716961932
"93",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"4574","LORAZEPAM 2 MG PO TABS",1,10,0.00159974404095345,31,618,0.1,0.0501618122977346,1.99354838709677,9,587,0.999999999999963
"94",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"7876","THIAMINE HCL (VITAMIN B1) 100 MG/ML INJ SOLN",1,22,0.00351943689009758,145,981,0.0454545454545455,0.147808358817533,0.307523510971787,21,836,0.298044905960772
"95",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"7877","THIAMINE HCL (VITAMIN B1) 100 MG PO TABS",1,76,0.0121580547112462,100,3808,0.0131578947368421,0.0262605042016807,0.501052631578947,75,3708,0.728802690204205
"96",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"8085","TRAZODONE 50 MG PO TABS",3,178,0.0284754439289714,334,11344,0.0168539325842697,0.0294428772919605,0.572428177353159,175,11010,0.444336713158395
"97",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"9637","CLONAZEPAM 0.5 MG PO TABS",2,25,0.00399936010238362,108,3358,0.08,0.0321620011911852,2.48740740740741,23,3250,0.436757766040088
"98",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"10717","NICOTINE (POLACRILEX) 2 MG BUCCAL GUM",1,104,0.0166373380259159,19,871,0.00961538461538462,0.0218140068886338,0.440789473684211,103,852,0.642969990222206
"99",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"11349","SENNOSIDES 8.6 MG PO TABS",5,584,0.0934250519916813,610,35793,0.00856164383561644,0.0170424384656218,0.502371996406917,579,35183,0.157033728530506
"100",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"16830","MELATONIN 3 MG PO TABS",3,157,0.0251159814429691,456,17087,0.0191082802547771,0.0266869549950255,0.716015755950385,154,16631,0.735203404709836
"101",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"27860","NICOTINE 7 MG/24 HR TD PT24",1,23,0.00367941129419293,23,953,0.0434782608695652,0.0241343126967471,1.80151228733459,22,930,0.999999999999978
"102",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"27862","NICOTINE 14 MG/24 HR TD PT24",1,52,0.00831866901295793,28,1507,0.0192307692307692,0.0185799601857996,1.03502747252747,51,1479,0.999999999999997
"103",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"27863","NICOTINE 21 MG/24 HR TD PT24",1,44,0.00703887378019517,23,1042,0.0227272727272727,0.0220729366602687,1.0296442687747,43,1019,0.999999999999999
"104",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"38390","ALUM-MAG HYDROXIDE-SIMETH 400-400-40 MG/5 ML PO SUSP",2,440,0.0703887378019517,14,882,0.00454545454545455,0.0158730158730159,0.286363636363636,438,868,0.131543168359831
"105",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"80840","ONDANSETRON HCL 8 MG PO TABS",1,218,0.0348744200927852,170,10077,0.00458715596330275,0.0168701002282425,0.271910415542364,217,9907,0.255923738497241
"106",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"81141","ONDANSETRON HCL 4 MG PO TABS",1,14,0.00223964165733483,87,4024,0.0714285714285714,0.0216202783300199,3.30377668308703,13,3937,0.720810576386406
"107",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"84520","ONDANSETRON 8 MG PO TBDL",2,28,0.00447928331466965,153,4394,0.0714285714285714,0.0348202093764224,2.05135387488329,26,4241,0.592970534874936
"108",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"92173","ZOLPIDEM 5 MG PO TABS",3,37,0.00591905295152776,159,8203,0.0810810810810811,0.019383152505181,4.18306986231515,34,8044,0.035398517062158
"109",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"540598","THERAPEUTIC MULTIVITAMIN & MINERALS (GENERIC) PO TABS",1,140,0.0223964165733483,17,1250,0.00714285714285714,0.0136,0.525210084033613,139,1233,0.805142527868802
"110",609,"IP PSY PSYCHIATRY INPATIENT ADMIT",6251,"9000000","ZZZ IMS TEMPLATE",1,9,0.0014397696368581,1035,28824,0.111111111111111,0.0359075770191507,3.09436392914654,8,27789,0.751719783873197
"111",611,"IP ASC PSY ECT",1777,"4318","LACTATED RINGERS IV SOLP",94,1111,0.625211029825549,135,4847,0.0846084608460846,0.0278522797606767,3.03775710904424,1017,4712,1.5072019695937e-18
"112",616,"IP PAI EPIDURAL ANALGESIA POSTOP",6394,"2508","DIPHENHYDRAMINE HCL 50 MG/ML INJ SOLN",9,601,0.093994369721614,399,16019,0.0149750415973378,0.0249079218428117,0.601216018415423,592,15620,0.158351002475462
"113",616,"IP PAI EPIDURAL ANALGESIA POSTOP",6394,"5339","NALBUPHINE 10 MG/ML INJ SOLN",10,975,0.152486706287144,3,308,0.0102564102564103,0.00974025974025974,1.05299145299145,965,305,1
"114",616,"IP PAI EPIDURAL ANALGESIA POSTOP",6394,"5340","NALBUPHINE 20 MG/ML INJ SOLN",1,107,0.0167344385361276,1,129,0.00934579439252336,0.00775193798449612,1.20560747663551,106,128,0.999999999999993
"115",616,"IP PAI EPIDURAL ANALGESIA POSTOP",6394,"29464","MORPHINE (PF) 0.5 MG/ML INJ SOLN",1,2,0.000312793243665937,7,23,0.5,0.304347826086957,1.64285714285714,1,16,0.999999999999999
"116",616,"IP PAI EPIDURAL ANALGESIA POSTOP",6394,"530032","BUPIVACAINE 0.125% (1/8%) EPIDURAL INFUSION",30,2314,0.361901782921489,5,132,0.0129645635263613,0.0378787878787879,0.342264477095938,2284,127,0.0491208316502799
"117",616,"IP PAI EPIDURAL ANALGESIA POSTOP",6394,"530033","BUPIVACAINE 0.25% (1/4%) EPIDURAL INFUSION",2,79,0.0123553331248045,1,18,0.0253164556962025,0.0555555555555556,0.455696202531646,77,17,0.999999999999994
"118",616,"IP PAI EPIDURAL ANALGESIA POSTOP",6394,"530051","LIDOCAINE 1% EPIDURAL INFUSION",7,190,0.029715358148264,1,20,0.0368421052631579,0.05,0.736842105263158,183,19,0.999999999999999
"119",616,"IP PAI EPIDURAL ANALGESIA POSTOP",6394,"530104","HYDROMORPHONE 0.05 MG/ML EPIDURAL INFUSION",35,1683,0.263215514544886,9,116,0.0207961972667855,0.0775862068965517,0.268039875883013,1648,107,0.000432806595323392
"120",616,"IP PAI EPIDURAL ANALGESIA POSTOP",6394,"540106","FENTANYL (PF) 50 MCG/ML INJECTION",2,33,0.00516108852048796,461,18637,0.0606060606060606,0.0247357407308043,2.45014132649707,31,18176,0.445060061892013
"121",616,"IP PAI EPIDURAL ANALGESIA POSTOP",6394,"540107","FENTANYL 50 MCG/ML EPIDURAL PCEA",52,1763,0.275727244291523,5,55,0.029495178672717,0.0909090909090909,0.324446965399887,1711,50,0.0291968227685402
"122",616,"IP PAI EPIDURAL ANALGESIA POSTOP",6394,"540205","LIDOCAINE 1% INFUSION",4,16,0.00250234594932749,1,16,0.25,0.0625,4,12,15,0.330191118603343
