protocol_name,frac_out,n_pat_out,no_ttt_out,n_pres_out,frac_not,n_pat_not,no_ttt_not,n_pres_not,odds_ratio,fisher_pval,pval_str,drg_no,outlier,drg
IP REN CONTINUOUS RENAL REPLACEMENT THERAPY(CRRT),0.233,28,92,594,0.018,11,584,121,16.16,3.991727520687907e-15,< 10^-14,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP NSR ICU STROKE: SUBARACHANOID HEMORRHAGE,0.254,70,206,1307,0.076,103,1246,1624,4.11,5.435660545661505e-15,< 10^-14,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
SHC ANE PACU,0.322,29,61,652,0.038,23,580,349,11.99,8.855487260240386e-15,< 10^-14,2259,hi,PSYCHOSES
SHC IP HYPERGLYCEMIA INSULIN CONTINUOUS IV INFUSION,0.169,51,250,335,0.039,64,1568,268,5.0,2.3837076952954035e-14,< 10^-13,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
IP ICU/CCU GENERAL ADMIT,0.465,112,129,722,0.219,268,956,1605,3.1,4.1914301763184e-14,< 10^-13,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
SHC IP GEN HEPARIN IV INFUSION PROTOCOLS,0.342,26,50,91,0.03,11,352,47,16.64,5.6125252440305945e-14,< 10^-13,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
SHC IP GEN TUBE FEEDING,0.15,45,256,152,0.031,51,1581,123,5.45,8.190272203535519e-14,< 10^-13,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
RETIRE IP RAD INTERVENTIONAL RADIOLOGY POSTOP (SAME DAY DISCHARGE),0.216,19,69,73,0.005,2,415,9,57.14,1.0414001608803273e-13,< 10^-12,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.575,69,51,484,0.217,102,368,718,4.88,1.7367585432870281e-13,< 10^-12,1599,hi,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
SHC IP GEN TUBE FEEDING,0.137,33,208,98,0.019,23,1201,52,8.28,1.8514394085108626e-13,< 10^-12,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
SHC ANE ECT PACU ORDERS,0.333,30,60,687,0.051,31,572,335,9.23,2.584176062208078e-13,< 10^-12,2259,hi,PSYCHOSES
IP REN CONTINUOUS RENAL REPLACEMENT THERAPY(CRRT),0.304,17,39,442,0.012,5,412,61,35.92,2.709764964680503e-13,< 10^-12,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
IP RD TUBE FEEDS,0.183,22,98,59,0.009,4,466,7,26.15,8.41532165558476e-13,< 10^-12,1599,hi,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
IP/ED GEN HYPERKALEMIA THERAPY,0.339,19,37,250,0.026,11,406,53,18.95,2.5032311333293197e-12,< 10^-11,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
SHC RIS CT CONTRAST ORDER SET,0.49,47,49,83,0.149,74,424,93,5.5,2.9289313306613684e-12,< 10^-11,1836,hi,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.302,29,67,68,0.046,23,475,48,8.94,4.029074264588744e-12,< 10^-11,1836,hi,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.245,27,83,68,0.034,23,644,57,9.11,4.501449113415761e-12,< 10^-11,2412,hi,HEART FAILURE
SHC RIS MRI CONTRAST SMART SET,0.478,132,144,208,0.264,356,993,437,2.56,7.304990778336995e-12,< 10^-11,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
SHC IP PAI PATIENT CONTROLLED ANALGESIA (PCA),0.729,62,23,153,0.321,107,226,251,5.69,1.299580174835432e-11,< 10^-10,2474,hi,SPINAL FUSION AND OTHER BACK AND NECK PROCEDURES EXCEPT FOR DISC PROCEDURES
SHC IP GEN HEPARIN IV INFUSION PROTOCOLS,0.233,70,231,362,0.087,142,1490,541,3.18,1.536706571644775e-11,< 10^-10,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
IP ICU/CCU GENERAL ADMIT,0.422,35,48,229,0.101,49,436,285,6.49,1.7631970763345545e-11,< 10^-10,1712,hi,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
IP GEN ARGATROBAN IV INFUSION,0.208,25,95,59,0.025,15,580,24,10.18,2.038478613025097e-11,< 10^-10,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
IP RD TUBE FEEDS,0.183,22,98,80,0.017,10,585,19,13.13,2.3616813014176063e-11,< 10^-10,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP ICU VOLUME BASED TUBE FEEDING (ICU ONLY),0.096,29,272,64,0.015,24,1608,40,7.14,2.516834469357123e-11,< 10^-10,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
RETIRED IP SUBCUTANEOUS INSULIN ORDER SET,0.452,136,165,836,0.257,419,1213,2255,2.39,2.967430767085939e-11,< 10^-10,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
IP/ED GEN HYPERKALEMIA THERAPY,0.258,31,89,314,0.047,28,567,155,7.05,3.0534078147362516e-11,< 10^-10,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP NAP (NOCTURNAL AWAKENING PREVENTION) IN THE ICU,0.062,17,259,28,0.002,3,1346,5,29.45,3.7232435945213936e-11,< 10^-10,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
SHC IP GEN TUBE FEEDING,0.268,15,41,69,0.014,6,411,15,25.06,6.412423128159374e-11,< 10^-10,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.332,100,201,563,0.162,264,1368,1239,2.58,6.707088637863045e-11,< 10^-10,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP ICU PAIN MANAGEMENT,0.195,15,62,88,0.01,6,573,22,23.1,9.260140581854406e-11,< 10^-10,2384,hi,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.265,22,61,60,0.032,15,447,33,10.75,1.1699130487085867e-10,< 10^-9,1806,hi,HEART FAILURE AND SHOCK WITH MCC
SHC ANE PACU,0.247,19,58,193,0.019,7,357,69,16.71,1.2805549023327219e-10,< 10^-9,2344,hi,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.215,20,73,62,0.022,12,538,25,12.28,1.2910623275561574e-10,< 10^-9,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
SHC RIS DIAG/FLUORO SMART SET,0.123,34,242,108,0.025,34,1315,113,5.43,1.337141566294657e-10,< 10^-9,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.411,23,33,86,0.07,29,388,72,9.32,1.6974923634330343e-10,< 10^-9,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.324,78,163,440,0.142,174,1050,768,2.89,1.7364557571915868e-10,< 10^-9,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.017,4,226,12,0.148,183,1052,422,0.1,2.5312785174719423e-10,< 10^-9,2251,lo,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
SHC IP REN HEMODIALYSIS/PUF,0.142,17,103,82,0.008,5,590,10,19.48,3.0457792786169415e-10,< 10^-9,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.239,21,67,168,0.026,11,406,35,11.57,3.531465185192252e-10,< 10^-9,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
IP MED GENERAL ADMIT,0.525,158,143,1131,0.714,1165,467,7042,0.44,3.63212442709137e-10,< 10^-9,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP ICU INTUBATION,0.086,26,275,159,0.013,22,1610,104,6.92,3.945803583794167e-10,< 10^-9,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC RIS CT CONTRAST ORDER SET,0.821,46,10,117,0.384,160,257,246,7.39,6.078458863032684e-10,< 10^-9,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.331,49,99,243,0.114,83,648,455,3.86,6.322652845116876e-10,< 10^-9,2462,hi,DORSAL AND LUMBAR FUSION PROCEDURE EXCEPT FOR CURVATURE OF BACK
SHC IP REN HEMODIALYSIS,0.161,15,78,218,0.009,5,545,36,20.96,7.561372297753144e-10,< 10^-9,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
IP GEN ALBUMIN,0.25,22,66,133,0.034,14,403,34,9.6,9.532184040812335e-10,< 10^-9,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.027,6,213,12,0.165,282,1432,683,0.14,1.0259763018121183e-09,< 10^-8,2592,lo,SEPTICEMIA AND DISSEMINATED INFECTIONS
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.257,62,179,156,0.102,125,1099,278,3.05,1.2428450600117952e-09,< 10^-8,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
SHC IP GI ENDOSCOPY PRE/POSTOP PROCEDURE,0.208,16,61,83,0.014,5,359,22,18.83,1.8082591318430086e-09,< 10^-8,2344,hi,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION
SHC RIS CT CONTRAST ORDER SET,0.742,89,31,221,0.445,265,330,370,3.58,2.1601419448007895e-09,< 10^-8,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.893,50,6,390,0.492,205,212,920,8.62,2.7876426051915387e-09,< 10^-8,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
IP RD TUBE FEEDS,0.214,12,44,50,0.01,4,413,10,28.16,3.086942957744714e-09,< 10^-8,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
SHC IP PAI PATIENT CONTROLLED ANALGESIA (PCA),0.35,21,39,53,0.742,351,122,843,0.19,3.254311401766231e-09,< 10^-8,6267,lo,MAJOR SMALL BOWEL PROCEDURES
IP ICU/CCU GENERAL ADMIT,0.214,12,44,66,0.01,4,408,27,27.82,3.497203091420214e-09,< 10^-8,1930,hi,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.194,18,75,46,0.016,6,361,12,14.44,3.595021318824978e-09,< 10^-8,2447,hi,OTHER DIGESTIVE SYSTEM DIAGNOSES
IP ICU/CCU GENERAL ADMIT,0.416,32,45,162,0.123,71,508,480,5.09,3.6232564675868304e-09,< 10^-8,2384,hi,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
IP RD TUBE FEEDS,0.108,26,215,74,0.02,24,1200,40,6.05,3.69309935016532e-09,< 10^-8,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
IP ICU/CCU GENERAL ADMIT,0.264,29,81,174,0.063,42,625,228,5.33,4.095688191036599e-09,< 10^-8,2412,hi,HEART FAILURE
SHC IP REN HEMODIALYSIS,0.268,15,41,212,0.026,11,406,69,13.5,5.853841754519998e-09,< 10^-8,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.525,31,28,329,0.161,59,307,359,5.76,6.42676234810645e-09,< 10^-8,2638,hi,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS
SHC IP GEN TUBE FEEDING,0.183,22,98,93,0.029,17,578,40,7.63,6.6518275818705355e-09,< 10^-8,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.221,17,60,42,0.028,16,563,32,9.97,7.2606816603622105e-09,< 10^-8,2384,hi,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
SHC IP ICU PAIN MANAGEMENT,0.25,14,42,64,0.022,9,408,31,15.11,7.971295316064285e-09,< 10^-8,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.07,16,214,68,0.222,274,961,1607,0.26,8.271387718282817e-09,< 10^-8,2251,lo,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
IP GEN ALBUMIN,0.157,16,86,56,0.012,5,426,12,15.85,1.0176883344000837e-08,< 10^-7,6267,hi,MAJOR SMALL BOWEL PROCEDURES
SHC RIS CT CONTRAST ORDER SET,0.453,39,47,90,0.161,76,397,105,4.33,1.0620681009294172e-08,< 10^-7,6268,hi,MAJOR LARGE BOWEL PROCEDURES
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.244,21,65,64,0.04,19,454,41,7.72,1.071642774290292e-08,< 10^-7,6268,hi,MAJOR LARGE BOWEL PROCEDURES
IP RD TUBE FEEDS,0.198,18,73,52,0.02,7,349,13,12.29,1.1757554628088313e-08,< 10^-7,2337,hi,OPEN EXTRACRANIAL VASCULAR PROCEDURES
SHC RIS CT CONTRAST ORDER SET,0.124,23,162,26,0.02,15,746,19,7.06,1.5160419032617266e-08,< 10^-7,2459,hi,HIP JOINT REPLACEMENT
SHC IP GEN TUBE FEEDING,0.161,15,78,80,0.015,8,542,13,13.03,1.6457250779911724e-08,< 10^-7,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
IP REN CONTINUOUS RENAL REPLACEMENT THERAPY(CRRT),0.161,15,78,365,0.015,8,542,72,13.03,1.6457250779911724e-08,< 10^-7,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
IP GEN ALBUMIN,0.786,44,12,267,0.388,162,255,341,5.77,1.7364620944989305e-08,< 10^-7,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
IP REN CONTINUOUS RENAL REPLACEMENT THERAPY(CRRT),0.1,11,99,143,0.003,2,665,16,36.94,1.77711405603725e-08,< 10^-7,2412,hi,HEART FAILURE
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.312,29,64,149,0.084,46,504,177,4.96,2.045349969027479e-08,< 10^-7,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
SHC IP REN HEMODIALYSIS/PUF,0.118,11,82,53,0.004,2,548,3,36.76,2.0669696966191314e-08,< 10^-7,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
SHC IP HYPERGLYCEMIA INSULIN CONTINUOUS IV INFUSION,0.857,48,8,158,0.472,197,220,548,6.7,2.2312046675377508e-08,< 10^-7,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
RETIRED IP SUBCUTANEOUS INSULIN ORDER SET,0.427,103,138,685,0.244,299,925,1524,2.31,2.3190939902646824e-08,< 10^-7,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
SHC RIS CT CONTRAST ORDER SET,0.321,18,38,28,0.052,20,368,22,8.72,2.3773026013922613e-08,< 10^-7,6427,hi,OTHER CHEMOTHERAPY
SHC IP ICU PAIN MANAGEMENT,0.175,21,99,106,0.029,17,578,66,7.21,2.58593464276456e-08,< 10^-7,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
IP RD TUBE FEEDS,0.14,13,80,80,0.009,5,545,11,17.71,2.598915502732129e-08,< 10^-7,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
SHC IP ICU PAIN MANAGEMENT,0.125,11,77,82,0.002,1,416,4,59.43,2.6917515938301324e-08,< 10^-7,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.301,25,58,78,0.07,34,451,105,5.72,2.7193999794023953e-08,< 10^-7,1712,hi,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.538,49,42,356,0.23,82,274,534,3.9,3.1306957902443434e-08,< 10^-7,2337,hi,OPEN EXTRACRANIAL VASCULAR PROCEDURES
SHC IP HYPERGLYCEMIA INSULIN CONTINUOUS IV INFUSION,0.211,16,60,80,0.022,8,355,30,11.83,3.643667319301439e-08,< 10^-7,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
IP RAD NEURORADIOLOGY PRE-PROCEDURE,0.062,17,259,17,0.007,9,1340,10,9.77,3.7914604482069656e-08,< 10^-7,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.325,25,52,128,0.083,48,531,135,5.32,4.1496264961070536e-08,< 10^-7,2384,hi,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
IP RESP INHALED EPOPROSTENOL (VELETRI),0.286,16,40,47,0.041,17,400,37,9.41,4.7512852205364696e-08,< 10^-7,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.052,4,73,22,0.326,167,346,1180,0.11,5.826207396387462e-08,< 10^-7,1599,lo,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
PRE-ADMISSION/PRE-OP ORDERS,0.569,157,119,652,0.737,994,355,3911,0.47,6.014302773149027e-08,< 10^-7,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
IP ICU/CCU GENERAL ADMIT,0.277,23,60,139,0.061,28,434,156,5.94,6.093043835732436e-08,< 10^-7,1806,hi,HEART FAILURE AND SHOCK WITH MCC
SHC RIS CT CONTRAST ORDER SET,0.348,80,150,84,0.542,669,566,931,0.45,6.121472660369779e-08,< 10^-7,2251,lo,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
IP GEN VTE PROPHYLAXIS,0.156,47,254,53,0.059,96,1536,114,2.96,6.582952642169746e-08,< 10^-7,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.171,13,63,40,0.011,4,359,10,18.52,6.659901565243908e-08,< 10^-7,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.305,25,57,62,0.071,27,352,72,5.72,6.665998164092589e-08,< 10^-7,1748,hi,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC
SHC RIS CT CONTRAST ORDER SET,0.474,36,40,72,0.168,61,302,79,4.46,6.688242209299834e-08,< 10^-7,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
IP RAD NEURORADIOLOGY PRE-PROCEDURE,0.228,33,112,34,0.059,27,428,27,4.67,7.41934955813259e-08,< 10^-7,1601,hi,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC
SHC RIS DIAG/FLUORO SMART SET,0.192,23,97,81,0.036,17,453,49,6.32,8.16627950560405e-08,< 10^-7,1599,hi,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.291,32,78,176,0.091,61,606,187,4.08,8.418856348379527e-08,< 10^-7,2412,hi,HEART FAILURE
SHC IP GEN TPN/PPN ADULT PROTOCOL,0.177,17,79,33,0.024,12,486,23,8.72,9.53543070480628e-08,< 10^-7,1836,hi,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
SHC IP GEN TPN/PPN ADULT PROTOCOL,0.245,25,77,63,0.056,24,407,46,5.51,1.0627362717308855e-07,< 10^-6,6267,hi,MAJOR SMALL BOWEL PROCEDURES
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.545,42,35,326,0.231,84,280,525,4.0,1.285759104685037e-07,< 10^-6,2344,hi,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION
SHC RIS CT CONTRAST ORDER SET,0.475,19,21,23,0.111,41,327,49,7.22,1.2935143476909762e-07,< 10^-6,6164,hi,AUTOLOGOUS BONE MARROW TRANSPLANT OR T-CELL IMMUNOTHERAPY
SHC IP PAI EPIDURAL ANALGESIA,0.233,20,66,128,0.044,21,452,125,6.52,1.3523031326927977e-07,< 10^-6,6268,hi,MAJOR LARGE BOWEL PROCEDURES
SHC IP GEN TUBE FEEDING,0.125,11,77,79,0.005,2,415,16,29.64,1.499478450688746e-07,< 10^-6,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
SHC IP PAI PATIENT CONTROLLED ANALGESIA (PCA),0.067,3,42,6,0.445,166,207,398,0.09,1.8649986308783077e-07,< 10^-6,2474,lo,SPINAL FUSION AND OTHER BACK AND NECK PROCEDURES EXCEPT FOR DISC PROCEDURES
SHC IP CVICU HIGH RISK TUBE FEEDING PROTOCOL,0.108,13,107,34,0.008,5,590,8,14.34,1.903570279001124e-07,< 10^-6,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC RIS CT CONTRAST ORDER SET,0.495,46,47,107,0.224,123,427,142,3.4,1.9359967789594413e-07,< 10^-6,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
IP RAD NEURORADIOLOGY POST-PROCEDURE,0.091,25,251,77,0.021,28,1321,103,4.7,2.0154713995575738e-07,< 10^-6,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.368,28,48,248,0.11,40,323,147,4.71,2.488065465422103e-07,< 10^-6,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
IP REN CONTINUOUS RENAL REPLACEMENT THERAPY(CRRT),0.108,9,74,104,0.002,1,461,9,56.07,2.6314895604646505e-07,< 10^-6,1806,hi,HEART FAILURE AND SHOCK WITH MCC
SHC ANE PACU,0.25,30,90,512,0.076,45,550,480,4.07,2.804911144448231e-07,< 10^-6,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP NSR NEUROSURGERY ADMISSION/POST-OP,0.315,87,189,1919,0.484,653,696,14214,0.49,2.820354964594614e-07,< 10^-6,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
