protocol_name,frac_out,n_pat_out,no_ttt_out,n_pres_out,frac_not,n_pat_not,no_ttt_not,n_pres_not,odds_ratio,fisher_pval,pval_str,drg_no,outlier,drg
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.523,46,42,699,0.137,57,360,217,6.92,7.209526318621014e-14,< 10^-13,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
SHC IP REN HEMODIALYSIS,0.233,28,92,1157,0.024,14,581,274,12.63,8.25574969636123e-14,< 10^-13,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP PSY ASC ECT,0.344,31,59,1330,0.053,32,571,765,9.38,8.74195491922395e-14,< 10^-13,2259,hi,PSYCHOSES
SHC IP PSY SCHEDULE ECT,0.344,31,59,846,0.055,33,570,458,9.08,1.5424008447994958e-13,< 10^-12,2259,hi,PSYCHOSES
SHC IP NAP (NOCTURNAL AWAKENING PREVENTION) IN THE ICU,0.083,23,253,210,0.004,6,1343,69,20.35,1.5797755894795834e-13,< 10^-12,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
SHC IP GEN TUBE FEEDING,0.138,38,238,130,0.023,31,1318,89,6.79,1.688335773677733e-13,< 10^-12,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
SHC ANE ECT PACU ORDERS,0.333,30,60,1036,0.051,31,572,510,9.23,2.584176062208078e-13,< 10^-12,2259,hi,PSYCHOSES
IP REN CONTINUOUS RENAL REPLACEMENT THERAPY(CRRT),0.304,17,39,399,0.012,5,412,62,35.92,2.709764964680503e-13,< 10^-12,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
"IP LAB SPECIMEN TESTING, BLOOD CULTURE - INFECTIOUS AGENT DETECTION",0.127,35,241,100,0.019,26,1323,68,7.39,3.2236344204839474e-13,< 10^-12,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.355,39,71,135,0.078,52,615,126,6.5,3.790943378029098e-13,< 10^-12,2412,hi,HEART FAILURE
IP ICU/CCU GENERAL ADMIT,0.47,39,44,828,0.111,54,431,1192,7.07,4.3084876773688154e-13,< 10^-12,1712,hi,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
IP VAST RN POST PLACEMENT (VAST RN ONLY),0.402,41,61,283,0.088,38,393,245,6.95,4.606532747162081e-13,< 10^-12,6267,hi,MAJOR SMALL BOWEL PROCEDURES
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.52,53,49,815,0.16,69,362,416,5.67,4.682036179912884e-13,< 10^-12,6267,hi,MAJOR SMALL BOWEL PROCEDURES
IP VAST RN POST PLACEMENT (VAST RN ONLY),0.292,28,68,182,0.036,18,480,110,10.98,4.88924262235304e-13,< 10^-12,1836,hi,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
SHC IP REN HEMODIALYSIS/PUF,0.167,20,100,235,0.008,5,590,22,23.6,1.9514650354778293e-12,< 10^-11,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
IP/ED GEN HYPERKALEMIA THERAPY,0.321,18,38,197,0.022,9,408,34,21.47,2.980613357056095e-12,< 10^-11,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.386,32,51,121,0.076,35,427,77,7.65,6.01698854455242e-12,< 10^-11,1806,hi,HEART FAILURE AND SHOCK WITH MCC
INTRA-OPERATIVE BLOOD PRODUCT AND TRANSFUSION ORDERS,0.929,52,4,526,0.471,194,218,714,14.61,8.842605559937089e-12,< 10^-11,1930,hi,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC
IP VAST RN POST PLACEMENT (VAST RN ONLY),0.25,30,90,250,0.04,24,571,178,7.93,9.990688699220047e-12,< 10^-11,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.165,41,207,116,0.036,38,1013,65,5.28,1.1239235269703404e-11,< 10^-10,1946,hi,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.434,33,43,730,0.091,33,330,160,7.67,1.1738398567826772e-11,< 10^-10,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.346,104,197,655,0.166,271,1361,1418,2.65,1.1751799958783106e-11,< 10^-10,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP PAI PATIENT CONTROLLED ANALGESIA (PCA),0.729,62,23,839,0.324,108,225,1365,5.62,1.6612322563175258e-11,< 10^-10,2474,hi,SPINAL FUSION AND OTHER BACK AND NECK PROCEDURES EXCEPT FOR DISC PROCEDURES
RETIRED IP SUBCUTANEOUS INSULIN ORDER SET,0.455,137,164,1136,0.257,419,1213,2924,2.42,1.6956500263035898e-11,< 10^-10,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP GEN HEPARIN IV INFUSION PROTOCOLS,0.233,70,231,2814,0.088,143,1489,3400,3.16,1.784909720981365e-11,< 10^-10,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.731,68,25,1389,0.355,195,355,1295,4.95,1.8097783092478845e-11,< 10^-10,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
IP GEN ARGATROBAN IV INFUSION,0.208,25,95,781,0.025,15,580,264,10.18,2.038478613025097e-11,< 10^-10,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.34,82,159,449,0.146,179,1045,888,3.01,2.1243554112744177e-11,< 10^-10,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.344,33,63,114,0.072,36,462,93,6.72,2.6377314848395208e-11,< 10^-10,1836,hi,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
SHC IP GEN INTERAGENCY DISCHARGE ORDERS,0.788,67,18,333,0.39,130,203,525,5.81,3.468737395261021e-11,< 10^-10,2474,hi,SPINAL FUSION AND OTHER BACK AND NECK PROCEDURES EXCEPT FOR DISC PROCEDURES
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.732,41,15,1499,0.273,114,303,859,7.26,4.1547535739832686e-11,< 10^-10,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.323,30,63,124,0.064,35,515,71,7.01,4.585845347822659e-11,< 10^-10,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.463,38,44,126,0.127,48,331,141,5.96,8.415671055624072e-11,< 10^-10,1748,hi,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.344,32,61,99,0.068,25,342,42,7.18,9.236670293678852e-11,< 10^-10,2447,hi,OTHER DIGESTIVE SYSTEM DIAGNOSES
SHC IP GEN INTERAGENCY DISCHARGE ORDERS,0.614,54,34,361,0.247,103,314,405,4.84,1.1410981309032684e-10,< 10^-9,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
SHC ANE PACU,0.247,19,58,117,0.019,7,357,37,16.71,1.2805549023327219e-10,< 10^-9,2344,hi,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.054,7,122,15,0.296,222,528,1047,0.14,1.8646689963322804e-10,< 10^-9,2462,lo,DORSAL AND LUMBAR FUSION PROCEDURE EXCEPT FOR CURVATURE OF BACK
IP LABS CULTURES,0.11,33,268,91,0.023,37,1595,77,5.31,1.9693708663493955e-10,< 10^-9,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP GEN INTERAGENCY DISCHARGE ORDERS,0.357,82,148,394,0.585,722,513,4379,0.39,2.265589792085743e-10,< 10^-9,2251,lo,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
IP ICU/CCU GENERAL ADMIT,0.337,28,55,849,0.067,31,431,749,7.08,2.6450036921546687e-10,< 10^-9,1806,hi,HEART FAILURE AND SHOCK WITH MCC
INTRA-OPERATIVE BLOOD PRODUCT AND TRANSFUSION ORDERS,0.49,47,49,219,0.175,87,411,190,4.53,3.4211095878537203e-10,< 10^-9,1836,hi,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
SHC IP CVICU HIGH RISK TUBE FEEDING PROTOCOL,0.25,14,42,36,0.014,6,411,12,22.83,4.957630465616938e-10,< 10^-9,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
SHC IP GEN INTERAGENCY DISCHARGE ORDERS,0.708,85,35,471,0.391,184,286,731,3.77,6.992592190739644e-10,< 10^-9,1599,hi,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
SHC IP GEN TUBE FEEDING,0.148,13,75,47,0.002,1,416,2,72.11,7.557635779105581e-10,< 10^-9,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
SHC IP ICU INTUBATION,0.076,23,278,87,0.01,17,1615,72,7.86,8.777209989552095e-10,< 10^-9,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP ICU VOLUME BASED TUBE FEEDING (ICU ONLY),0.093,28,273,249,0.017,28,1604,193,5.88,9.39251946053463e-10,< 10^-9,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
IP/ED GEN HYPERKALEMIA THERAPY,0.225,27,93,249,0.042,25,570,106,6.62,1.124213760218146e-09,< 10^-8,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
INTRA-OPERATIVE BLOOD PRODUCT AND TRANSFUSION ORDERS,0.529,54,48,323,0.216,93,338,284,4.09,1.232118482247331e-09,< 10^-8,6267,hi,MAJOR SMALL BOWEL PROCEDURES
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.589,33,23,545,0.188,73,315,280,6.19,1.3635557309799e-09,< 10^-8,6427,hi,OTHER CHEMOTHERAPY
INTRA-OPERATIVE BLOOD PRODUCT AND TRANSFUSION ORDERS,0.209,27,102,57,0.489,367,383,1951,0.28,1.5261918248855964e-09,< 10^-8,2462,lo,DORSAL AND LUMBAR FUSION PROCEDURE EXCEPT FOR CURVATURE OF BACK
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.364,28,49,89,0.088,51,528,99,5.92,1.709386656511613e-09,< 10^-8,2384,hi,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
IP ICU/CCU GENERAL ADMIT,0.442,34,43,678,0.135,78,501,1784,5.08,1.7718164965399824e-09,< 10^-8,2384,hi,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
SHC IP GI ENDOSCOPY PRE/POSTOP PROCEDURE,0.208,16,61,201,0.014,5,359,45,18.83,1.8082591318430086e-09,< 10^-8,2344,hi,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION
SHC IP GEN TPN/PPN ADULT PROTOCOL,0.198,19,77,135,0.022,11,487,83,10.92,2.196862251970556e-09,< 10^-8,1836,hi,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
IP ICU/CCU GENERAL ADMIT,0.282,31,79,871,0.07,47,620,1170,5.18,2.299032280533247e-09,< 10^-8,2412,hi,HEART FAILURE
SHC IP NAP (NOCTURNAL AWAKENING PREVENTION) IN THE ICU,0.12,29,212,257,0.025,30,1194,271,5.44,2.393400014578882e-09,< 10^-8,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.073,16,203,31,0.234,401,1313,1325,0.26,2.8736788400270787e-09,< 10^-8,2592,lo,SEPTICEMIA AND DISSEMINATED INFECTIONS
IP VAST RN POST PLACEMENT (VAST RN ONLY),0.217,18,65,147,0.024,11,451,70,11.35,3.0819959509459855e-09,< 10^-8,1806,hi,HEART FAILURE AND SHOCK WITH MCC
SHC IP REN HEMODIALYSIS/PUF,0.129,12,81,158,0.004,2,548,11,40.59,3.131869629114543e-09,< 10^-8,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
SHC IP PAI PATIENT CONTROLLED ANALGESIA (PCA),0.35,21,39,243,0.742,351,122,3810,0.19,3.254311401766231e-09,< 10^-8,6267,lo,MAJOR SMALL BOWEL PROCEDURES
IP ICU/CCU GENERAL ADMIT,0.214,12,44,288,0.01,4,408,82,27.82,3.497203091420214e-09,< 10^-8,1930,hi,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC
SHC IP GEN TUBE FEEDING,0.247,23,70,144,0.044,24,526,126,7.2,3.658929723411445e-09,< 10^-8,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
SHC IP NAP (NOCTURNAL AWAKENING PREVENTION) IN THE ICU,0.217,26,94,225,0.042,25,570,194,6.31,4.156196088053923e-09,< 10^-8,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.291,25,61,113,0.059,28,445,84,6.51,5.471395732973427e-09,< 10^-8,6268,hi,MAJOR LARGE BOWEL PROCEDURES
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.276,21,55,84,0.041,15,348,28,8.86,5.615038985051963e-09,< 10^-8,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
SHC IP REN HEMODIALYSIS,0.268,15,41,528,0.026,11,406,183,13.5,5.853841754519998e-09,< 10^-8,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
SHC IP GEN TUBE FEEDING,0.142,17,103,44,0.011,5,465,8,15.35,6.9475903459065906e-09,< 10^-8,1599,hi,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
SHC IP HYPERGLYCEMIA INSULIN CONTINUOUS IV INFUSION,0.821,46,10,1046,0.415,173,244,3593,6.49,7.036806584431171e-09,< 10^-8,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
IP LABS CULTURES,0.451,37,45,175,0.145,55,324,179,4.84,7.181332474745776e-09,< 10^-8,1748,hi,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC
"IP LAB SPECIMEN TESTING, RESPIRATORY SECRETIONS",0.125,15,105,44,0.008,5,590,5,16.86,7.978242166196538e-09,< 10^-8,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
IP VAST RN POST PLACEMENT (VAST RN ONLY),0.182,20,90,147,0.027,18,649,138,8.01,8.058418376230764e-09,< 10^-8,2412,hi,HEART FAILURE
RETIRED IP SUBCUTANEOUS INSULIN ADJUSTMENT ORDER SET,0.323,30,63,157,0.085,47,503,191,5.1,8.45416336037442e-09,< 10^-8,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.299,23,54,314,0.062,36,543,136,6.42,9.356469325074956e-09,< 10^-8,2384,hi,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
RETIRED IP SUBCUTANEOUS INSULIN ORDER SET,0.432,104,137,871,0.244,299,925,1978,2.35,9.653129164216658e-09,< 10^-8,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
IP ICU/CCU GENERAL ADMIT,0.115,17,131,403,0.011,8,723,176,11.73,9.864905499145057e-09,< 10^-8,2462,hi,DORSAL AND LUMBAR FUSION PROCEDURE EXCEPT FOR CURVATURE OF BACK
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.432,104,137,1642,0.245,300,924,1768,2.34,1.048735824893356e-08,< 10^-7,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
SHC IP GEN INTERAGENCY DISCHARGE ORDERS,0.858,127,21,568,0.624,456,275,1938,3.65,1.1019537511049201e-08,< 10^-7,2462,hi,DORSAL AND LUMBAR FUSION PROCEDURE EXCEPT FOR CURVATURE OF BACK
IP VAST RN POST PLACEMENT (VAST RN ONLY),0.208,16,61,115,0.024,14,565,95,10.59,1.1294061971083276e-08,< 10^-7,2384,hi,MAJOR RESPIRATORY INFECTIONS AND INFLAMMATIONS
IP RAD NEURORADIOLOGY PRE-PROCEDURE,0.069,19,257,227,0.008,11,1338,141,8.99,1.2324888230851313e-08,< 10^-7,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
"IP LAB SPECIMEN TESTING, RESPIRATORY SECRETIONS",0.179,10,46,36,0.005,2,415,2,45.11,1.3853415703058783e-08,< 10^-7,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
IP RESP INHALED EPOPROSTENOL (VELETRI),0.304,17,39,147,0.043,18,399,101,9.66,1.5269059883954457e-08,< 10^-7,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
IP REN CONTINUOUS RENAL REPLACEMENT THERAPY(CRRT),0.161,15,78,307,0.015,8,542,63,13.03,1.6457250779911724e-08,< 10^-7,2395,hi,CARDIAC VALVE PROCEDURES WITHOUT AMI OR COMPLEX PRINCIPAL DIAGNOSIS
IP REN CONTINUOUS RENAL REPLACEMENT THERAPY(CRRT),0.1,11,99,153,0.003,2,665,21,36.94,1.77711405603725e-08,< 10^-7,2412,hi,HEART FAILURE
INTRA-OPERATIVE BLOOD PRODUCT AND TRANSFUSION ORDERS,0.43,37,49,180,0.148,70,403,191,4.35,1.8909574275599327e-08,< 10^-7,6268,hi,MAJOR LARGE BOWEL PROCEDURES
RETIRE IP RAD INTERVENTIONAL RADIOLOGY POSTOP (SAME DAY DISCHARGE),0.106,32,269,250,0.028,45,1587,346,4.2,1.9098806880735815e-08,< 10^-7,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
