name,order_code_description,Orderable,LabDept,billing_code,Option,Version,FeeSchedCode,qty
10005B,Flow B-cell Auto XM1,B,HLAA,50795928,0,8,SHS,1
10005B,Flow B-cell Auto XM1,B,HLAA,52295911,25,8,SHS,1
10005B,Flow B-cell Auto XM1,B,HLAA,52295928,25,8,SHS,1
10005B,Flow B-cell Auto XM1,B,HLAA,82395911,27,8,SHS,1
10005B,Flow B-cell Auto XM1,B,HLAA,82395928,27,8,SHS,1
10005B,Flow B-cell Auto XM1,B,HLAA,66695911,28,8,SHS,1
10005B,Flow B-cell Auto XM1,B,HLAA,66695928,28,8,SHS,1
10005B,Flow B-cell Auto XM1,B,HLAA,81095911,29,8,SHS,1
10005B,Flow B-cell Auto XM1,B,HLAA,81095928,29,8,SHS,1
10005B,Flow B-cell Auto XM1,B,HLAA,81395911,30,8,SHS,1
10005B,Flow B-cell Auto XM1,B,HLAA,81395928,30,8,SHS,1
10005B,Flow B-cell Auto XM1,B,HLAA,84395911,31,8,SHS,1
10005B,Flow B-cell Auto XM1,B,HLAA,84395928,31,8,SHS,1
10006B,Flow B-cell Auto XM2,B,HLAA,50795911,0,8,SHS,1
10006B,Flow B-cell Auto XM2,B,HLAA,50795928,0,8,SHS,1
10006B,Flow B-cell Auto XM2,B,HLAA,52295911,25,8,SHS,1
10006B,Flow B-cell Auto XM2,B,HLAA,52295928,25,8,SHS,1
10006B,Flow B-cell Auto XM2,B,HLAA,82395911,27,8,SHS,1
10006B,Flow B-cell Auto XM2,B,HLAA,82395928,27,8,SHS,1
10006B,Flow B-cell Auto XM2,B,HLAA,66695911,28,8,SHS,1
10006B,Flow B-cell Auto XM2,B,HLAA,66695928,28,8,SHS,1
10006B,Flow B-cell Auto XM2,B,HLAA,81095911,29,8,SHS,1
10006B,Flow B-cell Auto XM2,B,HLAA,81095928,29,8,SHS,1
10006B,Flow B-cell Auto XM2,B,HLAA,81395911,30,8,SHS,1
10006B,Flow B-cell Auto XM2,B,HLAA,81395928,30,8,SHS,1
10006B,Flow B-cell Auto XM2,B,HLAA,84395911,31,8,SHS,1
10006B,Flow B-cell Auto XM2,B,HLAA,84395928,31,8,SHS,1
10007B,Flow B-cell Auto XM3,B,HLAA,50795911,0,8,SHS,1
10007B,Flow B-cell Auto XM3,B,HLAA,50795928,0,8,SHS,1
10007B,Flow B-cell Auto XM3,B,HLAA,52295911,25,8,SHS,1
10007B,Flow B-cell Auto XM3,B,HLAA,52295928,25,8,SHS,1
10007B,Flow B-cell Auto XM3,B,HLAA,82395911,27,8,SHS,1
10007B,Flow B-cell Auto XM3,B,HLAA,82395928,27,8,SHS,1
10007B,Flow B-cell Auto XM3,B,HLAA,66695911,28,8,SHS,1
10007B,Flow B-cell Auto XM3,B,HLAA,66695928,28,8,SHS,1
10007B,Flow B-cell Auto XM3,B,HLAA,81095911,29,8,SHS,1
10007B,Flow B-cell Auto XM3,B,HLAA,81095928,29,8,SHS,1
10007B,Flow B-cell Auto XM3,B,HLAA,81395911,30,8,SHS,1
10007B,Flow B-cell Auto XM3,B,HLAA,81395928,30,8,SHS,1
10007B,Flow B-cell Auto XM3,B,HLAA,84395911,31,8,SHS,1
10007B,Flow B-cell Auto XM3,B,HLAA,84395928,31,8,SHS,1
10008B,Flow B cell Auto XM,B,HLAA,50795911,0,8,SHS,1
10008B,Flow B cell Auto XM,B,HLAA,50795928,0,8,SHS,1
10008B,Flow B cell Auto XM,B,HLAA,52295911,25,8,SHS,1
10008B,Flow B cell Auto XM,B,HLAA,52295928,25,8,SHS,1
10008B,Flow B cell Auto XM,B,HLAA,82395911,27,8,SHS,1
10008B,Flow B cell Auto XM,B,HLAA,82395928,27,8,SHS,1
10008B,Flow B cell Auto XM,B,HLAA,66695911,28,8,SHS,1
10008B,Flow B cell Auto XM,B,HLAA,66695928,28,8,SHS,1
10008B,Flow B cell Auto XM,B,HLAA,81095911,29,8,SHS,1
10008B,Flow B cell Auto XM,B,HLAA,81095928,29,8,SHS,1
10008B,Flow B cell Auto XM,B,HLAA,81395911,30,8,SHS,1
10008B,Flow B cell Auto XM,B,HLAA,81395928,30,8,SHS,1
10008B,Flow B cell Auto XM,B,HLAA,84395911,31,8,SHS,1
10008B,Flow B cell Auto XM,B,HLAA,84395928,31,8,SHS,1
10009B,Flow T-cell Auto XM1,B,HLAA,50795895,0,8,SHS,1
10009B,Flow T-cell Auto XM1,B,HLAA,50795902,0,8,SHS,1
10009B,Flow T-cell Auto XM1,B,HLAA,52295895,25,8,SHS,1
10009B,Flow T-cell Auto XM1,B,HLAA,52295902,25,8,SHS,1
10009B,Flow T-cell Auto XM1,B,HLAA,82395895,27,8,SHS,1
10009B,Flow T-cell Auto XM1,B,HLAA,82395902,27,8,SHS,1
10009B,Flow T-cell Auto XM1,B,HLAA,66695895,28,8,SHS,1
10009B,Flow T-cell Auto XM1,B,HLAA,66695902,28,8,SHS,1
10009B,Flow T-cell Auto XM1,B,HLAA,81095895,29,8,SHS,1
10009B,Flow T-cell Auto XM1,B,HLAA,81095902,29,8,SHS,1
10009B,Flow T-cell Auto XM1,B,HLAA,81395895,30,8,SHS,1
10009B,Flow T-cell Auto XM1,B,HLAA,81395902,30,8,SHS,1
10009B,Flow T-cell Auto XM1,B,HLAA,84395895,31,8,SHS,1
10009B,Flow T-cell Auto XM1,B,HLAA,84395902,31,8,SHS,1
10010B,Flow T-cell Auto XM2,B,HLAA,50795895,0,8,SHS,1
10010B,Flow T-cell Auto XM2,B,HLAA,50795902,0,8,SHS,1
10010B,Flow T-cell Auto XM2,B,HLAA,52295895,25,8,SHS,1
10010B,Flow T-cell Auto XM2,B,HLAA,52295902,25,8,SHS,1
10010B,Flow T-cell Auto XM2,B,HLAA,82395895,27,8,SHS,1
10010B,Flow T-cell Auto XM2,B,HLAA,82395902,27,8,SHS,1
10010B,Flow T-cell Auto XM2,B,HLAA,66695895,28,8,SHS,1
10010B,Flow T-cell Auto XM2,B,HLAA,66695902,28,8,SHS,1
10010B,Flow T-cell Auto XM2,B,HLAA,81095895,29,8,SHS,1
10010B,Flow T-cell Auto XM2,B,HLAA,81095902,29,8,SHS,1
10010B,Flow T-cell Auto XM2,B,HLAA,81395895,30,8,SHS,1
10010B,Flow T-cell Auto XM2,B,HLAA,81395902,30,8,SHS,1
10010B,Flow T-cell Auto XM2,B,HLAA,84395895,31,8,SHS,1
10010B,Flow T-cell Auto XM2,B,HLAA,84395902,31,8,SHS,1
10011B,Flow T-cell Auto XM3,B,HLAA,50795895,0,8,SHS,1
10011B,Flow T-cell Auto XM3,B,HLAA,50795902,0,8,SHS,1
10011B,Flow T-cell Auto XM3,B,HLAA,52295895,25,8,SHS,1
10011B,Flow T-cell Auto XM3,B,HLAA,52295902,25,8,SHS,1
10011B,Flow T-cell Auto XM3,B,HLAA,82395895,27,8,SHS,1
10011B,Flow T-cell Auto XM3,B,HLAA,82395902,27,8,SHS,1
10011B,Flow T-cell Auto XM3,B,HLAA,66695895,28,8,SHS,1
10011B,Flow T-cell Auto XM3,B,HLAA,66695902,28,8,SHS,1
10011B,Flow T-cell Auto XM3,B,HLAA,81095895,29,8,SHS,1
10011B,Flow T-cell Auto XM3,B,HLAA,81095902,29,8,SHS,1
10011B,Flow T-cell Auto XM3,B,HLAA,81395895,30,8,SHS,1
10011B,Flow T-cell Auto XM3,B,HLAA,81395902,30,8,SHS,1
10011B,Flow T-cell Auto XM3,B,HLAA,84395895,31,8,SHS,1
10011B,Flow T-cell Auto XM3,B,HLAA,84395902,31,8,SHS,1
10012B,Flow T cell Auto XM,B,SQ,50792167,0,8,SHS,1
10012B,Flow T cell Auto XM,B,SQ,50792175,0,8,SHS,1
10012B,Flow T cell Auto XM,B,SQ,50792183,0,8,SHS,2
10012B,Flow T cell Auto XM,B,SQ,50792191,0,8,SHS,1
10012B,Flow T cell Auto XM,B,SQ,52292166,25,8,SHS,1
10012B,Flow T cell Auto XM,B,SQ,52292174,25,8,SHS,1
10012B,Flow T cell Auto XM,B,SQ,52292182,25,8,SHS,2
10012B,Flow T cell Auto XM,B,SQ,52292190,25,8,SHS,1
10012B,Flow T cell Auto XM,B,SQ,66692161,28,8,SHS,1
10012B,Flow T cell Auto XM,B,SQ,66692179,28,8,SHS,1
10012B,Flow T cell Auto XM,B,SQ,66692187,28,8,SHS,1
10012B,Flow T cell Auto XM,B,SQ,66692195,28,8,SHS,1
10013B,Flow B-cell XM1Flow B-cell XM2,B,HLAA,50795936,0,8,SHS,1
10013B,Flow B-cell XM1Flow B-cell XM2,B,HLAA,50795944,0,8,SHS,1
10013B,Flow B-cell XM1Flow B-cell XM2,B,HLAA,52295936,25,8,SHS,1
10013B,Flow B-cell XM1Flow B-cell XM2,B,HLAA,52295944,25,8,SHS,1
10013B,Flow B-cell XM1Flow B-cell XM2,B,HLAA,82395936,27,8,SHS,1
10013B,Flow B-cell XM1Flow B-cell XM2,B,HLAA,82395944,27,8,SHS,1
10013B,Flow B-cell XM1Flow B-cell XM2,B,HLAA,66695936,28,8,SHS,1
10013B,Flow B-cell XM1Flow B-cell XM2,B,HLAA,66695944,28,8,SHS,1
10013B,Flow B-cell XM1Flow B-cell XM2,B,HLAA,81095936,29,8,SHS,1
10013B,Flow B-cell XM1Flow B-cell XM2,B,HLAA,81095944,29,8,SHS,1
10013B,Flow B-cell XM1Flow B-cell XM2,B,HLAA,81395936,30,8,SHS,1
10013B,Flow B-cell XM1Flow B-cell XM2,B,HLAA,81395944,30,8,SHS,1
10013B,Flow B-cell XM1Flow B-cell XM2,B,HLAA,84395936,31,8,SHS,1
10013B,Flow B-cell XM1Flow B-cell XM2,B,HLAA,84395944,31,8,SHS,1
10014B,Flow B-cell XM2,B,HLAA,50795936,0,8,SHS,1
10014B,Flow B-cell XM2,B,HLAA,50795944,0,8,SHS,1
10014B,Flow B-cell XM2,B,HLAA,52295936,25,8,SHS,1
10014B,Flow B-cell XM2,B,HLAA,52295944,25,8,SHS,1
10014B,Flow B-cell XM2,B,HLAA,82395936,27,8,SHS,1
10014B,Flow B-cell XM2,B,HLAA,82395944,27,8,SHS,1
10014B,Flow B-cell XM2,B,HLAA,66695936,28,8,SHS,1
10014B,Flow B-cell XM2,B,HLAA,66695944,28,8,SHS,1
10014B,Flow B-cell XM2,B,HLAA,81095936,29,8,SHS,1
10014B,Flow B-cell XM2,B,HLAA,81095944,29,8,SHS,1
10014B,Flow B-cell XM2,B,HLAA,81395936,30,8,SHS,1
10014B,Flow B-cell XM2,B,HLAA,81395944,30,8,SHS,1
10014B,Flow B-cell XM2,B,HLAA,84395936,31,8,SHS,1
10014B,Flow B-cell XM2,B,HLAA,84395944,31,8,SHS,1
10015B,Flow B-cell XM3,B,HLAA,50795936,0,8,SHS,1
10015B,Flow B-cell XM3,B,HLAA,50795944,0,8,SHS,1
10015B,Flow B-cell XM3,B,HLAA,52295936,25,8,SHS,1
10015B,Flow B-cell XM3,B,HLAA,52295944,25,8,SHS,1
10015B,Flow B-cell XM3,B,HLAA,82395936,27,8,SHS,1
10015B,Flow B-cell XM3,B,HLAA,82395944,27,8,SHS,1
10015B,Flow B-cell XM3,B,HLAA,66695936,28,8,SHS,1
10015B,Flow B-cell XM3,B,HLAA,66695944,28,8,SHS,1
10015B,Flow B-cell XM3,B,HLAA,81095936,29,8,SHS,1
10015B,Flow B-cell XM3,B,HLAA,81095944,29,8,SHS,1
10015B,Flow B-cell XM3,B,HLAA,81395936,30,8,SHS,1
10015B,Flow B-cell XM3,B,HLAA,81395944,30,8,SHS,1
10015B,Flow B-cell XM3,B,HLAA,84395936,31,8,SHS,1
10015B,Flow B-cell XM3,B,HLAA,84395944,31,8,SHS,1
10016B,Flow B cell XMFlow T-cell XM1,B,SQ,50792282,0,8,SHS,1
10016B,Flow B cell XMFlow T-cell XM1,B,SQ,50792290,0,8,SHS,1
10016B,Flow B cell XMFlow T-cell XM1,B,SQ,50792308,0,8,SHS,2
10016B,Flow B cell XMFlow T-cell XM1,B,SQ,50792316,0,8,SHS,1
10016B,Flow B cell XMFlow T-cell XM1,B,SQ,52292281,25,8,SHS,1
10016B,Flow B cell XMFlow T-cell XM1,B,SQ,52292299,25,8,SHS,1
10016B,Flow B cell XMFlow T-cell XM1,B,SQ,52292307,25,8,SHS,2
10016B,Flow B cell XMFlow T-cell XM1,B,SQ,52292315,25,8,SHS,1
10016B,Flow B cell XMFlow T-cell XM1,B,SQ,66692286,28,8,SHS,1
10016B,Flow B cell XMFlow T-cell XM1,B,SQ,66692294,28,8,SHS,1
10016B,Flow B cell XMFlow T-cell XM1,B,SQ,66692302,28,8,SHS,2
10016B,Flow B cell XMFlow T-cell XM1,B,SQ,66692310,28,8,SHS,1
10017B,Flow T-cell XM1Flow T-cell XM2,B,HLAA,50795721,0,8,SHS,1
10017B,Flow T-cell XM1Flow T-cell XM2,B,HLAA,50795738,0,8,SHS,1
10017B,Flow T-cell XM1Flow T-cell XM2,B,HLAA,52295721,25,8,SHS,1
10017B,Flow T-cell XM1Flow T-cell XM2,B,HLAA,52295738,25,8,SHS,1
10017B,Flow T-cell XM1Flow T-cell XM2,B,HLAA,82395721,27,8,SHS,1
10017B,Flow T-cell XM1Flow T-cell XM2,B,HLAA,82395738,27,8,SHS,1
10017B,Flow T-cell XM1Flow T-cell XM2,B,HLAA,66695721,28,8,SHS,1
10017B,Flow T-cell XM1Flow T-cell XM2,B,HLAA,66695738,28,8,SHS,1
10017B,Flow T-cell XM1Flow T-cell XM2,B,HLAA,81095721,29,8,SHS,1
10017B,Flow T-cell XM1Flow T-cell XM2,B,HLAA,81095738,29,8,SHS,1
10017B,Flow T-cell XM1Flow T-cell XM2,B,HLAA,81395721,30,8,SHS,1
10017B,Flow T-cell XM1Flow T-cell XM2,B,HLAA,81395738,30,8,SHS,1
10017B,Flow T-cell XM1Flow T-cell XM2,B,HLAA,84395721,31,8,SHS,1
10017B,Flow T-cell XM1Flow T-cell XM2,B,HLAA,84395738,31,8,SHS,1
10018B,Flow T-cell XM2,B,HLAA,50795721,0,8,SHS,1
10018B,Flow T-cell XM2,B,HLAA,50795738,0,8,SHS,1
10018B,Flow T-cell XM2,B,HLAA,52295721,25,8,SHS,1
10018B,Flow T-cell XM2,B,HLAA,52295738,25,8,SHS,1
10018B,Flow T-cell XM2,B,HLAA,82395721,27,8,SHS,1
10018B,Flow T-cell XM2,B,HLAA,82395738,27,8,SHS,1
10018B,Flow T-cell XM2,B,HLAA,66695721,28,8,SHS,1
10018B,Flow T-cell XM2,B,HLAA,66695738,28,8,SHS,1
10018B,Flow T-cell XM2,B,HLAA,81095721,29,8,SHS,1
10018B,Flow T-cell XM2,B,HLAA,81095738,29,8,SHS,1
10018B,Flow T-cell XM2,B,HLAA,81395721,30,8,SHS,1
10018B,Flow T-cell XM2,B,HLAA,81395738,30,8,SHS,1
10018B,Flow T-cell XM2,B,HLAA,84395721,31,8,SHS,1
10018B,Flow T-cell XM2,B,HLAA,84395738,31,8,SHS,1
10019B,Flow T-cell XM3,B,HLAA,50795721,0,8,SHS,1
10019B,Flow T-cell XM3,B,HLAA,50795738,0,8,SHS,1
10019B,Flow T-cell XM3,B,HLAA,52295721,25,8,SHS,1
10019B,Flow T-cell XM3,B,HLAA,52295738,25,8,SHS,1
10019B,Flow T-cell XM3,B,HLAA,82395721,27,8,SHS,1
10019B,Flow T-cell XM3,B,HLAA,82395738,27,8,SHS,1
10019B,Flow T-cell XM3,B,HLAA,66695721,28,8,SHS,1
10019B,Flow T-cell XM3,B,HLAA,66695738,28,8,SHS,1
10019B,Flow T-cell XM3,B,HLAA,81095721,29,8,SHS,1
10019B,Flow T-cell XM3,B,HLAA,81095738,29,8,SHS,1
10019B,Flow T-cell XM3,B,HLAA,81395721,30,8,SHS,1
10019B,Flow T-cell XM3,B,HLAA,81395738,30,8,SHS,1
10019B,Flow T-cell XM3,B,HLAA,84395721,31,8,SHS,1
10019B,Flow T-cell XM3,B,HLAA,84395738,31,8,SHS,1
10020B,Flow T cell XM,B,SQ,50792241,0,8,SHS,1
10020B,Flow T cell XM,B,SQ,50792258,0,8,SHS,1
10020B,Flow T cell XM,B,SQ,50792266,0,8,SHS,2
10020B,Flow T cell XM,B,SQ,50792274,0,8,SHS,1
10020B,Flow T cell XM,B,SQ,52292240,25,8,SHS,1
10020B,Flow T cell XM,B,SQ,52292257,25,8,SHS,1
10020B,Flow T cell XM,B,SQ,52292265,25,8,SHS,2
10020B,Flow T cell XM,B,SQ,52292273,25,8,SHS,1
10021B,Adsorbtion1,B,HLAA,50791235,0,8,SHS,1
10021B,Adsorbtion1,B,HLAA,52291234,25,8,SHS,1
10021B,Adsorbtion1,B,HLAA,82391236,27,8,SHS,1
10021B,Adsorbtion1,B,HLAA,66691239,28,8,SHS,1
10021B,Adsorbtion1,B,HLAA,81091233,29,8,SHS,1
10021B,Adsorbtion1,B,HLAA,81391237,30,8,SHS,1
10021B,Adsorbtion1,B,HLAA,84391234,31,8,SHS,1
10022B,Adsorbtion2,B,HLAA,50791235,0,8,SHS,1
10022B,Adsorbtion2,B,HLAA,52291234,25,8,SHS,1
10022B,Adsorbtion2,B,HLAA,82391236,27,8,SHS,1
10022B,Adsorbtion2,B,HLAA,66691239,28,8,SHS,1
10022B,Adsorbtion2,B,HLAA,81091233,29,8,SHS,1
10022B,Adsorbtion2,B,HLAA,81391237,30,8,SHS,1
10022B,Adsorbtion2,B,HLAA,84391234,31,8,SHS,1
10023B,Adsorbtion3,B,HLAA,50791235,0,8,SHS,1
10023B,Adsorbtion3,B,HLAA,52291234,25,8,SHS,1
10023B,Adsorbtion3,B,HLAA,82391236,27,8,SHS,1
10023B,Adsorbtion3,B,HLAA,66691239,28,8,SHS,1
10023B,Adsorbtion3,B,HLAA,81091233,29,8,SHS,1
10023B,Adsorbtion3,B,HLAA,81391237,30,8,SHS,1
10023B,Adsorbtion3,B,HLAA,84391234,31,8,SHS,1
10024B,Adsorbtion4,B,HLAA,50791235,0,8,SHS,1
10024B,Adsorbtion4,B,HLAA,52291234,25,8,SHS,1
10024B,Adsorbtion4,B,HLAA,82391236,27,8,SHS,1
10024B,Adsorbtion4,B,HLAA,66691239,28,8,SHS,1
10024B,Adsorbtion4,B,HLAA,81091233,29,8,SHS,1
10024B,Adsorbtion4,B,HLAA,81391237,30,8,SHS,1
10024B,Adsorbtion4,B,HLAA,84391234,31,8,SHS,1
10025B,DNA Extraction3,B,HLAA,50794304,0,8,SHS,1
10025B,DNA Extraction3,B,HLAA,52294303,25,8,SHS,1
10025B,DNA Extraction3,B,HLAA,82394305,27,8,SHS,1
10025B,DNA Extraction3,B,HLAA,66694308,28,8,SHS,1
10025B,DNA Extraction3,B,HLAA,81094302,29,8,SHS,1
10025B,DNA Extraction3,B,HLAA,81394306,30,8,SHS,1
10025B,DNA Extraction3,B,HLAA,84394303,31,8,SHS,1
10026B,DNA Extraction4,B,HLAA,50794304,0,8,SHS,1
10026B,DNA Extraction4,B,HLAA,52294303,25,8,SHS,1
10026B,DNA Extraction4,B,HLAA,82394305,27,8,SHS,1
10026B,DNA Extraction4,B,HLAA,66694308,28,8,SHS,1
10026B,DNA Extraction4,B,HLAA,81094302,29,8,SHS,1
10026B,DNA Extraction4,B,HLAA,81394306,30,8,SHS,1
10026B,DNA Extraction4,B,HLAA,84394303,31,8,SHS,1
10027B,Cell Isolation1,B,HLAA,50790948,0,8,SHS,1
10027B,Cell Isolation1,B,HLAA,52290947,25,8,SHS,1
10027B,Cell Isolation1,B,HLAA,82390949,27,8,SHS,1
10027B,Cell Isolation1,B,HLAA,66690942,28,8,SHS,1
10027B,Cell Isolation1,B,HLAA,81090946,29,8,SHS,1
10027B,Cell Isolation1,B,HLAA,81390940,30,8,SHS,1
10027B,Cell Isolation1,B,HLAA,84390947,31,8,SHS,1
10028B,Cell Isolation2Cell Isolation3,B,HLAA,50790948,0,8,SHS,1
10028B,Cell Isolation2Cell Isolation3,B,HLAA,52290947,25,8,SHS,1
10028B,Cell Isolation2Cell Isolation3,B,HLAA,82390949,27,8,SHS,1
10028B,Cell Isolation2Cell Isolation3,B,HLAA,66690942,28,8,SHS,1
10028B,Cell Isolation2Cell Isolation3,B,HLAA,81090946,29,8,SHS,1
10028B,Cell Isolation2Cell Isolation3,B,HLAA,81390940,30,8,SHS,1
10028B,Cell Isolation2Cell Isolation3,B,HLAA,84390947,31,8,SHS,1
10029B,Cell Isolation3,B,HLAA,50790948,0,8,SHS,1
10029B,Cell Isolation3,B,HLAA,52290947,25,8,SHS,1
10029B,Cell Isolation3,B,HLAA,82390949,27,8,SHS,1
10029B,Cell Isolation3,B,HLAA,66690942,28,8,SHS,1
10029B,Cell Isolation3,B,HLAA,81090946,29,8,SHS,1
10029B,Cell Isolation3,B,HLAA,81390940,30,8,SHS,1
10029B,Cell Isolation3,B,HLAA,84390947,31,8,SHS,1
10030B,Cell Isolation4,B,HLAA,50790948,0,8,SHS,1
10030B,Cell Isolation4,B,HLAA,52290947,25,8,SHS,1
10030B,Cell Isolation4,B,HLAA,82390949,27,8,SHS,1
10030B,Cell Isolation4,B,HLAA,66690942,28,8,SHS,1
10030B,Cell Isolation4,B,HLAA,81090946,29,8,SHS,1
10030B,Cell Isolation4,B,HLAA,81390940,30,8,SHS,1
10030B,Cell Isolation4,B,HLAA,84390947,31,8,SHS,1
10031B,Serum Aliquot & Storage1,B,HLAA,50791227,0,8,SHS,1
10031B,Serum Aliquot & Storage1,B,HLAA,52291226,25,8,SHS,1
10031B,Serum Aliquot & Storage1,B,HLAA,82391228,27,8,SHS,1
10031B,Serum Aliquot & Storage1,B,HLAA,66691221,28,8,SHS,1
10031B,Serum Aliquot & Storage1,B,HLAA,81091225,29,8,SHS,1
10031B,Serum Aliquot & Storage1,B,HLAA,81391229,30,8,SHS,1
10031B,Serum Aliquot & Storage1,B,HLAA,84391226,31,8,SHS,1
10032B,Serum Aliquot & Storage2,B,HLAA,50791227,0,8,SHS,1
10032B,Serum Aliquot & Storage2,B,HLAA,52291226,25,8,SHS,1
10032B,Serum Aliquot & Storage2,B,HLAA,82391228,27,8,SHS,1
10032B,Serum Aliquot & Storage2,B,HLAA,66691221,28,8,SHS,1
10032B,Serum Aliquot & Storage2,B,HLAA,81091225,29,8,SHS,1
10032B,Serum Aliquot & Storage2,B,HLAA,81391229,30,8,SHS,1
10032B,Serum Aliquot & Storage2,B,HLAA,84391226,31,8,SHS,1
10033B,Serum Aliquot & Storage3,B,HLAA,50791227,0,8,SHS,1
10033B,Serum Aliquot & Storage3,B,HLAA,52291226,25,8,SHS,1
10033B,Serum Aliquot & Storage3,B,HLAA,82391228,27,8,SHS,1
10033B,Serum Aliquot & Storage3,B,HLAA,66691221,28,8,SHS,1
10033B,Serum Aliquot & Storage3,B,HLAA,81091225,29,8,SHS,1
10033B,Serum Aliquot & Storage3,B,HLAA,81391229,30,8,SHS,1
10033B,Serum Aliquot & Storage3,B,HLAA,84391226,31,8,SHS,1
10034B,Serum Aliquot & Storage4,B,HLAA,50791227,0,8,SHS,1
10034B,Serum Aliquot & Storage4,B,HLAA,52291226,25,8,SHS,1
10034B,Serum Aliquot & Storage4,B,HLAA,82391228,27,8,SHS,1
10034B,Serum Aliquot & Storage4,B,HLAA,66691221,28,8,SHS,1
10034B,Serum Aliquot & Storage4,B,HLAA,81091225,29,8,SHS,1
