clinical_item_id,name,description,count,order_code_description,min_price,max_price,mean_price,median_price,min_volume_charge,max_volume_charge,mean_volume_charge,median_volume_charge
45873,LABUAPRN,"URINALYSIS, SCREEN FOR CULTURE",48149,"URINALYSIS, SCR. FOR CULTURE",196.0,196.0,196.0,196.0,9437204.0,9437204.0,9437204.0,9437204.0
45880,LABUAS,URINALYSIS MACROSCOPIC ONLY,6282,"UA, MACROSCOPIC ONLY",108.0,108.0,108.0,108.0,678456.0,678456.0,678456.0,678456.0
45887,LABCAI,"CALCIUM IONIZED, SERUM/PLASMA",57581,"CALCIUM, IONIZED",399.0,399.0,399.0,399.0,22974819.0,22974819.0,22974819.0,22974819.0
45888,LABPCEC4V,"ISTAT EC4, VENOUS",3407,"ISTAT EC4, VENOUS",159.0,219.0,199.75,210.5,541713.0,746133.0,680548.25,717173.5
45891,LABHCTX,HEMATOCRIT,23091,HEMATOCRIT,217.0,217.0,217.0,217.0,5010747.0,5010747.0,5010747.0,5010747.0
45892,LABMB,"CK, MB (MASS)",33082,CK-MB,446.0,446.0,446.0,446.0,14754572.0,14754572.0,14754572.0,14754572.0
45894,LABLIPS,LIPASE,23571,Lipase,213.0,213.0,213.0,213.0,5020623.0,5020623.0,5020623.0,5020623.0
45895,LABCK,"CREATINE KINASE, TOTAL",16496,"CK, Total",254.0,254.0,254.0,254.0,4189984.0,4189984.0,4189984.0,4189984.0
45901,LABBLC2,BLOOD CULTURE (2 AEROBIC BOTTLES),53776,Blood Culture.,499.0,499.0,499.0,499.0,26834224.0,26834224.0,26834224.0,26834224.0
45902,LABAFP,"ALPHA FETOPROTEIN, SERUM",1486,Alpha Feto-Protein,280.0,280.0,280.0,280.0,416080.0,416080.0,416080.0,416080.0
45903,LABLDH,"LDH TOTAL, SERUM / PLASMA",18106,"LDH, Total, Ser/Plas",193.0,193.0,193.0,193.0,3494458.0,3494458.0,3494458.0,3494458.0
45908,LABTRFS,TRANSFERRIN SATURATION,7398,TRANSFERRIN SATURATION,165.0,420.0,292.5,292.5,1220670.0,3107160.0,2163915.0,2163915.0
45909,LABASI,AB SCREEN (ASI),5916,Antibody Screen,325.0,325.0,325.0,325.0,1922700.0,1922700.0,1922700.0,1922700.0
62204,LABASI,AB SCREEN (ASI),151,Antibody Screen,325.0,325.0,325.0,325.0,49075.0,49075.0,49075.0,49075.0
45910,LABHFP,HEPATIC FUNCTION PANEL A,34361,HEPATIC FUNCTION PANEL A,342.0,342.0,342.0,342.0,11751462.0,11751462.0,11751462.0,11751462.0
45918,LABLAC,LACTIC ACID,45157,Lactic Acid,330.0,330.0,330.0,330.0,14901810.0,14901810.0,14901810.0,14901810.0
45919,LABVBG,"BLOOD GASES, VENOUS",27479,"BLOOD GASES, VENOUS",1161.0,1161.0,1161.0,1161.0,31903119.0,31903119.0,31903119.0,31903119.0
45922,LABFER,FERRITIN,8460,Ferritin,375.0,375.0,375.0,375.0,3172500.0,3172500.0,3172500.0,3172500.0
45929,LABFT4,"T4, FREE",11029,Free T4,246.0,246.0,246.0,246.0,2713134.0,2713134.0,2713134.0,2713134.0
45932,LABAHP2,ACUTE HEPATITIS PANEL,1430,ACUTE HEPATITIS PANEL,929.0,929.0,929.0,929.0,1328470.0,1328470.0,1328470.0,1328470.0
45933,LABUUN,"UREA WITH CREATININE, URINE (RANDOM)",1933,"UREA, UR (RANDOM) W/CREAT",93.0,93.0,93.0,93.0,179769.0,179769.0,179769.0,179769.0
45935,LABLPD,LIPID PANEL,1639,LIPID PANEL W/ DIRECT LDL,634.0,634.0,634.0,634.0,1039126.0,1039126.0,1039126.0,1039126.0
61837,LABLPD,LIPID PANEL WITH DIRECT LDL,8972,LIPID PANEL W/ DIRECT LDL,634.0,634.0,634.0,634.0,5688248.0,5688248.0,5688248.0,5688248.0
45938,LABWDC,WOUND CULTURE,3846,Wound Culture,302.0,302.0,302.0,302.0,1161492.0,1161492.0,1161492.0,1161492.0
45942,LABPCINR,ISTAT INR AND PROTIME,3007,"PT & INR, ISTAT",190.0,190.0,190.0,190.0,571330.0,571330.0,571330.0,571330.0
45945,LABTYPSNI,TYPE AND SCREEN,69707,TYPE AND SCREEN,325.0,325.0,325.0,325.0,22654775.0,22654775.0,22654775.0,22654775.0
45948,LABHELAG,"HELICOBACTER PYLORI AG, STOOL",1305,"Helicob. Ag, Stool",376.0,376.0,376.0,376.0,490680.0,490680.0,490680.0,490680.0
45953,LABHIVAB,HIV (TYPE 1 AND TYPE 2) ABY,703,HIV (TYPE 1 AND TYPE 2) ABY,38.0,280.0,159.0,159.0,26714.0,196840.0,111777.0,111777.0
45958,LABDATBSI,DIRECT COOMBS BROAD SPECTRUM,2001,DIRECT COOMBS - BROAD SPECTRUM,133.0,133.0,133.0,133.0,266133.0,266133.0,266133.0,266133.0
45962,LABHAV,HEPATITIS A IGM AB,2,Hepatitis A Ab-IgM:,268.0,268.0,268.0,268.0,536.0,536.0,536.0,536.0
45966,LABCBCS,CBC WITH DIFF AND SLIDE REVIEW,7800,CBC W/ DIFF & SLIDE REVIEW,116.0,300.0,208.0,208.0,904800.0,2340000.0,1622400.0,1622400.0
45968,LABCMVM,CMV IGM,236,CMV IgM AB:,314.0,314.0,314.0,314.0,74104.0,74104.0,74104.0,74104.0
62017,LABCMVM,CMV AB IGM,585,CMV IgM AB:,314.0,314.0,314.0,314.0,183690.0,183690.0,183690.0,183690.0
45972,LABVANPRL,VANCOMYCIN TROUGH LEVEL,46641,"VANCOMYCIN, TROUGH",263.0,263.0,263.0,263.0,12266583.0,12266583.0,12266583.0,12266583.0
45976,LABUEOS,"EOSINOPHILS, URINE",2540,"Eosinophils, Urine",174.0,174.0,174.0,174.0,441960.0,441960.0,441960.0,441960.0
45978,LABCORT,"CORTISOL, SERUM",5682,"Cortisol, Serum",374.0,374.0,374.0,374.0,2125068.0,2125068.0,2125068.0,2125068.0
45980,LABSPIE,"PROTEIN IMMUNOFIX ELECTROPHORESIS, SERUM",1769,SERUM PROTEIN IMMUNOFIX ELECT.,497.0,497.0,497.0,497.0,879193.0,879193.0,879193.0,879193.0
45981,LABVP3,COMPREHENSIVE HEPATITIS PANEL,905,COMP HEPATITIS PANEL,1030.0,1030.0,1030.0,1030.0,932150.0,932150.0,932150.0,932150.0
45982,LABFHVIG,"HIV 1 IGG-AB, WESTERN BLOT CONFIRM",107,"HIV 1 AB, WESTERN BLOT CONFIRMATION",102.0,102.0,102.0,102.0,10914.0,10914.0,10914.0,10914.0
62322,LABFHVIG,"HIV-1 AB, WESTERN BLOT",115,"HIV 1 AB, WESTERN BLOT CONFIRMATION",102.0,102.0,102.0,102.0,11730.0,11730.0,11730.0,11730.0
45989,LABANER2,"ANAEROBIC CULTURE, SHORT BATTERY",3212,Anaerobic-Short Batt,165.0,165.0,165.0,165.0,529980.0,529980.0,529980.0,529980.0
45995,LABURIC,"URIC ACID, SERUM / PLASMA",7845,"Uric Acid, Ser/Plas",135.0,135.0,135.0,135.0,1059075.0,1059075.0,1059075.0,1059075.0
45997,LABTTM,TRANSPLANT THERAPY MONITORING,49,TRANSPLANT THERAPY MONITORING,538.0,575.0,557.75,559.0,26362.0,28175.0,27329.75,27391.0
45999,LABANTIXA,ANTI XA / LMWH,385,LMWH Activity by AntiXA,466.0,466.0,466.0,466.0,179410.0,179410.0,179410.0,179410.0
62124,LABANTIXA,"LMW HEPARIN, ANTIXA U/ML",245,LMWH Activity by AntiXA,466.0,466.0,466.0,466.0,114170.0,114170.0,114170.0,114170.0
63731,LABANTIXA,LMWH ACTIVITY BY ANTIXA,487,LMWH Activity by AntiXA,466.0,466.0,466.0,466.0,226942.0,226942.0,226942.0,226942.0
46001,LABHB,HEPATITIS B SURFACE AG,2,Hepatitis B Surf Ag:,38.0,220.0,129.0,129.0,76.0,440.0,258.0,258.0
46002,LABHSVGM,HSV 1/2 IGM&TYPE-SPECIFIC IGG,334,HSV 1/2 IGM&TYPE-SPECIFIC IGG,29.0,43.0,34.6666666667,32.0,9686.0,14362.0,11578.6666667,10688.0
46006,LABGRAM,GRAM STAIN,17608,Gram Stain,150.0,150.0,150.0,150.0,2641200.0,2641200.0,2641200.0,2641200.0
46011,LABLPDC,LIPID PANEL WITH CALCULATED LDL,3014,LIPID PANEL W/ CALCULATED LDL,415.0,415.0,415.0,415.0,1250810.0,1250810.0,1250810.0,1250810.0
46012,LABCYLX,IMMUNE FUNCTION TEST,67,IMMUNE FUNCTION TEST,102.0,102.0,102.0,102.0,6834.0,6834.0,6834.0,6834.0
46019,LABFE,"IRON, TOTAL",6218,"Iron, Total",165.0,165.0,165.0,165.0,1025970.0,1025970.0,1025970.0,1025970.0
46020,LABPCCG4V,"ISTAT CG4,VENOUS",15169,"ISTAT CG4, VENOUS",330.0,815.0,572.5,572.5,5005770.0,12362735.0,8684252.5,8684252.5
46024,LABB12,VITAMIN B12,8601,Vitamin B12,281.0,281.0,281.0,281.0,2416881.0,2416881.0,2416881.0,2416881.0
46026,LABRPRQT,RPR QUANTITATIVE,752,"RPR, QUANTITATIVE",117.0,117.0,117.0,117.0,87984.0,87984.0,87984.0,87984.0
46028,LABFIB,FIBRINOGEN,8733,FIBRINOGEN,285.0,285.0,285.0,285.0,2488905.0,2488905.0,2488905.0,2488905.0
46033,LABFKOH,FUNGAL CULTURE AND KOH,4008,Fungus Cult/KOH,270.0,309.0,289.5,289.5,1082160.0,1238472.0,1160316.0,1160316.0
46040,LABFMYAB,MYCOPLASMA IGG/IGM AB,218,MYCOPLASMA IGG&IGM AB,52.0,52.0,52.0,52.0,11336.0,11336.0,11336.0,11336.0
46042,LABSTREP,BETA STREP THROAT SCREEN RAPID EIA,351,Beta Strep Throat Scn,239.0,239.0,239.0,239.0,83889.0,83889.0,83889.0,83889.0
46043,LABBPERP,BORDETELLA PERTUSSIS PCR,116,Bord. Pertussis PCR,388.0,388.0,388.0,388.0,45008.0,45008.0,45008.0,45008.0
46044,LABCRP,C - REACTIVE PROTEIN,13123,C-Reactive Protein,179.0,179.0,179.0,179.0,2349017.0,2349017.0,2349017.0,2349017.0
46046,LABRETIC,RETICULOCYTE COUNT AUTOMATED,6223,"RETICULOCYTE COUNT, AUTOMATED",179.0,179.0,179.0,179.0,1113917.0,1113917.0,1113917.0,1113917.0
46048,LABDBIL,"BILIRUBIN DIRECT, SERUM/PLASMA",3792,Conjugated Bilirubin,165.0,165.0,165.0,165.0,625680.0,625680.0,625680.0,625680.0
46051,LABHGBX,HEMOGLOBIN,2389,HEMOGLOBIN,48.0,48.0,48.0,48.0,114672.0,114672.0,114672.0,114672.0
46054,LABVPAL,VALPROIC ACID,2189,VALPROIC ACID,391.0,391.0,391.0,391.0,855899.0,855899.0,855899.0,855899.0
46060,LABSTLC,STOOL CULTURE,2227,Stool Culture,227.0,384.0,305.5,305.5,505529.0,855168.0,680348.5,680348.5
46066,LABHCPQ,HEPATITIS C RNA PCR QUANTITATIVE,910,Hep C PCR Quant                          NONORDERABLE,874.0,874.0,874.0,874.0,795340.0,795340.0,795340.0,795340.0
46069,LABTES,TESTOSTERONE,451,Testosterone,290.0,290.0,290.0,290.0,130790.0,130790.0,130790.0,130790.0
46071,LABPCG3O,"ISTAT G3+, OTHER",3596,"ISTAT G3+, OTHER",815.0,815.0,815.0,815.0,2930740.0,2930740.0,2930740.0,2930740.0
46078,LABUEP,"ELECTROLYTE PANEL, URINE WITH CREATININE",6304,"ELECTROLYTE PANEL, URINE",134.0,134.0,134.0,134.0,844736.0,844736.0,844736.0,844736.0
46083,LABYUCDA,"CONFIRMED DRUG ABUSE SURVEY, URINE",1091,"CONFIRMED DRUG ABUSE SURVEY, U",12.0,12.0,12.0,12.0,13092.0,13092.0,13092.0,13092.0
46086,LABBXTG,BIOPSY / TISSUE CULTURE AND GRAM STAIN,4689,BIOPSY/TISSUE with GRAM STAIN,150.0,302.0,211.333333333,182.0,703350.0,1416078.0,990942.0,853398.0
65664,LABBXTG,BIOPSY/TISSUE WITH GRAM STAIN,1147,BIOPSY/TISSUE with GRAM STAIN,150.0,302.0,211.333333333,182.0,172050.0,346394.0,242399.333333,208754.0
46089,LABHGBSQ,HGB S QUANTITATIVE,73,"HGB S, QUANTITATIVE",257.0,257.0,257.0,257.0,18761.0,18761.0,18761.0,18761.0
46090,LABPLTS,PLATELET COUNT,22648,PLATELET COUNT,138.0,138.0,138.0,138.0,3125424.0,3125424.0,3125424.0,3125424.0
46092,LABCRCL,"CREATININE CLEARANCE, URINE",940,CREATININE CLEARANCE,256.0,256.0,256.0,256.0,240640.0,240640.0,240640.0,240640.0
65657,LABCRCL,CREATININE CLEARANCE,147,CREATININE CLEARANCE,256.0,256.0,256.0,256.0,37632.0,37632.0,37632.0,37632.0
46093,LABBHCG,BETA HCG,988,HCG,335.0,335.0,335.0,335.0,330980.0,330980.0,330980.0,330980.0
46095,LABUCR,"CREATININE, URINE (RANDOM)",7785,"CREATININE, URINE (RANDOM)",174.0,174.0,174.0,174.0,1354590.0,1354590.0,1354590.0,1354590.0
46098,LABPCCR,ISTAT CREATININE,9995,ISTAT CREATININE,179.0,179.0,179.0,179.0,1789105.0,1789105.0,1789105.0,1789105.0
46103,LABFCUL,FUNGAL CULTURE,14520,Fungus Culture,309.0,309.0,309.0,309.0,4486680.0,4486680.0,4486680.0,4486680.0
46104,LABBMT1,BMT PANEL 1,3953,BMT PANEL I,1854.0,1854.0,1854.0,1854.0,7328862.0,7328862.0,7328862.0,7328862.0
46105,LABGGT,GAMMA - GLUTAMYL TRANSFERASE,2925,Gamma-Glutamyl Trans (GGT),204.0,204.0,204.0,204.0,596700.0,596700.0,596700.0,596700.0
46107,LABINSLF,INSULIN FASTING,277,"Insulin, fasting",181.0,181.0,181.0,181.0,50137.0,50137.0,50137.0,50137.0
46109,LABPSA,PSA,959,PSA,342.0,342.0,342.0,342.0,327978.0,327978.0,327978.0,327978.0
46128,LABFLDC,FLUID CULTURE AND GRAM STAIN,12664,Fluid Culture/GS,150.0,302.0,226.0,226.0,1899600.0,3824528.0,2862064.0,2862064.0
46131,LABSTSS,SYPHILIS TREPONEMAL SCREEN,2328,SYPHILIS TREPONEMAL SCREEN,219.0,219.0,219.0,219.0,509832.0,509832.0,509832.0,509832.0
46132,LABCMVPQ,CMV PCR QUANTITATIVE,624,CMV PCR Quant,849.0,849.0,849.0,849.0,529776.0,529776.0,529776.0,529776.0
61853,LABCMVPQ,"CMV DNA PCR QUANT, PLASMA",3800,CMV PCR Quant,849.0,849.0,849.0,849.0,3226200.0,3226200.0,3226200.0,3226200.0
46133,LABTRIG,"TRIGLYCERIDES, SERUM / PLASMA",5096,Triglyceride,175.0,175.0,175.0,175.0,891800.0,891800.0,891800.0,891800.0
46136,LABNH3,"AMMONIA, PLASMA",6751,"Ammonia, Plasma",334.0,334.0,334.0,334.0,2254834.0,2254834.0,2254834.0,2254834.0
46137,LABCMV,CMV AB TOTAL,319,CMV Antibody,268.0,268.0,268.0,268.0,85492.0,85492.0,85492.0,85492.0
61846,LABCMV,CMV AB IGG,848,CMV Antibody,268.0,268.0,268.0,268.0,227264.0,227264.0,227264.0,227264.0
46138,LABYLAMO,LAMOTRIGINE,102,LAMOTRIGINE,12.0,12.0,12.0,12.0,1224.0,1224.0,1224.0,1224.0
46141,LABYVB1W,VITAMIN B1,78,"THIAMIN (VIT B1), WHOLE BLOOD",31.0,31.0,31.0,31.0,2418.0,2418.0,2418.0,2418.0
46147,LABEBPCRQ,EBV BY PCR QUANTITATIVE,376,EBV PCR QUANTITATIVE,650.0,650.0,650.0,650.0,244400.0,244400.0,244400.0,244400.0
61843,LABEBPCRQ,EBV PCR QUANTITATIVE,1202,EBV PCR QUANTITATIVE,650.0,650.0,650.0,650.0,781300.0,781300.0,781300.0,781300.0
46149,LABBMT2,BMT PANEL 2,3182,BMT PANEL II,856.0,856.0,856.0,856.0,2723792.0,2723792.0,2723792.0,2723792.0
46151,LABRP,RENAL FUNCTION PANEL,162,RENAL FUNCTION PANEL,170.0,170.0,170.0,170.0,27540.0,27540.0,27540.0,27540.0
46152,LABHEPC,HEPATITIS C AB EIA,2,Hepatitis C Ab,38.0,193.0,115.5,115.5,76.0,386.0,231.0,231.0
46157,LABBLCTIP,BLOOD CULT - 2ND SET VIA CATHETER,6583,BLOOD CULTURE (CATHETER),499.0,499.0,499.0,499.0,3284917.0,3284917.0,3284917.0,3284917.0
66062,LABBLCTIP,BLOOD CULT CENTRAL LINE CATHETER BY NURSE,90,BLOOD CULTURE (CATHETER),499.0,499.0,499.0,499.0,44910.0,44910.0,44910.0,44910.0
46163,LABSTORE,SPECIMEN STORAGE ONLY,161,SPECIMEN STORAGE ONLY,23.0,23.0,23.0,23.0,3703.0,3703.0,3703.0,3703.0
46171,LABYMPA,MYCOPHENOLIC ACID,268,MYCOPHENOLIC ACID                         NONORDERABLE,19.0,19.0,19.0,19.0,5092.0,5092.0,5092.0,5092.0
46173,LABDHBP,HEPATITIS B DIAGNOSTIC PANEL,1529,DIAG. HEPATITIS B PANEL,854.0,854.0,854.0,854.0,1305766.0,1305766.0,1305766.0,1305766.0
46179,LABRESP,RESPIRATORY CULTURE,21561,Respiratory Culture,302.0,302.0,302.0,302.0,6511422.0,6511422.0,6511422.0,6511422.0
46180,LABTHS,GROUP A STREP CULTURE,187,Throat Screen,165.0,165.0,165.0,165.0,30855.0,30855.0,30855.0,30855.0
46183,LABHEPAR,HEPARIN ACTIVITY LEVEL,14960,"Heparin,Unfractionated,Anti XA",466.0,466.0,466.0,466.0,6971360.0,6971360.0,6971360.0,6971360.0
63714,LABHEPAR,"HEPARIN, UNFRACTIONATED, ANTI XA",12599,"Heparin,Unfractionated,Anti XA",466.0,466.0,466.0,466.0,5871134.0,5871134.0,5871134.0,5871134.0
46190,LABXICA51,ICA 512 AB,48,ICA-512 AUTOANTIBODIES,40.0,40.0,40.0,40.0,1920.0,1920.0,1920.0,1920.0
46191,LABFHHV6,HERPES VIRUS 6 IGG AND IGM AB,27,"HERPESVIRUS 6 IgG IgM, AB",46.0,46.0,46.0,46.0,1242.0,1242.0,1242.0,1242.0
46193,LABTRFN,TRANSFERRIN,2478,TRANSFERRIN,420.0,420.0,420.0,420.0,1040760.0,1040760.0,1040760.0,1040760.0
46195,LABHBCC,HEPATITIS B CORE TOTAL AB,1,Hep B Core Total AB:,38.0,189.0,113.5,113.5,38.0,189.0,113.5,113.5
46198,LABADVDNA,"ADENOVIRUS DNA, QUALITATIVE PCR",257,"ADENOVIRUS DNA, QL PCR",142.0,142.0,142.0,142.0,36494.0,36494.0,36494.0,36494.0
46204,LABFOL,FOLIC ACID,4516,Folic Acid (Folate),274.0,274.0,274.0,274.0,1237384.0,1237384.0,1237384.0,1237384.0
46209,LABURUN,"UREA, URINE (RANDOM)",3662,"UREA, UR (RANDOM) W/O CREAT",93.0,93.0,93.0,93.0,340566.0,340566.0,340566.0,340566.0
46217,LABCA,"CALCIUM, SERUM/PLASMA",7245,"Calcium, Ser/Plas",143.0,143.0,143.0,143.0,1036035.0,1036035.0,1036035.0,1036035.0
46228,LABRPRQL,RPR QUALITATIVE,1217,"RPR, QUALITATIVE",238.0,238.0,238.0,238.0,289646.0,289646.0,289646.0,289646.0
46236,LABVOLTL,VOLATILE SCREEN,6012,VOLATILE SCREEN,399.0,399.0,399.0,399.0,2398788.0,2398788.0,2398788.0,2398788.0
46237,LABDHTLVQ,"DONOR, HTLV-I/II AB SCN",2,"DONOR, HTLV-I/II AB SCN",65.0,65.0,65.0,65.0,130.0,130.0,130.0,130.0
46250,LABYDHEA,"DEHYDROEPIANDROSTERONE, SERUM",13,DEHYDROEPIANDROSTERONE (DHEA),22.0,22.0,22.0,22.0,286.0,286.0,286.0,286.0
46268,LABYHISTS,"HISTOPLASMA AG, SERUM",578,HISTOPLASMA AG,109.0,109.0,109.0,109.0,63002.0,63002.0,63002.0,63002.0
46280,LABMMAS,METHYLMALONIC ACID,114,"Methylmalonic Acid, Serum",200.0,200.0,200.0,200.0,22800.0,22800.0,22800.0,22800.0
62130,LABMMAS,"METHYLMALONIC ACID, SERUM",394,"Methylmalonic Acid, Serum",200.0,200.0,200.0,200.0,78800.0,78800.0,78800.0,78800.0
46286,LABDIC,DIC SCREEN,10926,DIC SCREEN,167.0,438.0,264.0,240.0,1824642.0,4785588.0,2884464.0,2622240.0
46291,LABBLCSTK,"BLOOD CULT - FIRST SET, VIA PHLEBOTOMY",6424,BLOOD CULTURE (PERIPHERAL),499.0,499.0,499.0,499.0,3205576.0,3205576.0,3205576.0,3205576.0
46297,LABEB,EBV AB PANEL,855,EPSTEIN-BARR PANEL,49.0,49.0,49.0,49.0,41895.0,41895.0,41895.0,41895.0
46301,LABMYO,"MYOGLOBIN, SERUM / PLASMA",865,"Myoglobin, Ser/Plas",265.0,265.0,265.0,265.0,229225.0,229225.0,229225.0,229225.0
46310,LABHGBFQ,HGB F QUANTITATIVE,7,"HGB F, QUANTITATIVE",257.0,257.0,257.0,257.0,1799.0,1799.0,1799.0,1799.0
46311,LABHAB,HEPATITIS B SURFACE AB,2,HEPATITIS B SURFACE AB QUAL,38.0,197.0,117.5,117.5,76.0,394.0,235.0,235.0
46317,LABUK,"POTASSIUM WITH CREATININE, URINE (RANDOM)",218,"POTASSIUM, UR(RANDOM)W/CREAT",158.0,158.0,158.0,158.0,34444.0,34444.0,34444.0,34444.0
46319,LABUOSM,"OSMOLALITY, URINE",8916,"Osmolality, Urine",255.0,255.0,255.0,255.0,2273580.0,2273580.0,2273580.0,2273580.0
46350,LABHCVG,HEPATITIS C VIRUS GENOTYPING,1,Hepatitis C virus genotyping              NONORDERABLE,2847.0,2847.0,2847.0,2847.0,2847.0,2847.0,2847.0,2847.0
46359,LABRBCFOL,"FOLATE, RBC",2395,"FOLATE, RBC",246.0,246.0,246.0,246.0,589170.0,589170.0,589170.0,589170.0
46366,LABYEB,"EBV AB PROFILE, SERUM",23,"EBV AB PROFILE, SERUM",4.0,7.0,5.66666666667,6.0,92.0,161.0,130.333333333,138.0
46368,LABHGHPLC,HGB QUANTITATIVE / FRACTIONATED HPLC,156,HEMOGLOBIN QUANT/FRACT BY HPLC,257.0,257.0,257.0,257.0,40092.0,40092.0,40092.0,40092.0
