procedure_cat,reference_code_set,code,proc_simple,proc_simple_comment,reference_description
AMP,ICD-10-PCS,0X6K0Z4,Orthopedic surgery,Arm amputation,"Detachment at Left Hand, Complete 1st Ray, Open Approach"
AMP,ICD-10-PCS,0X6K0Z5,Orthopedic surgery,Arm amputation,"Detachment at Left Hand, Complete 2nd Ray, Open Approach"
AMP,ICD-10-PCS,0X6K0Z6,Orthopedic surgery,Arm amputation,"Detachment at Left Hand, Complete 3rd Ray, Open Approach"
AMP,ICD-10-PCS,0X6K0Z7,Orthopedic surgery,Arm amputation,"Detachment at Left Hand, Complete 4th Ray, Open Approach"
AMP,ICD-10-PCS,0X6K0Z8,Orthopedic surgery,Arm amputation,"Detachment at Left Hand, Complete 5th Ray, Open Approach"
AMP,ICD-10-PCS,0X6K0Z0,Orthopedic surgery,Arm amputation,"Detachment at Left Hand, Complete, Open Approach"
AMP,ICD-10-PCS,0X6K0Z9,Orthopedic surgery,Arm amputation,"Detachment at Left Hand, Partial 1st Ray, Open Approach"
AMP,ICD-10-PCS,0X6K0ZB,Orthopedic surgery,Arm amputation,"Detachment at Left Hand, Partial 2nd Ray, Open Approach"
AMP,ICD-10-PCS,0X6K0ZC,Orthopedic surgery,Arm amputation,"Detachment at Left Hand, Partial 3rd Ray, Open Approach"
AMP,ICD-10-PCS,0X6K0ZD,Orthopedic surgery,Arm amputation,"Detachment at Left Hand, Partial 4th Ray, Open Approach"
AMP,ICD-10-PCS,0X6K0ZF,Orthopedic surgery,Arm amputation,"Detachment at Left Hand, Partial 5th Ray, Open Approach"
AMP,ICD-10-PCS,0X6P0Z0,Orthopedic surgery,Arm amputation,"Detachment at Left Index Finger, Complete, Open Approach"
AMP,ICD-10-PCS,0X6P0Z1,Orthopedic surgery,Arm amputation,"Detachment at Left Index Finger, High, Open Approach"
AMP,ICD-10-PCS,0X6P0Z3,Orthopedic surgery,Arm amputation,"Detachment at Left Index Finger, Low, Open Approach"
AMP,ICD-10-PCS,0X6P0Z2,Orthopedic surgery,Arm amputation,"Detachment at Left Index Finger, Mid, Open Approach"
AMP,ICD-10-PCS,0X6W0Z0,Orthopedic surgery,Arm amputation,"Detachment at Left Little Finger, Complete, Open Approach"
AMP,ICD-10-PCS,0X6W0Z1,Orthopedic surgery,Arm amputation,"Detachment at Left Little Finger, High, Open Approach"
AMP,ICD-10-PCS,0X6W0Z3,Orthopedic surgery,Arm amputation,"Detachment at Left Little Finger, Low, Open Approach"
AMP,ICD-10-PCS,0X6W0Z2,Orthopedic surgery,Arm amputation,"Detachment at Left Little Finger, Mid, Open Approach"
AMP,ICD-10-PCS,0X6F0Z1,Orthopedic surgery,Arm amputation,"Detachment at Left Lower Arm, High, Open Approach"
AMP,ICD-10-PCS,0X6F0Z3,Orthopedic surgery,Arm amputation,"Detachment at Left Lower Arm, Low, Open Approach"
AMP,ICD-10-PCS,0X6F0Z2,Orthopedic surgery,Arm amputation,"Detachment at Left Lower Arm, Mid, Open Approach"
AMP,ICD-10-PCS,0X6R0Z0,Orthopedic surgery,Arm amputation,"Detachment at Left Middle Finger, Complete, Open Approach"
AMP,ICD-10-PCS,0X6R0Z1,Orthopedic surgery,Arm amputation,"Detachment at Left Middle Finger, High, Open Approach"
AMP,ICD-10-PCS,0X6R0Z3,Orthopedic surgery,Arm amputation,"Detachment at Left Middle Finger, Low, Open Approach"
AMP,ICD-10-PCS,0X6R0Z2,Orthopedic surgery,Arm amputation,"Detachment at Left Middle Finger, Mid, Open Approach"
AMP,ICD-10-PCS,0X6T0Z0,Orthopedic surgery,Arm amputation,"Detachment at Left Ring Finger, Complete, Open Approach"
AMP,ICD-10-PCS,0X6T0Z1,Orthopedic surgery,Arm amputation,"Detachment at Left Ring Finger, High, Open Approach"
AMP,ICD-10-PCS,0X6T0Z3,Orthopedic surgery,Arm amputation,"Detachment at Left Ring Finger, Low, Open Approach"
AMP,ICD-10-PCS,0X6T0Z2,Orthopedic surgery,Arm amputation,"Detachment at Left Ring Finger, Mid, Open Approach"
AMP,ICD-10-PCS,0X630ZZ,Orthopedic surgery,Arm amputation,"Detachment at Left Shoulder Region, Open Approach"
AMP,ICD-10-PCS,0X6M0Z0,Orthopedic surgery,Arm amputation,"Detachment at Left Thumb, Complete, Open Approach"
AMP,ICD-10-PCS,0X6M0Z1,Orthopedic surgery,Arm amputation,"Detachment at Left Thumb, High, Open Approach"
AMP,ICD-10-PCS,0X6M0Z3,Orthopedic surgery,Arm amputation,"Detachment at Left Thumb, Low, Open Approach"
AMP,ICD-10-PCS,0X6M0Z2,Orthopedic surgery,Arm amputation,"Detachment at Left Thumb, Mid, Open Approach"
AMP,ICD-10-PCS,0X690Z1,Orthopedic surgery,Arm amputation,"Detachment at Left Upper Arm, High, Open Approach"
AMP,ICD-10-PCS,0X690Z3,Orthopedic surgery,Arm amputation,"Detachment at Left Upper Arm, Low, Open Approach"
AMP,ICD-10-PCS,0X690Z2,Orthopedic surgery,Arm amputation,"Detachment at Left Upper Arm, Mid, Open Approach"
AMP,ICD-10-PCS,0X6B0ZZ,Orthopedic surgery,Arm amputation,"Detachment at Right Elbow Region, Open Approach"
AMP,ICD-10-PCS,0X600ZZ,Orthopedic surgery,Arm amputation,"Detachment at Right Forequarter, Open Approach"
AMP,ICD-10-PCS,0X6J0Z4,Orthopedic surgery,Arm amputation,"Detachment at Right Hand, Complete 1st Ray, Open Approach"
AMP,ICD-10-PCS,0X6J0Z5,Orthopedic surgery,Arm amputation,"Detachment at Right Hand, Complete 2nd Ray, Open Approach"
AMP,ICD-10-PCS,0X6J0Z6,Orthopedic surgery,Arm amputation,"Detachment at Right Hand, Complete 3rd Ray, Open Approach"
AMP,ICD-10-PCS,0X6J0Z7,Orthopedic surgery,Arm amputation,"Detachment at Right Hand, Complete 4th Ray, Open Approach"
AMP,ICD-10-PCS,0X6J0Z8,Orthopedic surgery,Arm amputation,"Detachment at Right Hand, Complete 5th Ray, Open Approach"
AMP,ICD-10-PCS,0X6J0Z0,Orthopedic surgery,Arm amputation,"Detachment at Right Hand, Complete, Open Approach"
AMP,ICD-10-PCS,0X6J0Z9,Orthopedic surgery,Arm amputation,"Detachment at Right Hand, Partial 1st Ray, Open Approach"
AMP,ICD-10-PCS,0X6J0ZB,Orthopedic surgery,Arm amputation,"Detachment at Right Hand, Partial 2nd Ray, Open Approach"
AMP,ICD-10-PCS,0X6J0ZC,Orthopedic surgery,Arm amputation,"Detachment at Right Hand, Partial 3rd Ray, Open Approach"
AMP,ICD-10-PCS,0X6J0ZD,Orthopedic surgery,Arm amputation,"Detachment at Right Hand, Partial 4th Ray, Open Approach"
AMP,ICD-10-PCS,0X6J0ZF,Orthopedic surgery,Arm amputation,"Detachment at Right Hand, Partial 5th Ray, Open Approach"
AMP,ICD-10-PCS,0X6N0Z0,Orthopedic surgery,Arm amputation,"Detachment at Right Index Finger, Complete, Open Approach"
AMP,ICD-10-PCS,0X6N0Z1,Orthopedic surgery,Arm amputation,"Detachment at Right Index Finger, High, Open Approach"
AMP,ICD-10-PCS,0X6N0Z3,Orthopedic surgery,Arm amputation,"Detachment at Right Index Finger, Low, Open Approach"
AMP,ICD-10-PCS,0X6N0Z2,Orthopedic surgery,Arm amputation,"Detachment at Right Index Finger, Mid, Open Approach"
AMP,ICD-10-PCS,0X6V0Z0,Orthopedic surgery,Arm amputation,"Detachment at Right Little Finger, Complete, Open Approach"
AMP,ICD-10-PCS,0X6V0Z1,Orthopedic surgery,Arm amputation,"Detachment at Right Little Finger, High, Open Approach"
AMP,ICD-10-PCS,0X6V0Z3,Orthopedic surgery,Arm amputation,"Detachment at Right Little Finger, Low, Open Approach"
AMP,ICD-10-PCS,0X6V0Z2,Orthopedic surgery,Arm amputation,"Detachment at Right Little Finger, Mid, Open Approach"
AMP,ICD-10-PCS,0X6D0Z1,Orthopedic surgery,Arm amputation,"Detachment at Right Lower Arm, High, Open Approach"
AMP,ICD-10-PCS,0X6D0Z3,Orthopedic surgery,Arm amputation,"Detachment at Right Lower Arm, Low, Open Approach"
AMP,ICD-10-PCS,0X6D0Z2,Orthopedic surgery,Arm amputation,"Detachment at Right Lower Arm, Mid, Open Approach"
AMP,ICD-10-PCS,0X6Q0Z0,Orthopedic surgery,Arm amputation,"Detachment at Right Middle Finger, Complete, Open Approach"
AMP,ICD-10-PCS,0X6Q0Z1,Orthopedic surgery,Arm amputation,"Detachment at Right Middle Finger, High, Open Approach"
AMP,ICD-10-PCS,0X6Q0Z3,Orthopedic surgery,Arm amputation,"Detachment at Right Middle Finger, Low, Open Approach"
AMP,ICD-10-PCS,0X6Q0Z2,Orthopedic surgery,Arm amputation,"Detachment at Right Middle Finger, Mid, Open Approach"
AMP,ICD-10-PCS,0X6S0Z0,Orthopedic surgery,Arm amputation,"Detachment at Right Ring Finger, Complete, Open Approach"
AMP,ICD-10-PCS,0X6S0Z1,Orthopedic surgery,Arm amputation,"Detachment at Right Ring Finger, High, Open Approach"
AMP,ICD-10-PCS,0X6S0Z3,Orthopedic surgery,Arm amputation,"Detachment at Right Ring Finger, Low, Open Approach"
AMP,ICD-10-PCS,0X6S0Z2,Orthopedic surgery,Arm amputation,"Detachment at Right Ring Finger, Mid, Open Approach"
AMP,ICD-10-PCS,0X620ZZ,Orthopedic surgery,Arm amputation,"Detachment at Right Shoulder Region, Open Approach"
AMP,ICD-10-PCS,0X6L0Z0,Orthopedic surgery,Arm amputation,"Detachment at Right Thumb, Complete, Open Approach"
AMP,ICD-10-PCS,0X6L0Z1,Orthopedic surgery,Arm amputation,"Detachment at Right Thumb, High, Open Approach"
AMP,ICD-10-PCS,0X6L0Z3,Orthopedic surgery,Arm amputation,"Detachment at Right Thumb, Low, Open Approach"
AMP,ICD-10-PCS,0X6L0Z2,Orthopedic surgery,Arm amputation,"Detachment at Right Thumb, Mid, Open Approach"
AMP,ICD-10-PCS,0X680Z1,Orthopedic surgery,Arm amputation,"Detachment at Right Upper Arm, High, Open Approach"
AMP,ICD-10-PCS,0X680Z3,Orthopedic surgery,Arm amputation,"Detachment at Right Upper Arm, Low, Open Approach"
AMP,ICD-10-PCS,0X680Z2,Orthopedic surgery,Arm amputation,"Detachment at Right Upper Arm, Mid, Open Approach"
AMP,ICD-10-PCS,0Y6Q0Z0,Orthopedic surgery,Leg amputation,"Detachment at Left 1st Toe, Complete, Open Approach"
AMP,ICD-10-PCS,0Y6Q0Z1,Orthopedic surgery,Leg amputation,"Detachment at Left 1st Toe, High, Open Approach"
AMP,ICD-10-PCS,0Y6Q0Z3,Orthopedic surgery,Leg amputation,"Detachment at Left 1st Toe, Low, Open Approach"
AMP,ICD-10-PCS,0Y6Q0Z2,Orthopedic surgery,Leg amputation,"Detachment at Left 1st Toe, Mid, Open Approach"
AMP,ICD-10-PCS,0Y6S0Z0,Orthopedic surgery,Leg amputation,"Detachment at Left 2nd Toe, Complete, Open Approach"
AMP,ICD-10-PCS,0Y6S0Z1,Orthopedic surgery,Leg amputation,"Detachment at Left 2nd Toe, High, Open Approach"
AMP,ICD-10-PCS,0Y6S0Z3,Orthopedic surgery,Leg amputation,"Detachment at Left 2nd Toe, Low, Open Approach"
AMP,ICD-10-PCS,0Y6S0Z2,Orthopedic surgery,Leg amputation,"Detachment at Left 2nd Toe, Mid, Open Approach"
AMP,ICD-10-PCS,0Y6U0Z0,Orthopedic surgery,Leg amputation,"Detachment at Left 3rd Toe, Complete, Open Approach"
AMP,ICD-10-PCS,0Y6U0Z1,Orthopedic surgery,Leg amputation,"Detachment at Left 3rd Toe, High, Open Approach"
AMP,ICD-10-PCS,0Y6U0Z3,Orthopedic surgery,Leg amputation,"Detachment at Left 3rd Toe, Low, Open Approach"
AMP,ICD-10-PCS,0Y6U0Z2,Orthopedic surgery,Leg amputation,"Detachment at Left 3rd Toe, Mid, Open Approach"
AMP,ICD-10-PCS,0Y6W0Z0,Orthopedic surgery,Leg amputation,"Detachment at Left 4th Toe, Complete, Open Approach"
AMP,ICD-10-PCS,0Y6W0Z1,Orthopedic surgery,Leg amputation,"Detachment at Left 4th Toe, High, Open Approach"
AMP,ICD-10-PCS,0Y6W0Z3,Orthopedic surgery,Leg amputation,"Detachment at Left 4th Toe, Low, Open Approach"
AMP,ICD-10-PCS,0Y6W0Z2,Orthopedic surgery,Leg amputation,"Detachment at Left 4th Toe, Mid, Open Approach"
AMP,ICD-10-PCS,0Y6Y0Z0,Orthopedic surgery,Leg amputation,"Detachment at Left 5th Toe, Complete, Open Approach"
AMP,ICD-10-PCS,0Y6Y0Z1,Orthopedic surgery,Leg amputation,"Detachment at Left 5th Toe, High, Open Approach"
AMP,ICD-10-PCS,0Y6Y0Z3,Orthopedic surgery,Leg amputation,"Detachment at Left 5th Toe, Low, Open Approach"
AMP,ICD-10-PCS,0Y6Y0Z2,Orthopedic surgery,Leg amputation,"Detachment at Left 5th Toe, Mid, Open Approach"
AMP,ICD-10-PCS,0Y680ZZ,Orthopedic surgery,Leg amputation,"Detachment at Left Femoral Region, Open Approach"
AMP,ICD-10-PCS,0Y6N0Z4,Orthopedic surgery,Leg amputation,"Detachment at Left Foot, Complete 1st Ray, Open Approach"
AMP,ICD-10-PCS,0Y6N0Z5,Orthopedic surgery,Leg amputation,"Detachment at Left Foot, Complete 2nd Ray, Open Approach"
AMP,ICD-10-PCS,0Y6N0Z6,Orthopedic surgery,Leg amputation,"Detachment at Left Foot, Complete 3rd Ray, Open Approach"
AMP,ICD-10-PCS,0Y6N0Z7,Orthopedic surgery,Leg amputation,"Detachment at Left Foot, Complete 4th Ray, Open Approach"
AMP,ICD-10-PCS,0Y6N0Z8,Orthopedic surgery,Leg amputation,"Detachment at Left Foot, Complete 5th Ray, Open Approach"
AMP,ICD-10-PCS,0Y6N0Z0,Orthopedic surgery,Leg amputation,"Detachment at Left Foot, Complete, Open Approach"
AMP,ICD-10-PCS,0Y6N0Z9,Orthopedic surgery,Leg amputation,"Detachment at Left Foot, Partial 1st Ray, Open Approach"
AMP,ICD-10-PCS,0Y6N0ZB,Orthopedic surgery,Leg amputation,"Detachment at Left Foot, Partial 2nd Ray, Open Approach"
AMP,ICD-10-PCS,0Y6N0ZC,Orthopedic surgery,Leg amputation,"Detachment at Left Foot, Partial 3rd Ray, Open Approach"
AMP,ICD-10-PCS,0Y6N0ZD,Orthopedic surgery,Leg amputation,"Detachment at Left Foot, Partial 4th Ray, Open Approach"
AMP,ICD-10-PCS,0Y6N0ZF,Orthopedic surgery,Leg amputation,"Detachment at Left Foot, Partial 5th Ray, Open Approach"
AMP,ICD-10-PCS,0Y6G0ZZ,Orthopedic surgery,Leg amputation,"Detachment at Left Knee Region, Open Approach"
AMP,ICD-10-PCS,0Y6J0Z1,Orthopedic surgery,Leg amputation,"Detachment at Left Lower Leg, High, Open Approach"
AMP,ICD-10-PCS,0Y6J0Z3,Orthopedic surgery,Leg amputation,"Detachment at Left Lower Leg, Low, Open Approach"
AMP,ICD-10-PCS,0Y6J0Z2,Orthopedic surgery,Leg amputation,"Detachment at Left Lower Leg, Mid, Open Approach"
AMP,ICD-10-PCS,0Y6D0Z1,Orthopedic surgery,Leg amputation,"Detachment at Left Upper Leg, High, Open Approach"
AMP,ICD-10-PCS,0Y6D0Z3,Orthopedic surgery,Leg amputation,"Detachment at Left Upper Leg, Low, Open Approach"
AMP,ICD-10-PCS,0Y6D0Z2,Orthopedic surgery,Leg amputation,"Detachment at Left Upper Leg, Mid, Open Approach"
AMP,ICD-10-PCS,0Y6P0Z0,Orthopedic surgery,Leg amputation,"Detachment at Right 1st Toe, Complete, Open Approach"
AMP,ICD-10-PCS,0Y6P0Z1,Orthopedic surgery,Leg amputation,"Detachment at Right 1st Toe, High, Open Approach"
AMP,ICD-10-PCS,0Y6P0Z3,Orthopedic surgery,Leg amputation,"Detachment at Right 1st Toe, Low, Open Approach"
AMP,ICD-10-PCS,0Y6P0Z2,Orthopedic surgery,Leg amputation,"Detachment at Right 1st Toe, Mid, Open Approach"
AMP,ICD-10-PCS,0Y6R0Z0,Orthopedic surgery,Leg amputation,"Detachment at Right 2nd Toe, Complete, Open Approach2"
AMP,ICD-10-PCS,0Y6R0Z1,Orthopedic surgery,Leg amputation,"Detachment at Right 2nd Toe, High, Open Approach"
AMP,ICD-10-PCS,0Y6R0Z3,Orthopedic surgery,Leg amputation,"Detachment at Right 2nd Toe, Low, Open Approach"
AMP,ICD-10-PCS,0Y6R0Z2,Orthopedic surgery,Leg amputation,"Detachment at Right 2nd Toe, Mid, Open Approach"
AMP,ICD-10-PCS,0Y6T0Z0,Orthopedic surgery,Leg amputation,"Detachment at Right 3rd Toe, Complete, Open Approach"
AMP,ICD-10-PCS,0Y6T0Z1,Orthopedic surgery,Leg amputation,"Detachment at Right 3rd Toe, High, Open Approach"
AMP,ICD-10-PCS,0Y6T0Z3,Orthopedic surgery,Leg amputation,"Detachment at Right 3rd Toe, Low, Open Approach"
AMP,ICD-10-PCS,0Y6T0Z2,Orthopedic surgery,Leg amputation,"Detachment at Right 3rd Toe, Mid, Open Approach2"
AMP,ICD-10-PCS,0Y6V0Z0,Orthopedic surgery,Leg amputation,"Detachment at Right 4th Toe, Complete, Open Approach"
AMP,ICD-10-PCS,0Y6V0Z1,Orthopedic surgery,Leg amputation,"Detachment at Right 4th Toe, High, Open Approach"
AMP,ICD-10-PCS,0Y6V0Z3,Orthopedic surgery,Leg amputation,"Detachment at Right 4th Toe, Low, Open Approach"
AMP,ICD-10-PCS,0Y6V0Z2,Orthopedic surgery,Leg amputation,"Detachment at Right 4th Toe, Mid, Open Approach"
AMP,ICD-10-PCS,0Y6X0Z0,Orthopedic surgery,Leg amputation,"Detachment at Right 5th Toe, Complete, Open Approach"
AMP,ICD-10-PCS,0Y6X0Z1,Orthopedic surgery,Leg amputation,"Detachment at Right 5th Toe, High, Open Approach"
AMP,ICD-10-PCS,0Y6X0Z3,Orthopedic surgery,Leg amputation,"Detachment at Right 5th Toe, Low, Open Approach"
AMP,ICD-10-PCS,0Y6X0Z2,Orthopedic surgery,Leg amputation,"Detachment at Right 5th Toe, Mid, Open Approach"
AMP,ICD-10-PCS,0Y670ZZ,Orthopedic surgery,Leg amputation,"Detachment at Right Femoral Region, Open Approach"
AMP,ICD-10-PCS,0Y6M0Z4,Orthopedic surgery,Leg amputation,"Detachment at Right Foot, Complete 1st Ray, Open Approach"
AMP,ICD-10-PCS,0Y6M0Z5,Orthopedic surgery,Leg amputation,"Detachment at Right Foot, Complete 2nd Ray, Open Approach"
AMP,ICD-10-PCS,0Y6M0Z6,Orthopedic surgery,Leg amputation,"Detachment at Right Foot, Complete 3rd Ray, Open Approach"
AMP,ICD-10-PCS,0Y6M0Z7,Orthopedic surgery,Leg amputation,"Detachment at Right Foot, Complete 4th Ray, Open Approach"
AMP,ICD-10-PCS,0Y6M0Z8,Orthopedic surgery,Leg amputation,"Detachment at Right Foot, Complete 5th Ray, Open Approach"
AMP,ICD-10-PCS,0Y6M0Z0,Orthopedic surgery,Leg amputation,"Detachment at Right Foot, Complete, Open Approach"
AMP,ICD-10-PCS,0Y6M0Z9,Orthopedic surgery,Leg amputation,"Detachment at Right Foot, Partial 1st Ray, Open Approach"
AMP,ICD-10-PCS,0Y6M0ZB,Orthopedic surgery,Leg amputation,"Detachment at Right Foot, Partial 2nd Ray, Open Approach"
AMP,ICD-10-PCS,0Y6M0ZC,Orthopedic surgery,Leg amputation,"Detachment at Right Foot, Partial 3rd Ray, Open Approach"
AMP,ICD-10-PCS,0Y6M0ZD,Orthopedic surgery,Leg amputation,"Detachment at Right Foot, Partial 4th Ray, Open Approach"
