med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
STANFORD BOWEL SOLUTION,0.16981132075471697,9,44,18,0.047619047619047616,3,60,4,0.03699302892053095
LABETALOL 5 MG/ML IV SOLN,0.39622641509433965,21,32,47,0.20634920634920634,13,50,24,0.03978479161391661
LIDOCAINE HCL 2 % JELLY,0.1509433962264151,8,45,12,0.031746031746031744,2,61,3,0.041826250305669097
IPRATROPIUM BROMIDE 0.02 % INH SOLN,0.1509433962264151,8,45,12,0.031746031746031744,2,61,2,0.041826250305669097
LIDOCAINE 4%/PHENYLEPHRINE 1% NASAL SYRINGE (FEES KIT),0.24528301886792453,13,40,22,0.09523809523809523,6,57,10,0.042876640339512204
HEPARIN IV INFUSION (LVAD PROTOCOL - NORMAL RISK),0.24528301886792453,13,40,23,0.09523809523809523,6,57,7,0.042876640339512204
METRONIDAZOLE IN NACL (ISO-OS) 500 MG/100 ML IV PGBK,0.11320754716981132,6,47,7,0.015873015873015872,1,62,1,0.046190215598586055
POTASSIUM CHLORIDE 20 MEQ PO PACK,0.11320754716981132,6,47,14,0.015873015873015872,1,62,1,0.046190215598586055
METOPROLOL TARTRATE 100 MG PO TABS,0.11320754716981132,6,47,9,0.015873015873015872,1,62,2,0.046190215598586055
WARFARIN 3 MG PO TABS,0.11320754716981132,6,47,13,0.015873015873015872,1,62,1,0.046190215598586055
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.7735849056603774,41,12,79,0.5873015873015873,37,26,48,0.04664641349141035
"HEPARIN (PORCINE) IN NACL (PF) 1,000 UNIT/500 ML IV SOLP",0.32075471698113206,17,36,18,0.15873015873015872,10,53,10,0.04848836330055452
FUROSEMIDE 100 MG/100 ML NS MINIBAG PLUS CONTINUOUS INFUSION,0.32075471698113206,17,36,32,0.15873015873015872,10,53,13,0.04848836330055452
METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.9433962264150944,50,3,97,0.8095238095238095,51,12,74,0.04970907460236952
MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,0.2641509433962264,14,39,18,0.1111111111111111,7,56,8,0.05131351279535759
NOREPINEPHRINE BITARTRATE-NACL 4 MG/250 ML (16 MCG/ML) IV SOLN,0.3584905660377358,19,34,31,0.19047619047619047,12,51,13,0.057664501720956676
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.5283018867924528,28,25,78,0.3492063492063492,22,41,37,0.061520328736088696
DEXMEDETOMIDINE IN 0.9 % NACL 400 MCG/100 ML (4 MCG/ML) IV SOLN,0.9811320754716981,52,1,159,0.8888888888888888,56,7,78,0.06893370698913819
LOSARTAN 25 MG PO TABS,0.2830188679245283,15,38,41,0.14285714285714285,9,54,23,0.07058902918003533
HALOPERIDOL LACTATE 5 MG/ML INJ SOLN,0.2830188679245283,15,38,72,0.14285714285714285,9,54,19,0.07058902918003533
DORNASE ALFA 1 MG/ML INH SOLN,0.1320754716981132,7,46,10,0.031746031746031744,2,61,4,0.07742307875054152
QUETIAPINE 25 MG PO TABS,0.1320754716981132,7,46,14,0.031746031746031744,2,61,3,0.07742307875054152
HYDRALAZINE 25 MG PO TABS,0.1320754716981132,7,46,17,0.031746031746031744,2,61,6,0.07742307875054152
"DOBUTAMINE IN D5W 500 MG/250 ML (2,000 MCG/ML) IV SOLP",0.1320754716981132,7,46,10,0.031746031746031744,2,61,2,0.07742307875054152
FUROSEMIDE 40 MG PO TABS,0.32075471698113206,17,36,25,0.1746031746031746,11,52,18,0.08285285839363783
HYDROXYZINE HCL 25 MG PO TABS,0.24528301886792453,13,40,24,0.1111111111111111,7,56,8,0.08308246447047188
CALCIUM CHLORIDE 100 MG/ML (10 %) IV SYRG,0.16981132075471697,9,44,14,0.06349206349206349,4,59,6,0.08325500093733759
POTASSIUM CHLORIDE 10 MEQ PO TBTQ,0.4716981132075472,25,28,51,0.30158730158730157,19,44,32,0.08356648788703497
MELATONIN 10 MG PO TABS,0.09433962264150944,5,48,5,0.015873015873015872,1,62,1,0.09156533089338462
LIDOCAINE HCL 2 % JELLY (URO-JET),0.09433962264150944,5,48,5,0.015873015873015872,1,62,1,0.09156533089338462
AMIODARONE IV INFUSION (CENTRAL LINE) - MIXTURE,0.49056603773584906,26,27,78,0.3333333333333333,21,42,50,0.09218374721768582
FAMOTIDINE (PF) 20 MG/2 ML IV SOLN,0.5849056603773585,31,22,34,0.4126984126984127,26,37,26,0.09300904472702803
CHLOROTHIAZIDE 250 MG/5 ML PO SUSP,0.18867924528301888,10,43,15,0.07936507936507936,5,58,5,0.09949717044636973
MELATONIN 5 MG PO TABS,0.8679245283018868,46,7,111,0.7301587301587301,46,17,61,0.10610270754147003
"HEPARIN, PORCINE (PF) 5,000 UNIT/0.5 ML INJ SOLN",0.22641509433962265,12,41,15,0.38095238095238093,24,39,32,0.10646996227056182
GADOBENATE DIMEGLUMINE 529 MG/ML (0.1MMOL/0.2ML) IV SOLN,0.1509433962264151,8,45,8,0.047619047619047616,3,60,3,0.10833737331165297
OXYCODONE 5 MG/5 ML PO SOLN,0.37735849056603776,20,33,61,0.23809523809523808,15,48,31,0.11046364692817094
CHLOROTHIAZIDE SODIUM 500 MG IV SOLR,0.20754716981132076,11,42,20,0.09523809523809523,6,57,12,0.11538181939633466
FUROSEMIDE 10 MG/ML INJ SOLN,0.9811320754716981,52,1,409,0.9047619047619048,57,6,260,0.12342170818441534
NORMOSOL-R IV BOLUS - 500 ML,1.0,53,0,324,0.9365079365079365,59,4,306,0.1240865361450621
GUANFACINE 1 MG PO TABS,0.11320754716981132,6,47,34,0.031746031746031744,2,61,3,0.13950818463398534
DESMOPRESSIN IVPB,0.11320754716981132,6,47,9,0.031746031746031744,2,61,2,0.13950818463398534
GABAPENTIN 300 MG/6 ML (6 ML) PO SOLN,0.11320754716981132,6,47,13,0.031746031746031744,2,61,2,0.13950818463398534
BUPIVACAINE 0.25 % (2.5 MG/ML) INJ SOLN,0.11320754716981132,6,47,7,0.031746031746031744,2,61,2,0.13950818463398534
"VANCOMYCIN 1,250 MG IN D5W 250 ML IVPB",0.11320754716981132,6,47,8,0.031746031746031744,2,61,2,0.13950818463398534
PROTAMINE 10 MG/ML IV SOLN,0.24528301886792453,13,40,18,0.12698412698412698,8,55,10,0.1456098174682634
SODIUM CHLORIDE 3 % INH NEBU,0.2641509433962264,14,39,22,0.14285714285714285,9,54,10,0.1598397043091468
LOSARTAN 50 MG PO TABS,0.16981132075471697,9,44,20,0.07936507936507936,5,58,8,0.16071807943753127
CALCIUM GLUCONATE IN 0.9% NACL 1 GRAM/50 ML IV SOLN,0.07547169811320754,4,49,9,0.1746031746031746,11,52,22,0.16500117240458864
CALCIUM CHLORIDE 1 GRAM (13.6 MEQ)/50 ML NS IVPB (COMPOUNDED),0.41509433962264153,22,31,56,0.2857142857142857,18,45,51,0.17194328421084473
"EPOETIN ALFA 40,000 UNIT/ML INJ SOLN",0.07547169811320754,4,49,4,0.015873015873015872,1,62,2,0.17673544166435645
RIVAROXABAN 20 MG PO TABS,0.07547169811320754,4,49,9,0.015873015873015872,1,62,1,0.17673544166435645
CLONIDINE HCL 0.1 MG PO TABS,0.07547169811320754,4,49,5,0.015873015873015872,1,62,1,0.17673544166435645
FAT EMUL-SOY-MCT-OLIV-FISH OIL 20 % IV EMUL,0.07547169811320754,4,49,32,0.015873015873015872,1,62,2,0.17673544166435645
MULTIVIT-MIN-FERROUS GLUCONATE 9 MG IRON/15 ML PO LIQD,0.07547169811320754,4,49,6,0.015873015873015872,1,62,1,0.17673544166435645
VANCOMYCIN-WATER INJECT (PEG) 1.25 GRAM/250 ML IV PGBK,0.07547169811320754,4,49,10,0.015873015873015872,1,62,2,0.17673544166435645
BARIUM SULFATE 40 % (W/V) PO POWD,0.07547169811320754,4,49,4,0.015873015873015872,1,62,1,0.17673544166435645
CEFTRIAXONE 1 GRAM/10 ML IV PUSH (VIAL ONLY),0.07547169811320754,4,49,4,0.015873015873015872,1,62,2,0.17673544166435645
TPN ADULT STANDARD,0.07547169811320754,4,49,31,0.015873015873015872,1,62,2,0.17673544166435645
POTASSIUM CHLORIDE 20 MEQ PO TBTQ,0.5471698113207547,29,24,89,0.6825396825396826,43,20,98,0.1788066819912883
"AMIODARONE IN DEXTROSE,ISO-OSM 150 MG/100 ML (1.5 MG/ML) IV SOLN",0.4528301886792453,24,29,152,0.31746031746031744,20,43,43,0.1788066819912883
CEFTRIAXONE 2 GRAM/20 ML IV PUSH (VIAL ONLY),0.1320754716981132,7,46,9,0.047619047619047616,3,60,6,0.18229054617789936
MEPIVACAINE 2 % INJ SOLN,0.1320754716981132,7,46,7,0.047619047619047616,3,60,3,0.18229054617789936
D5 % AND 0.9 % SODIUM CHLORIDE IV SOLP,0.1320754716981132,7,46,8,0.047619047619047616,3,60,3,0.18229054617789936
FLUTICASONE FUROATE-VILANTEROL 200-25 MCG/DOSE INH DSDV,0.018867924528301886,1,52,1,0.07936507936507936,5,58,5,0.21711406268315636
NALBUPHINE 10 MG/ML INJ SOLN,0.018867924528301886,1,52,1,0.07936507936507936,5,58,6,0.21711406268315636
INSULIN LISPRO 100 UNIT/ML SC MODERATE SCALE FEEDING (MEALS),0.3584905660377358,19,34,25,0.25396825396825395,16,47,19,0.23172800902367932
INSULIN LISPRO 100 UNIT/ML SC MODERATE SCALE FEEDING (BEDTIME),0.3584905660377358,19,34,25,0.25396825396825395,16,47,19,0.23172800902367932
MAGNESIUM CITRATE PO SOLN,0.24528301886792453,13,40,19,0.14285714285714285,9,54,14,0.23423004267558345
PHENYLEPHRINE HCL IN 0.9% NACL 40 MG/250 ML (160 MCG/ML) IV SOLN,0.37735849056603776,20,33,28,0.2698412698412698,17,46,22,0.23587884370809237
AMIODARONE IVPB,0.09433962264150944,5,48,16,0.031746031746031744,2,61,3,0.24361886542329564
"BARIUM SULFATE 40 % (W/V), 30% (W/W) PO PSTE",0.09433962264150944,5,48,7,0.031746031746031744,2,61,2,0.24361886542329564
BARIUM SULFATE 40 % (W/V) PO SUSP,0.09433962264150944,5,48,7,0.031746031746031744,2,61,2,0.24361886542329564
LIDOCAINE HCL 10 MG/ML (1 %) INJ SOLN,0.09433962264150944,5,48,6,0.031746031746031744,2,61,2,0.24361886542329564
ACETAZOLAMIDE SODIUM 500 MG INJ SOLR,0.09433962264150944,5,48,12,0.031746031746031744,2,61,3,0.24361886542329564
ROCURONIUM 10 MG/ML IV SOLN,0.09433962264150944,5,48,6,0.031746031746031744,2,61,2,0.24361886542329564
CIPROFLOXACIN HCL 500 MG PO TABS,0.09433962264150944,5,48,8,0.031746031746031744,2,61,2,0.24361886542329564
IBUPROFEN 400 MG PO TABS,0.09433962264150944,5,48,11,0.031746031746031744,2,61,2,0.24361886542329564
CEFAZOLIN + NS MIXTURE (SHC OR),0.09433962264150944,5,48,5,0.031746031746031744,2,61,2,0.24361886542329564
CLONIDINE HCL 0.2 MG PO TABS,0.09433962264150944,5,48,8,0.031746031746031744,2,61,2,0.24361886542329564
ELECTROLYTE-R (PH 7.4) IV SOLP,0.41509433962264153,22,31,26,0.30158730158730157,19,44,19,0.2437891450081963
SODIUM CHLORIDE 0.9 % (FLUSH) INJ SYRG,1.0,53,0,56,0.9523809523809523,60,3,61,0.24910044977511248
LABETALOL 5 MG/ML IV INFUSION,0.1509433962264151,8,45,14,0.07936507936507936,5,58,7,0.25088617962964627
CEFAZOLIN IN DEXTROSE (ISO-OS) 2 GRAM/100 ML IV PGBK,0.07547169811320754,4,49,7,0.15873015873015872,10,53,13,0.2531652369181873
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV SOLN",0.660377358490566,35,18,66,0.5555555555555556,35,28,47,0.26106499067926925
ACETAMINOPHEN 650 MG/20.3 ML PO SOLN,0.16981132075471697,9,44,21,0.09523809523809523,6,57,9,0.27438411024368
METOPROLOL SUCCINATE 25 MG PO TB24,0.16981132075471697,9,44,15,0.09523809523809523,6,57,8,0.27438411024368
METOPROLOL TARTRATE 50 MG PO TABS,0.2830188679245283,15,38,31,0.19047619047619047,12,51,25,0.27483367643917034
ACETAMINOPHEN 325 MG PO TABS,0.8113207547169812,43,10,106,0.7142857142857143,45,18,95,0.27828538204776737
SUGAMMADEX 100 MG/ML IV SOLN,0.03773584905660377,2,51,2,0.09523809523809523,6,57,8,0.28688571177024674
GLUCOSE 4 GRAM PO CHEW,0.9622641509433962,51,2,78,0.9047619047619048,57,6,66,0.2868857117702468
EPINEPHRINE HCL IN 0.9 % NACL 100 MCG/10 ML (10 MCG/ML) IV SYRG,0.11320754716981132,6,47,8,0.047619047619047616,3,60,4,0.2970137894435988
NICARDIPINE IN NACL (ISO-OS) 40 MG/200 ML (0.2 MG/ML) IV PGBK,0.11320754716981132,6,47,8,0.047619047619047616,3,60,3,0.2970137894435988
LIDOCAINE 5 % TP PTMD,0.39622641509433965,21,32,42,0.30158730158730157,19,44,33,0.32959199767374336
BARIUM SULFATE 40 % (W/V) 29% (W/W) PO SUSP,0.05660377358490566,3,50,3,0.015873015873015872,1,62,1,0.3302021090060465
CASPOFUNGIN IVPB (LOAD),0.05660377358490566,3,50,3,0.015873015873015872,1,62,1,0.3302021090060465
SULFAMETHOXAZOLE-TRIMETHOPRIM 800-160 MG PO TABS,0.05660377358490566,3,50,4,0.015873015873015872,1,62,1,0.3302021090060465
LEVOTHYROXINE 100 MCG PO TABS,0.05660377358490566,3,50,5,0.015873015873015872,1,62,3,0.3302021090060465
"PHOS DIALY NO.3 W-OUT CALC,DEX K (4)-MG (1.5 MEQ/L)-PO4 (1) HEMODIAL SOLN",0.05660377358490566,3,50,7,0.015873015873015872,1,62,1,0.3302021090060465
INSULIN LISPRO 100 UNIT/ML SC AGGRESSIVE SCALE NPO,0.05660377358490566,3,50,3,0.015873015873015872,1,62,1,0.3302021090060465
PIPERACILLIN-TAZOBACTAM-DEXTRS 3.375 GRAM/50 ML IV PGBK,0.05660377358490566,3,50,6,0.015873015873015872,1,62,2,0.3302021090060465
BENZONATATE 100 MG PO CAPS,0.05660377358490566,3,50,4,0.015873015873015872,1,62,1,0.3302021090060465
MEROPENEM 1 GRAM/50 ML NS MINIBAG PLUS,0.05660377358490566,3,50,9,0.015873015873015872,1,62,2,0.3302021090060465
CARVEDILOL 25 MG PO TABS,0.05660377358490566,3,50,9,0.015873015873015872,1,62,2,0.3302021090060465
INSULIN REGULAR 100 UNIT/ML SC AGGRESSIVE SCALE NPO,0.05660377358490566,3,50,3,0.015873015873015872,1,62,1,0.3302021090060465
CALCIUM CHLORIDE 8 G/1000 ML NS IV INFUSION - PREMIX,0.05660377358490566,3,50,6,0.015873015873015872,1,62,1,0.3302021090060465
HYDROMORPHONE 20 MG IN NS 100 ML IV INFUSION,0.05660377358490566,3,50,4,0.015873015873015872,1,62,2,0.3302021090060465
ACETAMINOPHEN 500 MG/50 ML (10 MG/ML) IV SOLN,0.05660377358490566,3,50,3,0.015873015873015872,1,62,1,0.3302021090060465
ACETAMINOPHEN 650 MG PR SUPP,0.05660377358490566,3,50,3,0.015873015873015872,1,62,1,0.3302021090060465
PROCHLORPERAZINE MALEATE 5 MG PO TABS,0.05660377358490566,3,50,4,0.015873015873015872,1,62,1,0.3302021090060465
BICARB DIAL SOLN15 WITHOUT CAL K (4 MEQ/L) -MG (1.2 MEQ/L) HEMODIAL SOLN,0.05660377358490566,3,50,9,0.015873015873015872,1,62,2,0.3302021090060465
HYDRALAZINE 10 MG PO TABS,0.05660377358490566,3,50,4,0.015873015873015872,1,62,1,0.3302021090060465
ZOLPIDEM 5 MG PO TABS,0.05660377358490566,3,50,5,0.015873015873015872,1,62,1,0.3302021090060465
SODIUM CHLORIDE 0.9 % IRRIG SOLN,0.05660377358490566,3,50,3,0.015873015873015872,1,62,1,0.3302021090060465
NITROPRUSSIDE IN 0.9 % NACL 50 MG/100 ML (0.5 MG/ML) IV SOLN,0.1320754716981132,7,46,9,0.20634920634920634,13,50,22,0.33231656524004044
AMLODIPINE 10 MG PO TABS,0.22641509433962265,12,41,25,0.14285714285714285,9,54,14,0.33345897647843453
AMIODARONE 200 MG PO TABS,0.4339622641509434,23,30,67,0.3333333333333333,21,42,43,0.33727128293533776
D5 %-0.45 % SODIUM CHLORIDE IV SOLP,0.1320754716981132,7,46,9,0.06349206349206349,4,59,5,0.3405633175438535
TERAZOSIN 1 MG PO CAPS,0.1320754716981132,7,46,17,0.06349206349206349,4,59,11,0.3405633175438535
"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.9433962264150944,50,3,69,0.8888888888888888,56,7,63,0.34117886815724663
ZZZ IMS TEMPLATE,0.4716981132075472,25,28,56,0.38095238095238093,24,39,31,0.3505689936580286
PANTOPRAZOLE 40 MG PO TBEC,0.5849056603773585,31,22,67,0.49206349206349204,31,32,53,0.35392414709908876
APIXABAN 5 MG PO TABS,0.24528301886792453,13,40,41,0.1746031746031746,11,52,21,0.36768689839183116
ESCITALOPRAM OXALATE 10 MG PO TABS,0.018867924528301886,1,52,2,0.06349206349206349,4,59,6,0.37357031777543925
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.9811320754716981,52,1,103,0.9365079365079365,59,4,84,0.37357031777543925
MILRINONE IN 5 % DEXTROSE 20 MG/100 ML (200 MCG/ML) IV PGBK,0.2830188679245283,15,38,21,0.20634920634920634,13,50,15,0.3873370320088917
IODIXANOL 320 MG IODINE/ML IV SOLN + PLUSPAK (RADIOLOGY) 200 ML,0.1509433962264151,8,45,9,0.09523809523809523,6,57,7,0.40192603237935154
WARFARIN 5 MG PO TABS,0.1509433962264151,8,45,20,0.09523809523809523,6,57,11,0.40192603237935154
INSULIN LISPRO 100 UNIT/ML SC MILD SCALE FEEDING (MEALS),0.22641509433962265,12,41,13,0.30158730158730157,19,44,21,0.40493629021239863
INSULIN LISPRO 100 UNIT/ML SC MILD SCALE FEEDING (BEDTIME),0.22641509433962265,12,41,13,0.30158730158730157,19,44,21,0.40493629021239863
"AMIODARONE IN DEXTROSE,ISO-OSM 360 MG/200 ML (1.8 MG/ML) IV SOLN",0.07547169811320754,4,49,10,0.031746031746031744,2,61,2,0.40985002910118606
IOPAMIDOL 61 % IV SOLN (RADIOLOGY) 500 ML,0.07547169811320754,4,49,4,0.031746031746031744,2,61,2,0.40985002910118606
VANCOMYCIN-WATER INJECT (PEG) 1.5 GRAM/300 ML IV PGBK,0.07547169811320754,4,49,4,0.031746031746031744,2,61,2,0.40985002910118606
BUMETANIDE IV INFUSION,0.07547169811320754,4,49,7,0.031746031746031744,2,61,2,0.40985002910118606
INSULIN LISPRO 100 UNIT/ML SC MILD SCALE NPO,0.07547169811320754,4,49,4,0.031746031746031744,2,61,2,0.40985002910118606
WARFARIN 2.5 MG PO TABS,0.07547169811320754,4,49,8,0.031746031746031744,2,61,3,0.40985002910118606
METOPROLOL TARTRATE 25 MG PO TABS,0.6415094339622641,34,19,142,0.7142857142857143,45,18,127,0.42969884593995616
CARVEDILOL 3.125 MG PO TABS,0.18867924528301888,10,43,18,0.12698412698412698,8,55,13,0.44310807552586057
AMLODIPINE 5 MG PO TABS,0.4339622641509434,23,30,66,0.3492063492063492,22,41,44,0.4445431661123955
DOCUSATE SODIUM 100 MG PO CAPS,0.5283018867924528,28,25,90,0.6031746031746031,38,25,101,0.4554543391450734
TRAMADOL 50 MG PO TABS,0.1320754716981132,7,46,11,0.19047619047619047,12,51,18,0.4573078805310713
FUROSEMIDE 20 MG PO TABS,0.5660377358490566,30,23,52,0.49206349206349204,31,32,42,0.45982710691787687
HYDRALAZINE 20 MG/ML INJ SOLN (24 HOUR STOP TIME),0.20754716981132076,11,42,22,0.14285714285714285,9,54,21,0.4605920585956298
WARFARIN 2 MG PO TABS,0.09433962264150944,5,48,9,0.047619047619047616,3,60,7,0.46626250911756656
LACTULOSE 20 GRAM/30 ML PO SOLN,0.09433962264150944,5,48,16,0.047619047619047616,3,60,3,0.46626250911756656
CARVEDILOL 12.5 MG PO TABS,0.09433962264150944,5,48,10,0.047619047619047616,3,60,4,0.46626250911756656
HYDRALAZINE 50 MG PO TABS,0.09433962264150944,5,48,11,0.047619047619047616,3,60,9,0.46626250911756656
BISACODYL 10 MG PR SUPP,1.0,53,0,121,0.9682539682539683,61,2,107,0.499400299850075
ALUM-MAG HYDROXIDE-SIMETH 200-200-20 MG/5 ML PO SUSP,0.05660377358490566,3,50,5,0.09523809523809523,6,57,9,0.5057986195533024
FERROUS SULFATE 325 MG (65 MG IRON) PO TABS,0.9433962264150944,50,3,79,0.9047619047619048,57,6,80,0.5057986195533024
BENZOCAINE-MENTHOL SUGAR FREE MAXIMUM STRENGTH LOZG,0.9433962264150944,50,3,54,0.9047619047619048,57,6,58,0.5057986195533024
LISINOPRIL 5 MG PO TABS,0.11320754716981132,6,47,12,0.06349206349206349,4,59,11,0.5088207348369849
VANCOMYCIN-WATER INJECT (PEG) 1 GRAM/200 ML IV PGBK,0.2641509433962264,14,39,18,0.20634920634920634,13,50,18,0.5127908310417499
HYDRALAZINE 20 MG/ML INJ SOLN,0.22641509433962265,12,41,31,0.2857142857142857,18,45,37,0.5271839777305141
SODIUM PHOSPHATES 19-7 GRAM/118 ML PR ENEM,0.07547169811320754,4,49,6,0.12698412698412698,8,55,11,0.5423742835013905
IOPAMIDOL 76 % IV SOLN (RADIOLOGY) 100 ML,0.11320754716981132,6,47,6,0.07936507936507936,5,58,6,0.5458455278743253
ATORVASTATIN 20 MG PO TABS,0.11320754716981132,6,47,9,0.07936507936507936,5,58,6,0.5458455278743253
FUROSEMIDE IV INFUSION,0.11320754716981132,6,47,7,0.07936507936507936,5,58,6,0.5458455278743253
