Code	Category	Code_Type	Source
J701	COPD	ICD10	MHCP_Charlson
J703	COPD	ICD10	MHCP_Charlson
M05	Rheumatic	ICD10	MHCP_Charlson
M32	Rheumatic	ICD10	MHCP_Charlson
M33	Rheumatic	ICD10	MHCP_Charlson
M34	Rheumatic	ICD10	MHCP_Charlson
M06	Rheumatic	ICD10	MHCP_Charlson
M315	Rheumatic	ICD10	MHCP_Charlson
M351	Rheumatic	ICD10	MHCP_Charlson
M353	Rheumatic	ICD10	MHCP_Charlson
M360	Rheumatic	ICD10	MHCP_Charlson
K25	Peptic Ulcer	ICD10	MHCP_Charlson
K26	Peptic Ulcer	ICD10	MHCP_Charlson
K27	Peptic Ulcer	ICD10	MHCP_Charlson
K28	Peptic Ulcer	ICD10	MHCP_Charlson
B18	Liver Mild	ICD10	MHCP_Charlson
K73	Liver Mild	ICD10	MHCP_Charlson
K74	Liver Mild	ICD10	MHCP_Charlson
K700	Liver Mild	ICD10	MHCP_Charlson
K701	Liver Mild	ICD10	MHCP_Charlson
K702	Liver Mild	ICD10	MHCP_Charlson
K703	Liver Mild	ICD10	MHCP_Charlson
K709	Liver Mild	ICD10	MHCP_Charlson
K717	Liver Mild	ICD10	MHCP_Charlson
K713	Liver Mild	ICD10	MHCP_Charlson
K714	Liver Mild	ICD10	MHCP_Charlson
K715	Liver Mild	ICD10	MHCP_Charlson
K760	Liver Mild	ICD10	MHCP_Charlson
K762	Liver Mild	ICD10	MHCP_Charlson
K763	Liver Mild	ICD10	MHCP_Charlson
K764	Liver Mild	ICD10	MHCP_Charlson
K768	Liver Mild	ICD10	MHCP_Charlson
K769	Liver Mild	ICD10	MHCP_Charlson
Z944	Liver Mild	ICD10	MHCP_Charlson
E100	Diabetes	ICD10	MHCP_Charlson
E101	Diabetes	ICD10	MHCP_Charlson
E106	Diabetes	ICD10	MHCP_Charlson
E108	Diabetes	ICD10	MHCP_Charlson
E109	Diabetes	ICD10	MHCP_Charlson
E110	Diabetes	ICD10	MHCP_Charlson
E111	Diabetes	ICD10	MHCP_Charlson
E116	Diabetes	ICD10	MHCP_Charlson
E118	Diabetes	ICD10	MHCP_Charlson
E119	Diabetes	ICD10	MHCP_Charlson
E120	Diabetes	ICD10	MHCP_Charlson
E121	Diabetes	ICD10	MHCP_Charlson
E126	Diabetes	ICD10	MHCP_Charlson
E128	Diabetes	ICD10	MHCP_Charlson
E129	Diabetes	ICD10	MHCP_Charlson
E130	Diabetes	ICD10	MHCP_Charlson
E131	Diabetes	ICD10	MHCP_Charlson
E136	Diabetes	ICD10	MHCP_Charlson
E138	Diabetes	ICD10	MHCP_Charlson
E139	Diabetes	ICD10	MHCP_Charlson
E140	Diabetes	ICD10	MHCP_Charlson
E141	Diabetes	ICD10	MHCP_Charlson
E146	Diabetes	ICD10	MHCP_Charlson
E148	Diabetes	ICD10	MHCP_Charlson
E149	Diabetes	ICD10	MHCP_Charlson
E102	DiabetesComplications	ICD10	MHCP_Charlson
E103	DiabetesComplications	ICD10	MHCP_Charlson
E104	DiabetesComplications	ICD10	MHCP_Charlson
E105	DiabetesComplications	ICD10	MHCP_Charlson
E107	DiabetesComplications	ICD10	MHCP_Charlson
E112	DiabetesComplications	ICD10	MHCP_Charlson
E113	DiabetesComplications	ICD10	MHCP_Charlson
E114	DiabetesComplications	ICD10	MHCP_Charlson
E115	DiabetesComplications	ICD10	MHCP_Charlson
E117	DiabetesComplications	ICD10	MHCP_Charlson
E122	DiabetesComplications	ICD10	MHCP_Charlson
E123	DiabetesComplications	ICD10	MHCP_Charlson
E124	DiabetesComplications	ICD10	MHCP_Charlson
E125	DiabetesComplications	ICD10	MHCP_Charlson
E127	DiabetesComplications	ICD10	MHCP_Charlson
E132	DiabetesComplications	ICD10	MHCP_Charlson
E133	DiabetesComplications	ICD10	MHCP_Charlson
E134	DiabetesComplications	ICD10	MHCP_Charlson
E135	DiabetesComplications	ICD10	MHCP_Charlson
E137	DiabetesComplications	ICD10	MHCP_Charlson
E142	DiabetesComplications	ICD10	MHCP_Charlson
E143	DiabetesComplications	ICD10	MHCP_Charlson
E144	DiabetesComplications	ICD10	MHCP_Charlson
E145	DiabetesComplications	ICD10	MHCP_Charlson
E147	DiabetesComplications	ICD10	MHCP_Charlson
G81	Hemiplegia Paraplegia	ICD10	MHCP_Charlson
G82	Hemiplegia Paraplegia	ICD10	MHCP_Charlson
G041	Hemiplegia Paraplegia	ICD10	MHCP_Charlson
G114	Hemiplegia Paraplegia	ICD10	MHCP_Charlson
G801	Hemiplegia Paraplegia	ICD10	MHCP_Charlson
G802	Hemiplegia Paraplegia	ICD10	MHCP_Charlson
G830	Hemiplegia Paraplegia	ICD10	MHCP_Charlson
G831	Hemiplegia Paraplegia	ICD10	MHCP_Charlson
G832	Hemiplegia Paraplegia	ICD10	MHCP_Charlson
G833	Hemiplegia Paraplegia	ICD10	MHCP_Charlson
G834	Hemiplegia Paraplegia	ICD10	MHCP_Charlson
G839	Hemiplegia Paraplegia	ICD10	MHCP_Charlson
N18	Renal	ICD10	MHCP_Charlson
N19	Renal	ICD10	MHCP_Charlson
N052	Renal	ICD10	MHCP_Charlson
N053	Renal	ICD10	MHCP_Charlson
N054	Renal	ICD10	MHCP_Charlson
N055	Renal	ICD10	MHCP_Charlson
N056	Renal	ICD10	MHCP_Charlson
N057	Renal	ICD10	MHCP_Charlson
N250	Renal	ICD10	MHCP_Charlson
I120	Renal	ICD10	MHCP_Charlson
I131	Renal	ICD10	MHCP_Charlson
N032	Renal	ICD10	MHCP_Charlson
N033	Renal	ICD10	MHCP_Charlson
N034	Renal	ICD10	MHCP_Charlson
N035	Renal	ICD10	MHCP_Charlson
N036	Renal	ICD10	MHCP_Charlson
N037	Renal	ICD10	MHCP_Charlson
Z490	Renal	ICD10	MHCP_Charlson
Z491	Renal	ICD10	MHCP_Charlson
Z492	Renal	ICD10	MHCP_Charlson
Z940	Renal	ICD10	MHCP_Charlson
Z992	Renal	ICD10	MHCP_Charlson
C00	Malignancy	ICD10	MHCP_Charlson
C01	Malignancy	ICD10	MHCP_Charlson
C02	Malignancy	ICD10	MHCP_Charlson
C03	Malignancy	ICD10	MHCP_Charlson
C04	Malignancy	ICD10	MHCP_Charlson
C05	Malignancy	ICD10	MHCP_Charlson
C06	Malignancy	ICD10	MHCP_Charlson
C07	Malignancy	ICD10	MHCP_Charlson
C08	Malignancy	ICD10	MHCP_Charlson
C09	Malignancy	ICD10	MHCP_Charlson
C10	Malignancy	ICD10	MHCP_Charlson
C11	Malignancy	ICD10	MHCP_Charlson
C12	Malignancy	ICD10	MHCP_Charlson
C13	Malignancy	ICD10	MHCP_Charlson
C14	Malignancy	ICD10	MHCP_Charlson
C15	Malignancy	ICD10	MHCP_Charlson
C16	Malignancy	ICD10	MHCP_Charlson
C17	Malignancy	ICD10	MHCP_Charlson
C18	Malignancy	ICD10	MHCP_Charlson
C19	Malignancy	ICD10	MHCP_Charlson
C20	Malignancy	ICD10	MHCP_Charlson
C21	Malignancy	ICD10	MHCP_Charlson
C22	Malignancy	ICD10	MHCP_Charlson
C23	Malignancy	ICD10	MHCP_Charlson
C24	Malignancy	ICD10	MHCP_Charlson
C25	Malignancy	ICD10	MHCP_Charlson
C26	Malignancy	ICD10	MHCP_Charlson
C30	Malignancy	ICD10	MHCP_Charlson
C31	Malignancy	ICD10	MHCP_Charlson
C32	Malignancy	ICD10	MHCP_Charlson
C33	Malignancy	ICD10	MHCP_Charlson
C34	Malignancy	ICD10	MHCP_Charlson
C37	Malignancy	ICD10	MHCP_Charlson
C38	Malignancy	ICD10	MHCP_Charlson
C39	Malignancy	ICD10	MHCP_Charlson
C40	Malignancy	ICD10	MHCP_Charlson
C41	Malignancy	ICD10	MHCP_Charlson
C43	Malignancy	ICD10	MHCP_Charlson
C45	Malignancy	ICD10	MHCP_Charlson
C46	Malignancy	ICD10	MHCP_Charlson
C47	Malignancy	ICD10	MHCP_Charlson
C48	Malignancy	ICD10	MHCP_Charlson
C49	Malignancy	ICD10	MHCP_Charlson
C50	Malignancy	ICD10	MHCP_Charlson
C51	Malignancy	ICD10	MHCP_Charlson
C52	Malignancy	ICD10	MHCP_Charlson
C53	Malignancy	ICD10	MHCP_Charlson
C54	Malignancy	ICD10	MHCP_Charlson
C55	Malignancy	ICD10	MHCP_Charlson
C56	Malignancy	ICD10	MHCP_Charlson
C57	Malignancy	ICD10	MHCP_Charlson
C58	Malignancy	ICD10	MHCP_Charlson
C60	Malignancy	ICD10	MHCP_Charlson
C61	Malignancy	ICD10	MHCP_Charlson
C62	Malignancy	ICD10	MHCP_Charlson
C63	Malignancy	ICD10	MHCP_Charlson
C64	Malignancy	ICD10	MHCP_Charlson
C65	Malignancy	ICD10	MHCP_Charlson
C66	Malignancy	ICD10	MHCP_Charlson
C67	Malignancy	ICD10	MHCP_Charlson
C68	Malignancy	ICD10	MHCP_Charlson
C69	Malignancy	ICD10	MHCP_Charlson
C70	Malignancy	ICD10	MHCP_Charlson
C71	Malignancy	ICD10	MHCP_Charlson
C72	Malignancy	ICD10	MHCP_Charlson
C73	Malignancy	ICD10	MHCP_Charlson
C74	Malignancy	ICD10	MHCP_Charlson
C75	Malignancy	ICD10	MHCP_Charlson
C76	Malignancy	ICD10	MHCP_Charlson
C81	Malignancy	ICD10	MHCP_Charlson
C82	Malignancy	ICD10	MHCP_Charlson
C83	Malignancy	ICD10	MHCP_Charlson
C84	Malignancy	ICD10	MHCP_Charlson
C85	Malignancy	ICD10	MHCP_Charlson
C88	Malignancy	ICD10	MHCP_Charlson
C90	Malignancy	ICD10	MHCP_Charlson
C91	Malignancy	ICD10	MHCP_Charlson
C92	Malignancy	ICD10	MHCP_Charlson
C93	Malignancy	ICD10	MHCP_Charlson
C94	Malignancy	ICD10	MHCP_Charlson
C95	Malignancy	ICD10	MHCP_Charlson
C96	Malignancy	ICD10	MHCP_Charlson
C97	Malignancy	ICD10	MHCP_Charlson
K704	Liver ModSevere	ICD10	MHCP_Charlson
K711	Liver ModSevere	ICD10	MHCP_Charlson
K721	Liver ModSevere	ICD10	MHCP_Charlson
K729	Liver ModSevere	ICD10	MHCP_Charlson
K765	Liver ModSevere	ICD10	MHCP_Charlson
K766	Liver ModSevere	ICD10	MHCP_Charlson
K767	Liver ModSevere	ICD10	MHCP_Charlson
I850	Liver ModSevere	ICD10	MHCP_Charlson
I859	Liver ModSevere	ICD10	MHCP_Charlson
I864	Liver ModSevere	ICD10	MHCP_Charlson
I982	Liver ModSevere	ICD10	MHCP_Charlson
C77	Malignancy Metastatic	ICD10	MHCP_Charlson
C78	Malignancy Metastatic	ICD10	MHCP_Charlson
C79	Malignancy Metastatic	ICD10	MHCP_Charlson
C80	Malignancy Metastatic	ICD10	MHCP_Charlson
B20	AIDS/HIV	ICD10	MHCP_Charlson
B21	AIDS/HIV	ICD10	MHCP_Charlson
B22	AIDS/HIV	ICD10	MHCP_Charlson
B24	AIDS/HIV	ICD10	MHCP_Charlson
