proc_code	description	base_name	component_name	count
LABVANPRL	VANCOMYCIN TROUGH LEVEL	VANCOTROUGH	"VANCOMYCIN, TROUGH"	32610
LABVANPRL	VANCOMYCIN TROUGH LEVEL	VANPR2	DATE & TIME OF LAST DOSE	32609
LABVANPRL	VANCOMYCIN TROUGH LEVEL	VANPR3	DOSAGE	32609
LABVANPRL	VANCOMYCIN TROUGH LEVEL	VANPR4	ADMINISTRATION ROUTE	32609
LABMB	"CK, MB (MASS)"	CKMBRI	CKMB %RELATIVE INDEX	31392
LABUA	URINALYSIS WITH MICROSCOPIC	MUCUS	MUCOUS THREADS	31348
LABARVI	BLOOD TYPE VERIFICATION	ARV	BLOOD TYPE VERIFICATION	30954
LABCBCD	CBC WITH DIFF	MONO	MONOCYTES	30873
LABNA	"SODIUM, SERUM / PLASMA"	NA	"SODIUM, SER/PLAS"	30689
LABCBCD	CBC WITH DIFF	MONOAB	"MONO, ABS (MAN DIFF)"	30490
LABCBCD	CBC WITH DIFF	BAND	BAND NEUTROPHILS	30244
LABUA	URINALYSIS WITH MICROSCOPIC	SQEP	SQUAMOUS CELLS	28276
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	SPECMN	SPECIMEN	27414
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	UCOL	COLOR	27414
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	LEUKEST	LEUK ESTERASE	27413
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	NITRITE	NITRITE	27413
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	SPG	SPECIFIC GRAVITY	27413
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	UBLOOD	BLOOD	27413
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	UCLAR	CLARITY	27413
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	UGLU	GLUCOSE	27413
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	UKET	KETONE	27413
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	UPH	PH	27413
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	UPROT	PROTEIN	27413
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	URBC	"RBC, URINE"	27413
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	UWBC	"WBC, URINE"	27413
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	PRN	CULTURE SENT PRN	27412
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	UBACT	BACTERIA	27248
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	UCMT	URINE COMMENT	27244
LABVBG	"BLOOD GASES, VENOUS"	BD	BASE DEFICIT (VT)	26070
LABDIC	DIC SCREEN	DDIMER	D-DIMER	25741
LABDIC	DIC SCREEN	FIBRINOGEN	FIBRINOGEN	25741
LABDIC	DIC SCREEN	INR	INR	25741
LABDIC	DIC SCREEN	PT	PROTHROMBIN TIME	25741
LABDIC	DIC SCREEN	PTT	PART. THROMBOPLASTIN TIME	25741
LABDIC	DIC SCREEN	TT	THROMBIN TIME	25741
LABABG	"BLOOD GASES, ARTERIAL"	BE	BASE EXCESS (VT)	25196
LABBBPPLT	PLATELET APHERESIS PRODUCT	PLT	PLATELETS	24904
LABPCTNI	ISTAT TROPONIN I	PCCOM	POCT COMMENT	23732
LABPCTNI	ISTAT TROPONIN I	TNI	"TROPONIN I, POCT"	23730
LABHEPAR	HEPARIN ACTIVITY LEVEL	HEPAR	HEPARIN ACTIVITY LEVEL	23406
LABA1C	HEMOGLOBIN A1C	A1C	HEMOGLOBIN A1C	22557
LABURIC	"URIC ACID, SERUM / PLASMA"	URIC	"URIC ACID, SER/PLAS"	22354
LABVBG	"BLOOD GASES, VENOUS"	BE	BASE EXCESS (VT)	22180
LABLIPS	LIPASE	LIPASE	LIPASE	22010
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	MUCUS	MUCOUS THREADS	19795
LABTSH	TSH	TSH	TSH	19390
LABTBP2	TRANSFUSION BLOOD PRODUCT 3	SI	<<STATUS>>  	19375
LABTBP2	TRANSFUSION BLOOD PRODUCT 3	PRO	PRODUCT ID  	19372
LABLACWB	"LACTATE, WHOLE BLOOD"	LACWBL	LACWBL	17776
LABUAPRN	"URINALYSIS, SCREEN FOR CULTURE"	SQEP	SQUAMOUS CELLS	16632
LABBBPFFP	FRESH FROZEN PLASMA PRODUCT	FFP	FRESH FROZEN UNITS	16604
LABTBP3	TRANSFUSION BLOOD PRODUCT 4	PRO	PRODUCT ID  	16587
LABTBP3	TRANSFUSION BLOOD PRODUCT 4	SI	<<STATUS>>  	16587
LABCK	"CREATINE KINASE, TOTAL"	CK	"CK, TOTAL"	16129
LABHEPAR	"HEPARIN, UNFRACTIONATED, ANTI XA"	HEPAR	HEPARIN ACTIVITY LEVEL	15974
LABTBP2	TRANSFUSION BLOOD PRODUCT 3	UBT	UNIT BLOOD TYPE  	15817
LABTBP2	TRANSFUSION BLOOD PRODUCT 3	UNT	UNIT NUMBER  	15815
LABCRP	C - REACTIVE PROTEIN	CRP	C-REACTIVE PROTEIN	15445
LABPCCG4V	"ISTAT CG4,VENOUS"	HCO3V	"HCO3 (V), ISTAT"	15206
LABPCCG4V	"ISTAT CG4,VENOUS"	LAC	"LACTATE, ISTAT"	15206
LABPCCG4V	"ISTAT CG4,VENOUS"	PCCOM	POCT COMMENT	15206
LABPCCG4V	"ISTAT CG4,VENOUS"	PCO2V	"PCO2 (V), ISTAT"	15206
LABPCCG4V	"ISTAT CG4,VENOUS"	PHV	"PH (V), ISTAT"	15206
LABPCCG4V	"ISTAT CG4,VENOUS"	TCO2V	"TCO2 (V), ISTAT"	15206
LABPCCG4V	"ISTAT CG4,VENOUS"	O2SATV	"O2 SATURATION, ISTAT"	15205
LABPCCG4V	"ISTAT CG4,VENOUS"	PO2V	"PO2 (V), ISTAT"	15205
LABCBCD	CBC WITH DIFF	META	METAMYELOCYTES	14834
LABFIB	FIBRINOGEN	FIBRINOGEN	FIBRINOGEN	13839
LABPCEG7	"ISTAT EG7, ARTERIAL"	PCCOM	POCT COMMENT	13530
LABPCEG7	"ISTAT EG7, ARTERIAL"	HCO3A	"HCO3 (A), ISTAT"	13529
LABPCEG7	"ISTAT EG7, ARTERIAL"	PCO2A	"PCO2 (A), ISTAT"	13529
LABPCEG7	"ISTAT EG7, ARTERIAL"	PHA	"PH (A), ISTAT"	13529
LABPCEG7	"ISTAT EG7, ARTERIAL"	PO2A	"PO2 (A), ISTAT"	13529
LABPCEG7	"ISTAT EG7, ARTERIAL"	TCO2A	"TCO2, ISTAT"	13529
LABPCEG7	"ISTAT EG7, ARTERIAL"	O2SATA	"O2 SATURATION, ISTAT"	13528
LABTBP3	TRANSFUSION BLOOD PRODUCT 4	UBT	UNIT BLOOD TYPE  	13445
LABTBP3	TRANSFUSION BLOOD PRODUCT 4	UNT	UNIT NUMBER  	13445
LABPCEG7	"ISTAT EG7, ARTERIAL"	HCT	"HCT(CALC), ISTAT"	13376
LABPCEG7	"ISTAT EG7, ARTERIAL"	HGB	"HGB(CALC), ISTAT"	13376
LABPCEG7	"ISTAT EG7, ARTERIAL"	K	"POTASSIUM, ISTAT"	13376
LABPCEG7	"ISTAT EG7, ARTERIAL"	NA	"SODIUM, ISTAT"	13376
LABPCEG7	"ISTAT EG7, ARTERIAL"	CAION	"CALCIUM,ION, ISTAT"	13373
LABCBCD	CBC WITH DIFF	MYEL	MYELOCYTES	13209
LABOSM	"OSMOLALITY, SERUM"	OSMOL	"OSMOLALITY, SERUM"	13181
LABCBCD	CBC WITH DIFF	EOS	EOSINOPHILS	12794
LABNTBNP	NT - PROBNP	BNP	NT-PROBNP	12696
LABCBCD	CBC WITH DIFF	EOSAB	"EOS, ABS (MAN DIFF)"	12648
LABCDTPCR	"C.DIFF TOXIN B GENE, QUAL. REAL-TIME PCR"	CDTR	STOOL C.DIFF TOXIN B RESULT	12622
LABCDTPCR	"C.DIFF TOXIN B GENE, QUAL. REAL-TIME PCR"	CDTSP	SPECIMEN	12622
LABPCEG7V	"ISTAT EG7, VENOUS"	HCO3V	"HCO3 (V), ISTAT"	12341
LABPCEG7V	"ISTAT EG7, VENOUS"	O2SATV	"O2 SATURATION, ISTAT"	12341
LABPCEG7V	"ISTAT EG7, VENOUS"	PCCOM	POCT COMMENT	12341
LABPCEG7V	"ISTAT EG7, VENOUS"	PCO2V	"PCO2 (V), ISTAT"	12341
LABPCEG7V	"ISTAT EG7, VENOUS"	PHV	"PH (V), ISTAT"	12341
LABPCEG7V	"ISTAT EG7, VENOUS"	PO2V	"PO2 (V), ISTAT"	12341
LABPCEG7V	"ISTAT EG7, VENOUS"	TCO2V	"TCO2 (V), ISTAT"	12341
LABPCEG7V	"ISTAT EG7, VENOUS"	CAION	"CALCIUM,ION, ISTAT"	12335
LABPCEG7V	"ISTAT EG7, VENOUS"	HCT	"HCT(CALC), ISTAT"	12335
LABPCEG7V	"ISTAT EG7, VENOUS"	HGB	"HGB(CALC), ISTAT"	12335
LABPCEG7V	"ISTAT EG7, VENOUS"	K	"POTASSIUM, ISTAT"	12335
LABPCEG7V	"ISTAT EG7, VENOUS"	NA	"SODIUM, ISTAT"	12335
LABANER	ANAEROBIC CULTURE	CULT	CULT/OTHER RSLT:	12120
LABANER	ANAEROBIC CULTURE	RPT	RPT	12120
LABANER	ANAEROBIC CULTURE	SDES	SPECIMEN	12120
LABANER	ANAEROBIC CULTURE	SREQ	COMMENTS	12120
EKG5	ECG 12-LEAD	PDF	PDF RESULT	12019
LABCBCD	CBC WITH DIFF	NRBC	NRBC/100WBC	11797
LABBMT2	BMT PANEL 2	CO2	"CO2, SER/PLAS"	11555
LABBMT2	BMT PANEL 2	CR	"CREATININE, SER/PLAS"	11555
LABBMT2	BMT PANEL 2	GLU	"GLUCOSE, SER/PLAS"	11555
LABBMT2	BMT PANEL 2	K	"POTASSIUM, SER/PLAS"	11555
LABBMT2	BMT PANEL 2	NA	"SODIUM, SER/PLAS"	11555
LABGRAM	GRAM STAIN	GS	GRAM STAIN	11525
LABGRAM	GRAM STAIN	RPT	RPT	11525
LABGRAM	GRAM STAIN	SDES	SPECIMEN	11525
LABGRAM	GRAM STAIN	SREQ	COMMENTS	11525
LABBMT1	BMT PANEL 1	ALB	"ALBUMIN, SER/PLAS"	11469
LABBMT1	BMT PANEL 1	ALKP	"ALK P\'TASE, TOTAL, SER/PLAS"	11469
LABBMT1	BMT PANEL 1	ALT	"ALT (SGPT), SER/PLAS"	11469
LABBMT1	BMT PANEL 1	AST	"AST (SGOT), SER/PLAS"	11469
LABBMT1	BMT PANEL 1	CR	"CREATININE, SER/PLAS"	11469
LABBMT1	BMT PANEL 1	GLU	"GLUCOSE, SER/PLAS"	11469
LABBMT1	BMT PANEL 1	K	"POTASSIUM, SER/PLAS"	11469
LABBMT1	BMT PANEL 1	MG	"MAGNESIUM, SER/PLAS"	11469
LABBMT1	BMT PANEL 1	NA	"SODIUM, SER/PLAS"	11469
LABBMT1	BMT PANEL 1	TBIL	TOTAL BILIRUBIN	11469
LABTBP2	TRANSFUSION BLOOD PRODUCT 3	DI	ISSUE DATE/TIME	10889
LABRESP	RESPIRATORY CULTURE	CULT	CULT/OTHER RSLT:	10620
LABRESP	RESPIRATORY CULTURE	RPT	RPT	10620
LABRESP	RESPIRATORY CULTURE	SDES	SPECIMEN	10620
LABRESP	RESPIRATORY CULTURE	SREQ	COMMENTS	10620
