base_name	description	display_name	count
LAB11075R	SMOOTH MUSCLE AB	SMOOTH MUSCLE AB	1115
LAB11075R	SMOOTH MUSCLE AB	Anti-Smooth Muscle AB	60
LAB11075R	SMOOTH MUSCLE AB		42
LAB11075R	ANTI - SMOOTH MUSCLE AB	Anti-Smooth Muscle Ab	1
LAB11075R	ANTI - SMOOTH MUSCLE AB	Anti-Smooth Muscle AB	1
LAB11075R	SMOOTH MUSCLE AB	Anti-Smooth Muscle Ab	1
LAB11077R	CALCITONIN	Calcitonin, Plasma	109
LAB11077R	CALCITONIN	CALCITONIN	56
LAB11077R	CALCITONIN		6
LAB11078R	ACETYLCHOLINESTERASE	ACETYLCHOLINESTERASE	22
LAB11078R	ACETYLCHOLINESTERASE		2
LAB11079R	GABAPENTIN	Gabapentin, Serum/Plasma	68
LAB11079R	GABAPENTIN	GABAPENTIN	58
LAB11079R	GABAPENTIN		6
LAB11080R	GAD AB	GAD AB	42
LAB11080R	GAD AB		10
LAB11080R	GLUTAMIC ACID DECARBOXY AB	Glutamic Acid Decarboxy Ab	1
LAB11080R	GLUTAMIC ACID DECARBOXY AB		1
LAB11081R	GASTRIN	GASTRIN	385
LAB11081R	GASTRIN		26
LAB11084R	LORAZEPAM LEVEL	LORAZEPAM LEVEL	10
LAB11084R	LORAZEPAM LEVEL	Lorazepam, Serum	2
LAB11085R	MYELOPEROXIDASE ANTIBODY	Myeloperoxidase Antibody	156
LAB11085R	MPO AB	MPO AB	110
LAB11085R	MYELOPEROXIDASE ANTIBODY	MYELOPEROXIDASE ANTIBODY	108
LAB11085R	MYELOPEROXIDASE ANTIBODY	MPO AB	64
LAB11085R	MPO AB		18
LAB11086R	NORTRIPTYLINE LEVEL	NORTRIPTYLINE LEVEL	180
LAB11086R	NORTRIPTYLINE LEVEL		10
LAB11088R	PP	PP	42
LAB11089R	ACID PHOSPHATASE	ACID PHOSPHATASE	4
LAB11089R	ACID PHOSPHATASE		2
LAB11090R	PARIETAL CELL AB	PARIETAL CELL AB	36
LAB11091R	QUINIDINE LEVEL	QUINIDINE LEVEL	27
LAB11092R	RENIN	RENIN	364
LAB11092R	RENIN		26
LAB11092R	RENIN ACTIVITY, PLASMA	Renin Activity, Plasma	2
LAB11092R	RENIN	Renin Activity, Plasma	1
LAB11093R	SCL 70 AB	SCL 70 AB	202
LAB11093R	SCL 70 AB		7
LAB11093R	AUTOANTIBODIES TO SCL 70	AutoAb To Scl 70	1
LAB11093R	SCL 70 AB	AutoAb To Scl 70	1
LAB11094R	RO AB	RO AB	285
LAB11094R	RO AB		12
LAB11094R	RO AB	AutoAb To SS-A/RO	2
LAB11095R	LA AB	LA AB	272
LAB11095R	LA AB		14
LAB11095R	LA AB	AutoAb To SS-B/LA	2
LAB11096R	ALPHA 1 ANTITRYPSIN, STOOL	ALPHA 1 ANTITRYPSIN, STOOL	298
LAB11096R	ALPHA 1 ANTITRYPSIN, STOOL		88
LAB11096R	ALPHA 1 ANTITRYPSIN, STOOL	Alpha-1-Antitrypsin,Stool	28
LAB11096R	ALPHA-1-ANTITRYPSIN, FECAL	Alpha-1-Antitrypsin, Fecal	2
LAB11097R	TSH RECEPTOR AB, STIM	TSI, Serum	223
LAB11097R	TSH RECEPTOR AB, STIM		14
LAB11097R	TSH RECEPTOR AB, STIM	TSH RECEPTOR AB, STIM	2
LAB11097R	TSI, SERUM	TSI, Serum	1
LAB11098R	1 25 OH VITAMIN D	1 25 OH Vitamin D	515
LAB11098R	1 25 OH VITAMIN D	1 25 OH VITAMIN D	80
LAB11098R	1 25 OH VITAMIN D		70
LAB11098R	1 25 OH VITAMIN D	Vit D 1,25-Dihydroxy Serum	10
LAB11098R	PEDIATRIC 1 25 OH VITAMIN D	Pediatric 1 25 OH Vitamin D	3
LAB11098R	1 25 OH VITAMIN D	Pediatric 1 25 OH Vitamin D	1
LAB11098R	1 25 OH VITAMIN D	Vitamin D 1,25-Dihydroxy, Serum	1
LAB11098R	1,25-DIHYDROXYVITAMIN D, SERUM	Vitamin D 1,25-Dihydroxy, Serum	1
LAB11099R	VIP	VIP	114
LAB11099R	VIP		8
LAB11100R	RIBOFLAVIN	RIBOFLAVIN	30
LAB11100R	RIBOFLAVIN		2
LAB11101R	VITAMIN C	VITAMIN C	141
LAB11101R	VITAMIN C		2
LAB11102R	VITAMIN E	VITAMIN E	277
LAB11102R	VITAMIN E		8
LAB11105R	CANDIDA AB	CANDIDA AB	4
LAB11106R	HBE AB	HEPATITIS B E AB	171
LAB11106R	HBE AB	HBE AB	34
LAB11106R	HBE AB	Hepatitis B E AB	22
LAB11106R	HBE AB	Hepatitis B E Ab	21
LAB11106R	HBE AB		10
LAB11106R	HEPATITIS B E AB	Hepatitis B E Ab	1
LAB11106R	HEPATITIS B E AB	Hepatitis B E AB	1
LAB11107R	HBE ANTIGEN	HEPATITIS B E AG	203
LAB11107R	HBE ANTIGEN	HBE ANTIGEN	43
LAB11107R	HBE ANTIGEN	Hepatitis B E Antigen	20
LAB11107R	HBE ANTIGEN		10
LAB11107R	HBE ANTIGEN	Hepatitis B E Ag	2
LAB11107R	HEPATITIS B E AG	Hepatitis B E Antigen	1
LAB11112R	DONOR TOXOPLASMA AB	DONOR TOXOPLASMA AB	12
LAB11112R	DONOR TOXOPLASMA AB		4
LAB11113R	TOXOPLASMA AB, IGA	TOXOPLASMA AB, IGA	10
LAB11113R	TOXOPLASMA AB, IGA		2
LAB11116R	FANCONI MUTATION ANALYSIS	FANCONI MUTATION ANALYSIS	6
LAB11118R	ELASTASE, STOOL	ELASTASE, STOOL	470
LAB11118R	ELASTASE, STOOL		88
LAB11118R	ELASTASE, STOOL	Elastase-1,Stool	23
LAB11118R	ELASTASE - 1,STOOL		2
LAB11120R	TOXOPLASMOSIS, CSF	TOXOPLASMOSIS, CSF	117
LAB11120R	TOXOPLASMOSIS, CSF		42
LAB11120R	TOXOPLASMOSIS, CSF	Toxoplasmosis, CSF	22
LAB11121R	TOXOPLASMA IGG DYE TEST	Toxoplasma IgG Dye Test	4
LAB11122R	TOXOPLASMA AB, IGM	TOXOPLASMA AB, IGM	60
LAB11122R	TOXOPLASMA AB, IGM		16
LAB11122R	TOXOPLASMA IGM ELISA	Toxoplasma IgM ELISA	6
LAB11122R	TOXOPLASMA IGM ELISA		2
LAB11122R	TOXOPLASMOSIS IGM		1
LAB11123R	COCCI CF AB, CSF	COCCI CF AB, CSF	956
LAB11123R	COCCI CF AB, CSF		221
LAB11123R	COCCI CF AB, CSF	Coccidioides Complement Fixation, CSF	162
LAB11123R	COCCI CF AB, CSF	Coccidioides Comp Fix, CSF	64
LAB11123R	COCCIDIOIDES COMPLEMENT FIXATION, CSF	Coccidioides Complement Fixation, CSF	2
LAB11123R	COCCIDIOIDES COMPLEMENT FIXATION, CSF		1
LAB11124R	COCCI CF	COCCI CF	2090
LAB11124R	COCCI CF		134
LAB11124R	COCCI CF	Coccidioides Comp Fix, Serum	17
LAB11124R	COCCI CF	Coccidioides Complement Fixation, Serum	11
LAB11124R	COCCIDIOIDES COMPLEMENT FIXATION, SERUM	Coccidioides Complement Fixation, Serum	10
LAB11125R	COCCI ID	Cocci ID (Serum)	3180
LAB11125R	COCCI ID		210
LAB11125R	COCCI ID	COCCI ID	80
LAB11125R	COCCI ID	Cocci ID (Serum) (Phase II labs to be drawn on the second day)	3
LAB11125R	COCCI ID (SERUM)	Cocci ID (Serum)	1
LAB11125R	COCCI ID (SERUM)		1
LAB11126R	ASCARIASIS	ASCARIASIS	22
LAB11126R	ASCARIASIS		2
LAB11127R	CASPOFUNGIN LEVEL	CASPOFUNGIN LEVEL	74
LAB11127R	CASPOFUNGIN LEVEL		10
LAB11128R	FUNGAL MIC		86
LAB11128R	FUNGAL MIC	FUNGAL MIC	4
LAB11129R	KETOCONAZOLE LEVEL	KETOCONAZOLE LEVEL	2
LAB11131R	VORICONAZOLE LEVEL	VORICONAZOLE LEVEL	1343
LAB11131R	VORICONAZOLE LEVEL		115
LAB11131R	VORICONAZOLE LEVEL	Voriconazole Level	5
LAB11132R	DONOR HEP B SURF. AG		50
LAB11132R	DONOR HEP B SURF. AG	DONOR HEP B SURF. AG	12
LAB11133R	DONOR HBC AB		50
LAB11133R	DONOR HBC AB	DONOR HBC AB	16
LAB11134R	DONOR HCV AB		54
LAB11134R	DONOR HCV AB	DONOR HCV AB	18
LAB11136R	HTLV AB	HTLV-1 AB SCREEN	419
LAB11136R	HTLV AB	HTLV-1 Ab Screen	164
LAB11136R	HTLV AB		88
LAB11136R	HTLV AB	HTLV AB	58
LAB11136R	HTLV-1 AB SCREEN	HTLV-1 Ab Screen	3
LAB11137R	HSV AB, IMMUNOBLOT	HSV AB, IMMUNOBLOT	4
LAB11138R	HIV PHENO EXPR ANTIVIR RESIST	PHENOSENSE HIV SELECT	2
LAB11139R	CARDIAC REJECTION RISK	CARDIAC REJECTION RISK	16
LAB11139R	CARDIAC REJECTION RISK		6
LAB11140R	MATERNAL SCREEN	MATERNAL SCREEN	6
LAB11140R	MATERNAL SCREEN		2
LAB11145R	ADULTERANTS SURVEY, URINE		376
LAB11145R	ADULTERANTS SURVEY, URINE	Adulterants Survey, Urine	108
LAB11153R	HERPES VIRUS 6 DNA, QUANT		101
LAB11153R	HERPES VIRUS 6 DNA, QUANT	Herpes Virus 6 DNA, Quant	55
LAB11170R	PREGABALIN	PREGABALIN	12
LAB11170R	PREGABALIN	Pregablin	4
LAB11170R	PREGABALIN		2
LAB11173R	IODINE	IODINE	5
LAB11175R	LIPASE,BF	LIPASE,BF	140
LAB11175R	LIPASE,BF		36
LAB11179R	NICOTINE & METABOLITES, U	NICOTINE & METABOLITES, U	52
LAB11179R	NICOTINE & METABOLITES, U		18
LAB11182R	NICOTINE & METABOLITES	NICOTINE & METABOLITES	57
LAB11182R	NICOTINE & METABOLITES		4
LAB11188R	M. PNEUMONIAE DNA	M. PNEUMONIAE DNA	16
LAB11190R	BORRELIA HERMSII AB PANL	BORRELIA HERMSII AB PANL	10
LAB11190R	BORRELIA HERMSII AB PANL		2
LAB11195R	N-TELOPEPTIDE, CROSS-LINKED	N-TELOPEPTIDE, CROSS-LINKED	4
LAB11198R	VIT A & VIT E	VIT A & VIT E	35
LAB11198R	VIT A & VIT E		4
LAB11199R	PARANEOPLASTIC AUTOANTIBODY EVAL, SERUM	Paraneoplastic Autoantibody Eval, Serum	185
LAB11199R	PARANEOPLASTIC AUTOAB EVAL	PARANEOPLASTIC AUTOAB EVAL	179
LAB11199R	PARANEOPLASTIC AUTOAB EVAL		30
LAB11214R	BETA-2 TRANSFERRIN, BF	BETA-2 TRANSFERRIN, BF	207
LAB11214R	BETA-2 TRANSFERRIN, BF		74
LAB11217R	IRON,LIVER TISSUE	IRON,LIVER TISSUE	6
LAB11219R	IODINE,U	IODINE,U	6
LAB11225R	LEAD,U	LEAD,U	6
LAB11229R	METANEPHRINE,FRACT,RANM U	METANEPHRINE,FRACT,RANM U	76
LAB11229R	METANEPHRINE,FRACT,RANM U		18
LAB11234R	VZV TOTAL AND IGM AB PANEL	VZV TOTAL AND IGM AB PANEL	533
LAB11234R	VZV TOTAL AND IGM AB PANEL		16
LAB11238R	HERPESVIRUS-8 IGG AB	HERPESVIRUS-8 IGG AB	16
LAB11240R	MEASLES IGG	MEASLES IGG	30
LAB11242R	VZV QUANT	VZV QUANT	595
LAB11242R	VZV QUANT		96
LAB11250R	HHV-8 DNA, QUANT	HHV-8 DNA, QUANT	180
LAB11250R	HHV-8 DNA, QUANT		6
LAB11253R	HELICOBACTER PYLORI AGA AB	HELICOBACTER PYLORI AGA AB	81
LAB11253R	HELICOBACTER PYLORI AGA AB		8
LAB11254R	M AVIUM COMPLEX MIC PANL	M AVIUM COMPLEX MIC PANL	2
LAB11265R	ENTAMOEBA HISTOLYTICA AG	ENTAMOEBA HISTOLYTICA AG	204
LAB11265R	ENTAMOEBA HISTOLYTICA AG		48
LAB11269R	ACETYL RECEPTOR AB PANL	ACETYL RECEPTOR AB PANL	2
LAB11269R	ACETYL RECEPTOR AB PANL		2
LAB11299R	SULFONYLUREA HYPOGLYCEMICS	Sulfonylurea Hypoglycemics	3
LAB11299R	SULFONYLUREA HYPOGLYCEMICS		2
LAB11312R	SOLUBLE LIVER AG AB, IGG	SOLUBLE LIVER AG AB, IGG	43
LAB11322R	MOTOR NEUROPATHY AB SCREEN	CO-GM1 TRIAD AB TEST	10
LAB11322R	MOTOR NEUROPATHY AB SCREEN	MOTOR NEUROPATHY AB SCREEN	2
LAB11324R	CADASIL EVALUATION, COMPLETE	CADASIL EVALUATION, COMPLETE	12
LAB11324R	CADASIL EVALUATION, COMPLETE		2
LAB11340R	ADAMTS 13 PROFILE	ADAMTS 13 PROFILE	24
LAB11340R	ADAMTS 13 PROFILE		10
LAB11343R	SRA UNFRACTIONATED HEPARIN	SRA UNFRACTIONATED HEPARIN	223
LAB11343R	SRA UNFRACTIONATED HEPARIN		8
LAB11347R	C-TELOPEPTIDE	C-TELOPEPTIDE	2
LAB11357R	FAMILIAL MEDITERRANEAN FEVER	FAMILIAL MEDITERRANEAN FEVER	18
LAB11357R	FAMILIAL MEDITERRANEAN FEVER		4
LAB11365R	FAMILIAL HIBERNIAN FEVER/TRAPS	FAMILIAL HIBERNIAN FEVER/TRAPS	6
LAB11369R	LEUKEMIA/LYMPHOMA IMMUPHENTYP	LEUKEMIA/LYMPHOMA IMMUPHENTYP	8
LAB11369R	LEUKEMIA/LYMPHOMA IMMUPHENTYP		8
LAB11373R	MARFAN(FBN1) SEQUENCING	MARFAN(FBN1) SEQUENCING	6
LAB11373R	MARFAN(FBN1) SEQUENCING		4
LAB11375R	OSTEOGENESIS IMPERFECTA SEQUEN	OSTEOGENESIS IMPERFECTA SEQUEN	4
LAB11401R	HALIBUT IGE	HALIBUT IGE	2
LAB11401R	HALIBUT IGE		2
LAB11429R	PTERINS, URINE/BLOOD	TETRAHYDROBIOPTERIN&NEOPTERIN	1
LAB11435R	CELIAC GENETICS	CELIAC GENETICS	10
LAB11436R	SERM INFLIXIMAB/HACA MEASUREMT	SERM INFLIXIMAB/HACA MEASUREMT	1
LAB11437R	IBD DIAGNOSTIC	IBD DIAGNOSTIC	10
LAB11438R	CHLAMYDIA TRACHOMATIS CULTURE	Chlamydia Trachomatis Culture	25
LAB11440R	H. PYLORI UREA BREATH TEST	H. PYLORI UREA BREATH TEST	37
LAB11443R	NF-1 DNA TESTING COMP TEST 1	NEUROFIBROMATOSIS TYPE	2
LAB11444R	RESPIRATORY VIRAL PANL PCR	RESPIRATORY VIRAL PANL PCR	2
LAB11512R	CYSTIC FIBROSIS, SEQUENCING	CYSTIC FIBROSIS, SEQUENCING	16
LAB11512R	CYSTIC FIBROSIS, SEQUENCING		2
LAB11516R	PANCREATITIS PANEL	PANCREATITIS PANEL	19
LAB11518R	BCR-ABL1 KINASE DOMAIN MUT ANL	BCR-ABL1 KINASE DOMAIN MUT ANL	6
LAB11522R	HU AB	HU AB	27
LAB11522R	HU AB		4
LAB11523R	GQ1B AB	GQ1B AB	118
LAB11523R	GQ1B AB		12
LAB11525R	MUSCLE TYROSINE KINASE AB	MUSCLE TYROSINE KINASE AB	62
LAB11525R	MUSCLE TYROSINE KINASE AB		2
LAB11526R	K CHANNEL AB	K CHANNEL AB	30
LAB11526R	K CHANNEL AB		2
LAB11527R	SPINAL MUSCULAR ATROPHY DIAGNO	SPINAL MUSCULAR ATROPHY DIAGNO	4
LAB11528R	PERIPHERAL NEUROPATHY AB SCN	PERIPHERAL NEUROPATHY AB SCN	2
LAB11529R	ENCEPHALITIS AB SCREEN	ENCEPHALITIS AB SCREEN	9
LAB11529R	ENCEPHALITIS AB SCREEN		3
LAB11530R	CEREBELLAR PARANEOPLASTIC AB	CEREBELLAR PARANEOPLASTIC AB	16
LAB11530R	CEREBELLAR PARANEOPLASTIC AB	Cerebellar Paraneoplastic AB	4
LAB11530R	CEREBELLAR PARANEOPLASTIC AB		2
LAB11531R	PARANEOPLASTIC AB SCREEN	PARANEOPLASTIC AB SCREEN	200
LAB11531R	PARANEOPLASTIC AB SCREEN		12
LAB11533R	SENSORIMOTOR SCREEN AB	SENSORIMOTOR SCREEN AB	2
LAB11534R	MTDNA SCREENING PANEL	MTDNA SCREENING PANEL	2
LAB11534R	MTDNA SCREENING PANEL		2
LAB11540R	OTC SEQUENCING	OTC SEQUENCING	4
LAB11547R	HEPATITIS C CONFIRMATORY TEST	HEPATITIS C CONFIRMATORY TEST	62
LAB11547R	HEPATITIS C CONFIRMATORY TEST		2
LAB11549R	CALIFORNIA ENCEPHALITIS PANEL	CALIFORNIA ENCEPHALITIS PANEL	131
LAB11549R	CALIFORNIA ENCEPHALITIS PANEL		70
LAB11551R	NK FUNCTION	NK FUNCTION	117
LAB11551R	NK FUNCTION		18
LAB11554R	S-SULFOCYSTEINE, URINE	S-SULFOCYSTEINE, URINE	4
LAB11556R	BLASTOMYCES SEROLOGIES	BLASTOMYCES SEROLOGIES	255
LAB11556R	BLASTOMYCES SEROLOGIES		12
LAB11562R	LYMPHOCYTIC CHORIOMENINGITI AB	LYMPHOCYTIC CHORIOMENINGITI AB	60
LAB11562R	LYMPHOCYTIC CHORIOMENINGITI AB		2
LAB11565R	PARVOVIRUS B19 DNA, QUANT	PARVOVIRUS B19 DNA, QUANT	2
LAB11566R	ENTEROVIRUS RNA, QUAL	ENTEROVIRUS RNA, QUAL	70
LAB11566R	ENTEROVIRUS RNA, QUAL		20
LAB11567R	HTLV-I/II AB, CSF	HTLV-I/II AB, CSF	20
LAB11567R	HTLV-I/II AB, CSF		12
LAB11568R	BRUCELLA SEROLOGIES, CSF	BRUCELLA SEROLOGIES, CSF	4
LAB11570R	SPINAL MUSC ATROPHY CARRIER	SPINAL MUSC ATROPHY CARRIER	2
LAB11571R	CYSTIC FIBROSIS, 97 MUTATIONS	CYSTIC FIBROSIS, 97 MUTATIONS	6
LAB11571R	CYSTIC FIBROSIS, 97 MUTATIONS		4
LAB11572R	TAY-SACHS ENZYME (LEUKOCYTES)	TAY-SACHS ENZYME (LEUKOCYTES)	4
LAB11573R	CONGENITAL CYCLIC NEUTROPENIA	Congenital Cyclic Neutropenia	2
LAB11576R	COBALAMIN C DEFICIENCY(MMACHC)	COBALAMIN C DEFICIENCY(MMACHC)	44
LAB11576R	COBALAMIN C DEFICIENCY(MMACHC)		12
LAB11577R	ALAGILLE (JAG1) MUTATION	ALAGILLE (JAG1) MUTATION	8
LAB11590R	FREE FATTY ACIDS	FREE FATTY ACIDS	4
LAB11591R	ARSENIC, HAIR	Arsenic, Hair	6
LAB11592R	COPPER, TISSUE	COPPER, TISSUE	4
LAB11593R	ETHYLENE GLYCOL	ETHYLENE GLYCOL	102
LAB11593R	ETHYLENE GLYCOL		4
LAB11596R	LYMPHO PROLIFERATION, AG	LYMPHO PROLIFERATION, AG	2
LAB11596R	LYMPHO PROLIFERATION, AG		2
LAB11599R	GANICICLOVIR	GANICICLOVIR	2
LAB11604R	IL 5	IL 5	6
LAB11606R	CYTOCHROME P450 2D6 GENOTYPE	CYTOCHROME P450 2D6 GENOTYPE	10
LAB11607R	COENZYME Q10, REDUCED & TOTAL	COENZYME Q10, REDUCED & TOTAL	24
LAB11607R	COENZYME Q10, REDUCED & TOTAL		4
LAB11608R	MARFAN (FBN1) SEQUENCING	MARFAN (FBN1) SEQUENCING	16
LAB11610R	DONOR, HTLVS(QNS/LIPEMIC ONLY)		16
LAB11610R	DONOR, HTLVS(QNS/LIPEMIC ONLY)	DONOR, HTLVS(QNS/LIPEMIC ONLY)	6
LAB11615R	SODIUM BENZOATE LEVEL	SODIUM BENZOATE LEVEL	11
LAB11617R	CMV PCR, AQUEOUS FLUID	CMV PCR, AQUEOUS FLUID	152
LAB11617R	CMV PCR, AQUEOUS FLUID		8
LAB11618R	HSV 1/2 PCR, AQUEOUS FLUID	HSV 1/2 PCR, AQUEOUS FLUID	154
LAB11618R	HSV 1/2 PCR, AQUEOUS FLUID		2
LAB11619R	VZV PCR, AQUEOUS FLUID	VZV PCR, AQUEOUS FLUID	315
LAB11619R	VZV PCR, AQUEOUS FLUID		10
LAB11620R	TOXOPLASMA GONDII, AQUEOUS FLUID	TOXOPLASMA GONDII, AQUEOUS FLUID	16
LAB11620R	TOXOPLASMA GONDII, AQUEOUS FLUID		2
LAB11824R	BUSULFAN	Busulfan	1376
LAB11824R	BUSULFAN		82
LAB11851R	FECAL LIPIDS, TOTAL	Fecal Lipids, Total	26
LAB11851R	FECAL LIPIDS, TOTAL		6
LAB11855R	HEPATITIS C VIRAL RNA, QUANT		16
LAB11855R	HEPATITIS C VIRAL RNA, QUANT	Hepatitis C Viral RNA, Quant	8
LAB11858R	HEPTIMAX(R) HCV RNA	HEPTIMAX(R) HCV RNA	35
LAB11858R	HEPTIMAX(R) HCV RNA		4
LAB11860R	VASCULAR ENDOTHELIAL GROW.FACT	Vascular Endothelial Grow.Fact	23
LAB11860R	VASCULAR ENDOTHELIAL GROW.FACT		4
LAB11863R	ASPIRIN RESISTANCE	Aspirin Resistance	6
LAB11863R	ASPIRIN RESISTANCE		4
LAB11867R	C3A DESARG FRAGMENT	C3a desArg Fragment	4
LAB11869R	HEPATITIS C VIRUS RNA, QUAL	Hepatitis C Virus RNA, Qual	2
LAB11871R	HIV-2 AB, IMMUNOBLOT	HIV-2 AB, Immunoblot	23
LAB11871R	HIV-2 ANTIBODY, IMMUNOBLOT	HIV-2 Antibody, Immunoblot	6
LAB11871R	HIV-2 AB, IMMUNOBLOT		2
LAB11878R	CORTISOL BINDING GLOBULIN	Cortisol Binding Globulin	2
LAB11882R	MAGNESIUM, RBC	Magnesium, RBC	18
