features,indices
MORPHINE 1 MG/ML INJ SYRG,134
METOCLOPRAMIDE 5 MG/ML INJ SOLN,135
MENTHOL-CETYLPYRIDINIUM 3 MG MM LOZG,136
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,137
K_1,138
MG_0,139
NA_1,140
PO2A_0,141
CEFOXITIN IVPB,142
URINALYSIS WITH MICROSCOPIC,143
SODIUM CHLORIDE 0.9 % 0.9 % IV SOLP,144
CIPROFLOXACIN IN D5W 400 MG/200 ML IV PGBK,145
D5-1/2 NS & POTASSIUM CHLORIDE 20 MEQ/L IV SOLP,146
NA_0,147
"HEPARIN (PORCINE) 10,000 UNIT/ML INJ SOLN",148
GLU_0,149
GLU_1,150
SPECIMEN REMARK,151
PTT PARTIAL THROMBOPLASTIN TIME,152
BLOOD CULTURE (2 AEROBIC BOTTLES),153
CL_4,154
NA_2,155
Resp_3,156
HCT_1,157
HYDROMORPHONE 1 MG/ML IV PCA,158
NEUTAB_1,159
D49.0,160
HCT_4,161
RBC_3,162
TYLENOL EXTRA STRENGTH PO,163
HGB_4,164
race_Asian,165
Pulse_1,166
Age_1,167
LYM_4,168
MONO_3,169
CA_4,170
race_White,171
HEMOGLOBIN A1C,172
ALB_4,173
NEUTAB_0,174
sex_Male,175
LISINOPRIL 10 MG PO TABS,176
CL_0,177
CO2_3,178
HCT_3,179
PLT_0,180
NIASPAN PO,181
NT - PROBNP,182
CA_3,183
N18.6,184
ALB_1,185
E11.9,186
BUN_4,187
LYM_2,188
RBC_2,189
NEUTAB_2,190
RBC_4,191
Age_0,192
Pulse_0,193
PEG-ELECTROLYTE SOLN PO SOLR,194
R37,195
E29.1,196
D17.9,197
M54.9,198
N20.0,199
E78.1,200
L57.0,201
E78.00,202
N28.89,203
C64.9,204
R76.0,205
M54.30,206
REQUIP XL 6 MG PO TB24,207
STALEVO 100 25-100-200 MG PO TABS,208
G20,209
CR_2,210
N28.9,211
PLT_1,212
LYM_3,213
MONO_1,214
CR_1,215
ALB_3,216
CO2_4,217
PROVENTIL IN,218
Q65.89,219
CIPROFLOXACIN 250 MG PO TABS,220
Age_3,221
M00.869,222
ERY-TAB PO,223
OMEPRAZOLE 20 MG PO CPDR,224
XANAX 0.5 MG PO TABS,225
SIMVASTATIN 80 MG PO TABS,226
METOCLOPRAMIDE 10 MG PO TABS,227
"J18.9, Y95",228
C18.9,229
E46,230
"D64.81, T45.1X5A",231
K65.1,232
Pulse_2,233
"K91.89, K56.7",234
MONO_4,235
ALB_2,236
Age_4,237
HGB_3,238
"PREGNANCY TEST, SERUM",239
ATENOLOL 50 MG PO TABS,240
TRAZODONE 50 MG PO TABS,241
VARENICLINE PO,242
ALPRAZOLAM 1 MG PO TABS,243
CL_1,244
Z93.3,245
COLACE 100 MG PO CAPS,246
PHV_2,247
PO2A_2,248
PO2V_4,249
PCO2A_0,250
PCO2V_2,251
Z95.828,252
ASPIRIN 81 MG PO TBEC,253
NITROPRUSSIDE IV INFUSION,254
SIMVASTATIN 20 MG PO TABS,255
ATROPINE 0.4 MG/ML INJ SOLN,256
POTASSIUM CHLORIDE 10 MEQ PO TBSR,257
"CALCIUM CARBONATE 1,000 MG PO CHEW",258
DEXTROSE 5%-1/4 NORMAL SALINE IV SOLP,259
METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,260
SODIUM PHOSPHATES 19-7 GRAM/118 ML PR ENEM,261
PCO2A_2,262
GLUCOSE 5 GRAM PO CHEW,263
BLOOD TYPE VERIFICATION,264
SORBITOL 70 % MISC SOLN,265
FUROSEMIDE 20 MG PO TABS,266
"ALBUMIN, HUMAN 5 % 5 % IV SOLP",267
PO2A_4,268
METOPROLOL TARTRATE 25 MG PO TABS,269
CAION_2,270
FIBRINOGEN,271
PLATELET COUNT,272
NEPAFENAC 0.1 % OPHT DRPS,273
DEXMEDETOMIDINE IV INFUSION,274
POTASSIUM CHLORIDE 20 MEQ PO PACK,275
CHLORHEXIDINE GLUCONATE 0.12 % MM MWSH,276
MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,277
D5-1/4 NS & POTASSIUM CHLORIDE 20 MEQ/L IV SOLP,278
NITROGLYCERIN IN D5W 50 MG/250 ML (0.2 MG/ML) IV SOLN,279
PHA_3,280
"AMYLASE, SERUM",281
ACETAMINOPHEN 650 MG PR SUPP,282
FUROSEMIDE 10 MG/ML INJ SOLN,283
PREDNISOLONE ACETATE 1 % OPHT DRPS,284
DEXTROSE 50% IN WATER (D50W) IV SYRG,285
Heart Rate_3,286
LYM_0,287
PO2A_3,288
NEUTAB_4,289
ASPIRIN 81 MG PO CHEW,290
ACYCLOVIR 800 MG PO TABS,291
LOVASTATIN 40 MG PO TABS,292
PROTAMINE 10 MG/ML IV SOLN,293
DOCUSATE SODIUM 100 MG PO CAPS,294
ACETAMINOPHEN 160 MG/5 ML PO SOLN,295
AMIODARONE INFUSION CENTRAL LINE ADMIN,296
NEOSTIGMINE METHYLSULFATE 0.5 MG/ML INJ SOLN,297
D5-NS WITH POTASSIUM CHLORIDE 20 MEQ/L IV SOLP,298
SIMETHICONE 80 MG PO CHEW,299
DEXTROSE 50% IN WATER (D50W) IV SOLP,300
INSULIN REGULAR 1 UNIT/ML IV INFUSION,301
CALCIUM CHLORIDE 1 GRAM (13.6 MEQ)/25 ML NS IVPB,302
CAION_0,303
INSULIN REGULAR HUMAN 100 UNIT/ML INJ SOLN,304
INSULIN NPH HUMAN RECOMB 100 UNIT/ML SC SUSP,305
PCO2A_4,306
ZZZ IMS TEMPLATE,307
CEFAZOLIN 2 G IVPB,308
ASPIRIN 81 MG PO TABS,309
COUMADIN 5 MG PO TABS,310
LISINOPRIL 20 MG PO TABS,311
AMIODARONE 200 MG PO TABS,312
ERYTHROMYCIN IVPB (CUSTOM DOSE),313
POTASSIUM CHLORIDE 10 MEQ PO TBTQ,314
"DOPAMINE IN D5W 400 MG/250 ML (1,600 MCG/ML) IV SOLN",315
LAC_2,316
LIPASE,317
CAION_1,318
"CK, MB (MASS)",319
"BLOOD GASES, VENOUS",320
BISACODYL 10 MG PR SUPP,321
LACTIC ACID,322
MRSA SCREEN,323
HEMATOCRIT,324
Temp_2,325
"CREATINE KINASE, TOTAL",326
ASPIR-81 PO,327
PROTONIX PO,328
PAIN COCKTAIL,329
LACTULOSE 10 GRAM/15 ML PO SOLN,330
TESTOSTERONE,331
ABILIFY PO,332
CYMBALTA PO,333
MS CONTIN PO,334
CELEBREX 200 MG PO CAPS,335
DULOXETINE 60 MG PO CPDR,336
FLOMAX PO,337
OTHER DRUG,338
TAMSULOSIN 0.4 MG PO CP24,339
PANTOPRAZOLE 40 MG PO TBEC,340
"DRUGS OF ABUSE SCREEN, URINE",341
DOXEPIN PO,342
IBUPROFEN 400 MG PO TABS,343
ARIPIPRAZOLE 5 MG PO TABS,344
"DRUG SCREEN, PLASMA",345
I42.9,346
Z71.9,347
METHYLENE BLUE (ANTIDOTE) 1 % INJ SOLN,348
race_Other,349
CARVEDILOL 3.125 MG PO TABS,350
ENALAPRIL MALEATE 2.5 MG PO TABS,351
COREG 6.25 MG PO TABS,352
C50.919,353
MULTIVITAMIN PO TABS,354
LIPID PANEL WITH CALCULATED LDL,355
race_Hispanic/Latino,356
SODIUM BICARBONATE 8.4 % IV SOLN,357
"PREGNANCY TEST, URINE",358
R91.8,359
M25.559,360
NEURONTIN PO,361
BACLOFEN 10 MG PO TABS,362
MS CONTIN 60 MG PO TBSR,363
PERCOCET 10-325 MG PO TABS,364
BUN_0,365
MONO_0,366
G90.519,367
"TRIVITAMIN 1,500-400-35 UNIT-UNIT-MG/ML PO DROP",368
"CREATININE, SERUM/PLASMA",369
N13.5,370
DEXAMETHASONE 2 MG PO TABS,371
SCOPOLAMINE BASE 1.5 MG TD PT72,372
CALCIUM GLUCONATE 1 GRAM (4.6 MEQ)/25 ML NS IVPB,373
CIPROFLOXACIN 500 MG PO TABS,374
FAMOTIDINE (PF) 20 MG/2 ML IV SOLN,375
"ESMOLOL IN SALINE (ISO-OSM) 2,500 MG/250 ML IV SOLP",376
DOCUSATE SODIUM 250 MG PO CAPS,377
ASPIRIN 325 MG PO TABS,378
BUTALBITAL-ACETAMINOPHEN-CAFF 50-325-40 MG PO TABS,379
MIDODRINE 5 MG PO TABS,380
POTASSIUM CHLORIDE 20 MEQ PO TBTQ,381
CR_0,382
I67.5,383
PHA_4,384
ADVIL 200 MG PO TABS,385
LORAZEPAM 1 MG PO TABS,386
PREDNISONE 50 MG PO TABS,387
PRAMIPEXOLE 0.125 MG PO TABS,388
TRIMETHOBENZAMIDE 100 MG/ML IM SOLN,389
IBUPROFEN 200 MG PO TABS,390
CEFTRIAXONE 1 GRAM/50 ML D5W IVPB (COMPOUNDED),391
DEXAMETHASONE 1 MG PO TABS,392
NS WITH POTASSIUM CHLORIDE 20 MEQ/L IV SOLP,393
BENADRYL 25 MG PO CAPS,394
PHENYLEPHRINE IV INFUSION,395
INSULIN ASPART 100 UNIT/ML SC SOLN,396
HYDROCODONE-ACETAMINOPHEN 5-500 MG PO TABS,397
ONDANSETRON HCL 4 MG PO TABS,398
ENOXAPARIN 40 MG/0.4 ML SC SYRG,399
DOLASETRON 12.5 MG/0.625 ML IV SOLN,400
FAMOTIDINE 20 MG PO TABS,401
POLYETHYLENE GLYCOL 3350 17 GRAM (100 %) PO PWPK,402
DIAZEPAM 2 MG PO TABS,403
FLUDROCORTISONE 0.1 MG PO TABS,404
CIPROFLOXACIN 750 MG PO TABS,405
DEXAMETHASONE 1.5 MG PO TABS,406
DOCUSATE SODIUM 50 MG/5 ML PO LIQD,407
NICARDIPINE IN SALINE (ISO-OS) 40 MG/200 ML IV PGBK,408
MAGNESIUM CITRATE PO SOLN,409
HYDRALAZINE 20 MG/ML INJ SOLN,410
POTASSIUM CHLORIDE ORAL SCALE,411
GRANISETRON 1 MG/ML (1 ML) IV SOLN,412
R32,413
TSH,414
PROAIR HFA IN,415
FOLIC ACID,416
ZOLPIDEM 10 MG PO TABS,417
LIPID PLUS RISK PANEL WITH CALCULATED LDL,418
VICODIN PO,419
VITAMIN B12,420
TRANSFERRIN SATURATION,421
ESOMEPRAZOLE MAGNESIUM PO,422
FERRITIN,423
VITAMIN B1,424
FOLIC ACID 1 MG PO TABS,425
I73.9,426
DILTIAZEM HCL 240 MG PO TB24,427
D64.9,428
G89.29,429
K51.90,430
F32.A,431
R63.4,432
K62.89,433
Z43.2,434
G40.319,435
I44.2,436
M25.369,437
DIPHENHYDRAMINE HCL 25 MG PO CAPS,438
D46.Z,439
NS FLUSH BAG,440
URINALYSIS MACROSCOPIC ONLY,441
NORVASC 2.5 MG PO TABS,442
M32.9,443
S62.109A,444
PLAQUENIL 200 MG PO TABS,445
I60.9,446
ZINC 100 MG PO TABS,447
TOPROL XL 50 MG PO TB24,448
VYTORIN 10-20 10-20 MG PO TABS,449
GLYCOPYRROLATE 0.2 MG/ML INJ SOLN,450
HYDROCHLOROTHIAZIDE 25 MG PO TABS,451
SODIUM CHLORIDE 3 % 3 % IV SOLP,452
"GLUCOSE, CSF",453
"C.DIFF TOXIN B GENE, QUAL. REAL-TIME PCR",454
PAXIL 20 MG PO TABS,455
LEVOXYL 200 MCG PO TABS,456
MAGNESIUM 100 MG PO TABS,457
MIDAZOLAM 1 MG/ML INJ SOLN,458
GLYCOPYRROLATE 1 MG PO TABS,459
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN,460
PHENYLEPHRINE 40 MG/250 ML D5W IV INFUSION,461
"LACTIC ACID, CSF",462
MODAFINIL 100 MG PO TABS,463
NIMODIPINE 30 MG PO CAPS,464
GRAM STAIN,465
ENALAPRIL MALEATE 20 MG PO TABS,466
SECURA ANTIFUNGAL EXTRA THICK 2 % TP CREA,467
"CALCIUM CARBONATE 390 MG  (1,000 MG) PO TABS",468
MG_2,469
RESPIRATORY CULTURE,470
"SODIUM, URINE (RANDOM)",471
HEPATIC FUNCTION PANEL A,472
MAGNESIUM SULFATE 16 MEQ/25 ML NS IVPB,473
"PROTEIN TOTAL, CSF",474
CSF CULTURE AND GRAM STAIN,475
SODIUM CHLORIDE 3 % IV BOLUS,476
VITAMIN D-3 PO,477
XANAX 0.25 MG PO TABS,478
PHENYLEPHRINE HCL 10 MG/ML INJ SOLN,479
"MULTIVITAMINS (+ FOLIC ACID, THIAMINE, VIT K) IVPB",480
"OSMOLALITY, URINE",481
"SPECIFIC GRAVITY, URINE",482
PROPOFOL 10 MG/ML IV EMUL,483
"CELL COUNT AND DIFF, CSF",484
"SODIUM, SERUM / PLASMA",485
PAROXETINE HCL 20 MG PO TABS,486
DEXAMETHASONE 4 MG PO TABS,487
I67.1,488
Q28.2,489
LEVETIRACETAM 500 MG PO TABS,490
LAC_3,491
PHV_1,492
DIGOXIN 50 MCG/ML PO SOLN,493
DIGOXIN 250 MCG/ML INJ SOLN,494
HYDROCODONE-ACETAMINOPHEN 7.5-500 MG/15 ML(15 ML) PO SOLN,495
"DIGOXIN, SERUM",496
PHV_0,497
C00.9,498
ALUM-MAG HYDROXIDE-SIMETH 200-200-20 MG/5 ML PO SUSP,499
"LDH TOTAL, SERUM / PLASMA",500
MORPHINE INJECTABLE SYRINGE,501
GLYBURIDE MICRONIZED-METFORMIN 2.5-500 MG PO TABS,502
CEFAZOLIN IN DEXTROSE (ISO-OS) 1 GRAM/50 ML IV PGBK,503
AMOXICILLIN PO,504
SODIUM PHOSPHATE IVPB,505
FUROSEMIDE 40 MG PO TABS,506
BACITRACIN ZINC 500 UNIT/G TP OINT,507
MIDAZOLAM 50 MG IN D5W 100 ML IV INFUSION,508
TNI_2,509
PO2V_3,510
PCO2V_3,511
"ALBUMIN, FLUID",512
DIGOXIN 125 MCG PO TABS,513
"CELL COUNT AND DIFF, FLUID",514
FLUID CULTURE AND GRAM STAIN,515
LISINOPRIL 5 MG PO TABS,516
Heart Rate_0,517
Heart Rate_1,518
Heart Rate_2,519
ZOLPIDEM 5 MG PO TABS,520
FUROSEMIDE 40 MG/5 ML PO SOLN,521
PIPERACILLIN-TAZOBACTAM-DEXTRS 3.375 GRAM/50 ML IV PGBK,522
LEVOTHYROXINE 100 MCG PO TABS,523
"URINALYSIS, SCREEN FOR CULTURE",524
AMBIEN PO,525
EVAMIST 1.53 MG/SPRAY (1.7%) TD SPRY,526
Z96.649,527
Q75.8,528
D16.9,529
NORCO 10-325 MG PO TABS,530
MULTIVITAMIN PO,531
OXYCODONE 20 MG PO TB12,532
BUPIVACAINE 0.125% (1/8%) NERVE BLOCK INFUSION,533
"MULTIVITAMIN,TX-IRON-CA-FA-MIN 27-0.4 MG PO TABS",534
SENNOSIDES 8.6 MG PO TABS,535
ASCORBIC ACID 500 MG PO TABS,536
FERROUS SULFATE 325 MG (65 MG IRON) PO TABS,537
ENOXAPARIN 30 MG/0.3 ML SC SYRG,538
M54.50,539
NEXIUM PO,540
AZITHROMYCIN IVPB,541
PLATELET FUNCTION SCREEN,542
DIAZEPAM 5 MG PO TABS,543
CRP_2,544
ALBUTEROL SULFATE 2.5 MG/0.5 ML INH NEBU,545
"CALCIUM CARBONATE-VITAMIN D3 500 MG(1,250MG) -200 UNIT PO TABS",546
"AMMONIA, PLASMA",547
ALBUTEROL SULFATE 2.5 MG /3 ML (0.083 %) INH NEBU,548
INSULIN LISPRO 100 UNIT/ML SC SOLN,549
CRP_4,550
OXYCODONE 5 MG PO TABS,551
SINGULAIR 10 MG PO TABS,552
MONTELUKAST 10 MG PO TABS,553
SODIUM CHLORIDE 0.9 % INH NEBU,554
SEDIMENTATION RATE (ESR),555
M96.1,556
AMLODIPINE 5 MG PO TABS,557
OXYCODONE 10 MG PO TB12,558
LACTATED RINGERS IV SOLP,559
FENTANYL 50 MCG/ML IV PCA,560
POTASSIUM CHLORIDE 10 % PO LIQD,561
ESR_3,562
GABAPENTIN 600 MG PO TABS,563
C - REACTIVE PROTEIN,564
H90.8,565
H66.90,566
MIRAPEX 0.25 MG PO TABS,567
TIMOLOL 0.5 % OPHT DROP,568
DIPHENHYDRAMINE-ACETAMINOPHEN 25-500 MG PO CAPS,569
CEFTRIAXONE 1 GRAM INJ SOLR,570
FLOMAX 0.4 MG PO CP24,571
Z90.5,572
race_Unknown,573
BISMUTH SUBSALICYLATE 262 MG PO CHEW,574
C80.1,575
"OCCULT BLD, GUAIAC, STOOL, DIAG TEST",576
L02.91,577
METRONIDAZOLE 500 MG PO TABS,578
D5W WITH SODIUM BICARBONATE 154 MEQ/L  IV INFUSION FOR CONTRAST STUDY,579
R52,580
C48.0,581
Z79.899,582
FLAGYL PO,583
I82.429,584
DIPHENOXYLATE-ATROPINE 2.5-0.025 MG PO TABS,585
"WOUND CULTURE AND GRAM STAIN, DEEP / SURGICAL / ASP",586
K92.2,587
"D70.9, R50.81",588
ACETYLCYSTEINE 20 % (200MG/ML) MISC SOLN,589
POTASSIUM CHLORIDE 10 MEQ/100 ML IV PGBK,590
ANAEROBIC CULTURE,591
"C DIFFICILE TOXIN B, STOOL",592
M72.2,593
OPANA PO,594
CYMBALTA 20 MG PO CPDR,595
TOPAMAX 100 MG PO TABS,596
BUN / CREATININE,597
LEVOTHYROXINE PO,598
IMO0002,599
SIMETHICONE 40 MG/0.6 ML PO DRPS,600
K62.1,601
IBUPROFEN M 200 MG PO TABS,602
METOPROLOL SUCCINATE 50 MG PO TB24,603
PEG 3350-ELECTROLYTES 236-22.74-6.74 GRAM PO SOLR,604
MEPERIDINE INJECTABLE SYRINGE,605
C34.90,606
TYLENOL PO,607
LIPITOR 10 MG PO TABS,608
NAPROXEN 500 MG PO TABS,609
OMEGA-3 FATTY ACIDS-FISH OIL 435-880 MG PO CAPS,610
DIOVAN 160 MG PO TABS,611
GLUCOSAMINE 500 MG PO TABS,612
AVODART 0.5 MG PO CAPS,613
"CALCIUM + D 600 MG(1,500MG) -200 UNIT PO TABS",614
K55.9,615
K62.3,616
SOMA PO,617
LUNESTA PO,618
MORPHINE PO,619
NABUMETONE PO,620
OMEPRAZOLE 20 MG PO TBEC,621
CELEBREX PO,622
GABADONE PO,623
LORAZEPAM PO,624
GABAPENTIN PO,625
HYDROCODONE-ACETAMINOPHEN 10-325 MG PO TABS,626
URSODIOL 300 MG PO CAPS,627
LANSOPRAZOLE 30 MG PO TBLD,628
RABEPRAZOLE 20 MG PO TBEC,629
INSULIN FASTING,630
"GLUCOSE, WHOLE BLOOD",631
LABETALOL 5 MG/ML IV SOLN,632
KETOROLAC 30 MG/ML INJ SOLN,633
K42.9,634
LACTATED RINGERS IV BOLUS,635
CLINDAMYCIN IN D5W 900 MG/50 ML IV PGBK,636
VICODIN 5-500 MG PO TABS,637
KETOROLAC 15 MG/ML INJ SOLN,638
ALPRAZOLAM 0.25 MG PO TABS,639
INDOMETHACIN 25 MG PO CAPS,640
CARVEDILOL 12.5 MG PO TABS,641
Q27.30,642
CENTRUM SILVER PO,643
INDOCIN SR 75 MG PO CPSR,644
PHENYLEPHRINE 10 MG/100 ML NS IV INFUSION (CATH LAB ONLY),645
HALOPERIDOL LACTATE 5 MG/ML INJ SOLN,646
MAGNESIUM SULFATE 8 MEQ/25 ML NS IVPB,647
ALPRAZOLAM 0.5 MG PO TABS,648
BUDEPRION XL 300 MG PO TB24,649
Temp_0,650
I47.1,651
R50.9,652
DILTIAZEM HCL 240 MG PO CP24,653
ESMOLOL 100 MG/10 ML IV SOLN,654
METOPROLOL SUCCINATE 25 MG PO TB24,655
ACETYLCYSTEINE 10 % (100 MG/ML) MISC SOLN,656
VANCOMYCIN IN DEXTROSE 1 GRAM/200 ML IV PGBK,657
IPRATROPIUM-ALBUTEROL 0.5-2.5 MG/3 ML INH NEBU,658
R06.89,659
BENZOCAINE 20 % MM SPRA,660
METOPROLOL TARTRATE 50 MG PO TABS,661
R64,662
C83.70,663
FUROSEMIDE IV INFUSION,664
VANCOMYCIN 1 GM CENTRAL LINE IVPB,665
TUBERCULIN PPD 5 UNIT/0.1 ML ID SOLN,666
RESPIRATORY CULTURE AND GRAM STAIN,667
"BLOOD CULT - FIRST SET, VIA PHLEBOTOMY",668
IPRATROPIUM BROMIDE 0.02 % INH SOLN,669
D69.6,670
J44.9,671
M81.0,672
J96.00,673
MORPHINE 10 MG/5 ML PO SOLN,674
LANSOPRAZOLE 30 MG PO CPDR,675
BLOOD CULT - 2ND SET VIA CATHETER,676
IPRATROPIUM-ALBUTEROL 18-103 MCG/ACTUATION INH AERO,677
DILTIAZEM HCL 60 MG PO TABS,678
IPRATROPIUM BROMIDE 17 MCG/ACTUATION INH AERO,679
LEVALBUTEROL HCL 1.25 MG/3 ML INH NEBU,680
SUCTION,681
SODIUM CHLORIDE 10 % INH NEBU,682
"HEPARIN (PORCINE) 5,000 UNIT/ML INJ SOLN",683
VANCOMYCIN IVPB (CUSTOM DOSE),684
QUANTIFERON TEST FOR LATENT TB,685
DILTIAZEM HCL 30 MG PO TABS,686
SODIUM CHLORIDE 3 % INH NEBU,687
VANCOMYCIN TROUGH LEVEL,688
C22.0,689
K70.9,690
B19.10,691
LASIX 40 MG PO TABS,692
SEVELAMER HCL 400 MG PO TABS,693
THIAMINE HCL 100 MG/ML INJ SOLN,694
"EPOETIN ALFA 4,000 UNIT/ML INJ SOLN",695
DEXTROSE 10% IN WATER (D10W) IV SOLP,696
OCTREOTIDE ACETATE 50 MCG/ML INJ SOLN,697
B COMPLEX-VITAMIN C-FOLIC ACID 0.8 MG PO TABS,698
PH BY METER,699
MEROPENEM IVPB,700
BARACLUDE 0.5 MG PO TABS,701
NIFEDIPINE 30 MG PO TR24,702
MANNITOL 25 % 25 % IV SOLN,703
METOCLOPRAMIDE 5 MG PO TABS,704
ENTECAVIR 0.05 MG/ML PO SOLN,705
D - DIMER,706
"PROTEIN TOTAL, SERUM/PLASMA",707
"AFB CULTURE, NON - RESPIRATORY",708
FLUID CULTURE / BB GRAM STAIN,709
LAC_4,710
R18.8,711
FAT EMULSION 10 % IV EMUL,712
D5W WITH SODIUM BICARBONATE IV INFUSION,713
1/2 NS WITH SODIUM BICARBONATE IV INFUSION,714
PNEUMOCOCCAL 23-VALPS VACCINE 25 MCG/0.5 ML INJ INJ,715
NON-GYN CYTOLOGY EXAM,716
"CREATININE, URINE (TIMED)",717
"ALBUMIN, HUMAN 25 % 25 % IV SOLP",718
"CREATININE, URINE (RANDOM)",719
CBC WITH DIFF AND SLIDE REVIEW,720
KOH / CALCOFLUOR,721
"GLUCOSE, FLUID",722
"PROTEIN TOTAL, FLUID",723
"UREA, URINE (RANDOM)",724
DIC SCREEN,725
REPTILASE TIME,726
I10,727
VITAMIN B COMPLEX PO,728
ENTECAVIR 0.5 MG PO TABS,729
FOLIC ACID 5 MG/ML INJ SOLN,730
OCTREOTIDE ACETATE 100 MCG/ML INJ SOLN,731
STOOL CULTURE,732
ISOLATOR FUNGUS,733
REVIEW BY PATHOLOGIST,734
RIFAXIMIN 200 MG PO TABS,735
"ADENOSINE DEAMINASE, FLUID",736
OCTREOTIDE 10 MCG/ML IV INFUSION,737
DARBEPOETIN ALFA IN POLYSORBAT 60 MCG/0.3 ML INJ SYRG,738
THROMBIN TIME,739
"EPOETIN ALFA 10,000 UNIT/ML INJ SOLN",740
"ALBUMIN, SERUM/PLASMA",741
"LDH TOTAL, FLUID",742
"HEPARIN, PORCINE (PF) 1,000 UNIT/ML INJ SOLN",743
K76.6,744
N39.0,745
G93.40,746
I27.20,747
"N17.9, N18.9",748
DEXTROSE 40 % PO GEL,749
TRAMADOL 50 MG PO TABS,750
NIFEDIPINE 60 MG PO TBSR,751
NIFEDIPINE 60 MG PO TR24,752
"EPOETIN ALFA 3,000 UNIT/ML INJ SOLN",753
POTASSIUM CHLORIDE 20 MEQ/100 ML IV PGBK,754
VITAMIN K PO,755
"HEMATOCRIT, FLUID",756
"TRIGLYCERIDES, PLEURAL",757
ZINC SULFATE 220 (50) MG PO CAPS,758
PANTOPRAZOLE 0.8 MG/ML IV INFUSION,759
TRANSCHART CONVERTED LAB DATA,760
"WATER FOR INJECTION, STERILE INJ SOLN",761
PHOS_4,762
"AMYLASE, FLUID",763
FUNGAL CULTURE,764
M17.10,765
M25.569,766
HYDROCODONE-ACETAMINOPHEN 7.5-325 MG PO TABS,767
R10.11,768
