Count	Word	Tag
1	AAA)	Surgery
1	AAWARE	
1	ABDOMINAL	
1	ABILITY	
1	ABLE	
9	ABOUT	
5	ABOVE	
1	ABRUPT	
1	ACCEPTING	
2	ACD	
2	ACIDEMIC	Acidemia
1	ACKD	RenalFailure
14	ACS	ACS
12	ACTIVE	
3	ACTIVELY	
1	ACTUALLY	
1	ACUTE	
35	ACUTE	
3	ACUTELY	
1	ADDED	
3	ADDITIONAL	
1	ADDT	
1	ADENOCA	Cancer
1	ADENOCARCINOMA	Cancer
4	ADEQUATE	
1	ADMISSION	
2	ADN	
1	ADVISABLE	
2	ADVISORY	
1	AF	Arrhythmia
5	AFIB	Arrhythmia
1	AFIB/AFLUTTER	Arrhythmia
15	AFTER	
1	AFTERNOON	
1	AFTERNOON)	
1	AGAIN	
1	AGAINST	
1	AGE	
1	AGGLUTININS	
3	AGO	
2	AIHA	HemeDisorder
1	AKI	RenalFailure
4	ALBUMIN	
1	ALERT	
2	ALIZADEH	PerOtherMD
12	ALL	LeukemiaAcute
2	ALLO	
1	ALMOST	
1	ALREADY	
2	ALSO	
2	ALTERED	Delerium
1	ALTHOUGH	
1	ALVOLAR	
9	AM	
1	AMBULATE	
44	AML	LeukemiaAcute
1	AMOUNT	
1	AMS	Delerium
6	AN	
358	AND	
1	ANDH	
1	ANEAMI	
2	ANEMAI	
164	ANEMIA	
9	ANEMIC	
1	ANESTHESIA	
1	ANGELOTTI	PerOtherMD
1	ANGINA	Angina-Ischemia
1	ANNOYING	
12	ANTICIPATE	ExpectDrop
10	ANTICIPATED	ExpectDrop
1	ANTICIPATING	ExpectDrop
2	ANTICIPATION	ExpectDrop
1	ANTICOAG	Anticoagulated
1	ANTICOAGULATED	Anticoagulated
3	ANTICOAGULATION	Anticoagulated
1	ANTIIPICATED	ExpectDrop
4	AORTIC	
1	AORTO	
1	APHERESIS	
2	APL	LeukemiaAcute
2	APLASIA	
3	APLASTIC	HemeDisorder
1	APML	LeukemiaAcute
1	APPEARS	
1	APPROACHING	
4	APPROPRIATELY	
1	APPROVED	
1	APS	
1	ARANESP	
1	AREA	
3	AROUND	
1	ARREST/HYPOTHERMIA	Code
3	ARRHYTHMIA	Arrhythmia
2	ARTERY	
1	ARTHROPLASTY	Surgery
17	AS	
1	ASSOCIATED	
24	AT	
2	ATRIAL	
15	ATTENDING	PerOtherMD
1	ATTND	PerOtherMD
1	AUGMENTING	
3	AUTO	
6	AUTOLOGOUS	Autologous
1	AVAILABLE	
2	AVOID	
3	AWARE	
1	AWAY	
2	B	
4	BACK	
1	BANOS	
3	BASELINE	
1	BC	
31	BE	
1	BECAME	
1	BECOME	
6	BEEN	
8	BEFORE	
1	BEFOREHAND	
2	BEGIN	
11	BEING	
8	BELOW	
3	BENEFIT	
1	BEST	
3	BETA	
5	BETTER	
1	BG	
1	BIFEM	
1	BILATERAL	
3	BIOPSY	
2	BLACK	
1	BLADDER	
17	BLEED	Bleeding
1	"BLEED"""	Bleeding
65	BLEEDING	Bleeding
1	BLODD	
46	BLOOD	
1	BLOODY	
1	BLUE	Code
359	BMT	BMT
1	BMT.HGB	BMT
2	BOLUS	NeedFluid
2	BOLUSES	NeedFluid
1	BOLUSES)	NeedFluid
24	BONE	BMT
1	BORDERING	AnemiaHgb>8
7	BORDERLINE	AnemiaHgb>8
3	BOWEL	
1	BOX	
10	BP	Hypotension
1	BPS	Hypotension
1	BRADY	Bradycardia
4	BRAIN	CNS
6	BREATH	SOB
1	BROKEN	
1	BUMP	
6	BUT	
2	BX	
12	BY	
3	BYPASS	CABG
3	C	
1	C/	
1	C/O	
1	CA	
3	CABG	CABG
24	CAD	CAD
1	CADAVERIC	
2	CAN	
1	CANCELED	
37	CANCER	Cancer
1	CANDIDATE	
1	CANNOT	
2	CAPACITY	
1	CARCINOMA	Cancer
1	CARD	Cardiac
1	CARDAIC	Cardiac
66	CARDIAC	Cardiac
5	CARDIOGENIC	CHF
3	CARDIOLOGIST	PerCardiology
6	CARDIOLOGY	PerCardiology
4	CARDIOMYOPATHY	CHF
2	CARDIOTHORACIC	CTSurgery
1	CARDIOVASCULAR	
1	CARE	
1	CARIDAC	Cardiac
1	CAROTID	
1	CARRY	
2	CARRYING	
1	CASE	
8	CATH	Procedure
3	CATHETER	
2	CAUSING	
12	CELL	
1	CELLS	
11	CEREBRAL	CNS
1	CERVICA	
1	CERVICAL	
1	CF	
1	CHALLENGES	
2	CHANCE	
3	CHANGES	
1	CHECK	
45	CHEMO	Chemotherapy
1	CHEMO/RADIATION	Chemotherapy,Radiotherapy
2	CHEMO/RADS	Chemotherapy
1	CHEMORX	Chemotherapy
43	CHEMOTHERAPY	Chemotherapy
1	CHEMOTX	Chemotherapy
1	CHEMOXRT	Chemotherapy,Radiotherapy
1	CHEMP	
10	CHEST	
10	CHF	CHF
17	CHRONIC	
3	CHRONICALLY	
1	CIRCUIT	
7	CIRRHOSIS	Cirrhosis
11	CIRRHOTIC	Cirrhosis
1	CIRROHSIS	Cirrhosis
1	CKD	RenalFailure
2	CLINIC	
1	CLINICAL	
1	CLINICALLY	
2	CLL	LeukemiaChronic
1	CLL/LPL	LeukemiaChronic
2	CLOSE	
1	CML	LeukemiaChronic
1	CO	
5	COAGULOPATHIC	Coagulopathy
6	COAGULOPATHY	Coagulopathy
3	CODE	Code
1	COLD	
1	COLECTOMY	Surgery
2	COLLOID	NeedFluid
1	COLONOSCOPY	Procedure
3	COMING	
1	COMMENT	
1	COMMENT)	
2	COMORBIDITIES	
1	CO-MORBIDITIES	
1	COMPETING	
1	COMPLETE	
1	COMPLICATION	
3	COMPROMISE	
1	COMPROMISED	
9	CONCERN	
1	CONSULTING	PerConsult
2	CONT	
1	CONTINUALLY	
9	CONTINUE	
7	CONTINUED	
2	CONTINUES	
4	CONTINUING	
1	CONTINUOUS	
1	CONTINUOUSLY	
1	CONTROL	
1	CORD	
11	CORONARY	CAD
1	COULD	
2	COUMADIN	Anticoagulated
1	COUNT	
8	COUNTS	
2	COURSE	
1	COURTESY	
1	COX	
2	CP	Angina-Ischemia
1	CREATININE	RenalFailure
2	CRISIS	
4	CRIT	
2	CRITERIA	
3	CRITICAL	
3	CRITICALLY	
1	CRRT	RenalFailure
1	CRYPTOGENIC	
1	CRYSTALLOID	NeedFluid
1	CT	CTSurgery
2	CTDN	
1	CTICU	CTSurgery
1	CURRENT	
3	CURRENTLY	
1	CUTOFF	
1	CYSTITIS	
3	CYTOTOXIC	Chemotherapy
7	D/C	ImminentDischarge
1	D/CD	
2	D/CED	
1	D/O	
2	DAILY	
1	DAVID	
5	DAY	
9	DAYS	
2	DAYS...WILL	
2	DC	ImminentDischarge
1	DCD	
1	DECANNULATION	
1	DECANNULATION)	
1	DECLINE	
5	DECLINING	
1	DECONDITIONED	Fatigue
1	DECONDITIONING	Fatigue
4	DECREASE	DroppingHgb
7	DECREASED	DroppingHgb
18	DECREASING	DroppingHgb
1	DEFIBROTIDE	
2	DELIRIUM	Delerium
5	DELIVERY	
8	DEMAND	Angina-Ischemia
1	DEMANDE	Angina-Ischemia
1	DEMOGRAPHIC	
1	DEP	TransfusionDependent
2	DEPENDANT	TransfusionDependent
1	DEPENDENET	TransfusionDependent
20	DEPENDENT	TransfusionDependent
1	DEPENDING	
1	DEPL	
2	DEPLETION	
1	DESATURATIONS	Hypoxia
5	DESPITE	
1	DEVICES	
1	DHPG	
3	DIAGNOSIS	
4	DIALYSIS	RenalFailure
1	DIBIASE	
7	DIC	Coagulopathy
2	DID	
2	DIFFUSE	
1	DILUTE	
2	DIRECTED	
49	DISCHARGE	ImminentDischarge
16	DISCHARGED	ImminentDischarge
2	DISCHARGING	ImminentDischarge
1	DISCUSSED	
23	DISEASE	
1	DISORDER	
1	DISPOD	
1	DISSECTION	
1	DISTANT	
3	DISTRESS	
1	DIURESIS	
4	DIZZINESS	Lightheaded
1	DIZZINESS/WEAKNESS	Lightheaded
5	DIZZY	Lightheaded
3	DO	
4	DO2	
1	DOBUTAMINE	Vasopressor
3	DOE	SOB
2	DOES	
1	DONATION	Donor
2	DONE	
12	DONOR	Donor
1	DOSE	
40	DOWN	DroppingHgb
1	DOWNTREND	DroppingHgb
27	DOWNTRENDING	DroppingHgb
3	DOWN-TRENDING	DroppingHgb
1	DOWNWARDS	DroppingHgb
18	DR	PerOtherMD
4	DRAIN	
1	DRAINS	
1	DRAWN	
1	DRIFT	
3	DRIFTING	DroppingHgb
1	DRIP	
1	DRIVE	
44	DROP	DroppingHgb
1	DROPPED	DroppingHgb
33	DROPPING	DroppingHgb
1	DS	
9	DUE	
5	DURING	
1	DVT	VTE
1	DYSFUNCTION	
4	DYSPNEA	SOB
1	DYSRHYTHMIA	Arrhythmia
10	EARLY	
1	EBL	Surgery,Bleeding
1	EBV	
1	ECHO	
1	EC-IC	
21	ECMO	VascularDevice
2	EF	CHF
1	EFFECTIVE	
1	EFFUSION	
1	"EFFUSION,MD"	
1	EFFUSION/TAMPONADE	
3	EFFUSIONS	
1	EGD	Procedure
1	EGDT	
1	EJECTION	CHF
3	EKG	Angina-Ischemia
7	ELDERLY	
4	ELEVATED	
1	ELEVATING	
1	ENCEPHALOPATHY	Delerium
1	END	
1	ENDARTERECTOMY	Surgery
1	ENDOSCOPY	Procedure
1	ENDOVASCULAR	Surgery
1	END-STAGE	
3	ENERGY	Fatigue
1	ENGRAFTED	
1	ENT/PLASTIC	Surgery
1	ENTER	
1	ENTEROCUTANEOUS	
3	EPISODE	
1	EPISODIC	
1	EPISTAXIS	Bleeding
1	ER	
1	ERCP	Procedure
7	ESLD	Cirrhosis
1	ESOPHAGEAL	
3	ESRD	RenalFailure
1	ESTABLISHED	
1	ETOH	
3	EVALUATION	
1	EVANS	
1	EVAR	
1	EVEN	
2	EVENT	
1	EVENTS	
3	EVERY	
1	EVIDENCE	
1	EVOLVING	
1	EXACERBATION	
2	EXAM	
1	EXCHANGE	
2	EXERTION	SOB
2	EXHAUSTED	Fatigue
2	EXPECT	ExpectDrop
2	EXPECTATION	ExpectDrop
23	EXPECTED	ExpectDrop
1	EXPIRED	
1	EXTENSIVE	
3	EXTREME	
2	EXTUBATED	
2	EXTUBATION	
1	F/U	
22	FAILURE	
14	FALL	
1	FALLEN	
11	FALLING	DroppingHgb
1	FALLS	
1	FAR	
18	FATIGUE	Fatigue
4	FATIGUED	Fatigue
3	FEBRILE	Fever
2	FEELING	
2	FEELS	
1	FELLOW	
1	FEMORAL	
2	FEMUR	
2	FEVER	Fever
3	FEVERS	Fever
1	FIBRILLATION	Arrhythmia
1	FISTULA	
3	FLAG	
5	FLAP	
3	FLOW	
1	FLOWS	
1	FLUCTUATING	
7	FLUID	NeedFluid
5	FLUIDS	NeedFluid
1	FLUTTER	Arrhythmia
1	FOLEY	
1	FOLLICULAR	
1	FOLLOW	
1	FOLLOWING	
5	FOLLOW-UP	
102	FOR	
2	FORD	
1	FRACTION	
3	FRACTURE	Surgery
1	FRAIL	
1	FREE	
1	FREQUENCY	
1	FREQUENT	
40	FROM	
1	FULL	
1	FUNCTION	
1	FUNGEMIA	Sepsis
8	FURTHER	
4	FUTURE	
1	FXN	
1	G	
1	GASTRIC	
1	GENERAL	
1	GENERALIZED	
7	GET	
9	GETTING	
19	GI	
4	GIB	Bleeding
8	GIVE	
7	GIVEN	
4	GO	
15	GOAL	
4	GOALS	
12	GOING	
1	GOOD	
1	GOT	
1	GOTTHEINER	
2	GRAFT	
1	GROIN	
1	GROSS	
2	GTT	
1	GUARD	
1	GUIAC	Bleeding
2	GUIDELINES	
1	GUIDELINS/PROTOCOL	
1	GUIDLINES	
1	GUNSHOT	
2	GUT	
3	H&H	
1	H/G	
5	H/H	
13	H/O	
6	HAD	
1	HAND	
1	HARTFORD	
42	HAS	
6	HAVE	
2	HAVING	
57	HB	
1	HB/HCT	
3	HB<7	Hgb<7
3	HB<8	Hgb<8
1	HB<8.0	Hgb<8
1	HB=7.1	Hgb<8
12	HBG	
1	HBG<7	Hgb<7
4	HBG<8	Hgb<8
1	HBSS	
194	HCT	
1	HCT-	
3	HCT<21	Hgb<8
1	HCT<24	Hgb<8
1	HCT<25	AnemiaHgb>8
1	HCT=20.1	Hgb<8
2	HCT>25	AnemiaHgb>8
1	HCT-21	Hgb<8
1	HCT-21.4	Hgb<8
1	HCT-24	Hgb<8
1	HCV	
4	HD	RenalFailure
3	HE	
1	HEAD	
1	HEADED	
2	HEALING	
17	HEART	
1	HEAVY	
1	HELD	
2	HELP	
1	HEMANGIOMA	
8	HEMATOCRIT	
1	HEMATOLOGIC	
1	HEMATOLOGIST	PerHeme
8	HEMATOLOGY	PerHeme
5	HEMATURIA	Bleeding
3	HEME	
1	HEME-ONC	
1	HEMMORHAGE	Bleeding
1	HEMOCONCENTRATED	
2	HEMODIALYSIS	RenalFailure
1	HEMODILUTE	
1	HEMODYNAICS	
11	HEMODYNAMIC	
9	HEMODYNAMICALLY	
25	HEMOGLOBIN	
9	HEMOLYSIS	Hemolysis
6	HEMOLYTIC	Hemolysis
1	HEMOLYZING	Hemolysis
2	HEMORRHAGE	Bleeding
2	HEMORRHAGIC	Bleeding
2	HEP	
4	HEPARIN	Anticoagulated
1	HEPATECTOMY	Surgery
1	HEPATIC	
4	HEPATOLOGY	PerHepatology
1	HEPATORENAL	RenalFailure
6	HER	
2	HERE	
33	HG	
5	HG<7	Hgb<7
1	HG<7.0	Hgb<7
3	HG<8	Hgb<8
529	HGB	
1	-HGB	
1	"HGB,8"	
3	HGB/HCT	
2	HGB<	
1	HGB<10	AnemiaHgb>8
15	HGB<7	Hgb<7
37	HGB<8	Hgb<8
3	HGB<8.0	Hgb<8
1	HGB<8.5-9	AnemiaHgb>8
1	HGB<9	AnemiaHgb>8
1	HGB=6.7	Hgb<7
1	HGB=7.0	Hgb<8
1	HGB=7.2	Hgb<8
2	HGB=7.4	Hgb<8
1	HGB=7.5	Hgb<8
1	HGB=7.7	Hgb<8
1	HGB=7.8	Hgb<8
6	HGB>8	AnemiaHgb>8
1	HGB6.4	Hgb<7
1	HGB7.6	Hgb<8
1	HGC/HCT	
1	HGD	
1	HGT	
1	HI	
22	HIGH	
7	HIGHER	
3	HIP	
6	HIS	
1	HISTORICALLY	
24	HISTORY	
1	HOCM	
6	HOME	ImminentDischarge
2	HOPEFULLY	
3	HOSPITAL	
1	HOSPITALIZATION	
1	HOTN	
1	HOURS)	
1	HRS	
1	HSEPSIS	Sepsis
2	HTN	
17	HX	
1	HYDRATION	NeedFluid
1	HYDROXYUREA	Chemotherapy
3	HYPERTENSION	
1	HYPOKALEMIA	
2	HYPONATREMIA	
1	HYPOPROLIFERATIVE	
51	HYPOTENSION	Hypotension
19	HYPOTENSIVE	Hypotension
1	HYPOTENSIVE/HYPOXIC	Hypotension
1	HYPOTENSIVWE	Hypotension
1	HYPOTESION	Hypotension
2	HYPOVOLEMIC	NeedFluid
1	HYPOXEMIA	Hypoxia
3	HYPOXEMIC	Hypoxia
3	HYPOXIA	Hypoxia
3	HYPOXIC	Hypoxia
1	HYSTERECTOMY	Surgery
1	I	
1	IABP	VascularDevice
1	ICH	CNS
1	ICON	
1	ICU	
1	IDENTIFIED	
4	IF	
1	ILD	
1	ILIAC	
6	ILL	
2	ILLNESS	
1	IMPELLA	VascularDevice
44	IMPENDING	
1	IMPERATIVE	
5	IMPROVE	
5	IMPROVED	
1	IMPROVEMENT	
139	IN	
1	INADEQUATE	
8	INAPPROPRIATE	
2	INCISION	
1	INCL	
4	INCREASE	
4	INCREASED	
4	INCREASING	
2	INDICATED	
1	INDUCED	
1	INDUCTION	
1	INFARCT	
1	INFARCTION	
2	INFECTION	Sepsis
1	INFILTRATION	
1	INITIATING	
4	INJURY	
1	INOTROPES	Vasopressors
2	INPT	
2	INR	
7	INSTABILITY	Unstable
1	INSUFFICIENCY	
4	INTERVENTION	
1	INTERVENTIONAL	
1	INTESTINALIS	
2	INTO	
1	INTRA	
1	INTRA-OP	
1	INTRAVASC	
2	INTRAVASCULAR	
24	INVASIVE	
1	INVERSIONS	
2	INVOLVEMENT	
1	IONTROPES	
1	IRREGULAR	Arrhythmia
74	IS	
26	ISCHEMIA	Angina-Ischemia
3	ISCHEMIC	Angina-Ischemia
1	ISHCEMIC	Angina-Ischemia
2	ISSUES	
1	ISTAT	
4	IT	
2	IV	
1	IVC	
3	JUST	
1	JUXNL	
1	"K,JHBLKJ"	
1	KAMAL	
4	KEEP	
1	KEEPING	
2	KEPT	
5	KIDNEY	RenalFailure
1	KNOW	
2	KNOWN	
1	KUSHLAN	
3	LAB	
2	LABS	
1	LAC)	
2	LACTATE	Hypoperfusion
1	LAD	
1	LAPORT	
14	LARGE	
4	LAST	
1	LATERAL	
1	LEADS	
4	LEAK	
1	LEFT	
31	LESS	
11	LEUKEMIA	LeukemiaAcute
1	LEUKEMIC	LeukemiaAcute
3	LEVEL	
1	LEVELS	
1	LEVOWITZ	
1	LGIB	Bleeding
1	LIEKLY	
3	LIGHTHEADED	Lightheaded
4	LIGHTHEADEDNESS	Lightheaded
1	LIGTH	
4	LIKE	
13	LIKELY	
1	LIMIT	
1	LIMITED	
1	LIMITING	
1	LINE)	
1	LISTED	
1	LITTLE	
50	LIVER	Cirrhosis
1	LIVES	
1	LOAD	
1	LOCALLY	
1	LOOK	
1	LOS	
27	LOSS	Bleeding
1	LOSSES	
3	LOST	
1	LOTS	
1	LOVENOW	
89	LOW	
3	LOWER	
1	LOW-GRADE	Fever
1	LSC	
4	LUNG	
2	LVAD	VascularDevice
7	LYMPHOMA	Lymphoma
1	LYMPHOMATOUS	
1	MACROGLOBULINEMIA	
1	MAHA	
3	MAINTAIN	
1	MAJOR	
3	MALIGNANCY	Cancer
1	MANGLED	
4	MAP	
27	MARROW	BMT
4	MASSIVE	
1	MAXIMIZE	
3	MAY	
17	MD	
2	MD)	
19	MDS	MDS
1	MECH	
6	MECHANICAL	VascularDevice
2	MECHANICS	
2	MEDICINE	
1	MEET	
1	MEETS	
5	MELENA	Bleeding
1	MENORRHAGIA	Bleeding
2	MENTAL	
1	MESSAGE	
4	METASTATIC	
1	METS	
1	MFM	
3	MG/DL	
5	MI	
1	MILDLY	
1	MINUTES	
1	MITCHELL	
1	MITRAL	
10	MIXED	Hypoperfusion
1	ML	
2	MM	MM
1	MODIFICATION	
1	MONDAY	
1	MONITOR	
2	MONTH	
1	MONTHLY	
1	MORE	
1	MORNING	
1	MOST	
2	MOYAMOYA	
1	MULT	
2	MULTI-FACTORIAL	
7	MULTIPLE	
1	MVO2	Hypoperfusion
1	MVR	
2	MYELODYSPLASTIC	MDS
4	MYELOFIBROSIS	Myelofibrosis
4	MYELOMA	MM
1	MYELOSUPPRESSED	Myelosuppressed
4	MYELOSUPPRESSION	Myelosuppressed
3	MYELOSUPPRESSIVE	Myelosuppressed
1	MYELOSUPPROSED	Myelosuppressed
1	MYELOSUPRESSIVE	Myelosuppressed
1	MYLEOSUPPRESIVE	Myelosuppressed
3	MYLEOSUPRESSIVE	Myelosuppressed
1	MYLEPSUPRESSIVE	Myelosuppressed
2	NA	
4	NADIR	
1	NARAYAN	
1	NAUSEATED	
3	NEAR	
1	NEARLY	
18	NEED	
18	NEEDS	
1	NEOSYNEPHRINE	
1	NEPHROLOGIST	PerRenal
1	NEPHROLOGY	PerRenal
1	NEURO	
1	NEUROLOGICALLY	
2	NEUROSURGERY	
5	NEUTROPENIC	
4	NEW	
4	NEXT	
1	NHL	
1	NO	
1	NON-COLLOID	
1	NORMAL	
1	NOSE	
1	NOSEBLEEDS	Bleeding
18	NOT	
1	NOTE	
1	NOTED	
18	NOW	
1	NS	
1	NSCLC	Cancer
6	NSTEMI	ACS
1	NSVT	Arrhythmia
1	NTP	
1	NUMERABLE	
1	O/N	
8	O2	Hypoxia
1	OB	
114	OF	
2	OFF	
1	OLD	
1	OLT	
5	OLTX	Cirrhosis,Transplant
62	ON	
2	ONC	Cancer
1	ONCOLOGIC	PerOncology
2	ONCOLOGIST	PerOncology
13	ONCOLOGY	PerOncology
7	ONE	
1	ONGOIGN	
12	ONGOING	
2	ONLY	
1	ONOCOLOGIST	PerOncology
1	ONSET	
2	OOB	
2	OOZING	Bleeding
22	OP	Surgery
1	OPEN	
1	OPERATION	Surgery
1	OPERATIVE	Surgery
1	OPTIMAL	
1	OPTIMIZATION	
2	OPTIMIZE	
23	OR	Surgery
23	ORDER	PerOtherMD
5	ORDERED	
5	ORDERS	
5	ORGAN	
2	ORIF	
1	ORIGIN	
3	ORTHO	Surgery
1	ORTHOPAEDIC	Surgery
3	ORTHOPEDIC	Surgery
2	ORTHOSTASIS	Lightheaded
1	ORTHOSTATIC	Lightheaded
1	OSH	
1	OSTOMY	
2	OTHER	
3	OUT	
5	OUTPATIENT	
6	OUTPT	
1	OUTPT)	
5	OUTPUT	
2	OUTSIDE	
3	OVER	
1	OVERLOAD	
2	OVERNIGHT	
1	OWN	
7	OXYGEN	Hypoxia
4	OXYGENATION	Hypoxia
2	P	
1	PA	
1	PACEMAKER	
1	PACU	
1	"PACU,POST"	
9	PAIN	
1	PALPITATIONS	Arrhythmia
5	PAMF	
1	PANCREATIC	
2	PANCREATITIS	
2	PANCYTOPENIA	Myelosuppressed
2	PANCYTOPENIC	Myelosuppressed
3	PARAMETERS	
1	PARAVALVULAR	
1	PARTIAL	
2	PARTICIPATE	
2	PARTNER	
3	PAST	
298	PATIENT	
5	PATIENTS	
1	PATIENTY	
1	PCI	ACS
2	PD	RenalFailure
3	PE	VTE
1	PEG	
16	PENDING	
87	PER	PerOtherMD
8	PERFUSION	
1	PERFUSION-DEPENDENT	
3	PERICARDIAL	
2	PERIOD	
2	PERI-OP	Surgery
1	PERIPHERAL	
1	PERIPHERY	
1	PERSISTANT	
12	PERSISTENT	
2	PERSISTENTLY	
1	PHLEBOTOMY	
2	PHTN	
1	PHYSCIAN	
6	PHYSICIAN	
4	PHYSICIANS	
3	PHYSIOLOGY	
1	PIGTAIL	
1	PLACE	
6	PLACEMENT	
4	PLAN	
3	PLANED	
4	PLANNED	
6	PLANNING	
2	PLASMAPHERESIS	
2	PLASTIC	
1	PLASTICS	
1	PLATELETS	
1	PLATELET-TRANSFUSION	
3	PLEASE	
5	PLEURAL	
1	PLT	
1	PM	
1	PMHX	
1	PNEUMATOSIS	
4	POD	
2	POD1	
1	POINT	
1	POINTLESS	
2	POINTS	
1	POLICY	
1	POLYTRAUMA	
6	POOR	
2	POPPING	
1	POPS	
1	POSITIVE	
17	POSSIBLE	
66	POST	
1	POST-ANEMIA	
1	POST-CABG	CABG
1	POST-CARDIOTHORACIC	Surgery
1	POST-CEREBROVASCULAR	CNS
1	POSTCHEMO	Chemotherapy
1	POST-CHEMO	Chemotherapy
1	POST-KIDNEY	Surgery
34	POSTOP	Surgery
30	POST-OP	Surgery
10	POSTOPERATIVE	Surgery
3	POST-OPERATIVE	Surgery
1	POST-PROCEDURE	Procedure
1	POST-SURG	Surgery
1	POSTSURGERY	Surgery
1	POST-SURGERY	Surgery
2	POST-SURGICAL	Surgery
1	POST-TRANSPLANT	Surgery
1	POSTUSRGICAL	Surgery
4	POTENTIAL	
5	PRACTICE	
11	PRBC	
3	PRBCS	
10	PRE	
1	PREDICTED	
6	PREFERENCE	
1	PREGNANCY	
2	PREOP	Surgery
1	PRE-OP	Surgery
4	PREPARATION	
1	PREPARE	
1	PREPROCEDURE	Procedure
1	PRESENTS	
2	PRESSOR	Vasopressors
7	PRESSORS	Vasopressors
1	PRESSURE	
1	PRESUMED	
1	PRE-SYCNOPAL	Lightheaded
1	PRETTY	
2	PREVENT	
1	PREVENTING	
3	PREVIOUS	
2	PREVIOUSLY	
4	PRIMARY	
20	PRIOR	
3	PRN	
1	PROBABLE	
65	PROCEDURE	Procedure
1	PROCEDURE/SURGERY	Surgery
2	PROCEDURES	Procedure
2	PROCEUDRE	Procedure
1	PRODUCE	
1	PRODUCTS	
