Table,Code,Description,num_patient,Score
Medication,M0B,"ALBUMIN, HUMAN 5 % 5 % IV SOLP",36901,244.8409128295903
Medication,M0B,"ALBUMIN, HUMAN 25 % 25 % IV SOLP",10600,244.8409128295903
Medication,M0B,ANTITHROMBIN III (HUMAN) 500 (+/-) UNIT IV SOLR,73,244.8409128295903
Medication,M0B,"ALBUMIN, HUMAN 25 % 25 G/100 ML PREMIX (RWC PAV D USE ONLY)",43,244.8409128295903
Medication,M0B,"ALBUMIN, HUMAN 25 % 12.5 G/50 ML PREMIX (RWC PAV D USE ONLY)",16,244.8409128295903
Medication,Q6Y,WHITE PETROLATUM-MINERAL OIL OPHTH OINT,12312,243.31186805431147
Medication,Q6Y,WHITE PETROLATUM-MINERAL OIL OPHTH OINT WRAPPER,7818,243.31186805431147
Medication,Q6Y,WHITE PETROLATUM-MINERAL OIL 56.8-42.5 % OPHT OINT,2208,243.31186805431147
Medication,Q6Y,WHITE PETROLATUM-MINERAL OIL 94-3 % OPHT OINT,1289,243.31186805431147
Medication,Q6Y,WHITE PETROLATUM OPHT OINT,981,243.31186805431147
Pocedure,37113,UP AD LIB,127718,223.74047636072035
Diagnosis,RSP011,Atelectasis,25228,203.2967375637827
Diagnosis,RSP011,Pulmonary collapse,19540,203.2967375637827
Diagnosis,RSP011,Other specified pleural conditions,2623,203.2967375637827
Diagnosis,RSP011,Pleurisy without mention of effusion or current tuberculosis,2328,203.2967375637827
Diagnosis,RSP011,Pleural effusion in other conditions classified elsewhere,1483,203.2967375637827
Pocedure,1746,RED BLOOD CELLS,89427,203.2303292546636
Diagnosis,BLD006,"Thrombocytopenia, unspecified",19381,202.2034921930646
Diagnosis,BLD006,Thrombocytopenia (CMS-HCC),14647,202.2034921930646
Diagnosis,BLD006,"Thrombocytopenia, unspecified (CMS-HCC)",12938,202.2034921930646
Diagnosis,BLD006,Other secondary thrombocytopenia,7780,202.2034921930646
Diagnosis,BLD006,"Coagulation defect, unspecified",5047,202.2034921930646
Pocedure,418745,ADDITIONAL INSTRUCTIONS,134480,199.0257958932021
Pocedure,100975,KEEP HEAD OF BED ELEVATED,57262,193.13784492531704
Medication,H2E,ZOLPIDEM 5 MG PO TABS,84042,192.2228121506272
Medication,H2E,ZOLPIDEM 10 MG PO TABS,30429,192.2228121506272
Medication,H2E,DEXMEDETOMIDINE IN 0.9 % NACL 400 MCG/100 ML (4 MCG/ML) IV SOLN,15070,192.2228121506272
Medication,H2E,AMBIEN 10 MG PO TABS,11316,192.2228121506272
Medication,H2E,DEXMEDETOMIDINE 100 MCG/ML IV SOLN,8930,192.2228121506272
Pocedure,474911,ABO/RH,50859,180.21966149469148
Lab result,CAION,"Calcium, Ionized",97837,176.92842808285198
Lab result,CAION,Calcium Ionized,59715,176.92842808285198
Lab result,CAION,"Calcium,Ion, ISTAT",36786,176.92842808285198
Lab result,CAION,"Calcium, Ionized, Serum",706,176.92842808285198
Pocedure,832,ECHO - TRANSTHORACIC ECHO +DOPPLER,162284,173.77546200181146
Pocedure,832,ECHO - TRANSTHORACIC ECHO,9424,173.77546200181146
Medication,C1F,CALCIUM PO,36076,173.13211205612757
Medication,C1F,VITAMIN D (WITH CALCIUM) PO,31603,173.13211205612757
Medication,C1F,CALCIUM GLUCONATE IN 0.9% NACL 1 GRAM/50 ML IV SOLN,30407,173.13211205612757
Medication,C1F,CALCIUM + D PO,18851,173.13211205612757
Medication,C1F,CALCIUM CHLORIDE 1 GRAM (13.6 MEQ)/50 ML NS IVPB,18116,173.13211205612757
Medication,J5A,EPINEPHRINE 1 MG/ML (1 ML) INJ SOLN,28000,172.2452069722714
Medication,J5A,NOREPINEPHRINE BITARTRATE-NACL 4 MG/250 ML (16 MCG/ML) IV SOLN,11570,172.2452069722714
Medication,J5A,EPINEPHRINE 0.1 MG/ML INJ SYRG,8234,172.2452069722714
Medication,J5A,EPINEPHRINE 1 MG/ML INJ SOLN,8193,172.2452069722714
Medication,J5A,EPINEPHRINE HCL IN 0.9 % NACL 4 MG/250 ML (16 MCG/ML) IV SOLN,7739,172.2452069722714
Medication,C4G,INSULIN LISPRO 100 UNIT/ML SC SOLN,42013,172.1388048619322
Medication,C4G,INSULIN REGULAR HUMAN 100 UNIT/ML INJ SOLN,39435,172.1388048619322
Medication,C4G,INSULIN GLARGINE 100 UNIT/ML SC SOLN,15498,172.1388048619322
Medication,C4G,INSULIN ASPART 100 UNIT/ML SC SOLN,12049,172.1388048619322
Medication,C4G,INSULIN NPH ISOPH U-100 HUMAN 100 UNIT/ML SC SUSP,9163,172.1388048619322
Medication,M9D,"TRANEXAMIC ACID 1,000 MG/10 ML (100 MG/ML) IV SOLN",15147,171.44417448593032
Medication,M9D,AMINOCAPROIC ACID 250 MG/ML IV SOLN,6004,171.44417448593032
Medication,M9D,TRANEXAMIC ACID 650 MG PO TABS,1212,171.44417448593032
Medication,M9D,"TRANEXAMIC ACID IN NACL,ISO-OS 1,000 MG/100 ML (10 MG/ML) IV PGBK",639,171.44417448593032
Medication,M9D,LYSTEDA 650 MG PO TABS,590,171.44417448593032
Medication,S2B,IBUPROFEN 600 MG PO TABS,109543,166.7726933545371
Medication,S2B,KETOROLAC 30 MG/ML (1 ML) INJ SOLN,51725,166.7726933545371
Medication,S2B,IBUPROFEN 800 MG PO TABS,45051,166.7726933545371
Medication,S2B,IBUPROFEN 400 MG PO TABS,42858,166.7726933545371
Medication,S2B,KETOROLAC 15 MG/ML INJ SOLN,41164,166.7726933545371
Lab result,RBC,RBC,975574,160.4150590534693
Lab result,RBC,RBC (MANUAL ENTRY) See EMR for details,10078,160.4150590534693
Lab result,RBC,Total Cell Count{Menlo},385,160.4150590534693
Lab result,RBC,Red cells,27,160.4150590534693
Lab result,RBC,ADULT RBC,10,160.4150590534693
Lab result,BUN,"Urea Nitrogen,Ser/Plas",513379,158.72055757543728
Lab result,BUN,"BUN, Ser/Plas",431163,158.72055757543728
Lab result,BUN,BUN,144348,158.72055757543728
Lab result,BUN,BUN (Manual Entry) See EMR for details,87845,158.72055757543728
Lab result,BUN,"BUN, ISTAT",9453,158.72055757543728
Lab result,CR,"Creatinine, Ser/Plas",931885,156.18740656453772
Lab result,CR,"Creatinine, Serum (Manual Entry) See EMR for details",122459,156.18740656453772
Lab result,CR,"Creatinine,ISTAT",108293,156.18740656453772
Lab result,CR,Creatinine,12574,156.18740656453772
Lab result,CR,"Creatinine, Serum",9841,156.18740656453772
Diagnosis,MUS010,Pain in limb,66008,152.132082205845
Diagnosis,MUS010,Pain in right knee,54116,152.132082205845
Diagnosis,MUS010,Pain in left knee,51320,152.132082205845
Diagnosis,MUS010,"Pain in joint, lower leg",48101,152.132082205845
Diagnosis,MUS010,"Backache, unspecified",41181,152.132082205845
Pocedure,2233,TYPE AND SCREEN,242768,148.0244227619197
Pocedure,1434,VITAL SIGNS PER PROTOCOL,262833,143.11816365648218
Pocedure,1200,CONSULT TO NUTRITION,47612,142.65818921248157
Pocedure,68376,ADMIT TO PHASE,175723,140.09208447400096
Pocedure,68376,ADMIT TO PHASE (POST PROCEDURE AREA),101150,140.09208447400096
Diagnosis,GEN002,"Acute kidney failure, unspecified",27765,140.01438005971778
Diagnosis,GEN002,"Acute kidney failure, unspecified (CMS-HCC)",16552,140.01438005971778
Diagnosis,GEN002,Acute kidney injury (nontraumatic) (CMS-HCC),10653,140.01438005971778
Diagnosis,GEN002,AKI (acute kidney injury) (CMS-HCC),6117,140.01438005971778
Diagnosis,GEN002,Acute kidney failure with tubular necrosis,4948,140.01438005971778
Pocedure,706,DIET REGULAR,226213,139.37049292672603
Diagnosis,FAC009,Other specified postprocedural states,91771,135.08648778367225
Diagnosis,FAC009,Other postprocedural status(V45.89),46825,135.08648778367225
Diagnosis,FAC009,Fitting and adjustment of vascular catheter,25346,135.08648778367225
Diagnosis,FAC009,Encounter for fitting and adjustment of non-vascular catheter NEC,21907,135.08648778367225
Diagnosis,FAC009,Arthrodesis status,20784,135.08648778367225
Pocedure,17581,NOTIFY MD:VITAL SIGNS,267085,134.76510265058008
Medication,A2A,AMIODARONE 200 MG PO TABS,20862,133.20753441769895
Medication,A2A,"AMIODARONE IN DEXTROSE,ISO-OSM 150 MG/100 ML (1.5 MG/ML) IV SOLN",6339,133.20753441769895
Medication,A2A,LIDOCAINE IN 5 % DEXTROSE (PF) 8 MG/ML (0.8 %) IV SOLP,5717,133.20753441769895
Medication,A2A,FLECAINIDE 50 MG PO TABS,3684,133.20753441769895
Medication,A2A,FLECAINIDE 100 MG PO TABS,3540,133.20753441769895
Pocedure,153334,OXYGEN ADMINISTRATION,222581,132.8307686814681
Lab result,EGFR,eGFR,671284,131.72216091207602
Lab result,EGFR,eGFR (Non African American (Manual Entry) See EMR for details,72618,131.72216091207602
Lab result,EGFR,EGFR African American (Manual Entry) SEE EMR for Details,23322,131.72216091207602
Lab result,EGFR,EGFR Mutation,1224,131.72216091207602
Medication,A7B,NITROGLYCERIN 0.4 MG SL SUBL,48815,122.82926903277888
Medication,A7B,ISOSORBIDE MONONITRATE 30 MG PO TB24,10028,122.82926903277888
Medication,A7B,NITROGLYCERIN IN 5 % DEXTROSE 50 MG/250 ML (200 MCG/ML) IV SOLN,7927,122.82926903277888
Medication,A7B,NITROGLYCERIN 2 % TD OINT,6353,122.82926903277888
Medication,A7B,ISOSORBIDE MONONITRATE 60 MG PO TB24,4565,122.82926903277888
Diagnosis,CIR019,"Heart failure, unspecified",25129,117.73699591688045
Diagnosis,CIR019,"Congestive heart failure, unspecified",20875,117.73699591688045
Diagnosis,CIR019,Chronic systolic (congestive) heart failure,12348,117.73699591688045
Diagnosis,CIR019,Chronic diastolic (congestive) heart failure,10801,117.73699591688045
Diagnosis,CIR019,CHF (congestive heart failure) (CMS-HCC),8278,117.73699591688045
Medication,W1J,"VANCOMYCIN 1,000 MG IV SOLR",24716,116.41317743401254
Medication,W1J,VANCOMYCIN IN D5W 1 GRAM/200 ML IV PGBK,21425,116.41317743401254
Medication,W1J,VANCOMYCIN IN DEXTROSE 5 % 1 GRAM/200 ML IV PGBK,11225,116.41317743401254
Medication,W1J,VANCOMYCIN IN DEXTROSE 1 GRAM/200 ML IV PGBK,6075,116.41317743401254
Medication,W1J,VANCOMYCIN-WATER INJECT (PEG) 1 GRAM/200 ML IV PGBK,4964,116.41317743401254
Pocedure,481775,AB SCREEN (SHC),36269,113.81458363111574
Lab result,RDW,RDW,974552,112.56976226686156
Lab result,RDW,RDW (MANUAL ENTRY) See EMR for details,4076,112.56976226686156
Pocedure,1735,MRSA SCREEN,66723,110.55200680520916
Pocedure,1735,MRSA SCREEN BY CULTURE,30403,110.55200680520916
Lab result,PT,Prothrombin Time,337139,109.2564187926645
Lab result,PT,"PT, ISTAT",53521,109.2564187926645
Lab result,PT,Prothrombin Time (Manual Entry) See EMR for details,14406,109.2564187926645
Lab result,PT,PT seconds,3497,109.2564187926645
Lab result,PT,PT (Manual),362,109.2564187926645
Diagnosis,EXT027,Unspecified place of occurrence,40908,104.98773272500956
Diagnosis,EXT027,Other specified places as the place of occurrence of the external cause,28100,104.98773272500956
Diagnosis,EXT027,"Place of occurrence, home",24394,104.98773272500956
Diagnosis,EXT027,Unspecified place in unspecified non-institutional (private) residence as the place of occurrence of the external cause,20853,104.98773272500956
Diagnosis,EXT027,"Place of occurrence, residential institution",17050,104.98773272500956
Lab result,HCT,Hematocrit,988518,103.44478830595187
Lab result,HCT,Hct (Est),99973,103.44478830595187
Lab result,HCT,Hematocrit (Manual Entry) See EMR for details,96497,103.44478830595187
Lab result,HCT,"Hct, ISTAT",44756,103.44478830595187
Lab result,HCT,"Hct(Calc), ISTAT",30262,103.44478830595187
Pocedure,1470,NURSING PULSE OXIMETRY (SPOT CHECK),117935,103.30016422583968
Medication,M4G,GLUCOSE 4 GRAM PO CHEW,60342,101.07421925299442
Medication,M4G,DEXTROSE 40 % PO GEL,15730,101.07421925299442
Medication,M4G,GLUCAGON (HUMAN RECOMBINANT) 1 MG INJ SOLR,8668,101.07421925299442
Medication,M4G,GLUCOSE 5 GRAM PO CHEW,6098,101.07421925299442
Medication,M4G,GLUCAGON 1 MG INJ SOLR,1865,101.07421925299442
Pocedure,501391,RISK FOR VENOUS THROMBOEMBOLISM - VTE RISK ASSESSMENT,103363,100.13375181503338
Lab result,WBC,WBC,975990,99.45609690986927
Lab result,WBC,WBC (Manual Entry) See EMR for details,104161,99.45609690986927
Lab result,WBC,WBC count,15815,99.45609690986927
Lab result,WBC,WBC Count,193,99.45609690986927
Lab result,WBC,White Cells,1,99.45609690986927
Medication,W5A,VALACYCLOVIR 1 GRAM PO TABS,23451,99.28855028310076
Medication,W5A,ACYCLOVIR 400 MG PO TABS,23403,99.28855028310076
Medication,W5A,OSELTAMIVIR 75 MG PO CAPS,18189,99.28855028310076
Medication,W5A,VALACYCLOVIR 500 MG PO TABS,16969,99.28855028310076
Medication,W5A,ACYCLOVIR 800 MG PO TABS,7192,99.28855028310076
Medication,H2C,KETAMINE 100 MG/ML INJ SOLN,46180,98.78045472885552
Medication,H2C,ETOMIDATE 2 MG/ML IV SOLN,12381,98.78045472885552
Medication,H2C,PROPOFOL 10 MG/ML IV EMUL,10433,98.78045472885552
Medication,H2C,PROPOFOL 10 MG/ML IV INFUSION,7689,98.78045472885552
Medication,H2C,KETAMINE 10 MG/ML INJ SOLN,4825,98.78045472885552
Pocedure,657586,RAINBOW DRAW (FOR ED/RRT/CODE BLUE ONLY),85896,94.38463329194506
Pocedure,657586,RAINBOW DRAW,7980,94.38463329194506
Pocedure,1036,HEMOGLOBIN A1C,432233,90.61037500102924
Lab result,CA,"Calcium, Ser/Plas",896056,89.82512411939996
Lab result,CA,"Calcium, Serum (Manual Entry) See EMR for details",91151,89.82512411939996
Lab result,CA,Calcium,88,89.82512411939996
Lab result,CA,"Calcium, Serum",25,89.82512411939996
Lab result,HGB,Hemoglobin,982722,89.40300896411156
Lab result,HGB,Hemoglobin (Manual Entry) See EMR for details,114709,89.40300896411156
Lab result,HGB,"Hgb(Calc), ISTAT",71388,89.40300896411156
Lab result,HGB,HgB,46893,89.40300896411156
Lab result,HGB,HGB (Manual Entry) See EMR for details,3202,89.40300896411156
Medication,A9A,AMLODIPINE 5 MG PO TABS,85557,88.27708817981865
Medication,A9A,AMLODIPINE 10 MG PO TABS,48605,88.27708817981865
Medication,A9A,AMLODIPINE 2.5 MG PO TABS,25028,88.27708817981865
Medication,A9A,DILTIAZEM HCL 120 MG PO CP24,9813,88.27708817981865
Medication,A9A,CLEVIDIPINE 50 MG/100 ML IV EMUL,9100,88.27708817981865
Pocedure,433709,SLIDE REVIEW,51880,87.2590645742044
Lab result,TP,"Protein, Total, Ser/Plas",785231,86.87434260904995
Lab result,TP,Protein-Total,16,86.87434260904995
Lab result,GFR,eGFR for African American,392642,85.29680591169429
Lab result,GFR,GFR,13115,85.29680591169429
Lab result,AG,Anion Gap,723779,85.16298153263676
Lab result,AG,A/G Ratio,3789,85.16298153263676
Lab result,PLT,Platelet count,975807,84.66075736002132
Lab result,PLT,Platelet Count (Manual Entry) See EMR for details,103123,84.66075736002132
Lab result,PLT,Platelets,7908,84.66075736002132
Lab result,PLT,"Platelet Ct, Manual",478,84.66075736002132
Lab result,PLT,"Platelet Count, Manual {MENLO}",125,84.66075736002132
Pocedure,880100001,ARTERIAL LINE,49560,83.89387859384648
Pocedure,880100001,Arterial Line,17570,83.89387859384648
Diagnosis,CIR031,"Hypotension, unspecified",30472,82.15419465897139
Diagnosis,CIR031,Orthostatic hypotension,15499,82.15419465897139
Diagnosis,CIR031,"Hypotension, unspecified hypotension type",6053,82.15419465897139
Diagnosis,CIR031,Hypotension,5844,82.15419465897139
Diagnosis,CIR031,Other hypotension,3806,82.15419465897139
Lab result,K,"Potassium, Ser/Plas",918122,81.77382792640766
Lab result,K,"Potassium, Whole Bld",117286,81.77382792640766
Lab result,K,Potassium (Manual Entry) See EMR for details,113142,81.77382792640766
Lab result,K,"Potassium, ISTAT",71483,81.77382792640766
Lab result,K,"Potassium, serum/plasma",2284,81.77382792640766
Medication,H3D,ASPIRIN 325 MG PO TABS,57934,81.3063848149529
Medication,H3D,ASPIRIN PO,16842,81.3063848149529
Medication,H3D,ASPIRIN 300 MG PR SUPP,12033,81.3063848149529
Medication,H3D,ASPIRIN 325 MG PO TBEC,6662,81.3063848149529
Medication,H3D,EXCEDRIN MIGRAINE PO,2029,81.3063848149529
Lab result,GLU,"Glucose, Ser/Plas",894413,81.2492415919112
Lab result,GLU,Glucose by Meter,219614,81.2492415919112
Lab result,GLU,"Glucose, Whole Blood",116977,81.2492415919112
Lab result,GLU,"Glucose, SER/PLAS (Manual Entry) See EMR for details",111348,81.2492415919112
Lab result,GLU,"Glucose,ISTAT",58290,81.2492415919112
Lab result,FASTING,Fasting,354582,80.5145474573272
Lab result,CO2,"CO2, Ser/Plas",906147,80.28627852000221
Lab result,CL,"Chloride, Ser/Plas",909379,79.46108479023448
Lab result,CL,"Chloride, Whole Bld",115389,79.46108479023448
Lab result,CL,CHLORIDE BLD  (MANUAL ENTRY) See EMR for details,11132,79.46108479023448
Lab result,CL,"Chloride, ISTAT",9458,79.46108479023448
Lab result,CL,"CHLORIDE, SERUM/PLASMA (MANUAL ENTRY)SEE EMR FOR DETAILS",6149,79.46108479023448
Medication,W3B,FLUCONAZOLE 150 MG PO TABS,32752,76.92332973458244
Medication,W3B,FLUCONAZOLE 200 MG PO TABS,10562,76.92332973458244
Medication,W3B,CLOTRIMAZOLE 10 MG MM TROC,9376,76.92332973458244
Medication,W3B,TERBINAFINE HCL 250 MG PO TABS,6857,76.92332973458244
Medication,W3B,FLUCONAZOLE 100 MG PO TABS,5284,76.92332973458244
Lab result,TBIL,Total Bilirubin,531297,76.05468288858401
Lab result,TBIL,"Total Bilirubin, Ser/Plas",411355,76.05468288858401
Lab result,TBIL,Total Bilirubin (Manual Entry) See EMR for details,93582,76.05468288858401
Lab result,TBIL,"Bilirubin, Total, Neonatal",107,76.05468288858401
Diagnosis,CIR011,Atherosclerotic heart disease of native coronary artery without angina pectoris,60500,74.93144693253575
Diagnosis,CIR011,Old myocardial infarction,33421,74.93144693253575
Diagnosis,CIR011,Coronary atherosclerosis of native coronary artery,31208,74.93144693253575
Diagnosis,CIR011,"Coronary atherosclerosis of unspecified type of vessel, native or graft",22597,74.93144693253575
Diagnosis,CIR011,CAD (coronary artery disease),21617,74.93144693253575
Pocedure,1048,HEPATIC FUNCTION PANEL A,173961,73.79147532215566
Pocedure,37118,SEQUENTIAL COMPRESSION DEVICE (SCD),255080,73.33302174278356
Diagnosis,CIR015,Cardiomegaly,69699,73.29188213808577
Diagnosis,CIR015,"Heart disease, unspecified",10156,73.29188213808577
Diagnosis,CIR015,LVH (left ventricular hypertrophy),3325,73.29188213808577
Diagnosis,CIR015,Diastolic dysfunction,2002,73.29188213808577
Diagnosis,CIR015,Other ill-defined heart diseases,1857,73.29188213808577
Lab result,ALB,"Albumin, Ser/Plas",800563,73.08371376028452
Lab result,ALB,ALBUMIN BLD  (MANUAL ENTRY) See EMR for details,9434,73.08371376028452
Lab result,ALB,Albumin,7018,73.08371376028452
Lab result,ALB,"Albumin, Serum",50,73.08371376028452
Medication,Z2D,FAMOTIDINE 20 MG PO TABS,78739,72.97880841108567
Medication,Z2D,FAMOTIDINE (PF) 20 MG/2 ML IV SOLN,56474,72.97880841108567
Medication,Z2D,RANITIDINE HCL 150 MG PO TABS,16944,72.97880841108567
Medication,Z2D,FAMOTIDINE 40 MG PO TABS,11078,72.97880841108567
Medication,Z2D,RANITIDINE HCL 150 MG PO CAPS,7079,72.97880841108567
Pocedure,482536,XR CHEST 1 VIEW,124216,72.40310263128357
Lab result,NA,"Sodium, Ser/Plas",914528,72.31926576525338
Lab result,NA,"Sodium, Whole Blood",117026,72.31926576525338
Lab result,NA,Sodium (Manual Entry) See EMR for details,108406,72.31926576525338
Lab result,NA,"Sodium, ISTAT",71442,72.31926576525338
Lab result,NA,"Sodium, whole blood, ePOC",624,72.31926576525338
Diagnosis,SYM004,Nausea,54051,69.88935949576025
Diagnosis,SYM004,"Nausea with vomiting, unspecified",49972,69.88935949576025
Diagnosis,SYM004,Nausea with vomiting,31162,69.88935949576025
Diagnosis,SYM004,"Vomiting, unspecified",25617,69.88935949576025
Diagnosis,SYM004,Nausea alone,24577,69.88935949576025
Diagnosis,CIR012,"Chest pain, unspecified",144563,66.96063375968433
Diagnosis,CIR012,Other chest pain,91900,66.96063375968433
Diagnosis,CIR012,"Chest pain, unspecified type",48319,66.96063375968433
Diagnosis,CIR012,Chest pain,38647,66.96063375968433
Diagnosis,CIR012,Precordial pain,18060,66.96063375968433
Lab result,BUN,"Urea Nitrogen,Ser/Plas",513379,66.84980787363071
Lab result,BUN,"BUN, Ser/Plas",431163,66.84980787363071
Lab result,BUN,BUN,144348,66.84980787363071
Lab result,BUN,BUN (Manual Entry) See EMR for details,87845,66.84980787363071
Lab result,BUN,"BUN, ISTAT",9453,66.84980787363071
Lab result,ABORH,ABO/Rh (Automation),225482,66.46599609797774
Lab result,ABORH,ABO/RH,48626,66.46599609797774
Lab result,ABORH,ABO/Rh Cord,5673,66.46599609797774
Lab result,ABORH,ABO (Automation) (Manual Entry) See EMR for details,2995,66.46599609797774
Lab result,ABORH,ABO/RH Manual Entry,785,66.46599609797774
Lab result,SPECEXPDATE,Specimen Expiration Date,140639,65.57803895906262
Pocedure,1634,"PHOSPHORUS, SERUM/PLASMA",176752,65.23798146353407
Diagnosis,BLD008,"Disorder involving the immune mechanism, unspecified",7011,65.20026637534836
Diagnosis,BLD008,"Immunodeficiency, unspecified",5999,65.20026637534836
Diagnosis,BLD008,Immunosuppression (CMS-HCC),5680,65.20026637534836
Diagnosis,BLD008,"Other specified disorders involving the immune mechanism, not elsewhere classified",3600,65.20026637534836
Diagnosis,BLD008,Immunosuppressed status (CMS-HCC),2858,65.20026637534836
Pocedure,17968,SALINE LOCK AND FLUSH,232774,64.95737861200836
Pocedure,3041212,NURSING COMM SERUM GLUCOSE,34170,64.01036437168507
Lab result,NEUTAB,"NEUT, ABS",522238,63.45379771016022
Lab result,NEUTAB,"Neutrophil, Absolute",384165,63.45379771016022
Lab result,NEUTAB,"Neut, ABS (man diff)",41867,63.45379771016022
Lab result,NEUTAB,"Neut, ABS (Seg+Band) (man diff)",31195,63.45379771016022
Lab result,NEUTAB,"NEUTS, ABS",5167,63.45379771016022
Diagnosis,SYM015,Hallucinations,2103,63.13558375822858
Diagnosis,SYM015,"Hallucinations, unspecified",1801,63.13558375822858
Diagnosis,SYM015,Visual hallucinations,1412,63.13558375822858
Diagnosis,SYM015,Auditory hallucinations,1238,63.13558375822858
Diagnosis,SYM015,Hallucination,461,63.13558375822858
Pocedure,473871,BLOOD TYPE VERIFICATION - FULL,28340,62.57746813364362
Diagnosis,END008,Moderate protein-calorie malnutrition,5752,62.21813831583725
Diagnosis,END008,Mild protein-calorie malnutrition,3014,62.21813831583725
Diagnosis,END008,Moderate protein-calorie malnutrition (CMS-HCC),1090,62.21813831583725
Diagnosis,END008,Malnutrition of moderate degree (CMS-HCC),739,62.21813831583725
Diagnosis,END008,Mild protein-calorie malnutrition (CMS-HCC),558,62.21813831583725
Diagnosis,FAC016,Encounter for screening for other viral diseases,193224,61.339658391547225
Diagnosis,FAC016,Contact with and (suspected) exposure to other viral communicable diseases,129531,61.339658391547225
Diagnosis,FAC016,Screening for viral disease,108743,61.339658391547225
Diagnosis,FAC016,Contact with or exposure to viral disease,72009,61.339658391547225
Diagnosis,FAC016,Need for hepatitis C screening test,68338,61.339658391547225
Diagnosis,CIR017,Unspecified atrial fibrillation,47024,60.62619557608481
Diagnosis,CIR017,Atrial fibrillation (CMS-HCC),46861,60.62619557608481
Diagnosis,CIR017,Other specified cardiac dysrhythmias(427.89),43458,60.62619557608481
Diagnosis,CIR017,Ventricular premature depolarization,36938,60.62619557608481
Diagnosis,CIR017,Supraventricular tachycardia,36587,60.62619557608481
Pocedure,414593,BLOOD TYPE VERIFICATION,90090,59.9105336351434
Pocedure,414593,BLOOD TYPE VERIFICATION - ORDER,31488,59.9105336351434
Medication,R1F,HYDROCHLOROTHIAZIDE 25 MG PO TABS,56958,58.95278787220208
Medication,R1F,HYDROCHLOROTHIAZIDE 12.5 MG PO TABS,19994,58.95278787220208
Medication,R1F,HYDROCHLOROTHIAZIDE 12.5 MG PO CAPS,9387,58.95278787220208
Medication,R1F,CHLORTHALIDONE 25 MG PO TABS,8240,58.95278787220208
Medication,R1F,HYDROCHLOROTHIAZIDE PO,5775,58.95278787220208
Pocedure,119052,ABO/RH (ARI),163656,58.11146322862336
Pocedure,119052,ABO/RH,15586,58.11146322862336
Diagnosis,SYM011,Dysuria,63756,56.158062476958655
Diagnosis,SYM011,Urinary frequency,40161,56.158062476958655
Diagnosis,SYM011,Frequency of micturition,34933,56.158062476958655
Diagnosis,SYM011,Nocturia,25129,56.158062476958655
Diagnosis,SYM011,"Retention of urine, unspecified",22017,56.158062476958655
