clinical_item_category_id	source_table	description	external_id	clinical_item_id	name	description	item_count	patient_count
9	stride_order_proc	Diet	472154	45784	DIET101	DIET CLEAR LIQUID	5553	3856
10	stride_order_proc	OT	489056	45854	OT2	OT ONGOING TREATMENT	4718	3852
4	stride_order_proc	Nursing	624803	45864	NUR4067	OXYGEN ADMINISTRATION	4250	3628
4	stride_order_proc	Nursing	473760	45827	NUR1231	CARDIAC MONITOR	6441	3599
74	stride_order_med	Med (Subcutaneous)	5224	44222	RXCUI5224	Heparin (Subcutaneous)	5955	3596
24	stride_order_proc	Pathology	473385	45879	LABSURG	SURGICAL PROCEDURE	4297	3537
6	stride_order_proc	Lab	473730	45751	LABUA	URINALYSIS WITH MICROSCOPIC	7090	3407
6	stride_order_proc	Lab	473103	45778	LABPHOS	PHOSPHORUS, SERUM/PLASMA	10076	3348
74	stride_order_med	Med (Subcutaneous)	67108	44250	RXCUI67108	Enoxaparin (Subcutaneous)	6761	3213
4	stride_order_proc	Nursing	472939	46041	NUR1044	NURSING PULSE OXIMETRY (SPOT CHECK)	4228	3210
73	stride_order_med	Med (Oral)	161	44281	RXCUI161	Acetaminophen (Oral)	5415	3198
4	stride_order_proc	Nursing	489437	45795	NUR1664	SALINE LOCK AND FLUSH	4202	3184
73	stride_order_med	Med (Oral)	221147	44317	RXCUI221147	Polyethylene Glycol 3350 (Oral)	5023	3127
72	stride_order_med	Med (Intravenous)	14863	44201	MED14863	Glucose-Potassium Chloride-Sodium Chloride (Intravenous)	4469	3124
4	stride_order_proc	Nursing	518145	45808	NUR323	TEMPERATURE THERAPY	3400	3035
16	stride_order_proc	Blood Bank	473215	45927	LABBBPRBC	RED BLOOD CELLS	8804	2969
8	stride_order_proc	Imaging	473940	45801	IMGDXCH2	XR CHEST 2V	5053	2965
4	stride_order_proc	Nursing	668490	48547	20100002	MODERATE RISK DVT/PE PROPHYLAXIS	3480	2934
15	stride_order_proc	Microbiology	471779	45752	LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)	6212	2909
6	stride_order_proc	Lab	473732	45873	LABUAPRN	URINALYSIS, SCREEN FOR CULTURE	6575	2873
73	stride_order_med	Med (Oral)	8591	44231	RXCUI8591	Potassium Chloride (Oral)	8668	2860
15	stride_order_proc	Microbiology	497231	45901	LABBLC2	BLOOD CULTURE (2 AEROBIC BOTTLES)	5915	2835
72	stride_order_med	Med (Intravenous)	40790	44219	RXCUI40790	Pantoprazole (Intravenous)	4476	2818
73	stride_order_med	Med (Oral)	1191	44206	RXCUI1191	Aspirin (Oral)	6074	2803
73	stride_order_med	Med (Oral)	36387	44274	RXCUI36387	Sennosides, Usp (Oral)	4439	2785
6	stride_order_proc	Lab	471780	45760	LABABG	BLOOD GASES, ARTERIAL	9445	2730
25	stride_order_proc	Precaution	624829	45841	PRE5	FALL RISK PRECAUTIONS	3593	2709
6	stride_order_proc	Lab	471818	45887	LABCAI	CALCIUM IONIZED, SERUM/PLASMA	5456	2591
4	stride_order_proc	Nursing	473059	45924	NUR1094	AMBULATE WITH ASSISTANCE	2865	2555
4	stride_order_proc	Nursing	471838	45973	NUR672	CONVERT IV TO SALINE LOCK	2820	2462
6	stride_order_proc	Lab	473684	45870	LABTNI	TROPONIN I	6734	2461
15	stride_order_proc	Microbiology	473734	45782	LABURNC	URINE CULTURE	5339	2434
74	stride_order_med	Med (Subcutaneous)	86009	44215	RXCUI86009	Insulin Lispro (Subcutaneous)	8035	2422
6	stride_order_proc	Lab	472505	45797	LABA1C	HEMOGLOBIN A1C	3926	2417
72	stride_order_med	Med (Intravenous)	4318	44439	MED4318	Calcium Chloride-Lactate-Potassium Chloride-Sodium Chloride (Intravenous)	2978	2241
32	stride_order_proc	ECHO	472301	61832	ECH15	ECHO - TRANSTHORACIC ECHO +DOPPLER	3694	2223
72	stride_order_med	Med (Intravenous)	11124	43997	RXCUI11124	Vancomycin (Intravenous)	7652	2220
9	stride_order_proc	Diet	560454	46008	DIET131	DIET NPO AFTER MIDNIGHT	3950	2179
4	stride_order_proc	Nursing	473420	45912	NUR1208	BEDREST	2724	2168
72	stride_order_med	Med (Intravenous)	6585	44213	RXCUI6585	Magnesium Sulfate (Intravenous)	5568	2146
31	stride_order_proc	NOURISHMENTS	472173	45937	DIET122	DIET NUTRITIONAL SUPPLEMENTS	4786	2119
72	stride_order_med	Med (Intravenous)	161	56492	RXCUI161	Acetaminophen (Intravenous)	2981	2115
73	stride_order_med	Med (Oral)	25480	44229	RXCUI25480	Gabapentin (Oral)	5219	2056
3	stride_order_proc	Point of Care Testing	572612	45838	LABPCTNI	ISTAT TROPONIN I	2860	2053
34	stride_order_proc	Consult	472669	46050	CON100	CONSULT TO NUTRITION	2892	2053
4	stride_order_proc	Nursing	472091	61830	NUR810	I&O DRAINS OUPUT	2306	2052
4	stride_order_proc	Nursing	472892	45799	NUR1013	OOB/UP IN CHAIR WITH ASSIST	2415	2028
9	stride_order_proc	Diet	589836	65639	DC1	DISCHARGE DIET	2276	1982
72	stride_order_med	Med (Intravenous)	26225	44216	RXCUI26225	Ondansetron (Intravenous)	3139	1953
73	stride_order_med	Med (Oral)	7804	44023	RXCUI7804	Oxycodone (Oral)	5004	1924
73	stride_order_med	Med (Oral)	89905	44291	RXCUI89905	Multivitamin Preparation (Oral)	3128	1865
72	stride_order_med	Med (Intravenous)	16426	44220	MED16426	Potassium Chloride-Sodium Chloride (Intravenous)	2372	1839
3	stride_order_proc	Point of Care Testing	591304	45914	POC24	POC ISTAT TROPONIN I	2455	1835
72	stride_order_med	Med (Intravenous)	4603	44004	RXCUI4603	Furosemide (Intravenous)	9644	1822
6	stride_order_proc	Lab	472517	45910	LABHFP	HEPATIC FUNCTION PANEL A	3507	1809
4	stride_order_proc	Nursing	519463	45785	20100001	NO PHARMALOGICAL PROPHYLAXIS INDICATED	2101	1791
73	stride_order_med	Med (Oral)	6918	44005	RXCUI6918	Metoprolol (Oral)	4735	1762
4	stride_order_proc	Nursing	572384	46150	NUR4005	DRAIN CARE	2094	1758
4	stride_order_proc	Nursing	471971	45777	NUR762	NEUROLOGICAL CHECKS	2835	1749
3	stride_order_proc	Point of Care Testing	591288	45955	POC16	POC ISTAT,VENOUS BLOOD GASES AND LACTATE (CG4)	2402	1734
4	stride_order_proc	Nursing	489176	61983	NUR1402	HEAD OF BED 30 DEGREE	2081	1725
6	stride_order_proc	Lab	473689	45772	LABTSH	TSH	2382	1719
6	stride_order_proc	Lab	473107	46090	LABPLTS	PLATELET COUNT	2684	1712
4	stride_order_proc	Nursing	472914	45934	NUR1035	HEIGHT	2080	1707
3	stride_order_proc	Point of Care Testing	472682	46020	LABPCCG4V	ISTAT CG4,VENOUS	2366	1702
4	stride_order_proc	Nursing	489556	45925	NUR1783	WEIGHT BEARING STATUS	2345	1658
7	stride_order_proc	Respiratory Care	549822	45830	RT109	RESP - NEBULIZER	4585	1641
72	stride_order_med	Med (Intravenous)	8591	44283	RXCUI8591	Potassium Chloride (Intravenous)	4938	1597
6	stride_order_proc	Lab	472752	45894	LABLIPS	LIPASE	2480	1517
73	stride_order_med	Med (Oral)	4278	44264	RXCUI4278	Famotidine (Oral)	2933	1512
34	stride_order_proc	Consult	508096	49207	CON310	CONSULT TO MEDICINE	1853	1510
79	stride_order_med	Med (Injection)	6387	44244	RXCUI6387	Lidocaine (Injection)	2322	1499
6	stride_order_proc	Lab	890505	62151	LABLACWB	LACTATE, WHOLE BLOOD	4793	1499
71	stride_order_med	Med (Topical)	6387	46307	RXCUI6387	Lidocaine (Topical)	2372	1493
6	stride_order_proc	Lab	472500	45891	LABHCTX	HEMATOCRIT	2261	1492
8	stride_order_proc	Imaging	473818	45983	IMGCTH	CT HEAD	2666	1492
6	stride_order_proc	Lab	497520	45972	LABVANPRL	VANCOMYCIN TROUGH LEVEL	5764	1464
72	stride_order_med	Med (Intravenous)	2193	35733	RXCUI2193	Ceftriaxone (Intravenous)	2530	1447
29	stride_order_proc	Nursing Referral	496694	45816	CON301	CONSULT TO CASE MANAGEMENT	1643	1439
12	stride_order_proc	Procedures	3.04E+09	63763	2109357B	CENTRAL LINE SEPTEMBER	2233	1431
29	stride_order_proc	Nursing Referral	496695	46076	CON302	CONSULT TO SOCIAL WORK	1842	1429
4	stride_order_proc	Nursing	489285	46025	NUR1511	MAY GO OFF MONITOR FOR PROCEDURE	1658	1424
4	stride_order_proc	Nursing	471973	46216	NUR764	NEUROVASCULAR ASSESSMENT	1784	1418
8	stride_order_proc	Imaging	473962	46096	IMGDXAB1	XR ABDOMEN 1V	3738	1408
72	stride_order_med	Med (Intravenous)	96559	44237	MED96559	Glucose-Piperacillin-Tazobactam (Intravenous)	2314	1406
4	stride_order_proc	Nursing	877055	61840	NUR30029	PATIENT ON ACTIVE PROTOCOL	2890	1384
73	stride_order_med	Med (Oral)	83367	44240	RXCUI83367	Atorvastatin (Oral)	2334	1377
6	stride_order_proc	Lab	473371	61842	LABCDTPCR	C.DIFF TOXIN B GENE, QUAL. REAL-TIME PCR	3359	1375
30	stride_order_proc	Cast Room	489371	45881	CR131	OVERHEAD BED FRAME & TRAPEZE	1591	1349
72	stride_order_med	Med (Intravenous)	4337	44297	RXCUI4337	Fentanyl (Intravenous)	2563	1345
4	stride_order_proc	Nursing	660646	61825	NUR3001	SWALLOW ASSESSSMENT	1752	1342
3	stride_order_proc	Point of Care Testing	472691	45753	LABPCG3	ISTAT G3+, ARTERIAL	20746	1331
8	stride_order_proc	Imaging	473830	45858	IMGCTAP	CT ABDOMEN PELVIS	2116	1328
74	stride_order_med	Med (Subcutaneous)	95140	44202	MED95140	Pneumococcal Capsular Polysaccharide Type 1 Vaccine-Pneumococcal Capsular Polysaccharide Type 10A Vaccine-Pneumococcal Capsular Polysaccharide Type 11A Vaccine-Pneumococcal Capsular Polysaccharide Type 12F Vaccine-Pneumococcal Capsular Polysaccharide Type (...)	1563	1314
57	stride_order_proc	Transfusion Communication	472138	61975	NUR821	TRANSFUSE RBC (DOES NOT ORDER PRODUCT)	4336	1307
73	stride_order_med	Med (Oral)	10582	35847	RXCUI10582	Thyroxine (Oral)	2272	1298
9	stride_order_proc	Diet	472153	45796	DIET112	DIET CARBOHYDRATE CONTROLLED	2458	1283
4	stride_order_proc	Nursing	472891	45930	NUR1012	OOB/UP IN CHAIR	1411	1279
73	stride_order_med	Med (Oral)	17767	44207	RXCUI17767	Amlodipine (Oral)	2739	1278
74	stride_order_med	Med (Subcutaneous)	253182	44268	RXCUI253182	Regular Insulin, Human (Subcutaneous)	2624	1274
34	stride_order_proc	Consult	621219	48916	CON403	CONSULT TO DIABETES TEAM	1772	1271
72	stride_order_med	Med (Intravenous)	1908	44307	RXCUI1908	Calcium Gluconate (Intravenous)	2777	1265
73	stride_order_med	Med (Oral)	4603	44022	RXCUI4603	Furosemide (Oral)	3452	1265
73	stride_order_med	Med (Oral)	52356	44411	RXCUI52356	Magnesium Citrate (Oral)	1489	1233
73	stride_order_med	Med (Oral)	29046	44357	RXCUI29046	Lisinopril (Oral)	2576	1225
4	stride_order_proc	Nursing	572444	45965	NUR4031	KEEP HEAD OF BED ELEVATED	1485	1211
4	stride_order_proc	Nursing	506537	46160	NUR2116	ED VITALS	1364	1204
73	stride_order_med	Med (Oral)	24947	44227	RXCUI24947	Ferrous Sulfate (Oral)	2063	1185
43	stride_order_proc	NSG PICC Refer	489388	48555	NUR1614	PICC LINE PLACEMENT	1681	1169
6	stride_order_proc	Lab	472249	45941	LABDOA	DRUGS OF ABUSE SCREEN, URINE	1976	1154
73	stride_order_med	Med (Oral)	2551	44249	RXCUI2551	Ciprofloxacin (Oral)	2339	1143
6	stride_order_proc	Lab	471781	45919	LABVBG	BLOOD GASES, VENOUS	3701	1129
4	stride_order_proc	Nursing	489302	46119	NUR1528	MONITOR ARTERIAL LINE	1261	1120
72	stride_order_med	Med (Intravenous)	5224	44359	RXCUI5224	Heparin (Intravenous)	4047	1113
86	stride_order_med	Med (Swish & Spit)	2358	44287	RXCUI2358	Chlorhexidine (Swish & Spit)	1472	1108
72	stride_order_med	Med (Intravenous)	7052	44294	RXCUI7052	Morphine (Intravenous)	1800	1085
6	stride_order_proc	Lab	473019	45853	LABNTBNP	NT - PROBNP	1752	1080
72	stride_order_med	Med (Intravenous)	14858	44316	MED14858	Glucose-Potassium Chloride-Sodium Chloride (Intravenous)	1209	1077
21	stride_order_proc	PT	876753	61854	PT20	PT - NO SKILLED THERAPY NEEDS	1151	1076
4	stride_order_proc	Nursing	489313	65649	NUR1539	INSERT NASOGASTRIC TUBE	1945	1072
9	stride_order_proc	Diet	472168	61989	DIET103	DIET SODIUM RESTRICTED	2114	1069
34	stride_order_proc	Consult	506905	46037	CON361	NSG REFERRAL TO CASE MGMT	1313	1067
75	stride_order_med	Med (Inhalation)	78668	44349	MED78668	Albuterol-Ipratropium (Inhalation)	2002	1064
6	stride_order_proc	Lab	473125	45861	LABK	POTASSIUM, SERUM/PLASMA	1969	1057
7	stride_order_proc	Respiratory Care	549820	45857	RT108	RESP - MDI	2012	1056
4	stride_order_proc	Nursing	489361	48593	NUR1587	OK TO USE PICC LINE	1425	1052
22	stride_order_proc	Code Status	472206	63717	COD1	DNR/DNI	2148	1023
6	stride_order_proc	Lab	472035	45892	LABMB	CK, MB (MASS)	2222	1016
72	stride_order_med	Med (Intravenous)	4278	44245	RXCUI4278	Famotidine (Intravenous)	1212	1011
8	stride_order_proc	Imaging	473912	45852	IMGCTAPW	CT ABDOMEN PELVIS W CONTRAST	1331	998
7	stride_order_proc	Respiratory Care	3.50E+10	45832	RT104	RESP - VENTILATOR SETTINGS	5338	995
73	stride_order_med	Med (Oral)	8640	44011	RXCUI8640	Prednisone (Oral)	3135	993
4	stride_order_proc	Nursing	489362	45842	NUR1588	OOB	1168	989
4	stride_order_proc	Nursing	471970	46177	NUR761	CHANGE IV TUBING	1234	989
4	stride_order_proc	Nursing	489397	46055	NUR1623	PRESSURE ULCER PREVENTION PROTOCOL	1226	980
4	stride_order_proc	Nursing	471975	61831	NUR766	CHANGE PICC DRESSING	1231	980
76	stride_order_med	Med (Rectal)	1596	44217	RXCUI1596	Bisacodyl (Rectal)	1355	974
6	stride_order_proc	Lab	4.73E+05	61837	LABLPD	LIPID PANEL WITH DIRECT LDL	1229	968
72	stride_order_med	Med (Intravenous)	540115	44290	MED540115	Calcium Chloride-Lactate-Potassium Chloride-Sodium Chloride (Intravenous)	2609	967
6	stride_order_proc	Lab	471806	46044	LABCRP	C - REACTIVE PROTEIN	1614	955
6	stride_order_proc	Lab	472730	45903	LABLDH	LDH TOTAL, SERUM / PLASMA	2230	952
72	stride_order_med	Med (Intravenous)	48937	35969	RXCUI48937	Dexmedetomidine (Intravenous)	2021	952
37	stride_order_proc	Restraints	472829	62006	RES5	NON-VIOLENT RESTRAINTS	3394	950
73	stride_order_med	Med (Oral)	36567	44254	RXCUI36567	Simvastatin (Oral)	1527	948
4	stride_order_proc	Nursing	668489	48852	20100005	VTE NOT ORDERED	1108	947
72	stride_order_med	Med (Intravenous)	6470	44276	RXCUI6470	Lorazepam (Intravenous)	1712	941
25	stride_order_proc	Precaution	473079	45893	PRE3	ASPIRATION PRECAUTIONS	1170	935
72	stride_order_med	Med (Intravenous)	35827	44301	RXCUI35827	Ketorolac (Intravenous)	1164	910
4	stride_order_proc	Nursing	572446	46168	NUR4032	DISCONTINUE	1105	907
9	stride_order_proc	Diet	879421	62081	DIET137	DIET NPO AFTER MIDNIGHT FOR SURGERY	1415	902
72	stride_order_med	Med (Intravenous)	828529	44275	RXCUI828529	Albumin Human, Usp (Intravenous)	4215	891
8	stride_order_proc	Imaging	474106	46039	IMGMRH	MR BRAIN	1396	891
15	stride_order_proc	Microbiology	472484	46006	LABGRAM	GRAM STAIN	1893	884
8	stride_order_proc	Imaging	474086	62052	IMGDXFL1HRGR	XR FLUORO OVER 1 HOUR WO RADIOLOGIST	1014	879
4	stride_order_proc	Nursing	572375	46080	NUR4001	SPECIALTY BEDS	1206	874
73	stride_order_med	Med (Oral)	1151	44325	RXCUI1151	Ascorbic Acid (Oral)	1315	872
15	stride_order_proc	Microbiology	473239	46179	LABRESP	RESPIRATORY CULTURE	2400	872
8	stride_order_proc	Imaging	473996	46118	IMGDXPEL	XR PELVIS 1V	1335	862
4	stride_order_proc	Nursing	668491	48535	20100003	HIGH RISK DVT/PE PROPHYLAXIS	937	851
3	stride_order_proc	Point of Care Testing	473370	50267	POC5	POC STOOL - OCCULT BLOOD EXAM (UNIT PERFORMED)	1216	851
72	stride_order_med	Med (Intravenous)	15861	44203	MED15861	Glucose-Sodium Chloride (Intravenous)	1084	847
15	stride_order_proc	Microbiology	472432	46103	LABFCUL	FUNGAL CULTURE	1889	847
4	stride_order_proc	Nursing	891498	61999	NUR0830	REMOVE COBAN WRAP	1010	842
3	stride_order_proc	Point of Care Testing	472684	46098	LABPCCR	ISTAT CREATININE	896	835
4	stride_order_proc	Nursing	871152	62012	NUR130000	OK TO USE TUBE/LINE	1369	834
15	stride_order_proc	Microbiology	471619	45826	LABANER	ANAEROBIC CULTURE	1525	830
14	stride_order_proc	REHAB	473336	46148	SLP2	SLP EVALUATE AND TREAT	1352	827
73	stride_order_med	Med (Oral)	11289	44234	RXCUI11289	Warfarin (Oral)	3912	824
4	stride_order_proc	Nursing	489222	45952	NUR1448	JACKSON PRATT DRAIN	874	823
21	stride_order_proc	PT	667706	45961	PT11	PT GAIT TRAINING	936	822
10	stride_order_proc	OT	876754	61863	OT20	OT - NO SKILLED THERAPY NEEDS	860	822
72	stride_order_med	Med (Intravenous)	96560	44391	MED96560	Glucose-Piperacillin-Tazobactam (Intravenous)	1243	819
16	stride_order_proc	Blood Bank	472423	45872	LABBBPFFP	FRESH FROZEN PLASMA PRODUCT	2419	819
84	stride_order_med	Med (Intramuscular)	540894	60166	MED540894	INFLUENZA 2013-14 VAC (PF) (FLUZONE) SYRG (FOR AGE >= 36 MO)	1132	816
8	stride_order_proc	Imaging	519244	65672	IMGUSNVLOW	US RADIOLOGY VEIN LOWER EXTREMITY BILATERAL RULE OUT DVT	989	800
73	stride_order_med	Med (Oral)	77492	44345	RXCUI77492	Tamsulosin (Oral)	1447	789
35	stride_order_proc	SLP	644244	45916	SLP11	SLP SWALLOW ONGOING TREATMENT	957	785
7	stride_order_proc	Respiratory Care	473052	45921	RT84	RESP - OXYGEN ADMINISTRATION	1275	779
7	stride_order_proc	Respiratory Care	472340	45768	RT75	RESP - EXTUBATION	1001	776
35	stride_order_proc	SLP	644242	45960	SLP10	SLP SWALLOW EVALUATE AND TREAT (AT BEDSIDE)	1017	772
8	stride_order_proc	Imaging	474322	45869	IMGUSAB1	US ABDOMEN	1047	770
73	stride_order_med	Med (Oral)	26225	44420	RXCUI26225	Ondansetron (Oral)	1413	768
6	stride_order_proc	Lab	472104	45895	LABCK	CREATINE KINASE, TOTAL	1387	761
73	stride_order_med	Med (Oral)	20352	44340	RXCUI20352	Carvedilol (Oral)	2076	760
73	stride_order_med	Med (Oral)	140587	46789	RXCUI140587	Celecoxib (Oral)	1330	756
4	stride_order_proc	Nursing	518164	46034	NUR324	PAIN ASSESSMENT	960	751
72	stride_order_med	Med (Intravenous)	6918	44327	RXCUI6918	Metoprolol (Intravenous)	1559	751
6	stride_order_proc	Lab	472369	45922	LABFER	FERRITIN	1025	746
72	stride_order_med	Med (Intravenous)	3498	44358	RXCUI3498	Diphenhydramine (Intravenous)	1398	744
16	stride_order_proc	Blood Bank	473112	45875	LABBBPPLT	PLATELET APHERESIS PRODUCT	3725	744
6	stride_order_proc	Lab	473764	46024	LABB12	VITAMIN B12	984	743
9	stride_order_proc	Diet	870928	61841	DIET150	DIET FULL LIQUID	985	743
6	stride_order_proc	Lab	473295	48790	LABESRP	SEDIMENTATION RATE (ESR)	1147	737
6	stride_order_proc	Lab	473413	45929	LABFT4	T4, FREE	971	732
4	stride_order_proc	Nursing	508589	45998	NUR2247	MONITOR CENTRAL LINE	845	725
72	stride_order_med	Med (Intravenous)	-1.20E+17	44006	RXCUI55018,34322	Dibasic Potassium Phosphate-Potassium Phosphate (Intravenous)	1659	724
7	stride_order_proc	Respiratory Care	549818	45890	RT107	RESP - ABG PUNCTURE	1372	723
15	stride_order_proc	Microbiology	472395	46128	LABFLDC	FLUID CULTURE AND GRAM STAIN	1605	723
6	stride_order_proc	Lab	472720	45918	LABLAC	LACTIC ACID	2516	718
72	stride_order_med	Med (Intravenous)	253182	35850	RXCUI253182	Regular Insulin, Human (Intravenous)	1531	715
9	stride_order_proc	Diet	472169	45824	DIET107	DIET LOW SODIUM LOW CHOLESTEROL LOW SAT FAT	1011	708
72	stride_order_med	Med (Intravenous)	8410	44417	RXCUI8410	Alteplase (Intravenous)	1605	703
72	stride_order_med	Med (Intravenous)	6387	44366	RXCUI6387	Lidocaine (Intravenous)	1028	695
4	stride_order_proc	Nursing	471984	48534	NUR775	WOUND CARE	1385	694
9	stride_order_proc	Diet	572456	45896	DIET132	DIET CARB CONTROL/LOW SODIUM/LOW CHOL/LOW SAT FAT	1148	693
3	stride_order_proc	Point of Care Testing	591290	46064	POC17	POC ISTAT CREATININE	747	690
72	stride_order_med	Med (Intravenous)	3264	44017	RXCUI3264	Dexamethasone (Intravenous)	1189	680
4	stride_order_proc	Nursing	872142	62043	NUR201022	HOLD MEDICATION X 1 DOSE	1020	679
9	stride_order_proc	Diet	624769	61836	DIET133	DIET POST SURGICAL - STEP ONE	969	679
72	stride_order_med	Med (Intravenous)	2551	44262	RXCUI2551	Ciprofloxacin (Intravenous)	1055	675
6	stride_order_proc	Lab	473473	45908	LABTRFS	TRANSFERRIN SATURATION	892	675
4	stride_order_proc	Nursing	572435	46122	NUR4027	SURGICAL PREPARATION	785	665
41	stride_order_proc	Isolation	473004	48711	ISO8	CONTACT ISOLATION	1215	664
4	stride_order_proc	Nursing	596343	46061	NUR4044	WEAN O2 THERAPY	898	662
6	stride_order_proc	Lab	472514	63714	LABHEPAR	HEPARIN, UNFRACTIONATED, ANTI XA	3428	662
4	stride_order_proc	Nursing	473800	46013	NUR1249	CHEST TUBE	1510	661
4	stride_order_proc	Nursing	624799	48628	NUR4094	NO ASPIRIN OR NSAIDS	1160	661
4	stride_order_proc	Nursing	472901	56841	NUR1022	RESPIRATORY RATE	775	659
4	stride_order_proc	Nursing	489185	45967	NUR1411	HEMOVAC	718	658
4	stride_order_proc	Nursing	472912	45977	NUR1033	ACTUAL WEIGHT (KG)	1185	658
72	stride_order_med	Med (Intravenous)	36676	44267	RXCUI36676	Sodium Bicarbonate (Intravenous)	1585	651
73	stride_order_med	Med (Oral)	3498	46281	RXCUI3498	Diphenhydramine (Oral)	1038	650
74	stride_order_med	Med (Subcutaneous)	253181	46234	RXCUI253181	Nph Insulin, Human (Subcutaneous)	3001	647
73	stride_order_med	Med (Oral)	5487	44226	RXCUI5487	Hydrochlorothiazide (Oral)	1015	646
72	stride_order_med	Med (Intravenous)	7476	35133	RXCUI7476	Nitroprusside (Intravenous)	869	645
99	stride_order_med	Med (None)	540103	44372	MED540103	HELP ORDER	859	641
9	stride_order_proc	Diet	472177	48492	DIET123	DIET TUBE FEEDING ONLY	3672	637
4	stride_order_proc	Nursing	489487	48675	NUR1714	STRICT I AND O	777	634
4	stride_order_proc	Nursing	489381	46210	NUR1607	PATIENT MAY SHOWER	692	629
41	stride_order_proc	Isolation	506542	49054	ISO9	DROPLET ISOLATION	1059	629
4	stride_order_proc	Nursing	876709	61985	NUR30027	2% CHLORHEXIDINE GLUCONATE WIPES	684	628
72	stride_order_med	Med (Intravenous)	82122	44299	RXCUI82122	Levofloxacin (Intravenous)	1169	625
6	stride_order_proc	Lab	977655	63725	LABSPLAC	SEPSIS PROTOCOL LACTATE	1557	624
72	stride_order_med	Med (Intravenous)	6922	44235	RXCUI6922	Metronidazole (Intravenous)	946	607
8	stride_order_proc	Imaging	872169	63727	IMGDXCHLP	CHEST 1 VIEW FOR LINE PLACEMENT	771	607
8	stride_order_proc	Imaging	473821	48698	IMGCTT	CT THORAX	920	605
73	stride_order_med	Med (Oral)	6470	44258	RXCUI6470	Lorazepam (Oral)	1119	605
72	stride_order_med	Med (Intravenous)	15882	46399	MED15882	Glucose-Sodium Chloride (Intravenous)	734	604
4	stride_order_proc	Nursing	867814	61992	NURWAR	WARFARIN MANAGED BY PHARMACY	1049	601
