Type	Section	Name	Value	Name	Description	Comment
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	CON400	CONSULT TO GASTROENTEROLOGY	Consult for endoscopy (EGD or Colonoscopy)
Reference	GIBleed	NICE-AcuteGIBleedMgmt	1	GIEGD	UPPER GI ENDOSCOPY	
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	RXCUI10391	Tetracaine (Topical)	Spray ingredient
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	RXCUI19861	Butamben (Topical)	Spray ingredient
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	RXCUI1399	Benzocaine (Topical)	Spray ingredient
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	DIET102	DIET NPO	Part of EGD process
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	DIET131	DIET NPO AFTER MIDNIGHT	Part of EGD process
Reference	GIBleed	NICE-AcuteGIBleedMgmt	1	CON417	CONSULT TO IR	Unstable after EGD
Reference	GIBleed	NICE-AcuteGIBleedMgmt	1	CON322	CONSULT TO GENERAL SURGERY	Unstable after EGD, IR unavailable
Reference	GIBleed	NICE-AcuteGIBleedMgmt	1	RXCUI1191	Aspirin (J Tube)	Continue secondary prevention and hemostasis achieved
Reference	GIBleed	NICE-AcuteGIBleedMgmt	1	NUR821	TRANSFUSE RBC (DOES NOT ORDER PRODUCT)	Massive Bleeding, Clinical Assessment
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	LABARVI	BLOOD TYPE VERIFICATION	Part of transfusion
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	LABTYPSNI	TYPE AND SCREEN	Part of transfusion
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	LABABIDI	AB ID	Part of transfusion
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	LABBBPRBC	RED BLOOD CELLS	Part of RBC transfusion
Reference	GIBleed	NICE-AcuteGIBleedMgmt	1	MED530014	PANTOPRAZOLE 0.8 MG/ML IV INFUSION	Non-variceal
Reference	GIBleed	NICE-AcuteGIBleedMgmt	1	RXCUI40790	Pantoprazole (Intravenous)	Non-variceal
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	PATH10	SURGICAL GENERAL	H Pylori biopsy presumably here
Reference	GIBleed	NICE-AcuteGIBleedMgmt	1	LABHELAG	HELICOBACTER PYLORI AG, STOOL	
Reference	GIBleed	NICE-AcuteGIBleedMgmt	1	RXCUI40790	Pantoprazole (Oral)	
Reference	GIBleed	NICE-AcuteGIBleedMgmt	1	DIET101	DIET CLEAR LIQUID	
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	LABCBCO	CBC	Part of risk assessment
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	LABCBCD	CBC WITH DIFF	Part of risk assessment
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	LABHCTX	HEMATOCRIT	Part of risk assessment
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	LABMETB	METABOLIC PANEL, BASIC	Part of risk assessment
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	LABMETC	METABOLIC PANEL, COMPREHENSIVE	Part of risk assessment
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	CON400	CONSULT TO GASTROENTEROLOGY	Consult for endoscopy (EGD or Colonoscopy)
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	GIEGD	UPPER GI ENDOSCOPY	
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	RXCUI10391	Tetracaine (Topical)	Spray ingredient
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	RXCUI19861	Butamben (Topical)	Spray ingredient
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	RXCUI1399	Benzocaine (Topical)	Spray ingredient
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	DIET102	DIET NPO	Part of EGD process
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	DIET131	DIET NPO AFTER MIDNIGHT	Part of EGD process
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	CON417	CONSULT TO IR	Unstable after EGD
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	CON322	CONSULT TO GENERAL SURGERY	Unstable after EGD, IR unavailable
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	MED540316	CEFTRIAXONE 1 GRAM/50 ML D5W IVPB	Variceal Prophylactic Antibiotics
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	MED540672	CIPROFLOXACIN IN NS IV 400 MG/250 ML IV	Variceal Prophylactic Antibiotics
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	RXCUI2551	Ciprofloxacin (Intravenous)	Variceal Prophylactic Antibiotics
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	CON105	CONSULT TO IR - TIPS	Variceal, Uncontrolled Despite Band Ligation
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	1	RXCUI1191	Aspirin (J Tube)	Continue secondary prevention and hemostasis achieved
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	2	NUR821	TRANSFUSE RBC (DOES NOT ORDER PRODUCT)	Massive Bleeding, Clinical Assessment
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	2	LABARVI	BLOOD TYPE VERIFICATION	Part of transfusion
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	2	LABTYPSNI	TYPE AND SCREEN	Part of transfusion
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	2	LABABIDI	AB ID	Part of transfusion
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	2	LABBBPRBC	RED BLOOD CELLS	Part of RBC transfusion
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	2	NUR819	TRANSFUSE FFP (DOES NOT ORDER PRODUCT)	Massive Bleeding, coagulopathy
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	2	LABPT	PROTHROMBIN TIME	Part of FFP transfuse assessment
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	2	LABPTT	PTT PARTIAL THROMBOPLASTIN TIME	Part of FFP transfuse assessment
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	2	LABDIC	DIC SCREEN	Part of FFP transfuse assessment
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	2	LABBBPFFP	FRESH FROZEN PLASMA PRODUCT	Part of FFP transfusion
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	2	NUR820	TRANSFUSE PLT (DOES NOT ORDER PRODUCT)	Massive Bleeding, Plt<50
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	2	LABBBPPLT	PLATELET APHERESIS PRODUCT	Part of Plt transfusion
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	2	MED520173	PHYTONADIONE (VITAMIN K) IVPB	Warfarin, bleeding protocol
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	2	RXCUI8308	Vitamin K 1 (Subcutaneous)	Warfarin, bleeding protocol
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	-1	RXCUI4256	Factor Viia (Intravenous)	Unless all other methods fail
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	2	MED530014	PANTOPRAZOLE 0.8 MG/ML IV INFUSION	Non-variceal
Recommendation	GIBleed	NICE-AcuteGIBleedMgmt	2	RXCUI40790	Pantoprazole (Intravenous)	Non-variceal
Reference	GIBleed	ACG-UlcerBleedMgmt	2	LABCBCO	CBC	Part of risk assessment
Reference	GIBleed	ACG-UlcerBleedMgmt	2	LABCBCD	CBC WITH DIFF	Part of risk assessment
Reference	GIBleed	ACG-UlcerBleedMgmt	2	LABHCTX	HEMATOCRIT	Part of risk assessment
Reference	GIBleed	ACG-UlcerBleedMgmt	2	LABMETB	METABOLIC PANEL, BASIC	Part of risk assessment
Reference	GIBleed	ACG-UlcerBleedMgmt	2	LABMETC	METABOLIC PANEL, COMPREHENSIVE	Part of risk assessment
Reference	GIBleed	ACG-UlcerBleedMgmt	2	RXCUI9863	Sodium Chloride (Intravenous)	Resucitation
Reference	GIBleed	ACG-UlcerBleedMgmt	2.5	NUR1042	ORTHOSTATIC BLOOD PRESSURE	Part of hemodynamic assessment
Reference	GIBleed	ACG-UlcerBleedMgmt	2.5	EKG5	ECG 12-LEAD	
Reference	GIBleed	ACG-UlcerBleedMgmt	2.5	LABPCTNI	ISTAT TROPONIN I	
Reference	GIBleed	ACG-UlcerBleedMgmt	2.5	POC24	POC ISTAT TROPONIN I	
Reference	GIBleed	ACG-UlcerBleedMgmt	2.5	POC16	POC ISTAT,VENOUS BLOOD GASES AND LACTATE (CG4)	
Reference	GIBleed	ACG-UlcerBleedMgmt	2.5	LABPCEC4V	ISTAT EC4, VENOUS	
Reference	GIBleed	ACG-UlcerBleedMgmt	2.5	LABPCCG4V	ISTAT CG4,VENOUS	
Reference	GIBleed	ACG-UlcerBleedMgmt	2.5	CON310	CONSULT TO MEDICINE	
Reference	GIBleed	ACG-UlcerBleedMgmt	2.5	LABTNI	TROPONIN I	
Reference	GIBleed	ACG-UlcerBleedMgmt	2.5	LABLAC	LACTIC ACID	
Reference	GIBleed	ACG-UlcerBleedMgmt	1	MED520048	ERYTHROMYCIN IVPB (CUSTOM DOSE)	
Reference	GIBleed	ACG-UlcerBleedMgmt	1	NUR651	NASOGASTRIC TUBE	
Reference	GIBleed	ACG-UlcerBleedMgmt	2	CON400	CONSULT TO GASTROENTEROLOGY	Consult for endoscopy (EGD or Colonoscopy)
Reference	GIBleed	ACG-UlcerBleedMgmt	1	GIEGD	UPPER GI ENDOSCOPY	Within 24 hours, plus also conditional repeat look if further bleeding
Reference	GIBleed	ACG-UlcerBleedMgmt	2	RXCUI10391	Tetracaine (Topical)	Spray ingredient
Reference	GIBleed	ACG-UlcerBleedMgmt	2	RXCUI19861	Butamben (Topical)	Spray ingredient
Reference	GIBleed	ACG-UlcerBleedMgmt	2	RXCUI1399	Benzocaine (Topical)	Spray ingredient
Reference	GIBleed	ACG-UlcerBleedMgmt	2	DIET102	DIET NPO	Part of EGD process
Reference	GIBleed	ACG-UlcerBleedMgmt	2	DIET131	DIET NPO AFTER MIDNIGHT	Part of EGD process
Reference	GIBleed	ACG-UlcerBleedMgmt	1	CON417	CONSULT TO IR	Recurrent bleed after 2xEGD
Reference	GIBleed	ACG-UlcerBleedMgmt	1	CON322	CONSULT TO GENERAL SURGERY	Recurrent bleed after 2xEGD
Reference	GIBleed	ACG-UlcerBleedMgmt	1	RXCUI1191	Aspirin (J Tube)	Continue secondary prevention ASAP usually within 3 days
Reference	GIBleed	ACG-UlcerBleedMgmt	1	NUR821	TRANSFUSE RBC (DOES NOT ORDER PRODUCT)	Target Hgb>7 or higher if comorbidities
Reference	GIBleed	ACG-UlcerBleedMgmt	2	LABARVI	BLOOD TYPE VERIFICATION	Part of transfusion
Reference	GIBleed	ACG-UlcerBleedMgmt	2	LABTYPSNI	TYPE AND SCREEN	Part of transfusion
Reference	GIBleed	ACG-UlcerBleedMgmt	2	LABABIDI	AB ID	Part of transfusion
Reference	GIBleed	ACG-UlcerBleedMgmt	2	LABBBPRBC	RED BLOOD CELLS	Part of RBC transfusion
Reference	GIBleed	ACG-UlcerBleedMgmt	1	MED530014	PANTOPRAZOLE 0.8 MG/ML IV INFUSION	Endoscopic stigmata of hemorrhage or no EGD
Reference	GIBleed	ACG-UlcerBleedMgmt	1	RXCUI40790	Pantoprazole (Intravenous)	Endoscopic stigmata of hemorrhage or no EGD
Reference	GIBleed	ACG-UlcerBleedMgmt	2	PATH10	SURGICAL GENERAL	Bleeding ulcer H Pylori biopsy presumably here
Reference	GIBleed	ACG-UlcerBleedMgmt	1	LABHELAG	HELICOBACTER PYLORI AG, STOOL	Confirmation if negative biopsy
Reference	GIBleed	ACG-UlcerBleedMgmt	1	RXCUI40790	Pantoprazole (Oral)	Low-risk EGD findings then long-term conditionally
Reference	GIBleed	ACG-UlcerBleedMgmt	1	DIET101	DIET CLEAR LIQUID	High-risk EGD findings, keep in hospital, but can feed clear liquids
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	LABCBCO	CBC	Part of risk assessment
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	LABCBCD	CBC WITH DIFF	Part of risk assessment
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	LABHCTX	HEMATOCRIT	Part of risk assessment
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	LABMETB	METABOLIC PANEL, BASIC	Part of risk assessment
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	LABMETC	METABOLIC PANEL, COMPREHENSIVE	Part of risk assessment
Recommendation	GIBleed	ACG-UlcerBleedMgmt	1	RXCUI9863	Sodium Chloride (Intravenous)	Resucitation
Recommendation	GIBleed	ACG-UlcerBleedMgmt	1	NUR1042	ORTHOSTATIC BLOOD PRESSURE	Part of hemodynamic assessment
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	MED520048	ERYTHROMYCIN IVPB (CUSTOM DOSE)	
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2.5	NUR651	NASOGASTRIC TUBE	
Recommendation	GIBleed	ACG-UlcerBleedMgmt	1	CON400	CONSULT TO GASTROENTEROLOGY	Consult for endoscopy (EGD or Colonoscopy)
Recommendation	GIBleed	ACG-UlcerBleedMgmt	1	GIEGD	UPPER GI ENDOSCOPY	Within 24 hours, plus also conditional repeat look if further bleeding
Recommendation	GIBleed	ACG-UlcerBleedMgmt	1	RXCUI10391	Tetracaine (Topical)	Spray ingredient
Recommendation	GIBleed	ACG-UlcerBleedMgmt	1	RXCUI19861	Butamben (Topical)	Spray ingredient
Recommendation	GIBleed	ACG-UlcerBleedMgmt	1	RXCUI1399	Benzocaine (Topical)	Spray ingredient
Recommendation	GIBleed	ACG-UlcerBleedMgmt	1	DIET102	DIET NPO	Part of EGD process
Recommendation	GIBleed	ACG-UlcerBleedMgmt	1	DIET131	DIET NPO AFTER MIDNIGHT	Part of EGD process
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	CON417	CONSULT TO IR	Recurrent bleed after 2xEGD
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	CON322	CONSULT TO GENERAL SURGERY	Recurrent bleed after 2xEGD
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	RXCUI1191	Aspirin (J Tube)	Continue secondary prevention ASAP usually within 3 days
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	NUR821	TRANSFUSE RBC (DOES NOT ORDER PRODUCT)	Target Hgb>7 or higher if comorbidities
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	LABARVI	BLOOD TYPE VERIFICATION	Part of transfusion
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	LABTYPSNI	TYPE AND SCREEN	Part of transfusion
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	LABABIDI	AB ID	Part of transfusion
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	LABBBPRBC	RED BLOOD CELLS	Part of RBC transfusion
Recommendation	GIBleed	ACG-UlcerBleedMgmt	1	MED530014	PANTOPRAZOLE 0.8 MG/ML IV INFUSION	Endoscopic stigmata of hemorrhage or no EGD
Recommendation	GIBleed	ACG-UlcerBleedMgmt	1	RXCUI40790	Pantoprazole (Intravenous)	Endoscopic stigmata of hemorrhage or no EGD
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	PATH10	SURGICAL GENERAL	Bleeding ulcer H Pylori biopsy presumably here
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	LABHELAG	HELICOBACTER PYLORI AG, STOOL	Confirmation if negative biopsy
Recommendation	GIBleed	ACG-UlcerBleedMgmt	1	RXCUI40790	Pantoprazole (Oral)	Low-risk EGD findings then long-term conditionally
Recommendation	GIBleed	ACG-UlcerBleedMgmt	2	DIET101	DIET CLEAR LIQUID	High-risk EGD findings, keep in hospital, but can feed clear liquids
Reference	GIBleed	WGO-EsophagealVarices	2	RXCUI9863	Sodium Chloride (Intravenous)	Resucitation
Reference	GIBleed	WGO-EsophagealVarices	2.5	NUR1042	ORTHOSTATIC BLOOD PRESSURE	Part of hemodynamic assessment
Reference	GIBleed	WGO-EsophagealVarices	2.5	EKG5	ECG 12-LEAD	
Reference	GIBleed	WGO-EsophagealVarices	2.5	LABPCTNI	ISTAT TROPONIN I	
Reference	GIBleed	WGO-EsophagealVarices	2.5	POC24	POC ISTAT TROPONIN I	
Reference	GIBleed	WGO-EsophagealVarices	2.5	POC16	POC ISTAT,VENOUS BLOOD GASES AND LACTATE (CG4)	
Reference	GIBleed	WGO-EsophagealVarices	2.5	LABPCEC4V	ISTAT EC4, VENOUS	
Reference	GIBleed	WGO-EsophagealVarices	2.5	LABPCCG4V	ISTAT CG4,VENOUS	
Reference	GIBleed	WGO-EsophagealVarices	2.5	CON310	CONSULT TO MEDICINE	
Reference	GIBleed	WGO-EsophagealVarices	2.5	LABTNI	TROPONIN I	
Reference	GIBleed	WGO-EsophagealVarices	2.5	LABLAC	LACTIC ACID	
Reference	GIBleed	WGO-EsophagealVarices	2	CON400	CONSULT TO GASTROENTEROLOGY	Consult for endoscopy (EGD or Colonoscopy)
Reference	GIBleed	WGO-EsophagealVarices	1	GIEGD	UPPER GI ENDOSCOPY	
Reference	GIBleed	WGO-EsophagealVarices	2	RXCUI10391	Tetracaine (Topical)	Spray ingredient
Reference	GIBleed	WGO-EsophagealVarices	2	RXCUI19861	Butamben (Topical)	Spray ingredient
Reference	GIBleed	WGO-EsophagealVarices	2	RXCUI1399	Benzocaine (Topical)	Spray ingredient
Reference	GIBleed	WGO-EsophagealVarices	2	DIET102	DIET NPO	Part of EGD process
Reference	GIBleed	WGO-EsophagealVarices	2	DIET131	DIET NPO AFTER MIDNIGHT	Part of EGD process
Reference	GIBleed	WGO-EsophagealVarices	1	RT104	RESP - VENTILATOR SETTINGS	Intubation to avoid aspirating if massive bleed
Reference	GIBleed	WGO-EsophagealVarices	2	MED540316	CEFTRIAXONE 1 GRAM/50 ML D5W IVPB	Prophylactic Antibiotics
Reference	GIBleed	WGO-EsophagealVarices	2	MED540672	CIPROFLOXACIN IN NS IV 400 MG/250 ML IV	Prophylactic Antibiotics
Reference	GIBleed	WGO-EsophagealVarices	2	RXCUI2551	Ciprofloxacin (Intravenous)	Prophylactic Antibiotics
Reference	GIBleed	WGO-EsophagealVarices	1	CON105	CONSULT TO IR - TIPS	If medical and endoscopic therapy fail
Reference	GIBleed	WGO-EsophagealVarices	1	RXCUI1191	Aspirin (J Tube)	
Reference	GIBleed	WGO-EsophagealVarices	1	NUR821	TRANSFUSE RBC (DOES NOT ORDER PRODUCT)	
Reference	GIBleed	WGO-EsophagealVarices	2	LABARVI	BLOOD TYPE VERIFICATION	Part of transfusion
Reference	GIBleed	WGO-EsophagealVarices	2	LABTYPSNI	TYPE AND SCREEN	Part of transfusion
Reference	GIBleed	WGO-EsophagealVarices	2	LABABIDI	AB ID	Part of transfusion
Reference	GIBleed	WGO-EsophagealVarices	2	LABBBPRBC	RED BLOOD CELLS	Part of RBC transfusion
Reference	GIBleed	WGO-EsophagealVarices	1	MED530016	OCTREOTIDE 10 MCG/ML IV INFUSION	
Recommendation	GIBleed	WGO-EsophagealVarices	2	RXCUI9863	Sodium Chloride (Intravenous)	Resucitation
Recommendation	GIBleed	WGO-EsophagealVarices	2	NUR1042	ORTHOSTATIC BLOOD PRESSURE	Part of hemodynamic assessment
Recommendation	GIBleed	WGO-EsophagealVarices	1	CON400	CONSULT TO GASTROENTEROLOGY	Consult for endoscopy (EGD or Colonoscopy)
Recommendation	GIBleed	WGO-EsophagealVarices	1	GIEGD	UPPER GI ENDOSCOPY	
Recommendation	GIBleed	WGO-EsophagealVarices	1	RXCUI10391	Tetracaine (Topical)	Spray ingredient
Recommendation	GIBleed	WGO-EsophagealVarices	1	RXCUI19861	Butamben (Topical)	Spray ingredient
Recommendation	GIBleed	WGO-EsophagealVarices	1	RXCUI1399	Benzocaine (Topical)	Spray ingredient
Recommendation	GIBleed	WGO-EsophagealVarices	1	DIET102	DIET NPO	Part of EGD process
Recommendation	GIBleed	WGO-EsophagealVarices	1	DIET131	DIET NPO AFTER MIDNIGHT	Part of EGD process
Recommendation	GIBleed	WGO-EsophagealVarices	2.5	RT104	RESP - VENTILATOR SETTINGS	Intubation to avoid aspirating if massive bleed
Recommendation	GIBleed	WGO-EsophagealVarices	1	MED540316	CEFTRIAXONE 1 GRAM/50 ML D5W IVPB	Prophylactic Antibiotics
Recommendation	GIBleed	WGO-EsophagealVarices	1	MED540672	CIPROFLOXACIN IN NS IV 400 MG/250 ML IV	Prophylactic Antibiotics
Recommendation	GIBleed	WGO-EsophagealVarices	1	RXCUI2551	Ciprofloxacin (Intravenous)	Prophylactic Antibiotics
Recommendation	GIBleed	WGO-EsophagealVarices	1	CON105	CONSULT TO IR - TIPS	If medical and endoscopic therapy fail
Recommendation	GIBleed	WGO-EsophagealVarices	2	NUR821	TRANSFUSE RBC (DOES NOT ORDER PRODUCT)	
Recommendation	GIBleed	WGO-EsophagealVarices	2	LABARVI	BLOOD TYPE VERIFICATION	Part of transfusion
Recommendation	GIBleed	WGO-EsophagealVarices	2	LABTYPSNI	TYPE AND SCREEN	Part of transfusion
Recommendation	GIBleed	WGO-EsophagealVarices	2	LABABIDI	AB ID	Part of transfusion
Recommendation	GIBleed	WGO-EsophagealVarices	2	LABBBPRBC	RED BLOOD CELLS	Part of RBC transfusion
Recommendation	GIBleed	WGO-EsophagealVarices	2	MED530016	OCTREOTIDE 10 MCG/ML IV INFUSION	
Reference	GIBleed	ACR-LowerGIBleed	2	CON400	CONSULT TO GASTROENTEROLOGY	Consult for endoscopy (EGD or Colonoscopy)
Reference	GIBleed	ACR-LowerGIBleed	1	GICOLO	COLONOSCOPY	Lower GI Bleed
Reference	GIBleed	ACR-LowerGIBleed	2	RXCUI9863	Sodium Chloride (Oral)	Part of Colonoscopy process (Bowel Prep Ingredient)
Reference	GIBleed	ACR-LowerGIBleed	2	RXCUI36721	Sodium Sulfate (Oral)	Part of Colonoscopy process (Bowel Prep Ingredient)
Reference	GIBleed	ACR-LowerGIBleed	2	RXCUI36676	Sodium Bicarbonate (Oral)	Part of Colonoscopy process (Bowel Prep Ingredient)
Reference	GIBleed	ACR-LowerGIBleed	2	RXCUI221147	Polyethylene Glycol 3350 (Oral)	Part of Colonoscopy process (Bowel Prep Ingredient)
Reference	GIBleed	ACR-LowerGIBleed	1	IMGNGIBLEED	NUC GI BLEED	Tagged RBC Scan Lower GI Bleed
Reference	GIBleed	ACR-LowerGIBleed	1	IMGCTA	CT ABDOMEN	Lower GI Bleed
Reference	GIBleed	ACR-LowerGIBleed	1	IMGCTAP	CT ABDOMEN PELVIS	Lower GI Bleed
Reference	GIBleed	ACR-LowerGIBleed	1	IMGCTAPW	CT ABDOMEN PELVIS W CONTRAST	Lower GI Bleed
Recommendation	GIBleed	ACR-LowerGIBleed	1	CON400	CONSULT TO GASTROENTEROLOGY	Consult for endoscopy (EGD or Colonoscopy)
Recommendation	GIBleed	ACR-LowerGIBleed	1	GICOLO	COLONOSCOPY	Lower GI Bleed
Recommendation	GIBleed	ACR-LowerGIBleed	1	RXCUI9863	Sodium Chloride (Oral)	Part of Colonoscopy process (Bowel Prep Ingredient)
Recommendation	GIBleed	ACR-LowerGIBleed	1	RXCUI36721	Sodium Sulfate (Oral)	Part of Colonoscopy process (Bowel Prep Ingredient)
Recommendation	GIBleed	ACR-LowerGIBleed	1	RXCUI36676	Sodium Bicarbonate (Oral)	Part of Colonoscopy process (Bowel Prep Ingredient)
Recommendation	GIBleed	ACR-LowerGIBleed	1	RXCUI221147	Polyethylene Glycol 3350 (Oral)	Part of Colonoscopy process (Bowel Prep Ingredient)
Recommendation	GIBleed	ACR-LowerGIBleed	1	IMGNGIBLEED	NUC GI BLEED	Tagged RBC Scan Lower GI Bleed
Recommendation	GIBleed	ACR-LowerGIBleed	1	IMGCTA	CT ABDOMEN	Lower GI Bleed
Recommendation	GIBleed	ACR-LowerGIBleed	1	IMGCTAP	CT ABDOMEN PELVIS	Lower GI Bleed
Recommendation	GIBleed	ACR-LowerGIBleed	1	IMGCTAPW	CT ABDOMEN PELVIS W CONTRAST	Lower GI Bleed
Recommendation	ChestPain	NICE-ChestPain	1	EKG5	ECG 12-LEAD	
Recommendation	ChestPain	NICE-ChestPain	1	NUR1044	NURSING PULSE OXIMETRY (SPOT CHECK)	
Recommendation	ChestPain	NICE-ChestPain	1	NUR1043	NURSING PULSE OXIMETRY	
Recommendation	ChestPain	NICE-ChestPain	1	RT84	RESP - OXYGEN ADMINISTRATION	If low O2 sat Not routine
Recommendation	ChestPain	NICE-ChestPain	1	NUR4067	OXYGEN ADMINISTRATION	If low O2 sat Not routine
Recommendation	ChestPain	NICE-ChestPain	1	NUR4030	OXYGEN: NASAL CANNULA(NURSING ONLY)	If low O2 sat Not routine
Recommendation	ChestPain	NICE-ChestPain	1	IMG11CCP	CAR CATH CORS POSSIBLE	High-risk patients
Recommendation	ChestPain	NICE-ChestPain	1	ECH29	ECHO - DOBUTAMINE STRESS ECHO	Intermediate Risk
Recommendation	ChestPain	NICE-ChestPain	1	IMGCTT	CT THORAX	Low risk CT calcium scoring specifically, may not be offered here
Recommendation	ChestPain	NICE-ChestPain	2	LABTNI	TROPONIN I	
Recommendation	ChestPain	NICE-ChestPain	2	POC24	POC ISTAT TROPONIN I	
Recommendation	ChestPain	NICE-ChestPain	2	LABPCTNI	ISTAT TROPONIN I	
Recommendation	ChestPain	NICE-ChestPain	2	RXCUI4917	Nitroglycerin (Sublingual)	Suspected ACS Beware sildenafil, vardenafil, tadalafil
