item_collection_id	collection_type_id	value	comment	clinical_item_id
1000004	1	2	Exclude other diagnoses	45818
1000004	3	1	Exclude other diagnoses	45818
1000004	1	2	Exclude other diagnoses	45801
1000004	3	1	Exclude other diagnoses	45801
1000004	1	2		45788
1000004	3	2		45788
1000004	1	2	Assess for exacerbating anemia	45793
1000004	3	2	Assess for exacerbating anemia	45793
1000004	1	2		45891
1000004	3	2		45891
1000004	1	3	Not for ACS diagnosis	45853
1000004	3	3	Not for ACS diagnosis	45853
1000004	1	2	Pre-req to CT Angio	46098
1000004	3	2	Pre-req to CT Angio	46098
1000004	1	2		45838
1000004	3	1		45838
1000004	1	2		45870
1000004	3	1		45870
1000004	1	1		45750
1000004	3	1		45750
1000004	1	1		46041
1000004	3	1		46041
1000004	1	1	If low O2 sat Not routine	45900
1000004	3	1	If low O2 sat Not routine	45900
1000004	1	1	If low O2 sat Not routine	45864
1000004	3	1	If low O2 sat Not routine	45864
1000004	1	2	Pre-req to CT Angio	46064
1000004	3	2	Pre-req to CT Angio	46064
1000004	1	2		45914
1000004	3	1		45914
1000004	1	1	If low O2 sat Not routine	45921
1000004	3	1	If low O2 sat Not routine	45921
1000004	1	2		44206
1000004	1	2		44315
1000004	3	1		44206
1000004	3	1		44315
1000004	1	2	Suspected ACS Beware sildenafil, vardenafil, tadalafil	44256
1000004	1	2		44285
1000004	3	1	Suspected ACS Beware sildenafil, vardenafil, tadalafil	44256
1000004	3	1		44285
1000004	1	2		44294
1000004	3	1		44294
1000005	1	2.1		49207
1000005	3	2.5		49207
1000005	1	2	Recurrent bleed after 2xEGD	49055
1000005	3	1	Recurrent bleed after 2xEGD	49055
1000005	1	1	Consult for endoscopy (EGD or Colonoscopy)	49481
1000005	3	2	Consult for endoscopy (EGD or Colonoscopy)	49481
1000005	1	2	Recurrent bleed after 2xEGD	48502
1000005	3	1	Recurrent bleed after 2xEGD	48502
1000005	1	2	High-risk EGD findings, keep in hospital, but can feed clear liquids	45784
1000005	3	1	High-risk EGD findings, keep in hospital, but can feed clear liquids	45784
1000005	1	1	Part of EGD process	45811
1000005	3	2	Part of EGD process	45811
1000005	1	1	Part of EGD process	46008
1000005	3	2	Part of EGD process	46008
1000005	1	2.1		45866
1000005	3	2.5		45866
1000005	1	1	Within 24 hours, plus also conditional repeat look if further bleeding	45969
1000005	3	1	Within 24 hours, plus also conditional repeat look if further bleeding	45969
1000005	1	2	Part of RBC transfusion	45927
1000005	3	2	Part of RBC transfusion	45927
1000005	1	2	Part of risk assessment	45788
1000005	3	2	Part of risk assessment	45788
1000005	1	2	Part of risk assessment	45793
1000005	3	2	Part of risk assessment	45793
1000005	1	2	Part of risk assessment	45891
1000005	3	2	Part of risk assessment	45891
1000005	1	2	Confirmation if negative biopsy	45948
1000005	3	1	Confirmation if negative biopsy	45948
1000005	1	2.1		45918
1000005	3	2.5		45918
1000005	1	2	Part of risk assessment	45763
1000005	3	2	Part of risk assessment	45763
1000005	1	2	Part of risk assessment	45771
1000005	3	2	Part of risk assessment	45771
1000005	1	2.1		46020
1000005	3	2.5		46020
1000005	1	2.1		45888
1000005	3	2.5		45888
1000005	1	2.1		45838
1000005	3	2.5		45838
1000005	1	2.1		45870
1000005	3	2.5		45870
1000005	1	2	Part of transfusion	45945
1000005	3	2	Part of transfusion	45945
1000005	3	2	Endoscopy pre-medication	44233
1000005	1	1	Endoscopy pre-medication	44233
1000005	1	1	Part of hemodynamic assessment	45868
1000005	3	2.5	Part of hemodynamic assessment	45868
1000005	1	2.5		62039
1000005	3	1		62039
1000005	1	2	Target Hgb>7 or higher if comorbidities	61975
1000005	3	1	Target Hgb>7 or higher if comorbidities	61975
1000005	1	2	Bleeding ulcer H Pylori biopsy presumably here	46192
1000005	3	2	Bleeding ulcer H Pylori biopsy presumably here	46192
1000005	1	2.1		45955
1000005	3	2.5		45955
1000005	1	2.1		45914
1000005	3	2.5		45914
1000005	1	2	Continue secondary prevention ASAP usually within 3 days	47146
1000005	3	1	Continue secondary prevention ASAP usually within 3 days	47146
1000005	3	1		44592
1000005	1	2		44592
1000005	1	1	Endoscopic stigmata of hemorrhage or no EGD	44219
1000005	1	1	Low-risk EGD findings then long-term conditionally	44236
1000005	3	1	Endoscopic stigmata of hemorrhage or no EGD	44219
1000005	3	1	Low-risk EGD findings then long-term conditionally	44236
1000005	1	1	Resucitation	44198
1000005	3	2	Resucitation	44198
1000006	1	1	Consult for endoscopy (EGD or Colonoscopy)	49481
1000006	3	2	Consult for endoscopy (EGD or Colonoscopy)	49481
1000006	1	1	Lower GI Bleed	50005
1000006	3	1	Lower GI Bleed	50005
1000006	1	1	Lower GI Bleed	46072
1000006	3	1	Lower GI Bleed	46072
1000006	1	1	Lower GI Bleed	45858
1000006	3	1	Lower GI Bleed	45858
1000006	1	1	Lower GI Bleed	45852
1000006	3	1	Lower GI Bleed	45852
1000006	1	1		51281
1000006	3	2.5		51281
1000006	1	1	Part of Colonoscopy process (Bowel Prep Ingredient)	46427
1000006	3	2	Part of Colonoscopy process (Bowel Prep Ingredient)	46427
1000007	3	2.5	Coagulopathy	35692
1000007	3	2.5	Coagulopathy	35693
1000007	3	2.5	Coagulopathy	35672
1000007	3	2.5	Coagulopathy	35673
1000007	3	2.5	Coagulopathy	35680
1000007	3	2.5	Coagulopathy	35700
1000007	3	2.5	Coagulopathy	35699
1000007	3	2.5		51586
1000007	1	1		51586
1000007	1	2.1		49207
1000007	3	2.5		49207
1000007	1	1	Unstable after EGD, IR unavailable	49055
1000007	3	1	Unstable after EGD, IR unavailable	49055
1000007	1	1	Consult for endoscopy (EGD or Colonoscopy)	49481
1000007	3	2	Consult for endoscopy (EGD or Colonoscopy)	49481
1000007	1	1	Unstable after EGD	48502
1000007	3	1	Unstable after EGD	48502
1000007	1	2.1		45784
1000007	3	1		45784
1000007	1	1	Part of EGD process	45811
1000007	3	2	Part of EGD process	45811
1000007	1	1	Part of EGD process	46008
1000007	3	2	Part of EGD process	46008
1000007	1	2.1		45866
1000007	3	2.5		45866
1000007	1	1		45969
1000007	3	1		45969
1000007	1	2	Part of FFP transfusion	45872
1000007	1	2	Part of Plt transfusion	45875
1000007	1	2	Part of RBC transfusion	45927
1000007	3	2	Part of RBC transfusion	45927
1000007	1	1	Part of risk assessment	45788
1000007	3	2	Part of risk assessment	45788
1000007	1	1	Part of risk assessment	45793
1000007	3	2	Part of risk assessment	45793
1000007	1	2	Part of FFP transfuse assessment	46286
1000007	1	1	Part of risk assessment	45891
1000007	3	2	Part of risk assessment	45891
1000007	1	2.1		45948
1000007	3	1		45948
1000007	1	2.1		45918
1000007	3	2.5		45918
1000007	1	1	Part of risk assessment	45763
1000007	3	2	Part of risk assessment	45763
1000007	1	1	Part of risk assessment	45771
1000007	3	2	Part of risk assessment	45771
1000007	1	2.1		46020
1000007	3	2.5		46020
1000007	1	2.1		45888
1000007	3	2.5		45888
1000007	1	2.1		45838
1000007	3	2.5		45838
1000007	1	2	Part of FFP transfuse assessment	45759
1000007	1	2	Part of FFP transfuse assessment	45770
1000007	1	2.1		45870
1000007	3	2.5		45870
1000007	1	2	Part of transfusion	45945
1000007	3	2	Part of transfusion	45945
1000007	3	2	Endoscopy pre-medication	44233
1000007	1	1	Endoscopy pre-medication	44233
1000007	1	2.1		45868
1000007	3	2.5	Part of hemodynamic assessment	45868
1000007	1	2.1		62039
1000007	3	1		62039
1000007	1	2	Massive Bleeding, coagulopathy	61993
1000007	1	2	Massive Bleeding, Plt<50	61976
1000007	1	2	Massive Bleeding, Clinical Assessment	61975
1000007	3	1	Massive Bleeding, Clinical Assessment	61975
1000007	1	2.1		46192
1000007	3	2	H Pylori biopsy presumably here	46192
1000007	1	2.1		45955
1000007	3	2.5		45955
1000007	1	2.1		45914
1000007	3	2.5		45914
1000007	1	1	Continue secondary prevention and hemostasis achieved	47146
1000007	3	1	Continue secondary prevention and hemostasis achieved	47146
1000007	3	2		35733
1000007	1	1		35733
1000007	1	1	Variceal Prophylactic Antibiotics	44249
1000007	1	1	Variceal Prophylactic Antibiotics	44262
1000007	3	2.5	Variceal Prophylactic Antibiotics	44249
1000007	3	2.5	Variceal Prophylactic Antibiotics	44262
1000007	3	1		44592
1000007	1	2		44592
1000007	1	2.1		44236
1000007	1	2	Non-variceal	44219
1000007	3	1	Non-variceal	44219
1000007	3	1		44236
1000007	1	2.5	Unless all other methods fail	46722
1000007	3	3	Unless all other methods fail	46722
1000007	1	2	Warfarin, bleeding protocol	44001
1000007	3	2	Warfarin, bleeding protocol	44001
1000007	3	2	Warfarin, bleeding protocol	44001
1000007	1	2.1		44198
1000007	3	2	Resucitation	44198
1000008	3	2.5		51586
1000008	1	1		51586
1000008	1	2.1		49207
1000008	3	2.5		49207
1000008	1	1	Consult for endoscopy (EGD or Colonoscopy)	49481
1000008	3	2	Consult for endoscopy (EGD or Colonoscopy)	49481
1000008	1	1	Part of EGD process	45811
1000008	3	2	Part of EGD process	45811
1000008	1	1	Part of EGD process	46008
1000008	3	2	Part of EGD process	46008
1000008	1	2.1		45866
1000008	3	2.5		45866
1000008	1	1		45969
1000008	3	1		45969
1000008	1	2	Part of RBC transfusion	45927
1000008	3	2	Part of RBC transfusion	45927
1000008	1	2.1		45918
1000008	3	2.5		45918
1000008	1	2.1		46020
1000008	3	2.5		46020
1000008	1	2.1		45888
1000008	3	2.5		45888
1000008	1	2.1		45838
1000008	3	2.5		45838
1000008	1	2.1		45870
1000008	3	2.5		45870
1000008	1	2	Part of transfusion	45945
1000008	3	2	Part of transfusion	45945
1000008	3	2	Endoscopy pre-medication	44233
1000008	1	1	Endoscopy pre-medication	44233
1000008	1	2	Part of hemodynamic assessment	45868
1000008	3	2.5	Part of hemodynamic assessment	45868
1000008	1	2		61975
1000008	3	1		61975
1000008	1	2.1		45955
1000008	3	2.5		45955
1000008	1	2.1		45914
1000008	3	2.5		45914
1000008	1	2.5	Intubation to avoid aspirating if massive bleed	45832
1000008	3	1	Intubation to avoid aspirating if massive bleed	45832
1000008	1	2.1		47146
1000008	3	1		47146
1000008	3	2		35733
1000008	1	1		35733
1000008	1	1	Prophylactic Antibiotics	44262
1000008	3	2	Prophylactic Antibiotics	44262
1000008	1	2		43996
1000008	3	1		43996
1000008	1	2	Resucitation	44198
1000008	3	2	Resucitation	44198
1000012	1	1	8.9 Transitions of Care	49251
1000012	2	2	8.9 Transitions of Care	49251
1000012	3	2.5	8.9 Transitions of Care	49251
1000012	1	1	8.9 Transitions of Care	65695
1000012	2	2	8.9 Transitions of Care	65695
1000012	3	2.5	8.9 Transitions of Care	65695
1000012	1	2	7.3.1.3 Sodium Restriction	61989
1000012	2	3	7.3.1.3 Sodium Restriction	61989
1000012	3	2	7.3.1.3 Sodium Restriction	61989
1000012	1	2	7.3.1.3 Sodium Restriction	45824
1000012	2	3	7.3.1.3 Sodium Restriction	45824
1000012	3	2	7.3.1.3 Sodium Restriction	45824
1000012	1	1	6.4 Non-Invasive Imaging	61832
1000012	2	3	6.4 Non-Invasive Imaging	61832
1000012	3	1	6.4 Non-Invasive Imaging	61832
1000012	1	1	8.2 Precipitating Causes: ACS	45866
1000012	1	1	6.2 Initial Diagnostics	45866
1000012	2	3	8.2 Precipitating Causes: ACS	45866
1000012	2	3	6.2 Initial Diagnostics	45866
1000012	3	1	8.2 Precipitating Causes: ACS	45866
1000012	3	1	6.2 Initial Diagnostics	45866
1000012	1	1	6.4 Non-Invasive Imaging	45818
1000012	2	3	6.4 Non-Invasive Imaging	45818
1000012	3	1	6.4 Non-Invasive Imaging	45818
1000012	1	1	6.4 Non-Invasive Imaging	45801
1000012	2	3	6.4 Non-Invasive Imaging	45801
1000012	3	1	6.4 Non-Invasive Imaging	45801
1000012	1	1	6.2 Initial Diagnostics	45788
1000012	2	3	6.2 Initial Diagnostics	45788
1000012	3	1	6.2 Initial Diagnostics	45788
1000012	1	1	6.2 Initial Diagnostics	45793
1000012	2	3	6.2 Initial Diagnostics	45793
1000012	3	1	6.2 Initial Diagnostics	45793
1000012	1	1	6.2 Initial Diagnostics	45910
1000012	2	3	6.2 Initial Diagnostics	45910
1000012	3	1	6.2 Initial Diagnostics	45910
1000012	1	1	6.2 Initial Diagnostics	61837
1000012	2	3	6.2 Initial Diagnostics	61837
1000012	3	1	6.2 Initial Diagnostics	61837
1000012	1	1	8.4 Diuretic Monitoring	45763
1000012	1	1	6.2 Initial Diagnostics	45763
1000012	2	3	8.4 Diuretic Monitoring	45763
1000012	2	3	6.2 Initial Diagnostics	45763
1000012	3	2	8.4 Diuretic Monitoring	45763
1000012	3	2	6.2 Initial Diagnostics	45763
1000012	1	1	8.4 Diuretic Monitoring	45771
1000012	1	1	6.2 Initial Diagnostics	45771
1000012	2	3	8.4 Diuretic Monitoring	45771
1000012	2	3	6.2 Initial Diagnostics	45771
1000012	3	2	8.4 Diuretic Monitoring	45771
1000012	3	2	6.2 Initial Diagnostics	45771
1000012	1	1	8.4 Diuretic Monitoring	45806
1000012	2	3	8.4 Diuretic Monitoring	45806
1000012	3	2	8.4 Diuretic Monitoring	45806
1000012	1	1	6.3 Initial Diagnostic Biomarker	45853
1000012	2	1	6.3 Initial Diagnostic Biomarker	45853
1000012	3	1	6.3 Initial Diagnostic Biomarker	45853
1000012	1	1	8.2 Precipitating Causes: ACS	45838
1000012	2	3	8.2 Precipitating Causes: ACS	45838
1000012	3	1	8.2 Precipitating Causes: ACS	45838
1000012	1	1	8.2 Precipitating Causes: ACS	45870
1000012	2	3	8.2 Precipitating Causes: ACS	45870
1000012	3	1	8.2 Precipitating Causes: ACS	45870
1000012	1	1	6.2 Initial Diagnostics	45772
1000012	2	3	6.2 Initial Diagnostics	45772
1000012	3	1	6.2 Initial Diagnostics	45772
1000012	1	1	6.2 Initial Diagnostics	45751
1000012	2	3	6.2 Initial Diagnostics	45751
1000012	3	1	6.2 Initial Diagnostics	45751
1000012	1	1	8.4 Diuretic Monitoring	45755
1000012	2	2	8.4 Diuretic Monitoring	45755
1000012	3	2	8.4 Diuretic Monitoring	45755
1000012	1	1	8.4 Diuretic Monitoring	45766
1000012	2	2	8.4 Diuretic Monitoring	45766
1000012	3	2	8.4 Diuretic Monitoring	45766
1000012	1	2.5	8.5 Ultrafiltration	49201
1000012	1	2	8.5 Ultrafiltration	49201
1000012	3	1	8.5 Ultrafiltration	49201
1000012	1	1	8.2 Precipitating Causes: ACS	45914
1000012	2	3	8.2 Precipitating Causes: ACS	45914
1000012	3	1	8.2 Precipitating Causes: ACS	45914
1000012	1	3	7.3.2.9 Harmful drugs	44296
1000012	2	2	7.3.2.9 Harmful drugs	44296
1000012	3	3	7.3.2.9 Harmful drugs	44296
1000012	1	1	8.3 Guideline Directed Medical Therapy	45035
1000012	2	2	8.3 Guideline Directed Medical Therapy	45035
1000012	3	2.5	8.3 Guideline Directed Medical Therapy	45035
1000012	1	2.5	8.6 Parenteral Therapy for Dyspnea Relief	44686
1000012	2	1	8.6 Parenteral Therapy for Dyspnea Relief	44686
1000012	3	1	8.6 Parenteral Therapy for Dyspnea Relief	44686
1000012	1	1	8.3 Guideline Directed Medical Therapy	44340
1000012	2	2	8.3 Guideline Directed Medical Therapy	44340
1000012	3	2	8.3 Guideline Directed Medical Therapy	44340
1000012	1	2	8.4 Diuretic Enhancement	44309
1000012	2	2	8.4 Diuretic Enhancement	44309
1000012	3	2	8.4 Diuretic Enhancement	44309
1000012	1	1	8.3 Guideline Directed Medical Therapy	44357
1000012	2	2	8.3 Guideline Directed Medical Therapy	44357
1000012	3	2	8.3 Guideline Directed Medical Therapy	44357
1000012	1	3	7.3.2.9 Harmful drugs	44428
1000012	2	2	7.3.2.9 Harmful drugs	44428
1000012	3	3	7.3.2.9 Harmful drugs	44428
1000012	1	2	7.3.2.7 Digoxin	44389
1000012	2	2	7.3.2.7 Digoxin	44389
1000012	3	1	7.3.2.7 Digoxin	44389
1000012	1	3	7.3.2.9 Harmful drugs	44393
1000012	2	2	7.3.2.9 Harmful drugs	44393
1000012	3	3	7.3.2.9 Harmful drugs	44393
1000012	1	2.5	8.8 Vasopressin Antagonist	46614
1000012	2	2	8.8 Vasopressin Antagonist	46614
1000012	3	2	8.8 Vasopressin Antagonist	46614
1000012	1	3	7.3.2.9 Harmful drugs	44301
1000012	2	2	7.3.2.9 Harmful drugs	44301
1000012	3	3	7.3.2.9 Harmful drugs	44301
1000012	1	2.5	7.4.4 Inotropic Support	44251
1000012	2	2	7.4.4 Inotropic Support	44251
1000012	3	2.5	7.4.4 Inotropic Support	44251
1000012	1	2.5	8.4 Diuretic Enhancement	44323
1000012	1	2.5	7.4.4 Inotropic Support	44323
1000012	2	2	8.4 Diuretic Enhancement	44323
1000012	2	2	7.4.4 Inotropic Support	44323
1000012	3	1	8.4 Diuretic Enhancement	44323
1000012	3	1	7.4.4 Inotropic Support	44323
1000012	1	1	8.3 Guideline Directed Medical Therapy	45190
1000012	2	2	8.3 Guideline Directed Medical Therapy	45190
1000012	3	2.5	8.3 Guideline Directed Medical Therapy	45190
1000012	1	1	8.4 Diuretics	44004
1000012	2	2	8.4 Diuretics	44004
1000012	3	2	8.4 Diuretics	44004
1000012	1	2.5	8.6 Parenteral Therapy for Dyspnea Relief	44241
1000012	2	1	8.6 Parenteral Therapy for Dyspnea Relief	44241
1000012	3	1	8.6 Parenteral Therapy for Dyspnea Relief	44241
1000012	1	1	8.3 Guideline Directed Medical Therapy	44374
1000012	2	2	8.3 Guideline Directed Medical Therapy	44374
1000012	3	2	8.3 Guideline Directed Medical Therapy	44374
1000012	1	1	8.7 Venous Thromboembolism Prophylaxis	44222
1000012	2	2	8.7 Venous Thromboembolism Prophylaxis	44222
1000012	3	2	8.7 Venous Thromboembolism Prophylaxis	44222
1000012	1	2.5	7.4.4 Inotropic Support	45427
1000012	2	2	7.4.4 Inotropic Support	45427
1000012	3	1	7.4.4 Inotropic Support	45427
1000012	1	2	7.3.2.6 Isodril + Hydralazine	44412
1000012	2	2	7.3.2.6 Isodril + Hydralazine	44412
1000012	3	1	7.3.2.6 Isodril + Hydralazine	44412
1000012	1	3	7.3.2.9 Harmful drugs	44271
1000012	2	2	7.3.2.9 Harmful drugs	44271
1000012	3	3	7.3.2.9 Harmful drugs	44271
1000012	1	2	7.3.2.6 Isodril + Hydralazine	44367
1000012	2	2	7.3.2.6 Isodril + Hydralazine	44367
1000012	3	1	7.3.2.6 Isodril + Hydralazine	44367
1000012	1	1	8.7 Venous Thromboembolism Prophylaxis	44250
1000012	2	2	8.7 Venous Thromboembolism Prophylaxis	44250
1000012	3	2	8.7 Venous Thromboembolism Prophylaxis	44250
1000012	1	1	8.3 Guideline Directed Medical Therapy	44005
1000012	2	2	8.3 Guideline Directed Medical Therapy	44005
1000012	3	2	8.3 Guideline Directed Medical Therapy	44005
1000012	1	1	8.3 Guideline Directed Medical Therapy	44347
1000012	2	2	8.3 Guideline Directed Medical Therapy	44347
1000012	3	2.5	8.3 Guideline Directed Medical Therapy	44347
1000012	1	3	7.3.2.9 Harmful drugs	44341
1000012	2	2	7.3.2.9 Harmful drugs	44341
1000012	3	3	7.3.2.9 Harmful drugs	44341
1000012	1	2.5	8.6 Parenteral Therapy for Dyspnea Relief	35133
1000012	2	1	8.6 Parenteral Therapy for Dyspnea Relief	35133
1000012	3	1	8.6 Parenteral Therapy for Dyspnea Relief	35133
1000012	1	1	8.3 Guideline Directed Medical Therapy	44430
1000012	2	2	8.3 Guideline Directed Medical Therapy	44430
1000012	3	2	8.3 Guideline Directed Medical Therapy	44430
1000012	1	1	7.3.4 Device Therapy - ICD	
1000012	1	1	7.3.4 Device Therapy - CRT	
1000012	2	1	7.3.4 Device Therapy - ICD	
1000012	2	1	7.3.4 Device Therapy - CRT	
1000012	3	1	7.3.4 Device Therapy - ICD	
1000012	3	1	7.3.4 Device Therapy - CRT	
1000012	3	1	7.4.3 Water Restriction	
1000012	3	2	7.4.3 Water Restriction	
1000012	3	3	7.4.3 Water Restriction	
1000011	1	2.1		49251
1000011	3	2	1.1.2 - Specialist team input	49251
1000011	1	2.1		65695
1000011	3	2	1.1.2 - Specialist team input	65695
1000011	1	2.1		61832
1000011	3	1	1.2.3 - Echo follow-up BNP	61832
1000011	1	2.1		45866
1000011	3	1	1.2.1 - Standard Investigation	45866
1000011	1	2.1		45818
1000011	3	1	1.2.1 - Standard Investigation	45818
1000011	1	2.1		45801
1000011	3	1	1.2.1 - Standard Investigation	45801
1000011	1	2.1		45788
1000011	3	2	1.2.1 - Standard Investigation	45788
1000011	1	2.1		45793
1000011	3	2	1.2.1 - Standard Investigation	45793
1000011	1	2.1		45763
1000011	3	2	1.2.1 - Standard Investigation	45763
1000011	1	2.1		45771
1000011	3	2	1.2.1 - Standard Investigation	45771
1000011	1	2.1		45806
1000011	3	2	1.2.1 - Standard Investigation	45806
1000011	1	2.1		45853
1000011	3	1	1.2.2 - Rule out measurement	45853
1000011	1	2.1		45838
1000011	3	2	1.2.1 - Standard Investigation	45838
1000011	1	2.1		45870
1000011	3	2	1.2.1 - Standard Investigation	45870
1000011	1	2.1		45755
1000011	3	1	1.3.5 - Monitor while on diuretics	45755
1000011	1	2.1		45766
1000011	3	1	1.3.5 - Monitor while on diuretics	45766
1000011	1	2.1		46058
1000011	3	3	1.2.5 - Do NOT routinely use PA Catheter	46058
1000011	1	2.1		49201
1000011	3	3	1.4.4 - No routine ultrafiltration unless confirmed diuretic resistance	49201
1000011	1	2.1		45914
1000011	3	2	1.2.1 - Standard Investigation	45914
1000011	1	2.1		46030
1000011	3	1	1.4.1 vs. 1.4.2 - NIPPV not routine but use if severe dyspnea. Does not really apply to non-CCU/ICU patients?	46030
1000011	1	2.1		45035
1000011	3	2.5	1.5.4 - ACE/ARB/Aldo	45035
1000011	1	2.1		44340
1000011	3	2	1.5.2 - Beta blockers	44340
1000011	1	2.1		44357
1000011	3	2	1.5.4 - ACE/ARB/Aldo	44357
1000011	1	2.1		44319
1000011	3	3	1.3.2 - Do NOT routinely use opioids	44319
1000011	1	2.1		44251
1000011	3	2.5	1.3.11 vs 1.3.10 - Not routine, but consider inotropes for reversible cardiogenic shock	44251
1000011	1	2.1		45190
1000011	3	2.5	1.5.4 - ACE/ARB/Aldo	45190
1000011	1	2.1		44297
1000011	3	3	1.3.2 - Do NOT routinely use opioids	44297
1000011	1	2.1		44004
1000011	3	1	1.3.3 - Intravenous diuretics	44004
1000011	1	2.1		44241
1000011	1	2.1		44256
1000011	1	2.1		44285
1000011	3	3	1.3.7 vs. 1.3.8 - Do NOT routinely use nitrates, but monitor in ICU if IV use in select scenarios	44241
1000011	3	3	1.3.7 vs. 1.3.8 - Do NOT routinely use nitrates, but monitor in ICU if IV use in select scenarios	44256
1000011	3	3	1.3.7 vs. 1.3.8 - Do NOT routinely use nitrates, but monitor in ICU if IV use in select scenarios	44285
1000011	1	2.1		44374
1000011	3	2	1.5.4 - ACE/ARB/Aldo	44374
1000011	1	2.1		44242
1000011	3	3	1.3.7 vs. 1.3.8 - Do NOT routinely use nitrates, but monitor in ICU if IV use in select scenarios	44242
1000011	1	2.1		44367
1000011	3	3	1.3.7 vs. 1.3.8 - Do NOT routinely use nitrates, but monitor in ICU if IV use in select scenarios	44367
1000011	1	2.1		44005
1000011	3	2	1.5.2 - Beta blockers	44005
1000011	1	2.1		44347
1000011	3	2.5	1.5.4 - ACE/ARB/Aldo	44347
1000011	1	2.1		44294
1000011	3	3	1.3.2 - Do NOT routinely use opioids	44294
1000011	1	2.1		35133
1000011	3	3	1.3.9 - Do NOT use nitroprusside	35133
1000011	1	2.1		44023
1000011	3	3	1.3.2 - Do NOT routinely use opioids	44023
1000011	1	2.1		44430
1000011	3	2	1.5.4 - ACE/ARB/Aldo	44430
1000009	1	2	Implied for admission	49207
1000009	3	2	Implied for admission	49207
1000009	1	2		45818
1000009	3	1		45818
1000009	1	2		45801
1000009	3	1		45801
1000009	1	1		45760
1000009	3	1		45760
1000009	1	2		45752
1000009	3	1		45752
1000009	1	2	May omit if low severity disease	45901
1000009	3	1	May omit if low severity disease	45901
1000009	1	1		45788
1000009	3	1		45788
1000009	1	1		45793
1000009	3	1		45793
1000009	1	1		46044
1000009	3	1	9 General Investigations on Admit	46044
1000009	1	2		62023
1000009	1	1		46006
1000009	3	1		46006
1000009	1	2		45910
1000009	3	1		45910
1000009	1	2		49478
1000009	3	1		49478
1000009	1	2		45835
1000009	3	1		45835
1000009	1	1		45763
1000009	3	2		45763
1000009	1	2		45771
1000009	3	2		45771
1000009	1	1	Use if moderate severity disease and no prior antibiotics	46179
1000009	3	1	Use if moderate severity disease and no prior antibiotics	46179
1000009	1	1	Use if moderate severity disease and no prior antibiotics	48544
1000009	3	1	Use if moderate severity disease and no prior antibiotics	48544
1000009	3	2		44237
1000009	1	2		44237
1000009	3	2		44391
1000009	1	2		44391
1000009	3	2		44252
1000009	1	2		44252
1000009	1	1		45750
