clinical_item_id	collection_type_id	value	item_collection_id
41788	5	4	9966
41788	5	4	10338
41788	5	4	8904
41788	5	4	8364
41788	5	4	4794
41788	5	4	2403
41788	5	4	4164
41788	5	4	9545
41788	5	4	931
42038	5	4	10253
42038	5	4	10330
42038	5	4	8990
42038	5	4	4091
42038	5	4	7665
42038	5	4	4640
42038	5	4	6962
42038	5	4	6781
42038	5	4	5093
42038	5	4	10083
42038	5	4	1697
42038	5	4	1628
42038	5	4	9183
42038	5	4	10104
42038	5	4	3680
42038	5	4	2635
42038	5	4	9439
42038	5	4	3765
42038	5	4	9477
42038	5	4	3347
42038	5	4	9781
42038	5	4	3039
42038	5	4	9070
42038	5	4	3234
42038	5	4	9328
42038	5	4	9538
42038	5	4	9012
42038	5	4	9741
42038	5	4	8891
42038	5	4	8827
42038	5	4	2293
42038	5	4	2673
42038	5	4	2568
42038	5	4	2905
42038	5	4	2516
42038	5	4	2497
42038	5	4	5917
42038	5	4	5041
42038	5	4	5082
42038	5	4	5850
42038	5	4	1626
42038	5	4	7493
42038	5	4	1379
42038	5	4	1025
42038	5	4	2719
42038	5	4	7412
42038	5	4	1381
42038	5	4	1210
42038	5	4	2565
42038	5	4	10520
42038	5	4	2205
42038	5	4	9660
42038	5	4	8373
42038	5	4	9667
42038	5	4	5097
42038	5	4	6137
42038	5	4	5134
42038	5	4	9842
42038	5	4	7104
42038	5	4	2632
42038	5	4	3536
42038	5	4	4107
42038	5	4	9823
42038	5	4	9657
42038	5	4	2161
42038	5	4	3075
42038	5	4	4301
42038	5	4	330
42038	5	4	4674
42038	5	4	292
42038	5	4	239
42038	5	4	10282
42038	5	4	6298
42038	5	4	9276
42038	5	4	10310
42038	5	4	5777
42038	5	4	4218
42038	5	4	7593
42038	5	4	9726
42038	5	4	8246
42038	5	4	2008
42038	5	4	2814
42038	5	4	1156
42038	5	4	1387
42038	5	4	914
42038	5	4	169
42038	5	4	5315
42038	5	4	6217
42038	5	4	4990
42038	5	4	4997
42038	5	4	3387
42038	5	4	3769
42038	5	4	4880
42038	5	4	3859
42038	5	4	9925
42038	5	4	3262
42038	5	4	6445
42038	5	4	1648
42038	5	4	8284
42038	5	4	2710
42038	5	4	9878
42038	5	4	3654
41884	5	4	8909
41884	5	4	6646
41884	5	4	9778
41884	5	4	9151
41884	5	4	6636
41884	5	4	7937
41884	5	4	6600
41884	5	4	9361
41884	5	4	6757
41884	5	4	7806
41884	5	4	6582
41884	5	4	5263
41884	5	4	6346
41884	5	4	5477
41884	5	4	6328
41884	5	4	4252
41884	5	4	3851
41884	5	4	4552
41884	5	4	4726
41884	5	4	7372
41884	5	4	6465
41884	5	4	4314
41884	5	4	4145
41884	5	4	4399
41884	5	4	4505
41884	5	4	4479
41884	5	4	4696
41884	5	4	5716
41884	5	4	5746
41884	5	4	4540
41884	5	4	7884
41884	5	4	8450
41884	5	4	6572
41884	5	4	6563
41884	5	4	8730
41884	5	4	6592
41884	5	4	7995
41884	5	4	6628
41884	5	4	8506
41884	5	4	6644
41884	5	4	8811
41884	5	4	6613
41884	5	4	8838
41884	5	4	5796
41884	5	4	6056
41884	5	4	4407
41884	5	4	6778
41884	5	4	6655
41884	5	4	4278
41804	5	4	8663
41804	5	4	8542
41804	5	4	760
41804	5	4	853
41804	5	4	1710
41804	5	4	2238
41804	5	4	4784
41804	5	4	9518
41804	5	4	9640
41804	5	4	8848
41804	5	4	8325
41804	5	4	8017
41804	5	4	885
41804	5	4	608
41804	5	4	951
41804	5	4	660
41804	5	4	3950
41804	5	4	2330
41804	5	4	6206
41804	5	4	5718
41804	5	4	5040
41804	5	4	1281
41804	5	4	223
41804	5	4	4352
41804	5	4	7121
41804	5	4	833
41804	5	4	2737
41804	5	4	786
41804	5	4	8556
41804	5	4	8653
