2018 Clinical Diagnostic Laboratory Fee Schedule ,,,,,,
"CPT codes, descriptions and other data only are copyright 2018 American Medical Association. All rights reserved. CPT is a registered trademark of the American Medical Association (AMA).",,,,,,
2018,80150,,20180101,N,00018.61,Assay of amikacin
2018,80155,,20180101,N,00038.57,Drug assay caffeine
2018,80156,,20180101,N,00017.98,Assay carbamazepine total
2018,80157,,20180101,N,00016.36,Assay carbamazepine free
2018,80158,,20180101,N,00022.28,Drug assay cyclosporine
2018,80159,,20180101,N,00022.83,Drug assay clozapine
2018,80162,,20180101,N,00016.39,Assay of digoxin total
2018,80163,,20180101,N,00016.39,Assay of digoxin free
2018,80164,,20180101,N,00016.72,Assay dipropylacetic acd tot
2018,80165,,20180101,N,00016.72,Dipropylacetic acid free
2018,80168,,20180101,N,00020.17,Assay of ethosuximide
2018,80169,,20180101,N,00016.96,Drug assay everolimus
2018,80170,,20180101,N,00020.22,Assay of gentamicin
2018,80171,,20180101,N,00021.67,Drug screen quant gabapentin
2018,80173,,20180101,N,00017.98,Assay of haloperidol
2018,80175,,20180101,N,00016.36,Drug screen quan lamotrigine
2018,80176,,20180101,N,00018.14,Assay of lidocaine
2018,80177,,20180101,N,00016.36,Drug scrn quan levetiracetam
2018,80178,,20180101,N,00008.16,Assay of lithium
2018,80178,QW,20180101,N,00008.16,Assay of lithium
2018,80180,,20180101,N,00022.28,Drug scrn quan mycophenolate
2018,80183,,20180101,N,00016.36,Drug scrn quant oxcarbazepin
2018,80184,,20180101,N,00015.30,Assay of phenobarbital
2018,80185,,20180101,N,00016.36,Assay of phenytoin total
2018,80186,,20180101,N,00016.99,Assay of phenytoin free
2018,80188,,20180101,N,00020.48,Assay of primidone
2018,80190,,20180101,N,00060.00,Assay of procainamide
2018,80192,,20180101,N,00020.68,Assay of procainamide
2018,80194,,20180101,N,00018.03,Assay of quinidine
2018,80195,,20180101,N,00016.96,Assay of sirolimus
2018,80197,,20180101,N,00016.96,Assay of tacrolimus
2018,80198,,20180101,N,00017.46,Assay of theophylline
2018,80199,,20180101,N,00027.11,Drug screen quant tiagabine
2018,80200,,20180101,N,00019.91,Assay of tobramycin
2018,80201,,20180101,N,00014.72,Assay of topiramate
2018,80202,,20180101,N,00016.72,Assay of vancomycin
2018,80203,,20180101,N,00016.36,Drug screen quant zonisamide
2018,80299,,20180101,N,00018.64,Quantitative assay drug
2018,80305,,20180101,N,00013.46,Drug test prsmv dir opt obs
2018,80305,QW,20180101,N,00013.46,Drug test prsmv dir opt obs
2018,80306,,20180101,N,00017.96,Drug test prsmv instrmnt
2018,80307,,20180101,N,00071.83,Drug test prsmv chem anlyzr
2018,80400,,20180101,N,00040.27,Acth stimulation panel
2018,80402,,20180101,N,00107.35,Acth stimulation panel
2018,80406,,20180101,N,00096.62,Acth stimulation panel
2018,80408,,20180101,N,00154.94,Aldosterone suppression eval
2018,80410,,20180101,N,00033.08,Calcitonin stimul panel
2018,80412,,20180101,N,00801.62,Crh stimulation panel
2018,80414,,20180101,N,00063.75,Testosterone response
2018,80415,,20180101,N,00068.99,Estradiol response panel
2018,80416,,20180101,N,00209.32,Renin stimulation panel
2018,80417,,20180101,N,00054.31,Renin stimulation panel
2018,80418,,20180101,N,00715.43,Pituitary evaluation panel
2018,80420,,20180101,N,00161.88,Dexamethasone panel
2018,80422,,20180101,N,00056.88,Glucagon tolerance panel
2018,80424,,20180101,N,00062.34,Glucagon tolerance panel
2018,80426,,20180101,N,00183.22,Gonadotropin hormone panel
2018,80428,,20180101,N,00082.35,Growth hormone panel
2018,80430,,20180101,N,00129.33,Growth hormone panel
2018,80432,,20180101,N,00166.79,Insulin suppression panel
2018,80434,,20180101,N,00285.03,Insulin tolerance panel
2018,80435,,20180101,N,00127.18,Insulin tolerance panel
2018,80436,,20180101,N,00112.55,Metyrapone panel
2018,80438,,20180101,N,00062.24,Trh stimulation panel
2018,80439,,20180101,N,00082.98,Trh stimulation panel
2018,81000,,20180101,N,00004.02,Urinalysis nonauto w/scope
2018,81001,,20180101,N,00003.92,Urinalysis auto w/scope
2018,81002,,20180101,N,00003.48,Urinalysis nonauto w/o scope
2018,81003,,20180101,N,00002.77,Urinalysis auto w/o scope
2018,81003,QW,20180101,N,00002.77,Urinalysis auto w/o scope
2018,81005,,20180101,N,00002.67,Urinalysis
2018,81007,,20180101,N,00029.98,Urine screen for bacteria
2018,81007,QW,20180101,N,00029.98,Urine screen for bacteria
2018,81015,,20180101,N,00003.76,Microscopic exam of urine
2018,81020,,20180101,N,00004.70,Urinalysis glass test
2018,81025,,20180101,N,00008.61,Urine pregnancy test
2018,81050,,20180101,N,00003.71,Urinalysis volume measure
2018,81105,,20180101,N,00150.89,Hpa-1 genotyping
2018,81106,,20180101,N,00150.89,Hpa-2 genotyping
2018,81107,,20180101,N,00150.89,Hpa-3 genotyping
2018,81108,,20180101,N,00150.89,Hpa-4 genotyping
2018,81109,,20180101,N,00150.89,Hpa-5 genotyping
2018,81110,,20180101,N,00150.89,Hpa-6 genotyping
2018,81111,,20180101,N,00150.89,Hpa-9 genotyping
2018,81112,,20180101,N,00150.89,Hpa-15 genotyping
2018,81120,,20180101,N,00193.25,Idh1 common variants
2018,81121,,20180101,N,00295.79,Idh2 common variants
2018,81161,,20180101,N,00279.00,Dmd dup/delet analysis
2018,81162,,20180101,N,02252.93,Brca1&2 seq & full dup/del
2018,81170,,20180101,N,00300.00,Abl1 gene
2018,81175,,20180101,N,00707.02,Asxl1 full gene sequence
2018,81176,,20180101,N,00298.64,Asxl1 gene target seq alys
2018,81200,,20180101,N,00047.25,Aspa gene
2018,81201,,20180101,N,00780.00,Apc gene full sequence
2018,81202,,20180101,N,00280.00,Apc gene known fam variants
2018,81203,,20180101,N,00200.00,Apc gene dup/delet variants
2018,81205,,20180101,N,00094.99,Bckdhb gene
2018,81206,,20180101,N,00202.42,Bcr/abl1 gene major bp
2018,81207,,20180101,N,00178.81,Bcr/abl1 gene minor bp
2018,81208,,20180101,N,00214.62,Bcr/abl1 gene other bp
2018,81209,,20180101,N,00039.31,Blm gene
2018,81210,,20180101,N,00175.40,Braf gene
2018,81211,,20180101,N,02395.84,Brca1&2 seq & com dup/del
2018,81212,,20180101,N,00440.00,Brca1&2 185&5385&6174 var
2018,81213,,20180101,N,00553.00,Brca1&2 uncom dup/del var
2018,81214,,20180101,N,01301.42,Brca1 full seq & com dup/del
2018,81215,,20180101,N,00375.25,Brca1 gene known fam variant
2018,81216,,20180101,N,00185.12,Brca2 gene full sequence
2018,81217,,20180101,N,00375.25,Brca2 gene known fam variant
2018,81218,,20180101,N,00298.64,Cebpa gene full sequence
2018,81219,,20180101,N,00150.16,Calr gene com variants
2018,81220,,20180101,N,00556.60,Cftr gene com variants
2018,81221,,20180101,N,00097.22,Cftr gene known fam variants
2018,81222,,20180101,N,00435.07,Cftr gene dup/delet variants
2018,81223,,20180101,N,00499.00,Cftr gene full sequence
2018,81224,,20180101,N,00168.75,Cftr gene intron poly t
2018,81225,,20180101,N,00291.36,Cyp2c19 gene com variants
2018,81226,,20180101,N,00450.91,Cyp2d6 gene com variants
2018,81227,,20180101,N,00174.81,Cyp2c9 gene com variants
2018,81228,,20180101,N,00900.00,Cytogen micrarray copy nmbr
2018,81229,,20180101,N,01160.00,Cytogen m array copy no&snp
2018,81230,,20180101,N,00174.81,Cyp3a4 gene common variants
2018,81231,,20180101,N,00174.81,Cyp3a5 gene common variants
2018,81232,,20180101,N,00174.81,Dpyd gene common variants
2018,81235,,20180101,N,00324.58,Egfr gene com variants
2018,81238,,20180101,N,00600.00,F9 full gene sequence
2018,81240,,20180101,N,00065.69,F2 gene
2018,81241,,20180101,N,00075.44,F5 gene
2018,81242,,20180101,N,00036.62,Fancc gene
2018,81243,,20180101,N,00057.04,Fmr1 gene detection
2018,81244,,20180101,N,00044.89,Fmr1 gene characterization
2018,81245,,20180101,N,00165.51,Flt3 gene
2018,81246,,20180101,N,00083.00,Flt3 gene analysis
2018,81247,,20180101,N,00174.81,G6pd gene alys cmn variant
2018,81248,,20180101,N,00375.25,G6pd known familial variant
2018,81249,,20180101,N,00600.00,G6pd full gene sequence
2018,81250,,20180101,N,00058.49,G6pc gene
2018,81251,,20180101,N,00047.25,Gba gene
2018,81252,,20180101,N,00101.12,Gjb2 gene full sequence
2018,81253,,20180101,N,00061.52,Gjb2 gene known fam variants
2018,81254,,20180101,N,00035.00,Gjb6 gene com variants
2018,81255,,20180101,N,00051.45,Hexa gene
2018,81256,,20180101,N,00080.69,Hfe gene
2018,81257,,20180101,N,00102.26,Hba1/hba2 gene
2018,81258,,20180101,N,00375.25,Hba1/hba2 gene fam vrnt
2018,81259,,20180101,N,00600.00,Hba1/hba2 full gene sequence
2018,81260,,20180101,N,00039.31,Ikbkap gene
2018,81261,,20180101,N,00244.43,Igh gene rearrange amp meth
2018,81262,,20180101,N,00068.55,Igh gene rearrang dir probe
2018,81263,,20180101,N,00363.60,Igh vari regional mutation
2018,81264,,20180101,N,00184.35,Igk rearrangeabn clonal pop
2018,81265,,20180101,N,00265.49,Str markers specimen anal
2018,81266,,20180101,N,00304.81,Str markers spec anal addl
2018,81267,,20180101,N,00256.12,Chimerism anal no cell selec
2018,81268,,20180101,N,00321.96,Chimerism anal w/cell select
2018,81269,,20180101,N,00202.40,Hba1/hba2 gene dup/del vrnts
2018,81270,,20180101,N,00113.17,Jak2 gene
2018,81272,,20180101,N,00329.51,Kit gene targeted seq analys
2018,81273,,20180101,N,00124.87,Kit gene analys d816 variant
2018,81275,,20180101,N,00193.25,Kras gene variants exon 2
2018,81276,,20180101,N,00193.25,Kras gene addl variants
2018,81280,,20180101,N,00416.08,Long qt synd gene full seq
2018,81281,,20180101,N,00285.00,Long qt synd known fam var
2018,81282,,20180101,N,01250.00,Long qt syn gene dup/dlt var
2018,81283,,20180101,N,00075.44,Ifnl3 gene
2018,81287,,20180101,N,00124.64,Mgmt gene methylation anal
2018,81288,,20180101,N,00192.32,Mlh1 gene
2018,81290,,20180101,N,00039.31,Mcoln1 gene
2018,81291,,20180101,N,00065.34,Mthfr gene
2018,81292,,20180101,N,00675.40,Mlh1 gene full seq
2018,81293,,20180101,N,00331.00,Mlh1 gene known variants
2018,81294,,20180101,N,00202.40,Mlh1 gene dup/delete variant
2018,81295,,20180101,N,00381.70,Msh2 gene full seq
2018,81296,,20180101,N,00337.73,Msh2 gene known variants
2018,81297,,20180101,N,00213.30,Msh2 gene dup/delete variant
2018,81298,,20180101,N,00641.85,Msh6 gene full seq
2018,81299,,20180101,N,00308.00,Msh6 gene known variants
2018,81300,,20180101,N,00238.00,Msh6 gene dup/delete variant
2018,81301,,20180101,N,00357.48,Microsatellite instability
2018,81302,,20180101,N,00527.87,Mecp2 gene full seq
2018,81303,,20180101,N,00120.00,Mecp2 gene known variant
2018,81304,,20180101,N,00150.00,Mecp2 gene dup/delet variant
2018,81310,,20180101,N,00246.52,Npm1 gene
2018,81311,,20180101,N,00295.79,Nras gene variants exon 2&3
2018,81313,,20180101,N,00255.05,Pca3/klk3 antigen
2018,81314,,20180101,N,00329.51,Pdgfra gene
2018,81315,,20180101,N,00255.94,Pml/raralpha com breakpoints
2018,81316,,20180101,N,00255.94,Pml/raralpha 1 breakpoint
2018,81317,,20180101,N,00707.02,Pms2 gene full seq analysis
2018,81318,,20180101,N,00331.00,Pms2 known familial variants
2018,81319,,20180101,N,00203.50,Pms2 gene dup/delet variants
2018,81321,,20180101,N,00600.00,Pten gene full sequence
2018,81322,,20180101,N,00052.85,Pten gene known fam variant
2018,81323,,20180101,N,00300.00,Pten gene dup/delet variant
2018,81324,,20180101,N,00758.36,Pmp22 gene dup/delet
2018,81325,,20180101,N,00769.58,Pmp22 gene full sequence
2018,81326,,20180101,N,00052.85,Pmp22 gene known fam variant
2018,81327,,20180101,L,00000.00,Sept9 methylation analysis
2018,81328,,20180101,N,00174.81,Slco1b1 gene com variants
2018,81330,,20180101,N,00047.00,Smpd1 gene common variants
2018,81331,,20180101,N,00051.07,Snrpn/ube3a gene
2018,81332,,20180101,N,00053.89,Serpina1 gene
2018,81334,,20180101,N,00329.51,Runx1 gene targeted seq alys
2018,81335,,20180101,N,00174.81,Tpmt gene com variants
2018,81340,,20180101,N,00257.92,Trb@ gene rearrange amplify
2018,81341,,20180101,N,00061.22,Trb@ gene rearrange dirprobe
2018,81342,,20180101,N,00248.76,Trg gene rearrangement anal
2018,81346,,20180101,N,00174.81,Tyms gene com variants
2018,81350,,20180101,N,00234.00,Ugt1a1 gene
2018,81355,,20180101,N,00088.20,Vkorc1 gene
2018,81361,,20180101,N,00174.81,Hbb gene com variants
2018,81362,,20180101,N,00375.25,Hbb gene known fam variant
2018,81363,,20180101,N,00202.40,Hbb gene dup/del variants
2018,81364,,20180101,N,00324.58,Hbb full gene sequence
2018,81370,,20180101,N,00496.45,Hla i & ii typing lr
2018,81371,,20180101,N,00404.52,Hla i & ii type verify lr
2018,81372,,20180101,N,00403.59,Hla i typing complete lr
2018,81373,,20180101,N,00137.48,Hla i typing 1 locus lr
2018,81374,,20180101,N,00089.81,Hla i typing 1 antigen lr
2018,81375,,20180101,N,00272.52,Hla ii typing ag equiv lr
2018,81376,,20180101,N,00150.89,Hla ii typing 1 locus lr
2018,81377,,20180101,N,00113.35,Hla ii type 1 ag equiv lr
2018,81378,,20180101,N,00426.63,Hla i & ii typing hr
2018,81379,,20180101,N,00414.05,Hla i typing complete hr
2018,81380,,20180101,N,00218.83,Hla i typing 1 locus hr
2018,81381,,20180101,N,00169.90,Hla i typing 1 allele hr
2018,81382,,20180101,N,00152.69,Hla ii typing 1 loc hr
2018,81383,,20180101,N,00134.73,Hla ii typing 1 allele hr
2018,81400,,20180101,N,00063.96,Mopath procedure level 1
2018,81401,,20180101,N,00137.00,Mopath procedure level 2
2018,81402,,20180101,N,00150.33,Mopath procedure level 3
2018,81403,,20180101,N,00185.20,Mopath procedure level 4
2018,81404,,20180101,N,00274.83,Mopath procedure level 5
2018,81405,,20180101,N,00301.35,Mopath procedure level 6
2018,81406,,20180101,N,00282.88,Mopath procedure level 7
2018,81407,,20180101,N,00846.27,Mopath procedure level 8
2018,81408,,20180101,N,02000.00,Mopath procedure level 9
2018,81410,,20180101,N,00504.00,Aortic dysfunction/dilation
2018,81411,,20180101,N,01350.19,Aortic dysfunction/dilation
2018,81412,,20180101,N,02448.56,Ashkenazi jewish assoc dis
2018,81413,,20180101,N,00722.10,Car ion chnnlpath inc 10 gns
2018,81414,,20180101,N,00722.10,Car ion chnnlpath inc 2 gns
2018,81415,,20180101,N,04780.00,Exome sequence analysis
2018,81416,,20180101,N,12000.00,Exome sequence analysis
2018,81417,,20180101,N,00320.00,Exome re-evaluation
2018,81420,,20180101,N,00759.05,Fetal chrmoml aneuploidy
2018,81422,,20180101,N,00759.05,Fetal chrmoml microdeltj
2018,81425,,20180101,L,00000.00,Genome sequence analysis
2018,81426,,20180101,L,00000.00,Genome sequence analysis
2018,81427,,20180101,L,00000.00,Genome re-evaluation
2018,81430,,20180101,N,01625.00,Hearing loss sequence analys
2018,81431,,20180101,N,00679.57,Hearing loss dup/del analys
2018,81432,,20180101,N,00838.33,Hrdtry brst ca-rlatd dsordrs
2018,81433,,20180101,N,00541.89,Hrdtry brst ca-rlatd dsordrs
2018,81434,,20180101,N,00597.91,Hereditary retinal disorders
2018,81435,,20180101,N,00722.10,Hereditary colon ca dsordrs
2018,81436,,20180101,N,00722.10,Hereditary colon ca dsordrs
2018,81437,,20180101,N,00541.89,Heredtry nurondcrn tum dsrdr
2018,81438,,20180101,N,00541.89,Heredtry nurondcrn tum dsrdr
2018,81439,,20180101,N,00722.10,Hrdtry cardmypy gene panel
2018,81440,,20180101,N,03324.00,Mitochondrial gene
2018,81442,,20180101,N,02143.60,Noonan spectrum disorders
2018,81445,,20180101,N,00597.91,Targeted genomic seq analys
2018,81448,,20180101,N,00722.10,Hrdtry perph neurphy panel
2018,81450,,20180101,N,00759.53,Targeted genomic seq analys
2018,81455,,20180101,N,02919.60,Targeted genomic seq analys
2018,81460,,20180101,N,01287.00,Whole mitochondrial genome
2018,81465,,20180101,N,00936.00,Whole mitochondrial genome
2018,81470,,20180101,L,00000.00,X-linked intellectual dblt
2018,81471,,20180101,L,00000.00,X-linked intellectual dblt
2018,81490,,20180101,N,00840.65,Autoimmune rheumatoid arthr
2018,81493,,20180101,N,01050.00,Cor artery disease mrna
2018,81500,,20180101,N,00260.50,Onco (ovar) two proteins
2018,81503,,20180101,N,00897.00,Onco (ovar) five proteins
2018,81504,,20180101,N,00520.00,Oncology tissue of origin
2018,81506,,20180101,N,00081.03,Endo assay seven anal
2018,81507,,20180101,N,00795.00,Fetal aneuploidy trisom risk
2018,81508,,20180101,N,00054.30,Ftl cgen abnor two proteins
2018,81509,,20180101,N,01487.37,Ftl cgen abnor 3 proteins
2018,81510,,20180101,N,00055.54,Ftl cgen abnor three anal
2018,81511,,20180101,N,00153.50,Ftl cgen abnor four anal
2018,81512,,20180101,N,00069.52,Ftl cgen abnor five anal
2018,81519,,20180101,N,03873.00,Oncology breast mrna
2018,81520,,20180101,N,03099.02,Onc breast mrna 58 genes
2018,81521,,20180101,N,03873.00,Onc breast mrna 70 genes
2018,81525,,20180101,N,03116.00,Oncology colon mrna
2018,81528,,20180101,N,00508.87,Oncology colorectal scr
2018,81535,,20180101,N,00579.46,Oncology gynecologic
2018,81536,,20180101,N,00177.56,Oncology gynecologic
2018,81538,,20180101,N,02871.00,Oncology lung
2018,81539,,20180101,N,00760.00,Oncology prostate prob score
2018,81540,,20180101,N,03750.00,Oncology tum unknown origin
2018,81541,,20180101,N,03873.00,Onc prostate mrna 46 genes
2018,81545,,20180101,N,03600.00,Oncology thyroid
2018,81551,,20180101,L,00000.00,Onc prostate 3 genes
2018,81595,,20180101,N,03240.00,Cardiology hrt trnspl mrna
2018,82009,,20180101,N,00005.58,Test for acetone/ketones
2018,82010,,20180101,N,00010.09,Acetone assay
2018,82010,QW,20180101,N,00010.09,Acetone assay
2018,82013,,20180101,N,00013.79,Acetylcholinesterase assay
2018,82016,,20180101,N,00017.13,Acylcarnitines qual
2018,82017,,20180101,N,00020.83,Acylcarnitines quant
2018,82024,,20180101,N,00047.68,Assay of acth
2018,82030,,20180101,N,00031.85,Assay of adp & amp
2018,82040,,20180101,N,00006.11,Assay of serum albumin
2018,82040,QW,20180101,N,00006.11,Assay of serum albumin
2018,82042,,20180101,N,00007.78,Other source albumin quan ea
2018,82042,QW,20180101,N,00007.78,Other source albumin quan ea
2018,82043,,20180101,N,00007.14,Ur albumin quantitative
2018,82043,QW,20180101,N,00007.14,Ur albumin quantitative
2018,82044,,20180101,N,00006.23,Ur albumin semiquantitative
2018,82044,QW,20180101,N,00006.23,Ur albumin semiquantitative
2018,82045,,20180101,N,00041.90,Albumin ischemia modified
2018,82075,,20180101,N,00030.00,Assay of breath ethanol
2018,82085,,20180101,N,00011.99,Assay of aldolase
2018,82088,,20180101,N,00050.31,Assay of aldosterone
2018,82103,,20180101,N,00016.59,Alpha-1-antitrypsin total
2018,82104,,20180101,N,00017.86,Alpha-1-antitrypsin pheno
2018,82105,,20180101,N,00020.71,Alpha-fetoprotein serum
2018,82106,,20180101,N,00020.71,Alpha-fetoprotein amniotic
2018,82107,,20180101,N,00079.52,Alpha-fetoprotein l3
2018,82108,,20180101,N,00031.46,Assay of aluminum
2018,82120,,20180101,N,00005.99,Amines vaginal fluid qual
2018,82120,QW,20180101,N,00005.99,Amines vaginal fluid qual
2018,82127,,20180101,N,00017.13,Amino acid single qual
2018,82128,,20180101,N,00017.13,Amino acids mult qual
2018,82131,,20180101,N,00022.98,Amino acids single quant
2018,82135,,20180101,N,00020.31,Assay aminolevulinic acid
2018,82136,,20180101,N,00020.83,Amino acids quant 2-5
2018,82139,,20180101,N,00020.83,Amino acids quan 6 or more
2018,82140,,20180101,N,00017.99,Assay of ammonia
2018,82143,,20180101,N,00009.35,Amniotic fluid scan
2018,82150,,20180101,N,00008.00,Assay of amylase
2018,82150,QW,20180101,N,00008.00,Assay of amylase
2018,82154,,20180101,N,00035.60,Androstanediol glucuronide
2018,82157,,20180101,N,00036.14,Assay of androstenedione
2018,82160,,20180101,N,00030.87,Assay of androsterone
2018,82163,,20180101,N,00025.34,Assay of angiotensin ii
2018,82164,,20180101,N,00018.03,Angiotensin i enzyme test
2018,82172,,20180101,N,00021.09,Assay of apolipoprotein
2018,82175,,20180101,N,00023.42,Assay of arsenic
2018,82180,,20180101,N,00012.20,Assay of ascorbic acid
2018,82190,,20180101,N,00018.41,Atomic absorption
2018,82232,,20180101,N,00019.97,Assay of beta-2 protein
2018,82239,,20180101,N,00021.14,Bile acids total
2018,82240,,20180101,N,00032.81,Bile acids cholylglycine
2018,82247,,20180101,N,00006.19,Bilirubin total
2018,82247,QW,20180101,N,00006.19,Bilirubin total
2018,82248,,20180101,N,00006.19,Bilirubin direct
2018,82252,,20180101,N,00005.63,Fecal bilirubin test
2018,82261,,20180101,N,00020.83,Assay of biotinidase
2018,82270,,20180101,N,00004.38,Occult blood feces
2018,82271,,20180101,N,00005.32,Occult blood other sources
2018,82271,QW,20180101,N,00005.32,Occult blood other sources
2018,82272,,20180101,N,00004.23,Occult bld feces 1-3 tests
2018,82274,,20180101,N,00019.64,Assay test for blood fecal
2018,82274,QW,20180101,N,00019.64,Assay test for blood fecal
2018,82286,,20180101,N,00006.37,Assay of bradykinin
2018,82300,,20180101,N,00028.58,Assay of cadmium
2018,82306,,20180101,N,00036.55,Vitamin d 25 hydroxy
2018,82308,,20180101,N,00033.08,Assay of calcitonin
2018,82310,,20180101,N,00006.37,Assay of calcium
2018,82310,QW,20180101,N,00006.37,Assay of calcium
2018,82330,,20180101,N,00016.88,Assay of calcium
2018,82330,QW,20180101,N,00016.88,Assay of calcium
2018,82331,,20180101,N,00013.34,Calcium infusion test
2018,82340,,20180101,N,00007.44,Assay of calcium in urine
2018,82355,,20180101,N,00014.29,Calculus analysis qual
2018,82360,,20180101,N,00015.89,Calculus assay quant
2018,82365,,20180101,N,00015.92,Calculus spectroscopy
2018,82370,,20180101,N,00015.46,X-ray assay calculus
2018,82373,,20180101,N,00022.29,Assay c-d transfer measure
2018,82374,,20180101,N,00006.03,Assay blood carbon dioxide
2018,82374,QW,20180101,N,00006.03,Assay blood carbon dioxide
2018,82375,,20180101,N,00015.21,Assay carboxyhb quant
2018,82376,,20180101,N,00014.07,Assay carboxyhb qual
2018,82378,,20180101,N,00023.41,Carcinoembryonic antigen
2018,82379,,20180101,N,00020.83,Assay of carnitine
2018,82380,,20180101,N,00011.39,Assay of carotene
2018,82382,,20180101,N,00027.30,Assay urine catecholamines
2018,82383,,20180101,N,00030.93,Assay blood catecholamines
2018,82384,,20180101,N,00031.18,Assay three catecholamines
2018,82387,,20180101,N,00022.29,Assay of cathepsin-d
2018,82390,,20180101,N,00013.26,Assay of ceruloplasmin
2018,82397,,20180101,N,00017.43,Chemiluminescent assay
2018,82415,,20180101,N,00015.64,Assay of chloramphenicol
2018,82435,,20180101,N,00005.68,Assay of blood chloride
2018,82435,QW,20180101,N,00005.68,Assay of blood chloride
2018,82436,,20180101,N,00006.21,Assay of urine chloride
2018,82438,,20180101,N,00006.03,Assay other fluid chlorides
2018,82441,,20180101,N,00007.42,Test for chlorohydrocarbons
2018,82465,,20180101,N,00005.37,Assay bld/serum cholesterol
2018,82465,QW,20180101,N,00005.37,Assay bld/serum cholesterol
2018,82480,,20180101,N,00009.72,Assay serum cholinesterase
2018,82482,,20180101,N,00009.81,Assay rbc cholinesterase
2018,82485,,20180101,N,00025.50,Assay chondroitin sulfate
2018,82495,,20180101,N,00025.04,Assay of chromium
2018,82507,,20180101,N,00034.33,Assay of citrate
2018,82523,,20180101,N,00023.07,Collagen crosslinks
2018,82523,QW,20180101,N,00023.07,Collagen crosslinks
2018,82525,,20180101,N,00015.32,Assay of copper
2018,82528,,20180101,N,00027.80,Assay of corticosterone
2018,82530,,20180101,N,00020.63,Cortisol free
2018,82533,,20180101,N,00020.12,Total cortisol
2018,82540,,20180101,N,00005.72,Assay of creatine
2018,82542,,20180101,N,00024.09,Col chromotography qual/quan
2018,82550,,20180101,N,00008.04,Assay of ck (cpk)
2018,82550,QW,20180101,N,00008.04,Assay of ck (cpk)
2018,82552,,20180101,N,00016.53,Assay of cpk in blood
2018,82553,,20180101,N,00014.26,Creatine mb fraction
2018,82554,,20180101,N,00014.65,Creatine isoforms
2018,82565,,20180101,N,00006.33,Assay of creatinine
2018,82565,QW,20180101,N,00006.33,Assay of creatinine
2018,82570,,20180101,N,00006.39,Assay of urine creatinine
2018,82570,QW,20180101,N,00006.39,Assay of urine creatinine
2018,82575,,20180101,N,00011.67,Creatinine clearance test
2018,82585,,20180101,N,00014.14,Assay of cryofibrinogen
