billing_code,price_description,price
25030081,HC TRANSFUSION BLOOD-4 HR," 3,900 "
25030099,HC TRANSFUSION BLOOD-5 HR," 4,100 "
25030107,HC TRANSFUSION BLOOD-6 HR," 4,300 "
25030115,HC TRANSFUSION BLOOD-7 HR," 4,500 "
25030123,HC TRANSFUSION BLOOD-8 HR," 4,700 "
25030131,HC TRANSFUSION BLOOD-9 HR," 4,900 "
25030172,HC IV INFUSION-THERAPEUTIC-1ST HR," 1,226 "
25030180,HC IV INFUSION-THER-ADDTL HRS, 607 
25030198,HC THERAP PROPH/DX INJ: SUBQ/IM, 344 
25030206,HC IV PUSH INJECTION, 542 
25130071,HC TRANSFUSION BLOOD-1 HR," 3,300 "
25130089,HC TRANSFUSION BLOOD-2 HR," 3,500 "
25130097,HC TRANSFUSION BLOOD-3 HR," 3,700 "
25130105,HC TRANSFUSION BLOOD-4 HR," 3,900 "
25130113,HC TRANSFUSION BLOOD-5 HR," 4,100 "
25130121,HC TRANSFUSION BLOOD-6 HR," 4,300 "
25130139,HC TRANSFUSION BLOOD-7 HR," 4,500 "
25130147,HC TRANSFUSION BLOOD-8 HR," 4,700 "
25130154,HC TRANSFUSION BLOOD-9 HR," 4,900 "
25130188,HC IV INFUSION-THERAPEUTIC-1ST HR," 1,226 "
25130196,HC IV INFUSION-THER-ADDTL HRS, 607 
25130204,HC THERAP PROPH/DX INJ: SUBQ/IM, 344 
25130212,HC IV PUSH INJECTION, 542 
25190018,HC D1CC CCU," 29,167 "
25190026,HC D1CC CCU," 29,167 "
25190034,HC D1CC CCU," 29,167 "
25190042,HC D1CC CCU," 29,167 "
25290115,HC D3 ICC LEVEL 1 PRIVATE," 14,466 "
25290123,HC D3 IMC ICU," 15,479 "
25290131,HC D3 IMC ICU," 15,479 "
25290214,HC D3 IMC ICU," 14,466 "
25290222,HC D3 IMC ICU," 15,479 "
25290230,HC D3 IMC ICU," 15,479 "
25290313,HC D3 ICC LEVEL 1 WARD," 8,013 "
25290321,HC D3 IMC ICU," 15,479 "
25290339,HC D3 IMC ICU," 14,466 "
25330028,HC TRANSFUSION BLOOD-1 HR," 3,300 "
25330036,HC TRANSFUSION BLOOD-2 HR," 3,500 "
25330044,HC TRANSFUSION BLOOD-3 HR," 3,700 "
25330051,HC TRANSFUSION BLOOD-4 HR," 3,900 "
25330069,HC TRANSFUSION BLOOD-5 HR," 4,100 "
25330077,HC TRANSFUSION BLOOD-6 HR," 4,300 "
25330085,HC TRANSFUSION BLOOD-7 HR," 4,500 "
25330093,HC TRANSFUSION BLOOD-8 HR," 4,700 "
25330101,HC TRANSFUSION BLOOD-9 HR," 4,900 "
25330127,HC IV INFUSION-THERAPEUTIC-1ST HR," 1,226 "
25330135,HC IV INFUSION-THER-ADDTL HRS, 607 
25330143,HC THERAP PROPH/DX INJ: SUBQ/IM, 344 
25330150,HC IV PUSH INJECTION, 542 
25430018,HC TRANSFUSION BLOOD-1 HR," 3,300 "
25430026,HC TRANSFUSION BLOOD-2 HR," 3,500 "
25430034,HC TRANSFUSION BLOOD-3 HR," 3,700 "
25430042,HC TRANSFUSION BLOOD-4 HR," 3,900 "
25430059,HC TRANSFUSION BLOOD-5 HR," 4,100 "
25430067,HC TRANSFUSION BLOOD-6 HR," 4,300 "
25430075,HC TRANSFUSION BLOOD-7 HR," 4,500 "
25430083,HC TRANSFUSION BLOOD-8 HR," 4,700 "
25430091,HC TRANSFUSION BLOOD-9 HR," 4,900 "
25430117,HC IV INFUSION-THERAPEUTIC-1ST HR," 1,226 "
25430125,HC IV INFUSION-THER-ADDTL HRS, 607 
25430133,HC THERAP PROPH/DX INJ: SUBQ/IM, 344 
25430141,HC IV PUSH INJECTION, 542 
25490111,HC D1CS IMC CCU," 15,479 "
25490129,HC D1CS IMC CCU," 15,479 "
25490137,HC D1CS IMC CCU," 15,479 "
25490210,HC D1CS IMC CCU," 15,479 "
25490228,HC D1CS IMC CCU," 15,479 "
25490236,HC D1CS IMC CCU," 15,479 "
25490319,HC D1CS ICC LEVEL 1 WARD," 8,013 "
25490327,HC D1CS IMC ICU," 14,466 "
25490335,HC D1CS IMC ICU," 14,466 "
25530080,HC TRANSFUSION BLOOD-1 HR," 3,300 "
25530098,HC TRANSFUSION BLOOD-2 HR," 3,500 "
25530106,HC TRANSFUSION BLOOD-3 HR," 3,700 "
25530114,HC TRANSFUSION BLOOD-4 HR," 3,900 "
25530122,HC TRANSFUSION BLOOD-5 HR," 4,100 "
25530130,HC TRANSFUSION BLOOD-6 HR," 4,300 "
25530148,HC TRANSFUSION BLOOD-7 HR," 4,500 "
25530155,HC TRANSFUSION BLOOD-8 HR," 4,700 "
25530163,HC TRANSFUSION BLOOD-9 HR," 4,900 "
25530197,HC IV INFUSION-HYDRATION-1ST HR," 1,035 "
25530205,HC IV INFUSION-HYDRA-EA ADDTL HR, 607 
25530213,HC THERAP PROPH/DX INJ: SUBQ/IM, 344 
25530221,HC IV PUSH INJECTION, 542 
25590019,HC NORTH ICU," 28,088 "
25590027,HC NORTH ICU," 30,054 "
25590035,HC NORTH ICU," 30,054 "
25590043,HC NORTH ICU," 30,054 "
26190116,HC E1 ONC/BMT LEVEL 1 PVT," 8,897 "
26190124,HC E1 ONC/BMT LEVEL 2 PVT," 8,897 "
26190132,HC E1 IMC ICU," 15,479 "
26190140,HC E1 ONC/BMT LEVEL 4 PVT," 15,479 "
26190215,HC E1 ONC/BMT LEVEL 1 SP," 8,397 "
26190223,HC E1 ONC/BMT LEVEL 2 SP," 8,397 "
26190231,HC E1 ONC/BMT LEVEL 3 SP," 15,479 "
26190249,HC E1 ONC/BMT LEVEL 4 SP," 15,479 "
26190314,HC E1 ONC/BMT LEVEL 1 W," 8,013 "
26190322,HC E1 ONC/BMT LEVEL 2 W," 8,653 "
26190330,HC E1 ONC/BMT LEVEL 3 W," 12,182 "
26190348,HC E1 ONC/BMT LEVEL 4 W," 12,182 "
26290015,HC E2 ICU," 28,088 "
26290023,HC E2 ICU," 30,054 "
26290031,HC E2 ICU," 30,054 "
26290049,HC E2 ICU," 30,054 "
26390112,HC C2 MED/SURG PRIV," 8,897 "
26390120,HC C2 MED/SURG PRIV," 8,897 "
26390138,HC C2 MED/SURG PRIV," 8,897 "
26390146,HC C2 MED/SURG PRIV," 8,897 "
26390211,HC C2 MED/SURG SP," 8,397 "
26390229,HC C2 MED/SURG SP," 8,397 "
26390237,HC C2 MED/SURG SP," 8,397 "
26390245,HC C2 MED/SURG SP," 8,397 "
26390310,HC C2 M/S LEVEL I W," 5,769 "
26390328,HC C2 MED/SURG W," 8,397 "
26390336,HC C2 M/S LEVEL III W," 8,397 "
26390344,HC C2 MED/SURG," 8,397 "
27390111,HC E3 MED/SURG PRIV," 8,897 "
27390129,HC E3 MED/SURG PRIV," 8,897 "
27390137,HC E3 MED/SURG PRIV," 8,897 "
27390145,HC E3 MED/SURG PRIV," 8,897 "
27390210,HC E3 MED/SURG," 8,397 "
27390228,HC E3 MED/SURG SP," 8,397 "
27390236,HC E3 MED/SURG SP," 8,397 "
27390244,HC E3 MED/SURG SP," 8,397 "
27390319,HC E3 M/S LEVEL I W," 5,769 "
27390327,HC E3 MED/SURG W," 8,397 "
27390335,HC E3 MED/SURG WARD," 8,397 "
27390343,HC E3 MED/SURG," 8,397 "
30000038,HC MAJOR SURGERY-15 MINUTES," 7,045 "
30000046,HC MAJOR SURGERY-ADD 15 MIN," 2,400 "
30000053,HC OPEN HEART OR 15 MIN," 3,720 "
30000061,HC OR MAJOR 30 MIN," 17,122 "
30000087,HC OR MAJOR 45 MIN," 18,963 "
30000103,HC OR MAJOR 1HR," 21,439 "
30000152,HC OR MAJOR 1HR15," 23,839 "
30000202,HC OR MAJOR 1HR30," 26,239 "
30000251,HC OR MAJOR 1HR45," 28,639 "
30000301,HC OR MAJOR 2HR," 31,039 "
30000350,HC OR MAJOR 2HR15," 33,439 "
30000400,HC OR MAJOR 2HR30," 35,839 "
30000459,HC OR MAJOR 2HR45," 38,239 "
30000509,HC OR MAJOR 3HR," 40,639 "
30000558,HC OR MAJOR 3HR15," 43,039 "
30000608,HC OR MAJOR 3HR30," 45,439 "
30000657,HC OR MAJOR 3HR45," 47,839 "
30000707,HC OR MAJOR 4HR," 50,239 "
30000756,HC OR MAJOR 4HR15," 52,639 "
30000806,HC OR MAJOR 4HR30," 55,039 "
30000855,HC OR MAJOR 4HR45," 57,439 "
30000905,HC OR MAJOR 5HR," 59,839 "
30000954,HC OR MAJOR 5HR15," 62,239 "
30001002,HC OR MAJOR 5HR30," 64,639 "
30001051,HC OR MAJOR 5HR45," 67,039 "
30001101,HC OR MAJOR 6HR," 69,439 "
30001150,HC OR MAJOR 6HR15," 71,839 "
30001200,HC OR MAJOR 6HR30," 74,239 "
30001259,HC OR MAJOR 6HR45," 76,639 "
30001309,HC OR MAJOR 7HR," 79,039 "
30001358,HC OR MAJOR 7HR15," 81,439 "
30001408,HC OR MAJOR 7HR30," 83,839 "
30001457,HC OR MAJOR 7HR45," 86,239 "
30001507,HC OR MAJOR 8HR," 88,639 "
30001556,HC OR MAJOR 8HR15," 91,039 "
30001606,HC OR MAJOR 8HR30," 93,439 "
30001655,HC OR MAJOR 8HR45," 95,839 "
30001705,HC OR MAJOR 9HR," 98,239 "
30001754,HC OR MAJOR 9HR15," 100,639 "
30001804,HC OR MAJOR 9HR30," 103,039 "
30001853,HC OR MAJOR 9HR45," 105,439 "
30001903,HC OR MAJOR 10HR," 107,839 "
30001952,HC OR MAJOR 10HR15," 110,239 "
30002000,HC OR MAJOR 10HR30," 112,639 "
30002059,HC OR MAJOR 10HR45," 115,039 "
30002109,HC OR MAJOR 11HR," 117,439 "
30002158,HC OR MAJOR 11HR15," 119,839 "
30002208,HC OR MAJOR 11HR30," 122,239 "
30002257,HC OR MAJOR 11HR45," 124,639 "
30002307,HC OR MAJOR 12HR," 127,039 "
30002356,HC OR MAJOR 12HR15," 129,439 "
30002406,HC OR MAJOR 12HR30," 131,839 "
30002455,HC OR 2MAJOR 1HR45," 28,639 "
30002505,HC OPEN HEART OR 2HR," 49,831 "
30002554,HC OPEN HEART OR 2HR 15 MIN," 53,549 "
30002604,HC OR 2MAJOR 2HR30," 57,269 "
30002653,HC OR 2MAJOR 2HR45," 60,989 "
30002703,HC OR 2MAJOR 3HR," 64,705 "
30002752,HC OR 2MAJOR 3HR15," 38,804 "
30002802,HC OR 2MAJOR 3HR30," 72,147 "
30002851,HC OR 2MAJOR 3HR45," 75,865 "
30002901,HC OR 2MAJOR 4HR," 79,585 "
30002950,HC OR 2MAJOR 4HR15," 83,303 "
30003008,HC OR 2MAJOR 4HR30," 87,023 "
30003057,HC OR 2MAJOR 4HR45," 90,742 "
30003107,HC OR 2MAJOR 5HR," 94,460 "
30003156,HC OR 2MAJOR 5HR15," 98,181 "
30003206,HC OR 2MAJOR 5HR30," 101,902 "
30003255,HC OR 2MAJOR 5HR45," 105,621 "
30003305,HC OR 2MAJOR 6HR," 109,341 "
30003354,HC OR 2MAJOR 6HR15," 113,060 "
30003404,HC OR 2MAJOR 6HR30," 116,778 "
30003453,HC OR 2MAJOR 6HR45," 120,498 "
30003503,HC OR 2MAJOR 7HR," 124,218 "
30003552,HC OR 2MAJOR 7HR15," 127,937 "
30003602,HC OR 2MAJOR 7HR30," 131,657 "
30003651,HC OR 2MAJOR 7HR45," 135,378 "
30003701,HC OR 2MAJOR 8HR," 139,095 "
30003800,HC OR 2MAJOR 8HR15," 142,815 "
30003859,HC OR 2MAJOR 8HR30," 146,536 "
30003909,HC OR 2MAJOR 8HR45," 150,254 "
30003958,HC OR 2MAJOR 9HR," 153,974 "
30004006,HC OPEN HEART OR 9HR 15 MIN," 157,689 "
30004055,HC OR 2MAJOR 9HR30," 161,410 "
30004105,HC OR 2MAJOR 9HR45," 165,132 "
30004154,HC OR 2MAJOR 10HR," 168,851 "
30005037,HC MINOR SURGERY-ADD 15 MIN," 1,517 "
30005045,HC MINOR SURGERY-15 MINUTES," 1,517 "
30005052,HC OR MINOR 30 MIN," 10,303 "
30005102,HC OR MINOR 45 MIN," 12,803 "
30005128,HC MINOR SURGERY-FIRST HOUR," 15,303 "
30005151,HC OR MINOR 1HR," 15,303 "
30005201,HC OR MINOR 1HR15MIN," 17,803 "
30005219,HC OR MINOR 1HR30MIN," 20,303 "
30005250,HC OR MINOR 1HR45MIN," 22,803 "
30005300,HC OR MINOR 2HR," 25,303 "
30005359,HC OR MINOR 2HR15MIN," 27,803 "
30005367,HC OR MINOR 2HR30MIN," 30,303 "
30005409,HC OR MINOR 2HR45MIN," 32,803 "
30005458,HC OR MINOR 3HR," 35,303 "
30005508,HC OR MINOR 3HR15MIN," 37,803 "
30005516,HC OR MINOR 3HR30MIN," 40,303 "
30005557,HC OR MINOR 3HR45MIN," 42,803 "
30005607,HC OR MINOR 4HR," 45,303 "
30005656,HC OR MINOR 4HR15MIN," 47,803 "
30005664,HC OR MINOR 4HR30MIN," 50,303 "
30005706,HC OR MINOR 4HR45MIN," 52,803 "
30005755,HC OR MINOR 5HR," 55,303 "
30005805,HC OR MINOR 5HR15MIN," 57,803 "
30005813,HC OR MINOR 5HR30MIN," 60,303 "
30005854,HC CPB SURGERY-FIRST HR," 27,775 "
30005862,HC CPB SURGERY-ADD 15 MIN," 3,720 "
30006001,HC ROBOT ASSISTED OR 30 MIN," 44,797 "
30006019,HC ROBOT ASSISTED OR 45 MIN," 46,636 "
30006027,HC ROBOT ASSISTED OR 1 HR," 48,479 "
30006035,HC ROBOT ASSISTED OR 1:15," 50,320 "
30006043,HC ROBOT ASSISTED OR 1:30," 52,158 "
30006050,HC ROBOT ASSISTED OR 1:45," 54,000 "
30006068,HC ROBOT ASSISTED OR 2 HRS," 55,838 "
30006076,HC ROBOT ASSISTED OR 2:15," 57,679 "
30006084,HC ROBOT ASSISTED OR 2:30," 59,518 "
30006092,HC ROBOT ASSISTED OR 2:45," 61,358 "
30006100,HC ROBOT ASSISTED OR 3 HRS," 63,198 "
30006118,HC ROBOT ASSISTED OR 3:15," 65,037 "
30006126,HC ROBOT ASSISTED OR 3:30," 66,879 "
30006134,HC ROBOT ASSISTED OR 3:45," 68,718 "
30006142,HC ROBOT ASSISTED OR 4 HRS," 70,558 "
30006159,HC ROBOT ASSISTED OR 4:15," 72,399 "
30006167,HC ROBOT ASSISTED OR 4:30," 74,239 "
30006175,HC ROBOT ASSISTED OR 4:45," 76,078 "
30006183,HC ROBOT ASSISTED OR 5 HRS," 77,918 "
30006191,HC ROBOT ASSISTED OR 5:15," 79,757 "
30006209,HC ROBOT ASSISTED OR 5:30," 81,600 "
30006217,HC ROBOT ASSISTED OR 5:45," 83,438 "
30006225,HC ROBOT ASSISTED OR 6 HRS," 85,277 "
30006233,HC ROBOT ASSISTED OR 6:15," 87,120 "
30006241,HC ROBOT ASSISTED OR 6:30," 88,959 "
30006258,HC ROBOT ASSISTED OR 6:45," 90,800 "
30006266,HC ROBOT ASSISTED OR 7 HRS," 92,639 "
30006274,HC ROBOT ASSISTED OR 7:15," 94,480 "
30006282,HC ROBOT ASSISTED OR 7:30," 96,320 "
30006290,HC ROBOT ASSISTED OR 7:45," 98,159 "
30006308,HC ROBOT ASSISTED OR 8 HRS," 99,996 "
30006316,HC ROBOT ASSISTED OR 8:15," 101,840 "
30006324,HC ROBOT ASSISTED OR 8:30," 103,678 "
30006332,HC ROBOT ASSISTED OR 8:45," 105,516 "
30006340,HC ROBOT ASSISTED OR 9 HRS," 107,357 "
30006357,HC ROBOT ASSISTED OR 9:15," 109,196 "
30006365,HC ROBOT ASSISTED OR 9:30," 111,039 "
30006373,HC ROBOT ASSISTED OR 9:45," 112,877 "
30006381,HC ROBOT ASSISTED OR 10 HRS," 114,720 "
30006399,HC ROBOT ASSISTED OR 10:15," 116,560 "
30006407,HC ROBOT ASSISTED OR 10:30," 118,397 "
30006415,HC ROBOT ASSISTED OR 10:45," 120,237 "
30006423,HC ROBOT ASSISTED OR:15MIN," 17,265 "
30010094,HC GENERAL ANESTHESIA, 783 
30020051,HC MINOR PROCEDURE 15 MIN," 1,517 "
30030167,HC DENTAL SURGERY-UP TO ONE HOUR," 3,599 "
30030217,HC VASOVASOSTOMY," 6,876 "
30030423,HC ABDOMINOPLASTY," 2,475 "
30030431,HC BREAST AUGMENTATION X 1, 675 
30030449,HC SCAR REVISION < 1 HR," 2,621 "
30030456,HC SCAR REVISION 1-2 HRS," 3,044 "
30030464,HC SUBMENTAL LIPECTOMY," 2,666 "
30030472,HC VEIN STRIPPING-UNILATERAL," 3,044 "
30030480,HC VEIN STRIPPING-BILATERAL," 3,423 "
30030498,HC ADDITIONAL PLASTIC PROCEDURE," 1,168 "
30030589,HC BREAST AUGMENTATION X 2," 1,575 "
30030597,HC BREAST AUGMENT REVISE 1," 2,939 "
30030605,HC BREAST AUGMENT REVISE 2," 3,552 "
30030613,HC BLEPHAROPLASTY-1 LID," 2,302 "
30030621,HC BLEPHAROPLASTY-2 LIDS," 2,821 "
30030639,HC BLEPHAROPLASTY-4 LIDS," 3,044 "
30030647,HC BREAST IMPL REMOVAL X 1," 2,350 "
30030654,HC BREAST IMPL REMOVAL X 2," 2,667 "
30030662,HC BROW LIFT," 3,104 "
30030670,HC CLOSED CAPSILOTOMY X 1," 1,487 "
30030688,HC CLOSED CAPSILOTOMY X2," 1,710 "
30030696,HC DERMABRASION-PARTIAL," 2,562 "
30030704,HC DERMABRASION-FULL," 2,917 "
30030712,HC FOREHEAD LIFT," 3,104 "
30030779,HC NOSE IMPLANT PROCEDURE," 2,144 "
30030787,HC LESION EXCISION," 2,478 "
30030795,HC LESION EXCISION GRAFT," 2,738 "
30030803,HC LIPOSUCTION UNDER 90 MIN," 1,240 "
30030811,HC LIPOSUCTION OVER 90 MINUTES," 5,370 "
