antibiotic_name,prescription_count
ACYCLOVIR 200 MG/5 ML PO SUSP,2279
LEVOFLOXACIN IN D5W 250 MG/50 ML IV PGBK,2255
MICONAZOLE NITRATE 2 % TP CREA,2155
OFLOXACIN 0.3 % OTIC DROP,2144
000-0.1 UNIT/GRAM-% TP OINT,2122
CLINDAMYCIN PHOSPHATE 1 % TP GEL,2101
URIBEL 118-10-40.8-36 MG PO CAPS,2060
GATIFLOXACIN 0.5 % OPHT DROP,1963
CILGAVIMAB 150 MG/1.5 ML IM SOLN,1955
TIXAGEVIMAB 150 MG/1.5 ML IM SOLN,1953
BACITRACIN ZINC 500 UNIT/GRAM TP OIPK,1948
AUGMENTIN 500-125 MG PO TABS,1936
CEFOXITIN 2 GRAM IV SOLR,1934
CLINDAMYCIN PHOSPHATE 1 % TP LOTN,1934
MICONAZOLE NITRATE 2 % TP POWD,1888
CEFEPIME 2 GRAM IV SOLR,1876
PERMETHRIN 5 % TP CREA,1817
MICONAZOLE NITRATE 2 % TP OINT,1803
MOXIFLOXACIN-SOD.CHLORIDE(ISO) 400 MG/250 ML IV PGBK,1792
AMPICILLIN SODIUM 1 GRAM INJ SOLR,1730
DIFLUCAN 150 MG PO TABS,1703
Meropenem,1683
KEFLEX 250 MG PO CAPS,1665
OFLOXACIN 0.3 % OPHT DROP,1658
AMPICILLIN 500 MG PO CAPS,1651
MINOCYCLINE 100 MG PO CAPS,1638
FLUCONAZOLE 40 MG/ML PO SUSR,1617
LEVAQUIN 500 MG PO TABS,1510
AZITHROMYCIN 200 MG/5 ML PO SUSR,1507
ERYTHROMYCIN ETHYLSUCCINATE 200 MG/5 ML PO SUSR,1486
MICONAZOLE NITRATE 2 % VAG CREA,1480
TOBRAMYCIN-DEXAMETHASONE 0.3-0.1 % OPHT DRPS,1474
FOSCARNET 24 MG/ML IV SOLN,1447
CLARITHROMYCIN 500 MG PO TB24,1439
MUPIROCIN CALCIUM 2 % TP CREA,1436
AMOXICILLIN 250 MG PO CAPS,1398
CEFEPIME 1 GRAM INJ SOLR,1374
RITONAVIR 100 MG PO TABS,1350
000 UNIT/GRAM TP PACK,1350
000-1 MG/ML-UNIT/ML-% OTIC DRPS,1305
OSELTAMIVIR 30 MG PO CAPS,1278
XIFAXAN 550 MG PO TABS,1274
DOXYCYCLINE MONOHYDRATE 100 MG PO CAPS,1266
CLINDAMYCIN IN 5 % DEXTROSE 300 MG/50 ML IV PGBK,1250
TOBI PODHALER 28 MG INH CPDV,1237
CICLOPIROX 0.77 % TP CREA,1220
VORICONAZOLE 50 MG PO TABS,1218
EMTRICITABINE-TENOFOVIR ALAFEN 200-25 MG PO TABS,1210
CLOTRIMAZOLE 1 % VAG CREA,1208
VALCYTE 450 MG PO TABS,1186
NYSTOP 100,1181
CEFADROXIL 1 GRAM PO TABS,1169
FLUCONAZOLE IN NACL (ISO-OSM) 100 MG/50 ML IV PGBK,1166
ERYTHROMYCIN 250 MG PO TBEC,1144
THALIDOMIDE 50 MG PO CAPS,1122
NEOMY-POLYMYXINB-BACITRACIN-HC 1 % TP OINT,1108
ENTECAVIR 1 MG PO TABS,1076
000 MG-UNIT-UNIT TP OIPK,1074
TRIMETHOPRIM 100 MG PO TABS,1059
Amikacin,1048
DOLUTEGRAVIR 50 MG PO TABS,1041
TERBINAFINE HCL 250 MG PO TABS,1037
NEOMYCIN-BACITRACNZN-POLYMYXNB 3.5-400-5,1029
EMTRICITABINE-TENOFOVIR (TDF) 200-300 MG PO TABS,1029
ACYCLOVIR 5 % TP OINT,1019
ENTECAVIR 0.05 MG/ML PO SOLN,1017
LEVOFLOXACIN 250 MG/10 ML PO SOLN,984
AMOXICILLIN 875 MG PO TABS,981
ABACAVIR-LAMIVUDINE 600-300 MG PO TABS,980
NIRMATRELVIR-RITONAVIR 300 MG (150 MG X 2)-100 MG PO DSPK,954
TOBRAMYCIN SULFATE 40 MG/ML INJ SOLN,937
LAMIVUDINE 150 MG PO TABS,934
CICLOPIROX 8 % TP SOLN,921
FLAGYL 500 MG PO TABS,918
FAMCICLOVIR 500 MG PO TABS,903
AZTREONAM 1 GRAM INJ SOLR,900
TOBRAMYCIN SULFATE 1.2 GRAM INJ SOLR,891
RIBAVIRIN 40 MG/ML PO SOLN,868
ABACAVIR-DOLUTEGRAVIR-LAMIVUD 600-50-300 MG PO TABS,867
BEBTELOVIMAB 175 MG/2 ML (87.5 MG/ML) IV SOLN,861
MONUROL 3 GRAM PO PACK,836
SPORANOX 100 MG PO CAPS,835
VALTREX 500 MG PO TABS,829
CLOTRIMAZOLE 1 % TP SOLN,812
Pyrazinamide,807
ISONIAZID 100 MG PO TABS,807
EFAVIRENZ-EMTRICITABIN-TENOFOV 600-200-300 MG PO TABS,804
DICLOXACILLIN 500 MG PO CAPS,804
RIFABUTIN 150 MG PO CAPS,794
SOFOSBUVIR-VELPATASVIR 400-100 MG PO TABS,792
ELVITEG-COB-EMTRI-TENOF ALAFEN 150-150-200-10 MG PO TABS,788
KETOCONAZOLE 200 MG PO TABS,770
ERTAPENEM 1 GRAM IV SOLR,769
000-1 MG/ML-UNIT/ML-% OTIC SOLN,768
TOBRAMYCIN 300 MG/4 ML INH NEBU,765
NEOMYCIN-BACITRACIN-POLYMYXIN 3.5-400-10,765
000 MG-UNIT-UNIT/G OPHT OINT,765
CIPRO 750 MG PO TABS,742
TEDIZOLID 200 MG PO TABS,729
TOBRAMYCIN 28 MG INH CAPS,724
AMPICILLIN-SULBACTAM 3 GRAM INJ SOLR,712
CLINDAMYCIN PHOSPHATE 2 % VAG CREA,711
AZTREONAM 2 GRAM INJ SOLR,704
HIPREX 1 GRAM PO TABS,700
RITONAVIR 100 MG PO CAPS,690
TERCONAZOLE 0.4 % VAG CREA,680
CIPRODEX 0.3-0.1 % OTIC DRPS,680
CASPOFUNGIN 50 MG IV SOLR,679
VORICONAZOLE 200 MG/5 ML (40 MG/ML) PO SUSR,674
AMOXICILLIN 500 MG PO TABS,667
ZITHROMAX 250 MG PO TABS,664
BACITRACIN 500 UNIT/GRAM OPHT OINT,655
TERCONAZOLE 0.8 % VAG CREA,655
LAMIVUDINE 100 MG PO TABS,650
RALTEGRAVIR 400 MG PO TABS,641
NEOMYCIN-BACITRACIN-POLYMYXIN TP PACK,639
METHENAMINE MANDELATE 1 GRAM PO TABS,638
AZITHROMYCIN 250 MG PO CAPS,627
LOPINAVIR-RITONAVIR 200-50 MG PO TABS,627
AMPICILLIN SODIUM 2 GRAM INJ SOLR,612
ZYVOX 600 MG PO TABS,602
AZITHROMYCIN 1 GRAM PO PACK,601
GENVOYA 150-150-200-10 MG PO TABS,588
VALTREX 1 GRAM PO TABS,580
CRESEMBA 186 MG PO CAPS,579
MACRODANTIN 50 MG PO CAPS,578
LEDIPASVIR-SOFOSBUVIR 90-400 MG PO TABS,570
NIRMATRELVIR-RITONAVIR 150-100 MG PO DSPK,548
NAFCILLIN IN DEXTROSE ISO-OSM 2 GRAM/100 ML IV PGBK,512
GLECAPREVIR-PIBRENTASVIR 100-40 MG PO TABS,506
SEPTRA DS 800-160 MG PO TABS,498
BIKTARVY 50-200-25 MG PO TABS,495
TRUVADA 200-300 MG PO TABS,486
FAMCICLOVIR 250 MG PO TABS,485
MICONAZOLE NITRATE 200 MG VAG SUPP,480
TOBRAMYCIN-DEXAMETHASONE 0.3-0.1 % OPHT OINT,472
NOXAFIL 100 MG PO TBEC,461
DOXYCYCLINE HYCLATE 50 MG PO CAPS,458
TETRACYCLINE 500 MG PO CAPS,457
PERMETHRIN 1 % TP LIQD,456
MUPIROCIN CALCIUM 2 % NASAL OINT,449
DAPTOMYCIN 500 MG IV SOLR,447
LEVAQUIN 250 MG PO TABS,446
SULFACETAMIDE-PREDNISOLONE 10 %-0.23 % (0.25 %) OPHT DROP,444
RIBAVIRIN 6 GRAM INH SOLR,437
TOBRAMYCIN 0.3 % OPHT DROP,436
000 UNIT PO TABS,426
NYSTATIN 500,425
BACTROBAN 2 % TP OINT,412
MICONAZOLE NITRATE 100 MG VAG SUPP,411
VIGAMOX 0.5 % OPHT DROP,407
AMOXICILLIN 250 MG/5 ML PO SUSR,405
ZERBAXA 1.5 GRAM IV SOLR,398
CEFPODOXIME 100 MG/5 ML PO SUSR,387
BACITRACIN 500 UNIT/GRAM TP OINT,386
TERCONAZOLE 80 MG VAG SUPP,381
TOLNAFTATE 1 % TP CREA,381
LETERMOVIR 240 MG PO TABS,378
SPORANOX 10 MG/ML PO SOLN,375
CEFTOLOZANE-TAZOBACTAM 1.5 GRAM IV SOLR,374
CLARITHROMYCIN 250 MG PO TABS,373
ABACAVIR 300 MG PO TABS,371
METHEN-M.BLUE-S.PHOS-PHSAL-HYO 118-10-40.8-36 MG PO CAPS,365
SULFACETAMIDE SODIUM-SULFUR 10-5 % (W/W) TP CLSR,364
PEGINTERFERON ALFA-2A 180 MCG/ML SC SOLN,358
JUBLIA 10 % TP SOLA,356
TRIPLE ANTIBIOTIC 3.5MG-400 UNIT- 5,345
CLINDAMYCIN PALMITATE HCL 75 MG/5 ML PO SOLR,344
AVELOX 400 MG PO TABS,342
TRIUMEQ 600-50-300 MG PO TABS,342
000-0.5 MG/G-UNIT/G-% TP CREA,339
ERYTHROMYCIN 250 MG PO TABS,336
ISO-OSM 2 GRAM/100 ML IV PGBK,335
DARUNAVIR 800 MG PO TABS,333
ATAZANAVIR 150 MG PO CAPS,326
UR N-C 81.6-10.8-40.8 MG PO TABS,320
AZITHROMYCIN 600 MG PO TABS,314
TOBRADEX 0.3-0.1 % OPHT OINT,314
VANCOCIN 125 MG PO CAPS,305
URELLE 81-10.8-40.8 MG PO TABS,305
DOXYCYCLINE MONOHYDRATE 25 MG/5 ML PO SUSR,304
ATRIPLA 600-200-300 MG PO TABS,297
SULFACETAMIDE SODIUM 10 % OPHT DROP,291
AMPICILLIN 250 MG PO CAPS,289
EFINACONAZOLE 10 % TP SOLA,288
Imipenem,284
AMOXICILLIN 400 MG/5 ML PO SUSR,284
TOBRADEX 0.3-0.1 % OPHT DRPS,280
VIREAD 300 MG PO TABS,276
AZITHROMYCIN 500 MG IV SOLR,275
OSELTAMIVIR 12 MG/ML PO SUSR,271
DESCOVY 200-25 MG PO TABS,270
MACRODANTIN 100 MG PO CAPS,262
DOXYCYCLINE HYCLATE 100 MG PO TBEC,261
AUGMENTIN XR 1,256
000-62.5 MG PO TB12,256
DOXYCYCLINE HYCLATE 100 MG IV SOLR,254
VFEND 200 MG PO TABS,251
TAMIFLU 75 MG PO CAPS,251
MYCELEX 10 MG MM TROC,249
AMPHOTERICIN B LIPOSOME 50 MG IV SUSR,248
AMPICILLIN SODIUM 500 MG INJ SOLR,247
000 MG-UNIT/G-1% OPHT OINT,244
DARUNAVIR-COBICISTAT 800-150 MG-MG PO TABS,242
NYAMYC 100,241
SOFOSBUVIR 400 MG PO TABS,226
LOTRISONE 1-0.05 % TP CREA,222
CEFIXIME 400 MG PO CAPS,218
EPZICOM 600-300 MG PO TABS,216
NITAZOXANIDE 500 MG PO TABS,214
ODEFSEY 200-25-25 MG PO TABS,213
DIFLUCAN 200 MG PO TABS,211
RIBAVIRIN 400 MG PO TABS,210
BIAXIN 500 MG PO TABS,210
VEMLIDY 25 MG PO TABS,204
EFAVIRENZ 600 MG PO TABS,204
CIPRO 500 MG/5 ML PO SUMC,204
MINOCYCLINE 100 MG PO TABS,203
ZOSYN 3.375 GRAM IV SOLR,202
TOBRAMYCIN WITH NEBULIZER 300 MG/5 ML INH NEBU,201
LINEZOLID 100 MG/5 ML PO SUSR,199
DAPSONE 25 MG PO TABS,197
NORVIR 100 MG PO TABS,196
CIPRO HC 0.2-1 % OTIC DRPS,196
ERYTHROMYCIN-BENZOYL PEROXIDE 3-5 % TP GEL,190
KETOCONAZOLE 1 % TP SHAM,189
EMTRICITAB-RILPIVIR-TENOFO ALA 200-25-25 MG PO TABS,189
KITABIS PAK 300 MG/5 ML INH NEBU,188
CICLOPIROX 1 % TP SHAM,187
LAMIVUDINE 10 MG/ML PO SOLN,185
NIZORAL 2 % TP SHAM,181
CEFDINIR 250 MG/5 ML PO SUSR,180
PAXLOVID 300 MG (150 MG X 2)-100 MG PO DSPK,180
PREVYMIS 480 MG PO TABS,176
NEOMYCIN-BACITRACIN-POLY-HC 3.5-400-10,176
EFAVIRENZ 200 MG PO CAPS,174
CLINDAMYCIN PHOSPHATE 100 MG VAG SUPP,174
NAFCILLIN 2 GRAM IV SOLR,172
ETRAVIRINE 200 MG PO TABS,169
CEFTIN 500 MG PO TABS,168
EMTRICITABINE 200 MG PO CAPS,168
TIGECYCLINE 50 MG IV SOLR,167
ITRACONAZOLE 200 MG PO TABS,167
BARACLUDE 0.5 MG PO TABS,166
ZYLET 0.3-0.5 % OPHT DRPS,162
TERAZOL 3 0.8 % VAG CREA,161
AMPHOTERICIN B LIPID COMPLEX 5 MG/ML IV SUSP,161
MARAVIROC 300 MG PO TABS,159
DARUNAVIR 600 MG PO TABS,157
FLUCONAZOLE 50 MG PO TABS,157
SULFACETAMIDE-PREDNISOLONE 10-0.2 % OPHT OINT,156
NOXAFIL 200 MG/5 ML (40 MG/ML) PO SUSP,153
POLYTRIM 10,152
000 UNIT- 1 MG/ML OPHT DROP,152
OMADACYCLINE 150 MG PO TABS,151
CASPOFUNGIN 70 MG IV SOLR,151
FLUCONAZOLE IN DEXTROSE(ISO-O) 200 MG/100 ML IV PGBK,148
TIVICAY 50 MG PO TABS,141
NEOMYCIN-COLIST-HC-THONZONIUM 3.3-3-10-0.5 MG/ML OTIC DRPS,140
CEFOXITIN 10 GRAM IV SOLR,140
XIFAXAN 200 MG PO TABS,139
DIFLUCAN 100 MG PO TABS,139
BETHKIS 300 MG/4 ML INH NEBU,138
FLAGYL 250 MG PO TABS,138
GATIFLOXACIN 0.3 % OPHT DROP,136
METHEN-M.BLUE-S.PHOS-PHSAL-HYO 81-10.8-40.8 MG PO TABS,133
MAXITROL 3.5MG/ML-10,132
DEMECLOCYCLINE 300 MG PO TABS,131
ISENTRESS 400 MG PO TABS,129
CIPRO 250 MG/5 ML PO SUMC,129
Flucytosine,127
TOBRAMYCIN 28 MG INH CPDV,127
AMPICILLIN-SULBACTAM 1.5 GRAM INJ SOLR,126
ZANAMIVIR 5 MG/ACTUATION INH DSDV,124
THALOMID 50 MG PO CAPS,123
TETRACYCLINE 250 MG PO CAPS,123
ERYTHROMYCIN 500 MG PO TABS,120
CLINDAMYCIN IN 0.9 % SOD CHLOR 900 MG/50 ML IV PGBK,119
MONISTAT 7 2 % VAG CREA,113
ISAVUCONAZONIUM SULFATE 372 MG IV SOLR,110
SILVADENE 1 % TP CREA,110
CIPRO XR 500 MG PO TM24,109
AUGMENTIN 250-62.5 MG/5 ML PO SUSR,108
AMOXICILLIN 125 MG PO CHEW,108
ERYTHROMYCIN 333 MG PO TBEC,107
NORVIR 100 MG PO CAPS,106
AMPICILLIN-SULBACTAM 3 GRAM IV SOLR,106
LAMIVUDINE-ZIDOVUDINE 150-300 MG PO TABS,106
NYSTATIN-TRIAMCINOLONE TP OINT,104
AZITHROMYCIN 1 % OPHT DROP,102
CICLOPIROX 0.77 % TP GEL,102
MOXIFLOXACIN (PF)-BSS 1 MG/ML INTRACAMERAL SOLN,100
SUPRAX 400 MG PO CAPS,100
PLEXION CLEANSING CLOTHS 9.8-4.8 % TP PADM,100
STRIBILD 150-150-200-300 MG PO TABS,96
EMTRICITA-RILPIVIRINE-TENOF DF 200-25-300 MG PO TABS,96
TERAZOL 7 0.4 % VAG CREA,95
CLARITHROMYCIN 250 MG/5 ML PO SUSR,94
NEOSPORIN (NEO-BAC-POLYM) 3.5MG-400 UNIT- 5,93
RIBAVIRIN 200 MG PO TABS,93
NAFCILLIN 2 GRAM INJ SOLR,92
CEFPODOXIME 50 MG/5 ML PO SUSR,90
GANCICLOVIR SODIUM 500 MG IV SOLR,90
DARUNAVIR 400 MG PO TABS,90
RILPIVIRINE HCL 25 MG PO TABS,90
ZOVIRAX 5 % TP CREA,90
MOXIFLOXACIN-SOD CHLOR,90
ISO(PF) 5 MG/ML IO SOLN,90
MAXITROL 3.5 MG/G-10,90
ERYTHROMYCIN ETHYLSUCCINATE 400 MG/5 ML PO SUSR,89
DOXYCYCLINE MONOHYDRATE 50 MG PO TABS,87
CLOTRIMAZOLE 2 % VAG CREA,86
SULFACETAMIDE-PREDNISOLONE 10-0.2 % OPHT DRPS,86
ATAZANAVIR 300 MG PO CAPS,85
SIMEPREVIR 150 MG PO CAPS,83
CEFPROZIL 500 MG PO TABS,83
BESIVANCE 0.6 % OPHT DRPS,82
ZOSYN 4.5 GRAM IV SOLR,82
ADEFOVIR 10 MG PO TABS,81
LAMISIL 250 MG PO TABS,79
BACTROBAN 2 % TP CREA,79
DICLOXACILLIN 250 MG PO CAPS,79
TAMIFLU 30 MG PO CAPS,77
CILOXAN 0.3 % OPHT DROP,77
AZITHROMYCIN 100 MG/5 ML PO SUSR,76
NAFCILLIN IN DEXTROSE ISO-OSM 1 GRAM/50 ML IV PGBK,76
HARVONI 90-400 MG PO TABS,76
ORACEA 40 MG PO CPID,76
MAVYRET 100-40 MG PO TABS,74
CLINDAMYCIN PEDIATRIC 75 MG/5 ML PO SOLR,74
TOBRAMYCIN 0.3 % OPHT OINT,73
AMPICILLIN 250 MG/5 ML PO SUSR,73
COLY-MYCIN M PARENTERAL 150 MG INJ SOLR,73
DOXYCYCLINE MONOHYDRATE 50 MG PO CAPS,73
MINOCYCLINE 50 MG PO CAPS,72
ZOVIRAX 5 % TP OINT,72
FIRVANQ 50 MG/ML PO SOLR,71
REMDESIVIR 100 MG IV SOLR,70
VORICONAZOLE 200 MG IV SOLR,70
CEFEPIME 1 GRAM IV SOLR,70
CIPRO IN D5W 400 MG/200 ML IV PGBK,70
UROGESIC-BLUE 81.6-40.8-0.12 MG PO TABS,70
CLOTRIMAZOLE 1 % TP OINT,69
ANIDULAFUNGIN 50 MG IV SOLR,69
CLEOCIN T 1 % TP LOTN,68
NEVIRAPINE 200 MG PO TABS,68
FLUCONAZOLE IN DEXTROSE(ISO-O) 400 MG/200 ML IV PGBK,68
CORTISPORIN 3.5-400-10,68
TINACTIN 1 % TP SPRA,68
000 UNIT/GRAM TP OIPK,67
LEVAQUIN 250 MG/10 ML PO SOLN,66
SULFADIAZINE 500 MG PO TABS,66
SEPTRA 400-80 MG PO TABS,66
LOTRIMIN AF (CLOTRIMAZOLE) 1 % TP CREA,66
EPIVIR HBV 100 MG PO TABS,65
AMPICILLIN SODIUM 1 GRAM IV SOLR,65
MACRODANTIN 25 MG PO CAPS,65
BIAXIN XL 500 MG PO TB24,64
AK-POLY-BAC 500-10,64
DIFICID 200 MG PO TABS,63
KALETRA 200-50 MG PO TABS,63
DEMECLOCYCLINE 150 MG PO TABS,63
CLEOCIN T 1 % TP GEL,63
NEOMYCIN-BACITRACNZN-POLYMYXNB 3.5-500-10,63
000 MG-UNIT-UNIT TP OINT,63
RIBAVIRIN 600 MG PO TABS,63
DELAFLOXACIN 450 MG PO TABS,63
CLOTRIMAZOLE-3 2 % VAG CREA,63
NAFTIFINE 1 % TP GEL,62
METHENAMINE MANDELATE 0.5 G PO TABS,60
AMPICILLIN SODIUM 2 GRAM IV SOLR,60
URO-MP 118-10-40.8-36 MG PO CAPS,60
RALTEGRAVIR 100 MG PO CHEW,60
NYSTATIN-TRIAMCINOLONE TP CREA,58
ACYCLOVIR SODIUM 500 MG/20 ML IV SOLN,58
CLOTRIMAZOLE 100 MG VAG TABS,58
MAFENIDE ACETATE 85 MG/G TP CREA,58
BARACLUDE 1 MG PO TABS,57
SSD 1 % TP CREA,57
BLEPHAMIDE 10-0.2 % OPHT DRPS,56
PROSED/DS (ATROPINE FREE) 81.6-0.12-10.8 MG PO TABS,56
CICLODAN 0.77 % TP CREA,56
PRIMAXIN IV 500 MG IV SOLR,54
ZIRGAN 0.15 % OPHT GEL,54
THALIDOMIDE 200 MG PO CAPS,53
CEFACLOR 250 MG PO CAPS,53
ANTIFUNGAL (CLOTRIMAZOLE) 1 % TP CREA,53
FAMVIR 500 MG PO TABS,52
DOXYCYCLINE MONOHYDRATE 40 MG PO CPID,52
BLEPHAMIDE S.O.P. 10-0.2 % OPHT OINT,52
CLINDAMYCIN PHOSPHATE 1 % TP SWAB,52
ERYTHROMYCIN WITH ETHANOL 2 % TP SOLN,52
LOTRIMIN 1 % TP CREA,52
CLOTRIMAZOLE-BETAMETHASONE 1-0.05 % TP LOTN,52
SINECATECHINS 15 % TP OINT,51
PREZCOBIX 800-150 MG-MG PO TABS,50
CEFACLOR 500 MG PO CAPS,50
EPCLUSA 400-100 MG PO TABS,50
ZOSYN 2.25 GRAM IV SOLR,50
PAXLOVID 150-100 MG PO DSPK,50
CEFTAROLINE FOSAMIL 600 MG IV SOLR,49
INTELENCE 200 MG PO TABS,47
LEVOFLOXACIN 25 MG/ML IV SOLN,47
ACYCLOVIR 5 % TP CREA,47
CLARIFOAM EF 10-5 % TP FOAM,46
MINOCYCLINE 50 MG PO TABS,46
ROCEPHIN 1 GRAM INJ SOLR,46
