Rotation,Role,Provider_ID,Date,Chart_Review_Time,Note_Review_Time,Note_Entry_Time,Order_Entry_Time,Navigator_Time,Results_Review_Time,Total_Time,Number_EHR_Actions,Number_EHR_Actions_Accessed_Remotely,Number_Unique_Patient_Records_Accessed
General Medicine,PGY1,S0181083,2015-07-16,0:00:00,0:00:00,0:00:00,0:00:01,0:00:00,0:00:00,0:00:01,10,0,2
General Medicine,PGY1,S0181083,2015-07-17,2:26:18,0:06:42,1:05:25,0:56:17,0:30:59,0:39:25,6:06:33,1703,30,10
General Medicine,PGY1,S0181083,2015-07-14,0:14:23,0:00:19,0:45:37,0:00:00,0:01:51,0:01:19,1:07:11,341,341,5
General Medicine,PGY1,S0181083,2015-07-15,3:10:29,0:11:46,1:23:06,1:02:18,0:23:03,0:23:07,7:16:18,1905,45,11
General Medicine,PGY1,S0181083,2015-07-12,2:52:51,0:06:00,0:51:48,0:48:21,0:48:09,0:29:54,6:53:16,2019,50,14
General Medicine,PGY1,S0181083,2015-07-13,3:16:51,0:07:21,1:23:26,0:45:19,0:21:21,0:19:07,6:58:58,2162,258,15
General Medicine,PGY1,S0181083,2015-07-10,2:20:01,0:30:21,1:02:24,0:49:31,0:11:31,0:24:05,5:37:25,1636,37,25
Intensive Care Unit,PGY2+,S0174975,2016-09-25,2:06:33,0:44:40,0:07:07,0:56:27,0:19:57,0:01:46,4:45:10,1378,29,15
Emergency Medicine,PGY2+,S0169394,2016-08-08,4:03:37,0:51:42,0:03:06,0:28:31,0:54:51,0:03:22,7:15:50,2185,16,23
Emergency Medicine,PGY2+,S0169394,2016-08-04,3:36:55,0:40:53,0:00:56,0:40:33,0:48:15,0:06:55,6:54:57,2310,0,13
General Medicine,PGY1,S0195230,2016-10-13,1:03:28,0:27:46,0:00:05,0:23:06,0:07:43,0:00:09,2:25:08,689,177,9
Emergency Medicine,PGY2+,S0169394,2016-08-06,1:12:14,0:24:00,0:00:07,0:07:55,0:20:09,0:00:13,2:22:15,731,0,11
Emergency Medicine,PGY2+,S0169394,2016-08-07,3:54:55,0:43:37,0:01:38,0:26:41,0:38:34,0:06:10,6:38:52,2348,0,27
Emergency Medicine,PGY2+,S0169394,2016-08-01,4:15:06,0:57:36,0:01:24,0:45:01,0:47:41,0:03:51,7:45:51,2575,285,32
Emergency Medicine,PGY2+,S0169394,2016-08-02,2:05:18,0:25:55,0:01:05,0:11:05,0:25:21,0:00:33,3:50:15,1321,123,17
Emergency Medicine,PGY2+,S0169394,2016-08-03,0:03:48,0:00:32,0:00:00,0:00:00,0:00:00,0:00:23,0:04:54,31,0,5
General Medicine,PGY1,S0195229,2016-07-30,0:01:56,0:01:04,0:00:00,0:00:00,0:00:00,0:02:03,0:05:23,30,0,4
General Medicine,PGY1,S0195229,2016-07-31,2:30:12,0:27:56,0:00:11,1:01:58,0:17:39,0:02:50,4:46:34,1441,6,14
General Medicine,PGY1,S0094959,2015-03-29,3:13:04,0:49:33,1:05:05,0:21:40,0:12:59,0:24:39,6:26:07,3193,0,23
General Medicine,PGY1,S0181059,2015-08-25,2:19:14,0:47:25,0:33:41,0:40:31,0:14:18,0:30:52,5:32:48,2895,684,23
General Medicine,PGY1,S0181059,2015-08-24,2:24:15,1:48:22,0:59:09,1:02:56,0:22:50,0:36:28,7:39:59,3038,95,23
General Medicine,PGY1,S0181059,2015-08-27,1:31:10,0:37:01,0:25:54,0:26:36,0:13:07,0:13:31,3:43:26,2150,267,10
General Medicine,PGY1,S0181059,2015-08-26,2:37:20,0:56:55,1:11:04,1:06:51,0:36:18,0:32:42,7:32:19,3405,72,27
General Medicine,PGY1,S0181059,2015-08-21,1:46:17,1:04:55,1:04:53,0:47:36,0:18:11,0:28:15,6:09:49,2532,15,26
General Medicine,PGY1,S0181059,2015-08-20,1:37:57,0:29:09,0:15:59,0:24:17,0:14:28,0:29:44,3:54:54,1958,148,13
General Medicine,PGY1,S0181059,2015-08-23,1:36:36,0:40:04,0:09:51,0:20:56,0:05:21,0:06:20,3:10:38,1604,108,24
General Medicine,PGY1,S0181059,2015-08-22,0:00:00,0:06:42,0:00:00,0:01:08,0:00:00,0:01:28,0:11:19,105,91,6
General Medicine,PGY1,S0181059,2015-08-29,2:43:26,1:03:48,0:37:18,0:33:20,0:27:52,0:18:08,6:01:48,2771,56,48
General Medicine,PGY1,S0181059,2015-08-28,1:22:23,1:15:05,0:55:46,0:18:43,0:18:09,0:31:03,5:08:25,2402,153,13
Night Team,PGY2+,S0094535,2016-06-23,1:52:24,1:31:15,0:00:03,0:32:10,0:14:40,0:02:38,4:56:50,1445,1,40
General Medicine,PGY1,S0181056,2015-11-08,0:41:53,0:45:04,1:03:28,0:17:02,0:11:17,0:22:26,3:55:00,1265,0,7
General Medicine,PGY1,S0181056,2015-11-09,1:03:07,0:41:40,2:14:48,0:39:00,0:11:18,0:25:51,5:43:02,1199,0,5
General Medicine,PGY1,S0181082,2015-12-17,0:51:43,1:07:22,1:20:05,0:32:28,0:13:22,0:33:24,5:00:00,1863,179,9
Night Team,PGY1,S0195086,2016-11-05,2:13:11,0:51:54,0:02:08,0:25:27,0:16:50,0:01:21,4:13:41,1288,0,41
Night Team,PGY1,S0195086,2016-11-04,1:01:12,0:14:14,0:00:00,0:07:19,0:03:14,0:00:12,1:30:59,414,0,16
Night Team,PGY1,S0195086,2016-11-07,2:24:25,0:15:07,0:00:00,0:24:55,0:19:28,0:01:18,3:36:03,1299,80,42
Night Team,PGY1,S0195086,2016-11-06,2:51:43,0:20:05,0:00:00,0:06:45,0:10:39,0:01:22,3:47:27,1342,0,31
Night Team,PGY1,S0195086,2016-11-01,1:08:27,0:26:04,0:00:01,0:13:10,0:17:35,0:04:16,2:14:34,830,410,25
Night Team,PGY1,S0195086,2016-11-03,0:53:09,1:14:30,0:00:13,0:04:30,0:06:41,0:01:50,2:37:10,738,0,14
Night Team,PGY1,S0195086,2016-11-02,1:17:11,0:31:24,0:00:00,0:28:16,0:14:26,0:00:43,2:37:35,842,363,28
Night Team,PGY1,S0195086,2016-11-09,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,4,0,1
Night Team,PGY1,S0195086,2016-11-08,1:12:37,0:09:43,0:00:00,0:11:09,0:10:20,0:00:32,1:53:30,653,0,24
General Medicine,PGY1,S0181073,2016-01-10,1:32:30,1:35:19,2:52:50,0:42:45,0:31:03,0:45:16,8:32:36,2787,0,12
General Medicine,PGY1,S0181073,2016-01-11,0:00:00,0:16:43,0:00:00,0:00:00,0:00:00,0:08:48,0:26:14,181,175,6
General Medicine,PGY1,S0181073,2016-01-12,1:34:18,1:06:53,1:25:22,0:58:21,0:26:35,0:34:50,6:45:12,2462,0,10
General Medicine,PGY1,S0181073,2016-01-13,0:52:21,0:56:23,1:41:13,0:42:45,0:16:15,0:25:43,5:35:03,1878,112,7
General Medicine,PGY1,S0181073,2016-01-14,0:27:33,0:34:35,1:20:39,0:10:03,0:07:39,0:20:11,3:25:32,962,23,5
General Medicine,PGY1,S0181073,2016-01-15,2:15:08,1:18:58,1:47:07,1:26:08,0:45:23,0:30:09,8:41:31,2828,36,13
General Medicine,PGY1,S0181073,2016-01-16,1:09:38,1:28:06,0:54:54,0:46:46,0:25:18,0:19:33,5:33:40,2056,17,10
General Medicine,PGY1,S0181073,2016-01-17,1:08:55,0:59:31,1:53:56,1:00:57,0:26:58,0:32:07,6:54:03,2426,77,8
General Medicine,PGY1,S0181073,2016-01-18,0:00:00,0:06:41,0:00:00,0:00:00,0:00:00,0:01:21,0:08:20,46,42,4
General Medicine,PGY1,S0181073,2016-01-19,0:42:24,0:36:00,0:11:55,0:03:55,0:11:30,0:05:14,2:14:06,883,65,8
Intensive Care Unit,PGY2+,S0181059,2016-08-08,3:33:16,2:25:50,0:00:08,0:55:54,0:38:35,0:17:11,8:27:15,4850,177,23
Intensive Care Unit,PGY2+,S0181059,2016-08-09,3:38:56,0:52:05,0:02:29,0:35:48,0:24:53,0:09:48,6:04:12,2467,0,28
General Medicine,PGY1,S0181082,2015-12-13,1:50:45,1:31:01,2:01:20,1:06:02,0:41:13,0:41:35,8:19:41,2647,0,11
Night Team,PGY1,S0181069,2016-01-31,1:25:09,1:09:51,2:31:10,0:53:20,0:19:41,0:17:19,7:12:21,2558,0,60
General Medicine,PGY1,S0181069,2016-01-30,0:37:19,0:30:02,0:09:41,0:34:02,0:18:50,0:31:03,2:57:33,1115,0,22
General Medicine,PGY1,S0195213,2016-11-09,0:03:48,0:00:18,0:00:00,0:00:00,0:00:00,0:00:34,0:04:48,33,0,6
General Medicine,PGY1,S0195213,2016-11-08,0:37:38,0:49:02,0:03:37,0:13:30,0:08:43,0:00:12,2:16:00,604,28,6
General Medicine,PGY1,S0195213,2016-11-05,1:37:30,1:02:00,0:00:06,0:56:08,0:15:07,0:05:01,4:19:04,1158,0,6
General Medicine,PGY1,S0195213,2016-11-04,2:37:36,1:41:50,0:00:10,0:56:03,0:21:58,0:03:25,6:14:57,1504,0,14
General Medicine,PGY1,S0181057,2015-06-30,0:08:39,0:00:32,0:00:08,0:04:06,0:01:22,0:03:05,0:20:10,119,113,6
General Medicine,PGY1,S0195213,2016-11-06,1:59:10,1:05:44,0:00:30,0:58:44,0:18:20,0:08:10,5:02:29,1283,0,12
General Medicine,PGY1,S0195213,2016-11-01,2:10:39,0:58:57,0:00:50,1:02:40,0:10:49,0:03:12,5:03:54,1405,0,10
General Medicine,PGY1,S0195213,2016-11-03,0:06:20,0:00:15,0:00:00,0:00:00,0:00:00,0:00:00,0:06:35,27,0,2
General Medicine,PGY1,S0195213,2016-11-02,0:31:00,0:10:39,0:00:04,0:00:00,0:00:00,0:03:11,0:56:18,322,270,14
General Medicine,PGY1,S0181082,2015-12-12,0:00:00,0:00:00,0:00:00,0:00:53,0:00:00,0:00:00,0:00:53,22,0,6
General Medicine,PGY1,S0181082,2015-12-11,1:43:47,0:56:43,1:53:49,0:43:16,0:26:27,0:40:01,6:52:54,2251,0,11
General Medicine,PGY1,S0181087,2016-02-18,1:22:25,1:32:04,1:46:02,0:48:34,0:28:26,0:40:28,7:09:08,3224,0,15
General Medicine,PGY1,S0181087,2016-02-19,0:43:57,0:59:18,1:05:27,0:26:56,0:07:33,0:28:07,4:30:31,1811,316,9
General Medicine,PGY1,S0181087,2016-02-12,0:00:00,0:02:39,0:00:00,0:00:00,0:00:00,0:00:00,0:02:52,30,20,4
General Medicine,PGY1,S0181087,2016-02-13,2:25:36,2:04:35,1:12:29,0:41:35,0:21:28,0:40:06,8:26:24,4137,0,20
General Medicine,PGY1,S0181087,2016-02-10,1:29:23,1:41:28,0:51:57,0:39:31,0:07:51,0:22:08,5:30:18,2167,45,11
General Medicine,PGY1,S0181087,2016-02-11,1:10:32,1:22:35,0:51:25,0:49:33,0:11:06,0:22:58,5:07:11,2250,139,10
General Medicine,PGY1,S0181087,2016-02-16,1:34:20,1:18:10,1:57:00,0:39:45,0:11:39,0:41:14,7:16:35,2944,50,11
General Medicine,PGY1,S0181087,2016-02-17,1:06:57,1:04:53,1:55:40,0:54:54,0:16:19,0:18:52,6:36:17,2759,60,10
General Medicine,PGY1,S0181087,2016-02-14,0:00:00,0:04:11,0:00:00,0:00:00,0:00:00,0:00:30,0:04:51,64,54,4
General Medicine,PGY1,S0181087,2016-02-15,0:53:35,1:14:45,1:37:07,0:38:33,0:06:03,0:25:06,5:22:04,1675,0,10
Night Team,PGY2+,S0094959,2016-05-28,0:13:31,0:00:26,0:00:00,0:00:01,0:00:00,0:00:15,0:17:05,70,61,10
Night Team,PGY2+,S0094959,2016-05-21,4:25:03,0:58:17,0:00:08,0:33:30,0:34:54,0:12:18,7:33:57,4062,246,123
Night Team,PGY2+,S0094959,2016-05-20,2:33:34,0:41:54,0:00:06,0:20:02,0:13:42,0:10:14,4:19:43,1887,214,93
Night Team,PGY2+,S0094959,2016-05-23,5:09:16,2:13:42,0:02:10,0:37:00,0:22:21,0:14:41,9:30:58,4432,273,90
Night Team,PGY2+,S0094959,2016-05-22,5:38:36,1:09:38,0:00:05,0:21:50,0:29:18,0:15:30,8:52:26,3673,169,79
Night Team,PGY2+,S0094959,2016-05-25,4:48:48,2:15:10,0:00:13,0:08:05,0:21:07,0:14:00,8:13:48,3962,107,79
Night Team,PGY2+,S0094959,2016-05-24,4:16:08,1:37:42,0:00:04,0:17:43,0:21:38,0:22:33,7:42:11,3641,576,94
Night Team,PGY2+,S0094959,2016-05-27,2:25:37,0:45:16,0:00:04,0:22:56,0:17:29,0:15:43,4:30:47,2381,9,69
Night Team,PGY2+,S0094959,2016-05-26,3:15:08,2:13:27,0:00:17,0:13:37,0:16:40,0:22:25,7:03:45,3402,512,78
General Medicine,PGY1,S0181075,2015-11-17,2:25:50,1:44:57,1:01:51,1:26:57,0:30:27,0:26:49,8:01:02,3048,0,11
General Medicine,PGY1,S0186952,2016-09-20,3:04:54,1:45:14,0:00:08,0:51:21,0:45:43,0:02:41,7:19:28,2430,197,19
General Medicine,PGY1,S0181082,2016-04-20,1:16:27,0:44:42,0:00:09,0:07:30,0:10:27,0:01:01,2:40:48,964,0,7
General Medicine,PGY1,S0186952,2016-09-21,0:17:03,0:14:51,0:00:01,0:03:48,0:00:48,0:00:03,0:48:36,430,408,22
General Medicine,PGY1,S0186952,2016-09-22,2:00:07,0:37:41,0:00:04,0:23:08,0:17:17,0:07:35,3:47:12,1053,54,19
General Medicine,PGY1,S0173803,2016-01-21,2:51:57,1:35:29,1:09:26,1:02:01,0:40:03,0:48:24,8:53:08,3924,113,29
General Medicine,PGY1,S0186952,2016-09-23,2:04:32,0:42:10,0:00:01,0:39:51,0:40:22,0:10:06,4:50:10,1326,73,15
General Medicine,PGY1,S0173803,2016-01-20,1:24:04,0:52:00,1:14:36,0:35:30,0:17:10,0:12:52,4:49:13,1628,10,13
General Medicine,PGY1,S0196597,2016-10-13,0:58:59,0:38:21,0:00:12,0:37:43,0:10:46,0:00:44,2:42:53,970,162,8
General Medicine,PGY1,S0173803,2016-01-23,2:08:13,1:02:16,1:32:39,1:17:37,0:50:54,0:27:13,7:55:02,2726,66,30
General Medicine,PGY1,S0181066,2015-06-30,1:41:55,0:32:38,2:22:15,0:28:49,0:24:34,0:28:47,6:38:14,1216,3,5
General Medicine,PGY1,S0181079,2016-03-19,0:00:00,0:00:00,0:00:00,0:01:24,0:00:00,0:00:00,0:01:24,22,0,4
General Medicine,PGY1,S0173803,2016-01-22,1:25:13,1:32:06,1:59:36,0:47:15,0:41:20,0:51:10,7:57:37,3131,163,18
General Medicine,PGY1,S0186952,2016-09-26,1:58:55,0:55:39,0:00:15,0:19:58,0:21:28,0:06:25,4:29:23,1707,279,12
Night Team,PGY2+,S0169403,2016-05-11,1:21:13,0:40:57,0:00:03,0:11:36,0:07:46,0:07:01,2:51:01,735,113,23
Night Team,PGY2+,S0169403,2016-05-10,1:39:29,1:00:09,0:00:18,0:22:13,0:03:40,0:01:59,3:29:01,987,134,31
Night Team,PGY2+,S0169403,2016-05-13,1:54:53,2:30:59,0:00:16,0:36:36,0:12:25,0:09:50,6:00:50,1692,50,21
Night Team,PGY2+,S0169403,2016-05-12,1:12:15,1:00:15,0:00:04,0:12:38,0:11:57,0:08:59,3:00:14,892,59,33
Night Team,PGY2+,S0169403,2016-05-14,1:17:16,0:51:41,0:00:05,0:11:54,0:02:34,0:00:41,2:46:23,930,161,22
General Medicine,PGY1,S0173803,2016-01-24,0:30:32,0:50:24,0:53:51,0:21:45,0:20:42,0:08:51,3:25:10,1244,0,12
Night Team,PGY1,S0169381,2015-01-20,2:30:29,0:06:40,0:55:33,0:38:59,0:43:04,0:39:48,5:49:10,1242,0,32
Night Team,PGY1,S0169381,2015-01-21,2:22:43,0:02:12,2:11:11,0:28:49,0:21:35,0:26:41,6:01:24,883,0,28
General Medicine,PGY1,S0181083,2015-07-11,2:52:55,0:15:46,1:18:13,0:21:50,0:13:34,0:26:51,5:48:31,1340,55,17
General Medicine,PGY1,S0181079,2016-03-16,1:26:51,1:07:15,0:00:09,0:30:41,0:13:47,0:00:54,3:44:59,1231,0,8
General Medicine,PGY2+,S0169383,2016-07-09,2:22:37,1:14:42,0:00:07,0:27:55,0:27:29,0:14:19,5:26:17,2008,12,15
General Medicine,PGY1,S0181079,2016-03-17,2:04:36,1:06:42,0:00:08,0:17:28,0:12:48,0:00:43,3:59:57,1162,0,10
General Medicine,PGY2+,S0109179,2016-07-17,2:26:25,1:33:07,0:00:05,0:13:20,0:07:41,0:04:07,5:08:20,2609,0,28
General Medicine,PGY1,S0172645,2015-09-29,0:58:48,1:13:19,1:41:12,0:55:55,0:31:40,0:26:29,6:01:04,1985,30,10
General Medicine,PGY2+,S0169383,2016-07-08,2:30:25,1:23:53,0:00:09,0:27:46,0:21:50,0:14:50,5:39:30,2166,107,22
General Medicine,PGY1,S0181079,2016-03-10,3:16:01,1:20:33,0:00:15,1:06:03,0:23:31,0:05:47,6:55:28,2236,165,17
General Medicine,PGY2+,S0109179,2016-07-19,0:44:32,0:11:19,0:00:00,0:03:14,0:03:51,0:00:36,1:06:00,402,0,9
General Medicine,PGY2+,S0109179,2016-07-18,1:58:45,0:26:55,0:00:36,0:25:49,0:02:18,0:01:42,3:32:57,1153,168,25
General Medicine,PGY1,S0181081,2016-06-01,0:15:15,0:19:24,0:00:01,0:03:06,0:04:03,0:00:06,0:45:10,357,7,19
General Medicine,PGY1,S0181079,2016-03-11,4:18:11,0:53:47,0:00:32,0:10:46,0:11:01,0:17:49,6:32:31,1631,43,42
Emergency Medicine,PGY2+,S0106952,2016-09-30,5:35:29,0:56:49,0:15:57,0:19:08,0:19:35,0:07:05,8:37:46,3339,281,81
General Medicine,PGY1,S0181088,2016-06-08,3:03:39,1:04:05,0:00:06,0:50:15,0:14:25,0:06:28,5:48:23,2399,135,13
Night Team,PGY1,S0169381,2014-08-08,2:44:29,0:02:48,0:02:05,0:46:23,0:46:28,0:39:10,5:25:14,1410,0,45
Night Team,PGY1,S0169381,2014-08-09,2:19:49,0:00:33,0:05:22,0:24:08,0:49:47,0:26:39,4:21:45,995,0,37
General Medicine,PGY1,S0181088,2016-06-09,1:30:15,0:52:20,0:00:11,0:34:58,0:12:18,0:01:24,3:37:06,1603,521,14
Night Team,PGY1,S0169381,2014-08-04,2:29:53,0:01:28,0:15:33,0:15:54,0:35:09,0:40:54,4:27:45,1061,0,33
Night Team,PGY1,S0169381,2014-08-05,3:02:32,0:00:38,0:15:58,0:29:50,0:49:38,0:21:59,5:24:51,1473,19,42
Night Team,PGY1,S0169381,2014-08-06,2:23:47,0:04:04,0:08:48,0:16:10,0:33:31,0:13:15,4:04:11,999,0,39
Night Team,PGY1,S0169381,2014-08-07,2:23:23,0:04:18,0:12:47,0:51:46,0:53:47,0:31:21,5:08:45,1234,0,30
Night Team,PGY1,S0169381,2014-08-03,2:31:40,0:09:10,0:08:30,0:48:15,0:56:18,0:23:06,5:13:52,1289,0,29
General Medicine,PGY2+,S0169383,2016-07-01,2:21:25,1:22:32,0:00:37,0:45:37,0:21:54,0:04:25,5:52:27,2240,37,18
Emergency Medicine,PGY2+,S0169394,2016-08-05,2:14:10,0:40:25,0:00:06,0:19:42,0:16:07,0:15:25,3:56:04,1602,336,27
Intensive Care Unit,PGY2+,S0181078,2016-08-30,0:07:27,0:02:31,0:00:00,0:00:00,0:00:01,0:00:00,0:14:36,116,116,11
Intensive Care Unit,PGY2+,S0181078,2016-08-31,3:12:13,0:48:00,0:00:27,1:00:35,0:23:07,0:13:17,6:02:48,1689,0,16
General Medicine,PGY1,S0169395,2015-06-11,3:39:46,0:45:36,2:35:23,0:44:52,0:33:05,0:19:04,9:33:34,2667,9,21
General Medicine,PGY1,S0169395,2015-06-10,0:52:52,0:10:26,0:23:18,0:05:48,0:03:48,0:02:40,1:55:52,558,60,11
General Medicine,PGY1,S0169395,2015-06-13,0:03:15,0:00:15,0:00:09,0:00:10,0:00:34,0:00:13,0:04:47,86,80,3
General Medicine,PGY1,S0169395,2015-06-12,2:02:39,0:06:25,1:55:06,0:35:37,0:14:12,0:06:54,5:27:13,1766,20,9
General Medicine,PGY1,S0169395,2015-06-15,2:36:49,0:04:22,2:48:37,0:27:32,0:16:03,0:07:12,6:37:08,1309,0,10
General Medicine,PGY1,S0169395,2015-06-14,1:54:03,0:03:12,1:40:29,0:23:53,0:17:51,0:11:57,4:57:35,1351,0,34
General Medicine,PGY1,S0169395,2015-06-17,1:56:47,0:11:03,0:57:43,0:28:29,0:15:13,0:15:49,4:28:52,1486,0,12
General Medicine,PGY1,S0169395,2015-06-16,2:05:23,0:12:39,2:12:16,0:34:41,0:17:28,0:09:47,6:00:44,1351,0,13
General Medicine,PGY1,S0169395,2015-06-19,2:08:19,0:13:37,1:18:47,0:31:57,0:20:40,0:19:38,5:12:16,1870,0,11
General Medicine,PGY1,S0169395,2015-06-18,1:46:08,0:00:29,1:57:32,0:28:01,0:16:07,0:08:10,4:52:43,1254,24,6
Night Team,PGY2+,S0163425,2015-10-28,1:25:18,1:46:50,2:25:25,0:51:38,0:26:00,1:06:30,8:45:55,3108,0,76
General Medicine,PGY2+,S0169383,2016-07-04,1:54:22,1:08:49,0:00:20,0:36:23,0:09:58,0:01:50,4:35:49,1677,77,15
General Medicine,PGY1,S0195076,2016-07-01,0:03:46,0:05:49,0:00:00,0:00:36,0:00:00,0:00:01,0:12:37,102,94,7
General Medicine,PGY1,S0195076,2016-07-03,1:39:06,1:08:49,0:00:09,0:26:52,0:18:09,0:00:16,4:22:54,1194,0,12
