,group_lab_name
Human Herpes Virus 6 Quantitative PCR,632
"ALT, Ser/Plas",629
Beta 2 Glycoprotein 1,628
Parathyroid Hormone,627
"AST, Ser/Plas",625
Transfusion Svc Prod 3,625
"Cell Count and Diff, CSF",622
Beta Hydroxybutyrate,612
Bilirubin Total & Fractions,609
Direct Antiglobulin (Broad Spectrum),575
"Osmolality, Urine",558
"Amikacin Level, Post Dose",555
ABO/RH,552
Cystatin C with Estimated GFR,550
Troponin I,536
"Differential, BAL",535
"Osmolality, Serum",533
CMV IgM,527
Calprotectin,524
"Alpha Feto Protein, Serum",515
"Pathologist Review, Peripheral Smear",512
Transfusion Reaction Workup,509
Ova and Parasites,508
Anti DsDNA Antibody,505
"Selenium, Ser/Plas",504
AFB Culture Respiratory CF,496
"M Tuberculosis, PCR",494
"Complement C3, Serum",482
Transfusion Svc Prod 4,482
"Reducing Subst, Stool",479
"Testosterone, Total/Free Pedi",476
Lavender Top,476
"CMV DNA PCR Qual, Non Plasma",476
"Throat Strep Screen, PCR",473
"Complement C4, Serum",469
Paraneoplastic Autoantibody Eval Serum,467
RPR,466
VZV DNA PCR Qual,458
Hepatitis A AB IgM,455
S Pneumoniae Ab IgG (Prevnar 13),454
"Blood Gases, Capillary",452
"Cortisol, Serum",450
Diagnostic Hepatitis B Panel,445
"IgA, Serum",443
Specimen Remark,438
"Copper, Serum",436
"Iron, Total",436
KOH Prep,430
"Vitamin B12, Ser/Plas",430
Gram Stain,427
"Albumin, Urine Random, w/Creat",406
"IgE, Total",401
HIV 1 RNA PCR Quant,401
Orthopedic Aerobic Cult w/GS,397
"Vitamin A, Ser/Plas",397
Hemoglobin Quant / Fract,389
"Helicob Ag, Stool",374
"Creatinine, FLD",369
Prolactin Level,360
Bacterial ID by Sequencing,356
"Electrolyte and Osmolality PNL, Feces",350
HLA Workup at Time of Transplant,350
Specific Gravity,345
HLA Summaries,341
cycloSPORINE Level,341
Orthopedic Anaerobic Culture,339
Voriconazole Level,335
Factor V Leiden,335
"IgM, Serum",334
CMV IgG (Transfusion),334
Urinalysis Screen/Culture,332
"Vitamin E, Ser/Plas",332
Unlisted Chemistry Lab Order,316
"Vancomycin Level, Unspecified",313
Herpes Simplex Virus Ab Panel,312
Phosphatidylserine/prothrombin Antibodies,311
"Istat EC3, Venous",310
Platelet Count,307
EBV DNA PCR Qual,305
Meningitis/Encephalitis PCR Panel,299
"Amikacin Level, Random",292
Bartonella Species AB,292
VZV IgG IgM Panel,285
Toxoplasma IgM and IgG,282
"Blood Gases, Circuit",280
Prothrombin 20210A,273
Lab Only Fluid Container,272
Antibody Identification,270
HLA Antibody Screening (One Time),269
"ACT, Istat Kaolin Arterial",268
HLA Desensitiz/AB Monitoring-Post IVIG,268
Blood Culture --Peripheral,259
HLA ALLO B CDC CROSSMATCH,258
Transfusion Svc Prod 5,256
"Cocci ID, Serum",255
"Enterovirus RNA, Qual",255
Unlisted Lab:,254
HLA Desensitiz/DSA Monitoring-Post IVIG,253
Anti Phospholipid Ab Panel,253
HLA Desensitiz/DSA Monitoring-No IVIG,251
"Pregnancy Test, Serum",251
"Cell Count and Diff, CSF --Tube not numbered",251
Hepatitis C RNA PCR Quant,250
DAT C3 and Gamma,249
HLA Desensitiz/AB Monitoring-Pre IVIG,247
Bordetella Pertussis PCR,246
HLA Transplant Event Communication,245
Anti Streptolysin O,244
Syphilis Treponemal Screen,243
"Amikacin Level, Pre Dose",243
Review by Pathologist,241
Estradiol Level,241
"Flow Cytometry for Leukemia/Lymphoma, BLD",240
Von Willebrand Antigen,239
HLA SCT Evaluation Recipient,237
Gold Top,236
Food Allergy Screen,234
IgA Anti TTG,234
HLA ALLO T CDC CROSSMATCH,232
Epstein Barr Nuclear Ag Ab,232
Creatine Kinase and CKMB,229
"Histoplasma Antibody, Serum",228
Red Cell Enzymes,226
Bronchopulm Asperg Screen,225
"VMA and HVA, Pediatric, Random Urine",222
HLA Typing Add On Locus -Recip(Lab Req),221
Phenytoin Level,220
Measles IgG,218
"Potassium Urine Random, w/Creat",217
TIBC,216
PPD Reading,214
Paraneoplastic Autoantibody Eval CSF,214
"Sodium, Urine Random w/o Creat",213
Transfusion Svc Prod 6,212
Methylmalonic Acid Level,211
Factor VIII Assay,209
"Istat EC4, Arterial",206
"Cryptococcal Antigen Lateral Flow, Blood",205
"Creatinine Clearance, Urine",204
"Urea Nitrogen, FLD",204
Reference Report,201
Pyruvic Acid,199
"Adenovirus DNA, QL PCR",198
"POC Clinitek, Urinalysis",198
"Creatinine, Urine Timed",197
Epstein Barr Viral Capsid AB IgM,197
Phenobarbital Level,195
IgG Subclasses,193
Kidney Stone Analysis,192
Antithrombin III Level,192
"Alpha 1 Antitrypsin, Stool",191
Folic Acid Level,191
ANCA,188
"Urea,Urine Random,w/Creat",187
Fungus Culture/ KOH,185
"Cell Count and Diff, CSF --Tube #2",185
Long Chain Fatty Acids,185
Lead Level,184
HLA Desensitiz/DSA Monitoring-Pre IVIG,183
Platelet Mapping,182
"Blood Culture, Aero 2",181
Save CSF in Lab,180
HLA SCT Confirmatory Recipient,180
Pro predict TPMT,177
Fungal ID by Sequencing,176
"Flow Cytometry for Leuk/Lymphoma, Misc",175
"Histoplasma AG, Serum",173
Anti TPO Antibody,171
"Histoplasma AG, Urine",171
"Fungal Culture, Blood",170
"Glucose, FLD",169
"Parvovirus B19 Ab, IgG and IgM",168
POCT Gastric pH Test,167
"Mycoplasma Antibodies, IgG and IgM",166
"Gentamicin Level, Post Dose",166
Pneumocystis Stain,164
Malaria Prep and Antigen Screen,161
"Creatinine, Urine Random",160
Unlisted Genetic Test:,159
"Elastase, Stool",157
Respiratory Culture,157
"Gentamicin Level, Pre Dose",155
HLA Typing Solid Organ Eval Recipient,155
"Lyme Western Blot, Serum",150
IVIG In Vitro Inhibition,146
ANA IFA Screen with Reflex to Titer and Pattern,145
"TRIGLYCERIDES, FLUID",143
"WBC for IBD, Stool",143
Slide Held for Review,143
Alkaline Phosphatase Total Ser/Plas,142
Pro predict Enzact,141
Isohemaglutinin Titer,139
Blue Top,138
"Hepatitis B DNA, PCR Quant",137
"PTH, Intact and Calcium",137
"Rotavirus Antigen, Stool",137
Hepatitis B Core AB IgM,136
RBC Phenotyping,136
"CD34 Panel, BLD",135
Unlisted Lab: MRD for Day 8: RN to Draw 5 ml peripheral blood (EDTA) purple Top Tube. DRAW BLOOD PRIOR TO ADMINISTRATION OF ANY CHEMO OR IT MEDS,135
Transfusion Svc Prod 7,133
IgG Subclass 4,131
"Vitamin D, 1,25-Dihydroxy",131
HLA Deceased Donor Crossmatch/Testing,130
"Vitamin A and Vitamin E, Ser/Plas",130
"GAD-65, IA2, Insulin Auto-Ab",129
AB Screen,129
"Urea Nitrogen, Urine Timed",129
HLA Auto Flow Crossmatch,128
Comp Hepatitis Panel,128
Legionella Culture,126
Chlamydia Ab Panel,126
Anti Sm Antibody,124
"Protein Total, FLD",123
"Homocysteine Total, Plasma",121
Neutrophil Function Oxidative Burst,121
Anti Thyroglobulin Ab,120
"Glucose Nonfasting, Ser/Plas",119
"Parvovirus B19 Real Time PCR, Qual",118
levETIRAcetam Level,118
"BK Virus PCR Quant, Plasma",117
"Enterovirus PCR, CSF",117
Tetanus Titer,114
Transfusion Svc Prod 8,113
POCT Urine Pregnancy,112
"LDH Total, FLD",110
VRE Screen,110
"Protein, Urine Timed",110
Fungitell B-D-Glucan Assay,109
Electrolyte Panel,109
"Cholesterol Total, Ser/Plas",109
"Encephalopathy, Autoimmune Eval, CSF",109
Citrate Excretion Urine Random,108
HHV 6 DNA PCR Qual,107
Anti-DNase B Titer,107
"Ceruloplasmin, Serum",107
CSF Culture/GS --Tube #2,106
"HSV DNA PCR Qual, Non Lesion",105
"Istat EG7, Circuit",104
Human Insulin Antibody,103
Smooth Muscle AB,102
pH Gastric,102
Myeloperoxidase Ab,101
"Heavy Metals Screen, BLD",101
Acetaminophen Level,100
Epstein Barr Viral Capsid Ag IgG Ab,100
Gastroenteritis Workup,98
"Urea Nitrogen, Urine Random",98
Cancer Antigen 19-9,97
Serum Protein Immunofix  Elect,97
Beta Strep Throat Screen,97
CSF Culture/GS,96
HLA Meds/Sensitizing Event Communication,96
"Oligoclonal Banding, CSF",96
Unlisted Lab: Liver Cytosol Auto-Ab-1,95
"Differential, Synovial Fluid",95
ICA 512 Antibody,95
Immune Complex Panel,94
"Tobramycin Level, Pre Dose",94
"ACT, ISTAT",94
"Oxalate Pediatric, Random Urine",92
Helminthic Ova and Larvae,91
lamoTRIgine Level,90
"AFB Culture, Respiratory",90
Sweat Chloride,90
Infectious Mono Screen,90
Soluble IL 2R,90
Brucella Antibodies,89
Cryptosporidium EIA,89
HSV / VZV PCR Qual,89
"1 25 Dihydroxyvitamin D, Serum (Adult)",89
West Nile Virus AB,89
HLA Specimen in Lab Orders - Recipient,89
Alpha 1 Antitrypsin Phenotype,88
"Encephalopathy, Autoimmune Evaluation",88
Carbohydrate Def Transferrin,88
"Porphyrins, Urine Fract",88
"Occult Blood, Gastric",87
"Rheumatoid Factor, Serum",87
"TRK Flow Cytometry for B-ALL MRD, Bld",87
"G6PD, Quantitative",86
"Potassium, Urine Random w/o Creat",85
M Pneumoniae DNA,84
"Porphobilinogen Quant, Urine",84
Proteinase 3 Antibody,84
Protein S Activity,83
"Bartonella DNA, Qual PCR",83
Strongyloides IgG AB,83
Liv Kid Microsome Ab,83
CEA,82
Cancer Antigen 125,82
"Cell Count, Syn FLD",82
"Parvovirus B19 DNA, Quant",82
Levetiracetam Level,80
HTLV I/II Antibody w/ Reflex,80
Antibody Titer,80
"Cryptococcal Antigen Lateral Flow, CSF",80
"Metanephrines Fract, Urine Random",80
Mitogens and Tetanus Lymphocyte Proliferation,80
HLA STR/Chimerism WB,80
"T Subsets and B Lymphs, FLD",79
Isospora Cyclospora,79
AFB Smear,78
"Donor,HTLV AB I & II",78
"Complement, Total",78
PHENobarbital Level,78
Protein C Activity,77
"Folate, RBC",77
Creatinine Clearance,77
Microsporidium Screen,77
"Aldolase, Serum",77
"Chlamydia, NAAT",76
"Viral Culture, Stool/Rectal",75
"Neisseria gonorrhoeae, NAAT",75
Toxoplasma IgG Ab,75
IMM Neutrophil Cyto Ab Reflex Pan,74
"Metanephrines, Urine Timed",74
"Hepatitis E Antibody, IgM",74
"CD34 Panel, FLD",74
"Phosphate, Urine Random w/Creat",73
Diphtheria Titer,73
"Amylase, Fluid",73
Adrenocortictropic Hormone Level,72
TSH Reflex FT4,72
Wound Deep Surg Asp GS,72
Rapid HIV 1/2 Antibody,72
Transfusion Svc Prod 9,72
"Fecal Fat, Quant",71
Free T3,70
"Cell Count and Diff, CSF --Tube #1",69
ClonoSight MRD,69
Enterovirus Panel II,68
Adamts 13 Profile,68
Giardia Screen,68
Epstein Barr Virus Early Ag (RD) IgG,68
L-Asparaginase Activity,67
"Aldosterone, Serum",67
Clozapine Level,66
"AFB Culture, Non - Respiratory",65
Lyme Disease Ab IgG IgM w/relex,65
Unlisted Lab: Invitae Arrhythmia and Cardiomyopathy Comprehensive Panel,64
"BCR-ABL, Non-Blood",64
"Chloride, Urine Random w/Creat",64
CSF Protein Immunofix Elect,63
Electrophoresis and Total Protein,63
"TRK Flow Cytometry for B-ALL MRD, BM",63
"Purine and Pyrimidine Panel, Urine",62
Posaconazole Level,62
Circuit Ionized Calcium,61
"AFB Culture, BLD",61
Platelet Function Screen,61
Cocci ID with Reflex to CF (Initial Diagnosis),60
Biotinidase Level,60
"Vancomycin Level, Post Dose",60
Procainamide Level and Napa,60
Insulin Unspecified,60
"Metanephrines, Fract Free, Plas",60
Catecholamine Fractionation Free,60
"Toxoplasma DNA PCR, Qualitative",60
"Lactic Acid, CSF",59
PTT Inhibitor Screen,59
"Culture, Virus",58
Mono Screen w/Reflex EBV Antibody,58
Free Light Chains Ratio,57
Transfusion Svc Prod 10,57
"Tryptase Level, Serum",57
Haemophilus Influ IgG,57
Coxiella Burnetii AB,57
"Fecal Lipids, Total",57
"Glucose Fasting, Ser/Plas",57
"Unlisted Lab: Send out to Mayo Labs, 1 mL royal blue-top vacutainer tube, test code PTSE",56
"BCR-ABL, BLD",56
"Glutathione, Whole Blood",56
Welcome to Packard Children's Hospital,56
"Lactate, WB",55
HLA Desensitiz/AB Monitoring-No IVIG,55
HTLV AB I & II,55
pH Stool,54
"Renin Activity, Plasma (Adult)",54
"BK Virus PCR Quant, Urine",54
"Istat CG4, Other",54
GAD AB,53
Salicylate Level,53
"C Reactive Protein, High Sensitive",52
Factor VII Assay,52
Donor Hepatitis B Surf Antigen,52
Platelet Aggregation,52
Pediatric Food Allergy Screen,52
Alpha Thalassemia PCR,52
"Liver, Kid Microsome 1 Ab, IgG",51
"West Nile Virus AB Panel,CSF",51
IGF Binding Protein-3,51
"Calcium Urine, Random w/o Creat",51
ANCA IBD w/Reflex,51
Newborn Screen,50
"Diphtheria/Tetanus AB, IGG",50
Anti Ro Antibody,50
HLA Deceased Donor O.R. Specimen,49
"Uric Acid Urine Random, w/Creat",49
HLA Typing Summary,49
Donor Hepatitis B Core Antibody,49
"CD3, BLD",49
Reverse to Coombs A Cells,49
Lymph Mitogen and Antigen Scrn,49
CMV Rule Out,49
Volatile Screen,48
Angiotensin Convert Enz Level,48
EBV NPC PCR Panel,48
"Magnesium, Urine Random w/o Creat",48
Factor V Assay,47
"Triglycerides, Pleural",47
Insulin-Like Growth Factor 1,47
Donor West Nile Virus NAT,47
17a-OH Progesterone,47
"Protein Total, Ser/Plas",47
Unlisted Genetic Test: NUDT15/CEP72/TPMT Genotype Panel,47
"Differential, Apheresis FLD",47
Protein Electrophoresis,46
HLA Request for Summary Info. Recipient,46
Anti La Antibody,46
Thiamin (Vitamin B1) Level,46
Bone Marrow Culture/GS,46
"Magnesium, Urine Random w/Creat",45
Fungus Cult/KOH,45
Adenovirus AG,45
Leflunomide Metabolite Level,45
von Willebrand Factor Activity,44
Donor Chagas Scn w/reflex,44
Toxoplasma IgM Ab,44
Send Out Flow Immunophenotype,43
"Albumin, FLD",43
"Protein C AG, Total",43
Mitogen Induced Lymph Prolifer.,43
"Cell Count, Apheresis FLD",42
Lithium Level,42
"Coxsackie B AB, Serum",42
Factor IX Assay,42
Fragile X,42
Adenosine Deaminase,42
"Cell Count and Diff, CSF --Tube #4",42
Unlisted Cytogenetics Lab Order,42
Isospora Microscopic Exam,41
"Sodium, FLD",41
"Adenovirus PCR, Stool",41
"Lactoferrin, Fecal",41
"Electrolyte and Osmolatity PNL,Feces",40
Diag Hepatitis B Panel,40
Flecainide Level,40
Unlisted Lab: Day 29 MRD: 2 mL of BM in EDTA  (Purple Top),40
Transfusion Svc Prod 11,39
"Copper, Urine",39
Donor HIV AB,39
Lacosamide Level,39
Unlisted Lab: Aspergillus PCR,39
PTH Related Protein,38
OXcarbazepine Metabolite Level,38
"Protein S AG, Total",38
"Vitamin B6, Total Plas",38
"Phosphorus, Urine Random w/o Creat",38
Mumps Antibody IgG,38
"Bile Acids, Total",37
"Allergy Screen, Nuts",37
Reptilase Time,37
Dehydroepiandrosterone Sulfate,37
"Cystine Quant, Urine",37
"Flow Cytometry T Cell Development, Blood",36
"Sodium, Urine Timed",36
T Cell Clonality PCR,36
"Coxsackie A AB, Serum",36
Istat Creatinine,36
"Borrelia Burgdorferi Panel, CSF",36
Donor Hepatitis C Ab,36
OR LPCH Stat Gram Stain,36
Donor Syphilis Screen,36
Unlisted Lab: Mayo labs PTSE,35
HCG Tumor Marker,35
"Calcium, Urine Timed",35
"Acylglycines Quant, Urine",34
Anaerobic Short Battery,34
"Fungus Culture Skin, Nail",34
Norovirus Antigen,33
SCT Donor Match Grade Detail,33
Anti GAD 65 Antibody,33
"Cell Count and Diff, Syn FLD",33
Lab Unlisted,32
"Unlisted Lab: Send out to Viracor, Test Code 4900, Isavuconazole level (LC-MS/MS)",32
NMO/AQP4-IgG CBA,32
"AML Prognosis Assay, Non-Blood",32
Unlisted Genetic Test: Heritable pancreatic disease testing at Cincinnati Children's - Pancreas Panel,32
Unlisted Lab: Detection of Botulinum Neurotoxin and Culture for Neurotoxigenic Clostridium Species,32
Unlisted Lab: Pleximmune,32
Enterovirus PCR,32
"Vitamin K1, Ser",32
"Creatine, Ser/Plas",31
C Peptide,31
"Everolimus, Blood",31
"Chloride, Urine Random w/o Creat",31
SCT Donor Match Grade Summary,31
"Erythropoietin, Serum",31
Growth Hormone,30
"Viral Culture, Respiratory",30
Misc Viral Sendout,29
Unlisted Molecular Diagnosis Lab Order,29
Helicobacter Pylori Ab,29
Unlisted Immunology Lab Order,29
"Eosinophils, Urine",29
Thiopurine Metabolites,29
Donor CMV Antibody Living,29
HLA Platelet Compatibility,28
Malaria Prep,28
"Beta 2 Microglobulin, Urine",28
"VZV DNA PCR Qual, Non Lesion",28
IgF Binding Protein-3,28
"iSTAT CG8, Other",28
Blood Culture Catheter,27
"Soluble Liver Ag Ab, IgG",27
ClonoSight ID,27
"Vitamin B1, Ser/Plas",27
Toxoplasma PCR,27
"HTLV I/II, Confirmation Assay",27
G-Tube Teaching (Kids Health),27
"JC Virus DNA, PCR",27
Lipid with Calculated LDL,27
"Lysozyme, Plasma",27
Genital Culture,27
Green Top,27
Topiramate Level,27
Blood Culture Peripheral,26
"Vitamin C, Plasma",26
Alpha 1 Antitrypsin,26
Rubella IgG Antibody,26
Fructosamine Level,26
"Istat EG7, Mixed Venous",26
"Allergy Screen, Molds",26
HLA STR/CHIMERISM (Bone Marrow),25
Dengue Fever AB,25
Thyroglobulin Level,25
"Gentamicin Level, Random",25
Strongyloides Culture,25
Miscellaneous Processing,24
Insulin Like Growth Factor 1,24
"Testosterone, Total/Free Adult",24
"Traditional Glucose Tolerance, 2 Hour",24
Cystic Fibrosis Mutations Study,24
HTLV 1/II DNA Qual,24
"Fungal Culture,Blood",24
"HSV 1/2 PCR, Non CSF",24
HLA IVIG In Vitro Inhibition Assay,24
G6PD Screen,24
Unlisted Lab: ZNT8 autoantibody,24
Unlisted Lab: Coccidioides antigen to Mayo,24
"Oxalate, Timed Urine",24
"Renin Activity, Plasma",23
"Polio AB, Neutralization",23
Sepsis Protocol Lactate,22
Leukemia/Lymphoma Immuphentype,22
Von Willebrand Factor Activity,22
"Cocci ID, CSF",22
Anti Dnase B Titer,22
"Ribosome P Ab, IgG, Serum",22
"Mitochondrial Ab M2, Serum",22
Itraconazole Level,22
"Histone Ab, IgG",22
"Viral Culture, Tissue",21
Zonisamide Level,21
Mycoplasma Culture Resp,21
Atrial Electrocardiogram,21
Anti Centromere Antibody,21
"ANA by IFA, IgG",21
Mitogen-Induced Lymphocyte Proliferation,21
Methemoglobin Level,21
Flow Cytometry Paroxysmal Nocturnal Hemoglobinuria,21
CFTR Diagnostic Sequencing,21
Cardiac Risk Relative,21
Unlisted Lab: National Jewish Center C4a,21
"Heme-STAMP NGS Panel, Non-Blood",21
Inhibin B,20
Echovirus Ab,20
Cyclic Citrullin Peptide AB,20
"Flow Cytometry for Leukemia/Lymphoma, BM",20
"Hgb F, Quant",20
Unlisted Lab: Beta 2 Glucan,20
Transferrin,20
"Hemoglobin, Plasma",20
"Antithrombin Antigen, Plasma",20
"Citrate Excretion, Timed Urine",20
"Crystal Analysis, Syn FLD",19
"Glucose, Urine Random w/o Creat",19
"Hemoglobin, Free",19
Thiamine (Vitamin B1) Level,19
CSF Culture/GS --Tube not numbered,19
NK Function,19
"BCR ABL Quant, BLD",19
Specimen Processing,19
Fibrin Degradation Products,19
Von Willebrand Multimers,19
Interleukin 6 Level,19
Digoxin Level,19
Aspergillus Ab Precipitins,18
"Myoblobin, Urine",18
Urine Protein Immunofix Elect,18
inFLIXimab Qn with Reflex to Ab,18
Reverse to Coombs B Cells,18
EKG 12 Lead High V1/V2,18
Donor HIV-1/HBV/HCV NAT,18
Chlamydia GC Molec Detec,18
HEPATITIS ACUTE PANEL,18
"West Nile Virus RNA, RT PCR",18
"Orotic Acid, Urine",18
"CD3, FLD",18
EMA for Spherocytosis,18
"Inhibin A, Dimer",17
"Allergy Screen, Seafood",17
"Allergy Screen, Fish",17
Factor X Assay,17
"Uric Acid, Urine Random w/o Creat",17
"Aluminum, Serum",17
"Toxo Ab Transplant Pnl, Serum",17
"Traditional Glucose Tolerance, 30 Minutes",17
Hepatitis C (HCV) PCR w/Ref Genotyping,17
Lamotrigine Level,17
"Neurotransmitters, CSF",17
"Uric Acid, Urine Timed",17
Factor XI Assay,17
"TREC, Immune Reconstitution",17
"Cholesterol, Fluid",17
JC Virus Antibody Index w Reflex,16
"Traditional Glucose Tolerance, 1 Hour",16
Unlisted Lab: anti-liver cytosol antibody,16
Unlisted Genetic Test: Invitae epilepsy panel,16
"Confirmed Drug Abuse Survey, Urine",16
"Protein, Urine Random w/o Creat",16
"Unlisted Lab: Test Name: Troponin T, Serum. Test ID: TPNT.",16
Unlisted Lab: Send out molecular test to Hematologics for CBFA2T3-GLIS2 quant PCR - 2ml EDTA (requisition to be provided),16
Unlisted Genetic Test: Unlisted Genetic Test: clonoSEQ; MRD for ALL,16
pH by Meter,16
"Traditional Glucose Tolerance, Fasting",16
Unlisted Lab: Send out lab to Mayo Medical Laboratories,16
Alkaline Phosphatase Isoenzymes,16
Unlisted Lab: ZnT8 antibody,16
Unlisted Lab: send out to Baylor - CSF metabolomics/ global MAPS,16
"Factor VIII Inhibitor, Human",16
