Name,Description
"RXCUI426,1091,1908,21032,21579,4850,4919,5340,6033,6308,6536,6585,29261,6837,89905,8156,54987,8591,8737,253182,9671,56443,9863,236719,235496,10524,10898,10962,11115,8308,39937","Alanine-Arginine-Calcium Gluconate-Chromous Chloride-Copper Sulfate-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Manganese Chloride-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Acetate-Potassium Chloride-Proline-Regular Insulin, Human-Serine-Sodium Acetate-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1-Zinc Chloride"
LABBMT2,BMT PANEL 2
MED96560,Glucose-Piperacillin-Tazobactam
DIET123,DIET TUBE FEEDING ONLY
MED205894,BICARB DIALYS SOLN NO.8 W-O CA K
LABNORW,"NOROVIRUS ANTIGEN, STOOL EIA"
CON421,CONSULT TO PHYSICAL MED REHAB
IMGDXEL2LT,XR ELBOW 2V LT
LABSPIE,"PROTEIN IMMUNOFIX ELECTROPHORESIS, SERUM"
LABLEID,FACTOR V LEIDEN
PATH4,BODY CAVITIES SOURCE
RXCUI7454,Nitrofurantoin
RXCUI15996,Mirtazapine
NUR6146,PICC EXCHANGE
LABUNA,"SODIUM WITH CREATININE, URINE"
LABOAPE,OVA AND PARASITES
RXCUI24909,"Ferric Oxide, Saccharated"
RT72,RESP - CHEST PHYSIOTHERAPY
IMGCTAPW,CT ABDOMEN PELVIS W CONTRAST
RXCUI1256,Azathioprine
LABPTT,PTT PARTIAL THROMBOPLASTIN TIME
MED82472,"Nph Insulin, Human-Regular Insulin, Human"
RXCUI2582,Clindamycin
LABLEGU,"LEGIONELLA AG, URINE"
RXCUI60212,Atovaquone
RXCUI87636,Fexofenadine
RT106,RESP - NITRIC OXIDE VENT
RXCUI77655,Zoledronic Acid
IMG11CCP,CAR CATH CORS POSSIBLE
SUP197301,"DME ORDER, AMBULATORY"
LABFLUAPC,FLU A PCR
IMGFLGIS,XR UPPER GI SMALL BOWEL SERIES
LABUUN,"UREA WITH CREATININE, URINE"
RXCUI4177,Etomidate
IMGDXWR2RT,XR WRIST 2V RT
LABANAS,ANTI - NUCLEAR AB
RXCUI21212,Clarithromycin
LABORAERO,ORTHOPEDIC AEROBIC CULT W/GS
"RXCUI4511,4850,89905,10454,8308",Folic Acid-Glucose-Multivitamin Preparation-Thiamine-Vitamin K 1
IMGMRHSDX,MR DIAGNOSIS STROKE PROTOCOL
RXCUI8638,Prednisolone
IMGDXFORRT,XR FOREARM 2V RT
"RXCUI4511,89905,9863,10454,8308",Folic Acid-Multivitamin Preparation-Sodium Chloride-Thiamine-Vitamin K 1
LABFPARVD,PARVOVIRUS B19 PCR QUALITATIVE REALTIME
LABRPRQT,RPR QUANTITATIVE
RXCUI68139,Rocuronium
MED123723,Simvastatin-Ezetimibe
DIET131,DIET NPO AFTER MIDNIGHT
LABTRIG,"TRIGLYCERIDES, SERUM / PLASMA"
LABMTXL,METHOTREXATE
MED19483,Calcium Carbonate-Cholecalciferol
RXCUI1223,Atropine
RXCUI9143,Ranitidine
RXCUI2447,Cholestyramine Resin
LABBLCSTK,"BLOOD CULT - FIRST SET, VIA PHLEBOTOMY"
MED203654,"Mineral Oil-Petrolatum, White"
PRE12,NEUTROPENIC PRECAUTIONS
IMGCTHSC,CT HEAD C SPINE
LABPSA,PSA
LABGNTPRL,GENTAMICIN TROUGH LEVEL
IMGDXAN2LT,XR ANKLE 2V LT
MED10434,Lidocaine-Prilocaine
IMGCTTAPW,CT CHEST ABDOMEN PELVIS W CONTRAST
IMGCTFAC,CT FACIAL BONES OR SINUS
ECH17,ECHO - 2D ECHOCARDIOGRAM
MED16427,Potassium Chloride-Sodium Chloride
LABWDC,WOUND CULTURE
LABAPHSAB,ANTI PHOSPHOLIPID AB PANEL
LABHSVZL,"HSV/VZV PCR QUAL, LESION"
RXCUI7242,Naloxone
NUR6145,PICC EVALUATION
RXCUI121243,Voriconazole
RXCUI30125,Modafinil
LABPROTC,PROTEIN C ACTIVITY
CON367,NSG REFERRAL TO WOUND/OSTOMY
COD3,PARTIAL CODE
LABCSFC,CSF CULTURE AND GRAM STAIN
MED33227,Amoxicillin-Clavulanate
10330R,HLA - SCREENING IGG
LABCMVQT,"CMV DNA PCR QUANT, PLASMA"
MED854,Bacitracin-Neomycin-Polymyxin B
"RXCUI426,1091,1908,21032,21579,4850,4919,5340,6033,6308,6536,6585,29261,6837,89905,8156,8591,8737,9671,9863,236719,235496,10524,10898,10962,11115,8308,39937","Alanine-Arginine-Calcium Gluconate-Chromous Chloride-Copper Sulfate-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Manganese Chloride-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Chloride-Proline-Serine-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1-Zinc Chloride"
RXCUI3640,Doxycycline
RXCUI4018,Ergocalciferol
PATH12,FLOW CYTOMETRY FOR HEMATOLYMPHOID NEOPLASIA
IMGCTO,CT ORBIT SELLA POST FOSSA TEMP BONE
RXCUI15202,Argatroban
LABLAC,LACTIC ACID
RXCUI341018,Anidulafungin
LABDVERV,RESPIRATORY DFA PANEL
LABDVERVR,RESP DFA PANEL-REFLEX PCR
RXCUI115698,Ziprasidone
IMGMRSCWWO,MR C-SPINE WITH AND WITHOUT CONTRAST
SLP5,SLP VIDEO SWALLOW EVALUATE AND TREAT
RXCUI9863,Sodium Chloride
IMGUSAPPY,US APPENDIX
LABPCCG4V,"ISTAT CG4,VENOUS"
RXCUI82122,Levofloxacin
IMGCT3H,CT ANGIO HEAD
LABCA199,CANCER AG 19-9
DIET107,DIET LOW SODIUM LOW CHOLESTEROL LOW SAT FAT
RXCUI1424,Benztropine
PT9,REHAB ENGINEERING
LABLDH,"LDH TOTAL, SERUM / PLASMA"
CON402,CONSULT TO WOUND/OSTOMY
CON308,CONSULT TO PULMONARY
RXCUI1886,Caffeine
MED22560,Sulfamethoxazole-Trimethoprim
IMGDXCH1DRT,"XR CHEST 1 VIEW DECUB, RIGHT"
LABDGHBP,DIAG. HEPATITIS B PANEL
LABGNTPOL,GENTAMICIN PEAK LEVEL
LAB11060R,THIAMINE
LABPCTNI,ISTAT TROPONIN I
LABFADA,"ADENOSINE DEAMINASE, FLUID"
LABPCEG7V,"ISTAT EG7, VENOUS"
RXCUI5032,Guaifenesin
IMGUSTV,US TRANSVAGINAL
RXCUI9000,Pyridostigmine
RXCUI6915,Metoclopramide
LABCA,"CALCIUM, SERUM/PLASMA"
CON410,CONSULT TO NEPHROLOGY TRANSPL
IMGCTSL,CT SPINE LUMBAR
RXCUI214342,Calcium Acetate
LABYPREAL,PREALBUMIN
OT2,OT ONGOING TREATMENT
LABBBPRBC,RED BLOOD CELLS
IMGDXSHUNT1,XR SHUNT SERIES W SKULL 2V CXR 1V ABDO 1V
COD5,DNR/DNE
RT76,RESP - SPUTUM INDUCTION
LABYHISTU,"HISTOPLASMA AG, URINE"
RXCUI24947,Ferrous Sulfate
LABCLGC2,"CHLAMYDIA GC, MOLECULAR DETECTION"
EKG29,CARDIAC PATCH RHYTHM MONITOR
NEUR18,INTRA OP NEUROPHYS MONITOR PER HOUR
RXCUI6972,Mineral Oil
RT79,"RESP - BRONCHOSCOPY, FLEXIBLE FIBEROPTIC"
RXCUI236594,Amphotericin B Liposomal
RXCUI798279,"Haemophilus Influenzae B, Capsular Polysaccharide Inactivated Tetanus Toxoid Conjugate Vaccine"
IMGDXHIP2RT,XR HIP 2V RT
REF96,REFERRAL TO INTERVENTIONAL RADIOLOGY
IMGFLERCP,ERCPANCREATOGRAM
IMGCT3N,CT ANGIO NECK
"RXCUI197,6218,6972,11295",Acetylcysteine-Lactulose-Mineral Oil-Water
LABHITAB,HEPARIN PLATELET FACTOR 4 AB
RXCUI6038,Isoniazid
IMGDXFLP,PHYSIATRY FLUORO
IMGMRAK,MR ANGIO NECK
RXCUI18631,Azithromycin
CON439,NSG REFERRAL TO GERIATRICS
LABPCCR,ISTAT CREATININE
RXCUI72625,Duloxetine
REF27,REFERRAL TO NEUROLOGY
RXCUI2231,Cephalexin
RXCUI732,Amphotericin B
LABOSR,OUTSIDE SLIDE REVIEW
RXCUI35296,Ramipril
LABCAI,"CALCIUM IONIZED, SERUM/PLASMA"
RXCUI11149,Vasopressin
IMGCTTROF,CT CHEST OUTSIDE STUDY FOR REFERENCE ONLY
LABOLIG,CSF PROTEIN & IMMUNOFIX ELECT.
IMGNBONESCAN,NUC BONE SCAN
RXCUI51428,"Insulin, Aspart, Human"
RXCUI1291,Bacitracin
SLP11,SLP SWALLOW ONGOING TREATMENT
PT6,PT ONGOING TREATMENT
LABALB,"ALBUMIN, SERUM/PLASMA"
IMGUSNVUPP,US VEIN UPPER EXTREMITY BILAT R/O DVT
RXCUI3498,Diphenhydramine
IMGNGASTREMP,NUC GASTRIC EMPTYING
IMGDXHA3LT,XR HAND 3V LT
LABBXTG,BIOPSY/TISSUE WITH GRAM STAIN
RXCUI5093,Haloperidol
RXCUI4511,Folic Acid
IMGCTST,CT SPINE THORACIC
LABMVSOB,UNLISTED MICROBIOLOGY/VIROLOGY TEST
IMGCTAPROF,CT ABDOMEN/PELVIS OUTSIDE STUDY FOR REFERENCE ONLY
"RXCUI426,1091,1908,21032,21579,4850,4919,5340,6033,6308,6536,6585,29261,6837,89905,8156,8591,8737,253182,9671,9863,236719,235496,10524,10898,10962,11115,8308,39937","Alanine-Arginine-Calcium Gluconate-Chromous Chloride-Copper Sulfate-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Manganese Chloride-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Chloride-Proline-Regular Insulin, Human-Serine-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1-Zinc Chloride"
"RXCUI8591,56443,9863",Potassium Chloride-Sodium Acetate-Sodium Chloride
NUR1614,PICC LINE PLACEMENT
2109372,LACERATION REPAIR
CON311,CONSULT TO PALLIATIVE CARE
RXCUI341248,Ezetimibe
RXCUI828529,"Albumin Human, Usp"
RXCUI435,Albuterol
"RXCUI4511,9863,10454",Folic Acid-Sodium Chloride-Thiamine
LABFLDC,FLUID CULTURE AND GRAM STAIN
POC18,"POC ISTAT, ARTERIAL NA, K, GLUCOSE, HCT, HEMOGLOBIN"
RXCUI8640,Prednisone
RXCUI28031,Itraconazole
RXCUI39786,Venlafaxine
LABRF,RHUEMATOID FACTOR
IMGDXWR3LT,XR WRIST 3V LT
LAB12573R,ANCA
REF52,REFERRAL TO ORTHOPEDICS
IMGMRSC,MR C-SPINE
RXCUI8013,Pentoxifylline
CON107,CONSULT TO IR - UNLISTED PROCEDURE
IMGDXCH2,XR CHEST 2V
MED7557,Sulfamethoxazole-Trimethoprim
LABTBLYM,"T SUBSETS AND B LYMPHOCYTES, BLOOD"
RXCUI620,Amantadine
LABANTIXA,ANTI XA / LMWH
LABASQ,ACETONE SEMI QUALITATIVE
LABLIPS,LIPASE
REF35,REFERRAL TO INFECTIOUS DISEASE
CON361,NSG REFERRAL TO CASE MGMT
CON408,CONSULT TO INF DIS IMMUNOCOMP
IMGDXFT2RT,XR FOOT 2V RT
IMGCTHWWO,CT HEAD WWO CONTRAST
LABSTREP,BETA STREP THROAT SCREEN RAPID EIA
MED540492,SHC TRANSPLANT BEDSIDE MEDS HELP ORDER
RXCUI11256,Vitamin E
IMGDXCHROF,XR CHEST OUTSIDE STUDY FOR REFERENCE ONLY
IMGCTLLT,CT LOWER EXTREMITY LT
RXCUI9793,Silver Sulfadiazine
LABVD25H,"VITAMIN D, 25-HYDROXYVITAMIN"
"RXCUI2540,5690",Cilastatin-Imipenem
CR112,KNEE IMMOBILIZER
RXCUI7617,Octreotide
LABFHCT,"HEMATOCRIT, FLUID"
RXCUI6835,Methimazole
"RXCUI426,1091,1908,21032,21579,4850,4919,5340,6033,6308,6536,6585,29261,6837,89905,8156,54987,8591,8737,253182,9671,9863,236719,235496,10524,10898,10962,11115,8308,39937","Alanine-Arginine-Calcium Gluconate-Chromous Chloride-Copper Sulfate-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Manganese Chloride-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Acetate-Potassium Chloride-Proline-Regular Insulin, Human-Serine-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1-Zinc Chloride"
RXCUI6813,Methadone
LABURIC,"URIC ACID, SERUM / PLASMA"
CON468,CONSULT TO HEART FAILURE CNS
RXCUI1897,Calcium Carbonate
LABP20210,PROTHROMBIN 20210A
RXCUI36437,Sertraline
RXCUI4462,Fluocinonide
LABTBILFR,"BILIRUBIN TOTAL AND FRACTIONATED, SERUM"
IMGDXFL1HRGR,XR FLUORO OVER 1 HOUR WO RADIOLOGIST
CON417,CONSULT TO IR
RXCUI69749,Valsartan
LABCMVIGM,CMV IGM
CON109,CONSULT TO IR - VENOUS ACCESS
RXCUI2358,Chlorhexidine
LABYMETFF,"METANEPHRINES FRACTIONATED FREE, PLASMA"
REF25,REFERRAL TO SURGERY GENERAL
IMGUSPLE,US FLUID LOCALIZATION
MED540602,CUSTOM INV - SIMPLE
RXCUI1272,Aztreonam
RT74,RESP - BEDSIDE SPIROMETRY
RXCUI42372,Mupirocin
RXCUI66887,Racepinephrine
CON322,CONSULT TO GENERAL SURGERY
RXCUI407990,Cinacalcet
LABSTOBGC,"OCCULT BLD, GUAIAC, STOOL, COLORECTAL SC."
LABLEVETL,LEVETIRACETAM LEVEL
RXCUI10759,Triamcinolone
IMGDXHA2LT,XR HAND 2V LT
IMGCTHR,CT CHEST HIGH RESOLUTION
IMGFLESO,XR ESOPHAGUS
LABRPRQL,RPR QUALITATIVE
"RXCUI426,1091,1908,21032,21579,4850,4919,5340,6033,6308,6536,6585,29261,6837,89905,8156,54987,8737,253182,9671,56443,9863,236719,235496,10524,10898,10962,11115,8308,39937","Alanine-Arginine-Calcium Gluconate-Chromous Chloride-Copper Sulfate-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Manganese Chloride-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Acetate-Proline-Regular Insulin, Human-Serine-Sodium Acetate-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1-Zinc Chloride"
LABSALICY,SALICYLATE LEVEL
LABMYO,"MYOGLOBIN, SERUM / PLASMA"
DIET127,DIET COMBINATION
RXCUI2403,Chlorpromazine
IMGDXCH1P,XR CHEST 1V PORTABLE
LABCMVTSI,CMV AB TOTAL SOLID PHASE
IMGUSTXK,US KIDNEY TRANSPLANT
"RXCUI426,1091,1908,21032,21579,4278,4850,4919,5340,6033,6308,6536,6585,29261,6837,89905,8156,54987,8591,8737,9671,56443,9863,236719,235496,10524,10898,10962,11115,8308,39937","Alanine-Arginine-Calcium Gluconate-Chromous Chloride-Copper Sulfate-Famotidine-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Manganese Chloride-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Acetate-Potassium Chloride-Proline-Serine-Sodium Acetate-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1-Zinc Chloride"
CON335,CONSULT TO UROLOGY
RXCUI321988,Escitalopram
LABCYTGEN,CYTOGENETICS FISH ORDER
IMGDXFL1HR,XR FLUORO UP TO 1 HOUR  WO RADIOLOGIST
RXCUI10737,Trazodone
LABPROC,SPECIMEN PROCESSING
RXCUI7980,Penicillin G
RXCUI5781,Indomethacin
IMGDXCH1,XR CHEST 1V
MED208479,Magnesium Oxide-Magnesium Amino Acid Chelate
RXCUI338036,Pegfilgrastim
IMGUSP2,US PELVIS NON OB LTD
DIET129,DIET NOURISHMENTS
LABEP1,ELECTROLYTE PANEL
ISO10,CONTACT AND RESPIRATORY ISOLATION
RXCUI6130,Ketamine
RXCUI28889,Loratadine
ECH29,ECHO - DOBUTAMINE STRESS ECHO
10335R,HLA - SCREENING C1Q
RXCUI6918,Metoprolol
LABPCEG7O,"ISTAT EG7, OTHER"
ISO11,CONTACT AND DROPLET ISOLATION
"RXCUI3498,7597",Diphenhydramine-Nystatin
RXCUI596205,Ramelteon
ISO8,CONTACT ISOLATION
RXCUI35827,Ketorolac
LABUSEOSTS,USE ORDER SET FOR LAB TRANSFUSION
IMGNPVQ,NUC LUNG V/Q
RXCUI2598,Clonazepam
LABPCEC4V,"ISTAT EC4, VENOUS"
RXCUI11289,Warfarin
IMGDXKN2LT,XR KNEE 1 OR 2V LT
IMGCRROF,XR CR READING OUTSIDE FILM
CON305,CONSULT TO ANESTHESIOLOGY
MED208092,Amylases-Endopeptidases-Lipase
RXCUI5492,Hydrocortisone
LABARVI,BLOOD TYPE VERIFICATION
POC23,"POC ISTAT, VENOUS BLOOD GASES"
RXCUI2626,Clozapine
MED14859,Glucose-Potassium Chloride-Sodium Chloride
LAB11124R,COCCI CF
RXCUI136411,Sildenafil
LABFOL,FOLIC ACID
REF93,REFERRAL TO OTHER
LABALKP,ALKALINE PHOSPHATASE TOTAL SERUM/PLASMA
CR130,CPM
RXCUI10402,Tetrahydrocannabinol
USEOS,**USE ORDER SET**
LABFT4,"T4, FREE"
IMGDXCH1DLT,"XR CHEST 1 VIEW DECUB, LEFT"
LABHMCY,"HOMOCYSTEINE TOTAL, PLASMA"
IMGMRCP,MR CHOLANGIOGRAM
REF90,REFERRAL TO PSYCHIATRY
LABPCCG4O,"ISTAT CG4, OTHER"
RXCUI8745,Promethazine
RXCUI6135,Ketoconazole
RXCUI89013,Aripiprazole
IMGDXPEL2,XR PELVIS 2V
DIET132,DIET CARB CONTROL/LOW SODIUM/LOW CHOL/LOW SAT FAT
"RXCUI1292,2599,6813,9509,9945",Baclofen-Clonidine-Methadone-Saccharin-Sorbitol
LABCDPLI,COLD AGGLUTININ SCREEN
LABADVQT,ADENOVIRUS DNA PCR QUANT
LABCTC,CATHETER TIP CULTURE
RXCUI596,Alprazolam
IMGCTNSW,CT NECK W CONTRAST
LABCSFGL,"GLUCOSE, CSF"
CON350,CONSULT TO PSYCHIATRY
MED12729,Hydrochlorothiazide-Triamterene
RXCUI161,Acetaminophen
LABB12,VITAMIN B12
COD7,DNR/C
RXCUI5521,Hydroxychloroquine
LABYUMETF,"METANEPHRINES FRACTIONATED, 24H URINE"
RXCUI83818,Irbesartan
LABFTRIGA,"TRIGLYCERIDES, NON-PLEURAL"
RT113,RESP - INDIRECT CALORIMETRY
RXCUI11170,Verapamil
OT4,OT SWALLOW EVALUATE AND TREAT
LABNA,"SODIUM, SERUM / PLASMA"
LAB11125R,COCCI ID
REF31,REFERRAL TO ENDOCRINOLOGY
RXCUI296,Adenosine
RXCUI5657,Ifosfamide
LABHBPQ,HEPATITIS B PCR QUANTITATIVE
LABNTBNP,NT - PROBNP
NEUR22,TRANSCRANIAL DOPPLER COMPLETE
MED8132,Hydrochlorothiazide-Triamterene
IMGCTLMP,CT TRIPHASIC LIVER MASS PROTOCOL
POC22,"POC ISTAT, ARTERIAL BLOOD GASES"
LABANTIM,ANTI - TPO AB
RXCUI10689,Tramadol
RT97,RESP - WEAN VENTILATOR
RXCUI10572,Thyroid
CON365,NSG REFERRAL TO SPIRITUAL CARE
MED540574,"Influenza Virus Vaccine, Inactivated A-California-07-2009 X-179A"
VSC03,VSC ARTERIAL EXAM/ABI\'S
IMGCTHROF,CT HEAD OUTSIDE STUDY FOR REFERENCE ONLY
LABARI,ABO/RH
RXCUI898492,Collagenase Clostridium Histolyticum
RXCUI9601,Scopolamine
IMGIRGASTPMT,IR GASTROSTOMY CATHETER PLCMT
IMGDXSP1,XR SPINE 1V
LABFLGL,"GLUCOSE, FLUID"
IMGIRTRANSJUG,IR TRANSJUGULAR LIVER BIOPSY
2109358,LUMBAR PUNCTURE
LABDVEVH,HSV/VZ DFA
IMGIRDIALRT,IR DIALYSIS CATH DUAL LUMEN RT
RXCUI2555,Cisplatin
MED89401,Fluticasone-Salmeterol
RXCUI52356,Magnesium Citrate
MED123767,Emtricitabine-Tenofovir Disoproxil
CON427,CONSULT TO THORACIC SURGERY
PRE14,HIP PRECAUTIONS
RXCUI32675,Oxybutynin
RXCUI593411,Sitagliptin
LABDVERVP,RESPIRATORY DFA PANEL
REF32,REFERRAL TO GASTROENTEROLOGY
LABYFFATQ,"FAT, FECAL QUANTITATIVE"
RXCUI3008,Cyclosporine
LABPHEN,PHENYTOIN LEVEL
LABLPD,LIPID PANEL
LABMYCPA,MYCOPHENOLIC ACID
LABFHV12,"HSV 1 AND 2 PCR, NON CSF"
IMGUSABROF,US ABDOMEN OUTSIDE STUDY FOR REFERENCE ONLY
"RXCUI4850,6585,8591,9863",Glucose-Magnesium Sulfate-Potassium Chloride-Sodium Chloride
IMGNGHIDA,NUC HIDA SCAN
MED204468,Neisseria Meningitidis Serogroup A Capsular Polysaccharide Diphtheria Toxoid Protein Conjugate Vaccine-Neisseria Meningitidis Serogroup C Capsular Polysaccharide Diphtheria Toxoid Protein Conjugate Vaccine-Neisseria Meningitidis Serogroup W-135 Capsular Polysaccharide Diphtheria Toxoid Protein Conjugate Vaccine-Neisseria Meningitidis Serogroup Y Capsular Polysaccharide Diphtheria Toxoid Protein Conjugate Vaccine
LABRBCFOL,"FOLATE, RBC"
RXCUI6851,Methotrexate
POC17,POC ISTAT CREATININE
PATH8,CENTRAL NERVOUS SYSTEM SOURCE
CON364,NSG REFERRAL TO SOCIAL WORK
POC1,POC URINE DIPSTICK
LABEBVPAN,EPSTEIN-BARR VIRUS AB PANEL
DIET102,DIET NPO
LABSTOBGD,"OCCULT BLD, GUAIAC, STOOL, DIAG TEST"
LABBMT1,BMT PANEL 1
LEG1,LEGAL STATUS: 14 DAY HOLD
RXCUI306266,Entecavir
RXCUI18603,Azelastine
LABPB,PHENOBARBITAL LEVEL
MED230510,FLU VAC TS 2013-14
LABTNI,TROPONIN I
IMGMRHROF,MR HEAD OUTSIDE STUDY FOR REFERENCE ONLY
RXCUI42316,Tacrolimus
CON432,CONSULT TO GYNECOLOGY
MED89444,Glucose-Piperacillin-Tazobactam
RT130,RESP - REPOSITION ET TUBE
"RXCUI236719,235496","Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic"
"RXCUI6585,6628,8591,9863",Magnesium Sulfate-Mannitol-Potassium Chloride-Sodium Chloride
CON373,CONSULT TO ENT
LABESRP,SEDIMENTATION RATE
LABSTSS,SYPHILIS TREPONEMAL SCREEN
CON340,CONSULT TO OPHTHALMOLOGY
MED211166,BICARB DIALYS SOLN #16 W/O CA K
LABAFBD,"AFB CULTURE, NON - RESPIRATORY"
RXCUI4815,Glyburide
LABPROL,PROLACTIN
LABCSFTP,"PROTEIN TOTAL, CSF"
LABTYPSNI,TYPE AND SCREEN
LABORANER,ORTHOPEDIC ANAEROBIC CULTURE
RXCUI6922,Metronidazole
RXCUI10814,Triiodothyronine
PT20,PT - NO SKILLED THERAPY NEEDS
RXCUI35619,Rifaximin
LABABG,"BLOOD GASES, ARTERIAL"
IMGDXTIBRT,XR TIBIA AND FIBULA RT
LABSHIV12,RAPID HIV-1/2 ANTIBODY
LABHHV6QT,HHV-6 PCR QUANT
LABCMVM,CMV AB IGM
IMGCTPE,CT PULMONARY EMBOLISM CHEST ONLY
GIUEUS,UPPER ENDOSCOPIC ULTRASOUND
LABDVEHV,HSV/VZV DFA
IMGIRABSCESSO,IR ABSCESSOGRAM
LABVANPRL,VANCOMYCIN TROUGH LEVEL
GICOLO,COLONOSCOPY
LABUEP,"ELECTROLYTE PANEL, URINE WITH CREATININE"
RXCUI4821,Glipizide
RT75,RESP - EXTUBATION
LABHSVGM,HSV 1/2 IGM&TYPE-SPECIFIC IGG
RXCUI10454,Thiamine
"RXCUI55018,34322",Dibasic Potassium Phosphate-Potassium Phosphate
LABUOSM,"OSMOLALITY, URINE"
NUR821,TRANSFUSE RBC
IMGDXHIP1RT,XR HIP 1V RT
RXCUI52769,Milrinone
LABGLOB,GLOBULIN
CON420,CONSULT TO PAIN
LABORSHOR,ORTHOPEDIC CULT MULT SPECIMENS
MED16426,Potassium Chloride-Sodium Chloride
RXCUI3264,Dexamethasone
LABPATHR,REVIEW BY PATHOLOGIST
RXCUI236083,Alendronic Acid
IMGCT3AP,CT ANGIO ABDOMEN PELVIS
LABPTTINH,PTT INHIBITOR SCREEN
RXCUI36567,Simvastatin
DIET109,DIET LOW FIBER
IMGDXEL3RT,XR ELBOW 3V RT
RXCUI88014,Rizatriptan
ECH25,ECHO - LIMITED TRANSTHORACIC ECHO
PRE7,ICH PRECAUTIONS
LABCBCS,CBC WITH DIFF AND SLIDE REVIEW
IMGUSVULOLT,US VEIN LOWER EXTREMITY LEFT R/O DVT
LABPCG3O,"ISTAT G3+, OTHER"
RXCUI99,6-Aminocaproic Acid
RXCUI6809,Metformin
RXCUI31448,Nabumetone
LAB11234R,VZV TOTAL AND IGM AB PANEL
POC6,POC PPD SKIN TEST
IMGDXFT3LT,XR FOOT 3V LT
RXCUI19831,Budesonide
IMGCTSXO,CT STEREOTACTIC ON CALL
RXCUI1908,Calcium Gluconate
LABPROCT,PROCALCITONIN
"RXCUI9863,11202",Sodium Chloride-Vincristine
LAB11131R,VORICONAZOLE LEVEL
LABCRP,C - REACTIVE PROTEIN
IMGDXKN3LT,XR KNEE 3V LT
