proc_code	base_name
LABLIDOL	LI
LABLIDOL	LIDO
LABLIDOL	LIDO2
LABLIDOL	LIDO3
LABLIDOL	LIDO4
LABCBCS	MORPH
LABTBP3	DI
LABPCCG4V	BE
POC31	UPH
LABFT4	FT4
POC1	UWBC
POC1	EXPDATE
POC1	NITRITE
POC1	SPG
POC1	UBLOOD
POC1	UGLU
POC1	UKET
POC1	UPH
POC1	UPROT
POC1	DIPLOT
LABCBCS	NEUTAB
LABCBCS	MONOAB
LABCBCS	BASOAB
LABCBCS	EOSAB
LABCBCS	LYMAB
LABCBCS	LYM
LABCBCS	MONO
LABCBCS	NEUT
LABCBCS	BASO
LABCBCS	EOS
LABYPREAL	PREALBUMIN
LABTBP3	XMR
LABPCG3V	HCO3V
LABPCG3V	O2SATV
LABPCG3V	PCCOM
LABPCG3V	PCO2V
LABPCG3V	PHV
LABPCG3V	PO2V
LABPCG3V	TCO2V
LABTRIG	TGL
LABFLDC	CULT
LABFLDC	GS
LABFLDC	RPT
LABFLDC	SDES
LABFLDC	SREQ
LABCBCD	BASO
LABCBCD	BASOAB
LABLPD	CHOL
LABLPD	CHOLHDL
LABLPD	HDL
LABLPD	LDL
LABLPD	NHDL
LABLPD	TGL
LABPCEG7V	FIO2
LABPCEG7V	BE
LABPCEG7	BE
LABTBP4	PRO
LABTBP4	SI
LABTYPSNI	AS
LABNH3	NH3
LABPCG3V	FIO2
LABUA	AMORCRY
LABTYPSNI	ABORH
LABFER	FERRITIN
LABUA	HYCAST
LABB12	B12
LABTBP5	PRO
LABTBP5	SI
LABUSPG	SPG
LABTBP4	UBT
LABTBP4	UNT
LABPCCG4V	BD
LABAMY	AMYLASE
LABCBCD	BLASTS
LABPATHR	REVUE
LABCBCD	BLASTSAB
LABTRFS	FE
LABTRFS	TRFRN
LABTRFS	TRFSAT
LABARI	ABORH
LABPCEG7	BD
LABURNA	UNA
LABRETIC	RETIC
LABRETIC	RETICAB
LABHAP	HAPTO
LABASI	AS
LABTBP5	UBT
LABTBP5	UNT
LABAFBC	AFB
LABAFBC	CULT
LABAFBC	RPT
LABAFBC	SDES
LABAFBC	SREQ
LABCYCWBL	CYC
LABCYCWBL	CYC2
LABCYCWBL	CYC3
LABCYCWBL	CYC4
LABCYCWBL	CYCWB
LABALB	ALB
LABPHEN	PHEN
LABPHEN	PHEN
LABPHEN	PHEN2
LABPHEN	PHEN3
LABPHEN	PHEN4
LABUOSM	UOSM
LABCBCD	REACTL
LABCORT	CORT
LABUA	TRANST
LABDIGL	DIG
LABDIGL	DIG
LABDIGL	DIG2
LABDIGL	DIG3
LABDIGL	DIG4
LABVOLTL	ETOH
LABVOLTL	ETOHI
LABVOLTL	OSMGAP
LABVOLTL	OSMGPI
LABCBCD	PRMY
LABSLHELD	SLHELD
LABAFBD	AFB
LABAFBD	CULT
LABAFBD	RPT
LABAFBD	SDES
LABAFBD	SREQ
LABBFCT	DX
LABBFCT	FCOLOR
LABBFCT	FLDTYP
LABBFCT	MALIG
LABBFCT	FTURB
LABBFCT	LYMFLD
LABBFCT	MONFLD
LABBFCT	RBCFLD
LABBFCT	WBCFLD
LABBFCT	NEUTFLD
LABESRP	ESR
LABCBCD	PSREV
LABTBP6	PRO
LABTBP6	SI
LABPCG3V	BD
LABTBP	SPEXP
LABHIVWBL	HIVAR
LABHIVWBL	HIVI
LABCSFCT	BTURB
LABCSFCT	COLORCSF
LABCSFCT	CSOURC
LABCSFCT	DX
LABCSFCT	MALIG
LABCSFCT	RBCCSF
LABCSFCT	TUBENO
LABCSFCT	WBCCSF
LABCSFCT	LYMCSF
LABCSFCT	MONOCSF
LABCSFCT	NEUTCSF
LABUCR	UCR
LABCSFCT	COLORCSF
LABCSFCT	CTURB
LABBLCSTK	CULT
LABBLCSTK	RPT
LABBLCSTK	SDES
LABBLCSTK	SREQ
LABPCEG7V	BD
LABTBP4	DI
LABBXTG	CULT
LABBXTG	GS
LABBXTG	RPT
LABBXTG	SDES
LABBXTG	SREQ
LABTBP7	PRO
LABTBP7	SI
LABPCEG7	PCTEMP
LABSPLAC	LACWBL
LABPCEG7V	PCTEMP
LABUAPRN	AMORCRY
LABCBCS	SIGNIF
LABPCCG4O	HCO3
LABPCCG4O	LAC
LABPCCG4O	PCCOM
LABPCCG4O	PCO2A
LABPCCG4O	PCO2SO
LABPCCG4O	PH
LABPCCG4O	PO2A
LABPCCG4O	TCO2A
LABDBIL	DBIL
LABESRP	ESR
LABTBP5	DI
LABUAPRN	HYCAST
LABBLCTIP	CULT
LABBLCTIP	RPT
LABBLCTIP	SDES
LABBLCTIP	SREQ
LABSTOBGD	OCCGU
LABSTOBGD	DATE1
LABPCG3V	BE
POC31	QC10
POC31	QC5
POC31	TESTLO
LABGGT	GGT
LABTBP6	UBT
LABTBP6	UNT
LABSTOBGD	DATE2
LABSTOBGD	DATE3
LABCBCD	MAOTH
LABHBSAG	HBSINT
LABHBSAG	HBSR
LABPALB	PREALBUMIN
LABPCG3O	HCO3
LABPCG3O	PCCOM
LABPCG3O	PCO2A
LABPCG3O	PCO2SO
LABPCG3O	PH
LABPCG3O	PO2A
LABPCG3O	TCO2A
LABDVERVP	ADVP
LABFOL	FOLATE
LABDVERVP	INFAP
LABDVERVP	INFBP
LABDVERVP	MPVPR
LABDVERVP	P1P
LABDVERVP	P2P
LABDVERVP	P3P
LABDVERVP	RVP
LABDVERVP	RVPIP
LABDVERVP	RVPSP
LABPATHR	FPATH
LABTBP7	UBT
LABTBP7	UNT
LABCSFGL	GLUCSF
LABCSFTP	TPCSF
LABPCEC4V	HCT
LABPCEC4V	HGB
LABPCEC4V	K
LABPCEC4V	NA
LABPCEC4V	PCCOM
LABPCEC4V	GLU
LABBUN	BUN
LABSTOBGD	OCCGU
LABSTOBGD	OCCGU
LABUEP	UCL
LABUEP	UCLCR
LABUEP	UCR
LABUEP	UK
LABUEP	UKCR
LABUEP	UNA
LABUEP	UNACR
LABCA	CA
LABUA	UWBCC
LABTBP4	XMR
LABACETA	ACETA
LABPROCT	PROCTL
LABANER2	CULT
LABANER2	RPT
LABANER2	SDES
LABANER2	SREQ
LABTBP1	SPEXP
LABUAPRN	TRANST
LABCSFC	CULT
LABCSFC	GS
LABCSFC	RPT
LABCSFC	SDES
LABCSFC	SREQ
LABTBP5	XMR
LABUAS	UPROT
LABUAS	LEUKEST
LABUAS	NITRITE
LABUAS	SPECMN
LABUAS	SPG
LABUAS	UBLOOD
LABUAS	UCLAR
LABUAS	UCOL
LABUAS	UGLU
LABUAS	UKET
LABUAS	UPH
LABCMVPQ	CMVCP
LABCMVPQ	CMVDNA
LABCMVPQ	CMVLOG
LABCMVPQ	CMVSP
LABCMVPQ	CMVTIP
LABPCINR	INR
LABPCINR	PCCOM
LABPCG3V	PCTEMP
LABTBP8	PRO
LABTBP8	SI
LABPCINR	PT
LABCBCD	OTHER
LABTBP6	DI
LABFTP	TPFLD
LABFKOH	CULT
LABFKOH	KOH
LABFKOH	RPT
LABFKOH	SDES
LABFKOH	SREQ
LABDDIM	DDIMER
LABUNA	UCR
LABUNA	UNA
LABUNA	UNACR
LABHGBX	HGB
LABTBP9	PRO
LABTBP9	SI
LABSPLAC	SPLACW
LABVANUNL	VANCOSDD
LABVANUNL	VANUN2
LABVANUNL	VANUN3
LABVANUNL	VANUN4
LABRESPG	CULT
LABRESPG	GS
LABRESPG	RPT
LABRESPG	SDES
LABRESPG	SREQ
LABTBP7	DI
POC26	KIT1
POC26	KITEX1
POC26	PATRES
POC26	QC9
LABPCACTK	ACT
LABPCACTK	PCCOM
LABANAS	ANA
LABANAS	ANAINTERP
LABTBILFR	DBIL
LABTBILFR	IBIL
LABTBILFR	TBIL
LABPCCG4O	BE
LABUPREG	UPREG
LABTBP8	UBT
LABTBP8	UNT
LABFTP	TPFLS
LABLPDC	CHOL
LABLPDC	CHOLHDL
LABLPDC	HDL
LABLPDC	LDL
LABLPDC	LDLHDL
LABLPDC	NHDL
LABLPDC	TGL
LABSIROL	SIRO2
LABSIROL	SIRO3
LABSIROL	SIRO4
LABSIROL	SIROL
LABSIROL	SIROL
LABWDC	CULT
LABWDC	RPT
LABWDC	SDES
LABWDC	SREQ
LABSALICY	SALICYLATE
LABBFCT	FCMT
LABBBPCRY	CRSTA
LABTBP9	UBT
LABTBP9	UNT
LABVCUL	CULT
LABVCUL	RPT
LABVCUL	SDES
LABVCUL	SREQ
LABUAPRN	UWBCC
LABTBP10	PRO
LABTBP10	SI
LABVPAL	VPA
LABVPAL	VPA
LABVPAL	VPAL2
LABVPAL	VPAL3
LABVPAL	VPAL4
LABMTXL	MTX
LABMTXL	MTX
LABMTXL	MTXL2
LABMTXL	MTXL3
LABMTXL	MTXL4
LABFLDH	LDHFLD
LABFLDH	LDHFLS
LABURUN	UURN
LABPCG3O	FIO2
LABRFRPT	REFRPT
LABPCG3O	BE
LABFAMY	AMYFLS
LABFAMY	AMYLASEFLD
LABUA	GRCAST
LABOAPE	CULT
LABOAPE	RPT
LABOAPE	SDES
LABOAPE	SREQ
LABSTSS	STSINT
LABSTSS	STSQUL
LABTBP11	PRO
LABTBP11	SI
LABUAS	UCMT
LABRBCFOL	FOLATERBC
LABMYCPA	MYPA
LABMYCPA	MYPAG
LABMYCPA	MYPA1
LABMYCPA	MYPA2
LABMYCPA	MYPA3
LABMYCPA	MYPA4
LABTBP8	DI
LABCMVQT	CMVCP
LABCMVQT	CMVDNA
LABCMVQT	CMVLOG
LABCMVQT	CMVSP
LABCMVQT	CMVTIP
LABTBP6	XMR
LABTBP	VL
LABCBCS	LYM
LABCBCS	LYMAB
LABTBP10	UBT
LABTBP10	UNT
LABCBCS	NEUT
LABCBCS	NEUTAB
LABREPT	REPT
LABDATBSI	DATBS
LABIBIL	IBIL
LABTBP7	XMR
LABPCG3O	BD
LABHITAB	PF4COM
LABHITAB	PF4ENH
LABCR	CR
LABTBP9	DI
LABPCCG4O	BD
LABSCMV	CULT
LABSCMV	RPT
LABSCMV	SDES
LABSCMV	SREQ
LABARI	SPEXP
LABFAL	ALBFLS
LABFAL	ALBFLD
LABPREG	PREGTEST
LABASI	SPEXP
LABREF1	LAB1
LABREF1	SPTY
LABREF1	TEST1
LABREF1	RESUL1
LABTBP11	UBT
LABTBP11	UNT
LABTBP12	PRO
LABTBP12	SI
LABTSHFT4	TSH
LABTBIL	TBIL
LABSPIE	SPIEI
LABSPIE	SPIER
LABPCYS	PCPSTAIN
LABPCYS	RPT
LABPCYS	SDES
LABPCYS	SREQ
LABWDCS	CULT
LABWDCS	GS
LABWDCS	RPT
LABWDCS	SDES
LABWDCS	SREQ
LABDVERV	DVE
LABDVERV	RPT
LABDVERV	SDES
LABDVERV	SREQ
LABCBCS	BAND
LABQFTB	QTFNIN
LABQFTB	QTFNRS
LAB11125R	COCI
LABTP	TP
LABUEOS	UEOS
LABCBCD	ABNWBC
LABCBCS	MONO
LABHCVA	HCVI
LABHCVA	HCVR
LABCBCS	MONOAB
LABPTH	PTH
LABCMVPQ	CMVCP
LABCMVPQ	CMVDNA
LABCMVPQ	CMVLOG
LABCMVPQ	CMVSP
LABCMVPQ	CMVTIP
LABHIPA	HIPINT
LABTBP13	PRO
LABTBP13	SI
LABHIPA	HEPTYP
LABHIPA	LOTNO
LABHIPA	MANUF
LABLIL	LI
LABLIL	LI
LABLIL	LI2
LABLIL	LI3
LABLIL	LI4
LABIGG	IGG
LABFLGL	GLFLS
LABFLGL	GLUFLD
LABHIPA	HIPDIR
LABPCG3O	PCTEMP
POC1	PHLOC
LABABIDI	ABIDRBC
LABFCR	CRFLD
LABFCR	CRFLS
LABBFCT	EOSFLD
LABUA	BYST
LABTBP10	DI
LABPCCG4	HCO3A
LABPCCG4	O2SATA
LABPCCG4	PCCOM
LABPCCG4	PCO2A
LABPCCG4	PHA
LABPCCG4	PO2A
LABPCCG4	TCO2A
LABPCCG4	LAC
LABTBP12	UBT
LABTBP12	UNT
LABUAPRN	GRCAST
LABAFP	AFP
LABPTEG	PTEGA
LABPTEG	PTEGC
LABPTEG	PTEGEL
LABPTEG	PTEGG
LABPTEG	PTEGK
LABPTEG	PTEGMA
LABPTEG	PTEGRK
LABPTEG	PTEGSP
LABTBP14	PRO
LABTBP14	SI
LABDDIML	DDIMER
LABCBCD	CCNT
LABDDIML	DIMCOM
LABTBP11	DI
LABUAPRN	BYST
LABDHBP	HBCINT
LABDHBP	HBCR
LABDHBP	HBSINT
LABDHBP	HBSR
LABDHBP	HBTINT
LABDHBP	HBTR
LABDHBP	HQLINT
LABDHBP	HQLR
LABAHP2	HAVINT
LABAHP2	HAVR
LABAHP2	HBCINT
LABAHP2	HBCR
LABAHP2	HBSINT
LABAHP2	HBSR
LABAHP2	HCVI
LABAHP2	HCVR
LABVD25H	25OHDT
LABVD25H	VD25D2
LABVD25H	VD25D3
POC39	EXPDATE
POC39	PHLOC
POC39	UPH
POC39	DIPLOT
LABTBP13	UBT
LABTBP13	UNT
LABUUN	UNCRU
LABUUN	UNUCRU
LABUUN	UURN
LABPROC	PROC
LABEBVQP	EBVQCP
LABEBVQP	EBVQDN
LABEBVQP	EBVQLG
LABEBVQP	EBVQSP
LABRPRQL	RPRQ
LABRPRQL	RPRQIN
LABEBVQP	EBVQIN
POC14	GLU
LABLEGDA	CULT
LABLEGDA	RPT
LABLEGDA	SDES
LABLEGDA	SREQ
LABTBP15	PRO
LABTBP15	SI
LABMVSOB	MVSO
LABMVSOB	RES
LABMVSOB	SCE
LABTEGCP	TEGSP
LABUTPRAN	UCR
LABUTPRAN	UPROTCR
LABUTPRAN	UPROTTOT
LABVP3	HATINT
LABVP3	HATR
LABVP3	HBSINT
LABVP3	HBSR
LABVP3	HBTINT
LABVP3	HBTR
LABVP3	HCVI
LABVP3	HCVR
LABVP3	HQLINT
LABVP3	HQLR
LABTEGCP	TEGCOM
LABTEGCP	TEGC
LABTEGCP	TEGRK
LABTEGCP	TEGA
LABTEGCP	TEGG
LABTEGCP	TEGK
LABTEGCP	TEGM
LABWDCG	CULT
LABWDCG	GS
LABWDCG	RPT
LABWDCG	SDES
LABWDCG	SREQ
LABTEGCP	TEGEL
LABTEGCP	TEGMD2
LABSTLCX	CULT
LABTBP12	DI
LABSTLCX	RPT
LABSTLCX	SDES
LABSTLCX	SREQ
LABTBP8	XMR
LABSTOOLC	CULT
ECH15	LVEF
LABSTOOLC	RPT
LABSTOOLC	SDES
LABSTOOLC	SREQ
LAB11124R	COCFS
LABTBP14	UBT
LABTBP14	UNT
LABPHME	PHA
LABPHME	PHMETS
LABHELI	HPYLORI
LABCEA	CEA
LABTBP9	XMR
LABTBP2	SPEXP
LAB11041R	HGB
LABHCLOTI	HCLOT
LABMYO	MYOG
LABTBP16	PRO
LABTBP16	SI
LABEP1	AG
LABEP1	CL
LABEP1	CO2
LABEP1	K
LABEP1	NA
LABCA199	C199
LABAGALA	AGALA
LABLEGU	LEGUA
LABTBP13	DI
LABCMVP	CMQDNA
LABCMVP	CMVLIP
LABCMVP	CMVQSP
LABCORTS	CORTS
LABUA	CAOX
LABTBP15	UBT
LABTBP15	UNT
LABBFCT	FOTHER
LABRESPCR	ADNVIR
LABRESPCR	INFAST
LABRESPCR	INFLA
LABRESPCR	INFLB
LABRESPCR	METPNV
LABRESPCR	PARIN1
LABRESPCR	PARIN2
LABRESPCR	PARIN3
LABRESPCR	RESVDI
LABRESPCR	RESVSP
LABRESPCR	RHNVIR
LABRESPCR	RSVPC
LABQFTBG	TBAG
LABQFTBG	TBAGNI
LABQFTBG	TBGINT
LABQFTBG	TBGNIL
LABQFTBG	TBGRES
LABQFTBG	TBMINI
LABHCVA	HCVI
LABHCVA	HCVR
LABTBP17	PRO
LABTBP17	SI
LABIGET	IGET
LABCMVIGG	CMGDES
LABCMVIGG	CMGQUL
POC5	OCCBLD
LABBHCG	BHCG
LABC3	C3
LABC4	C4
LABYFT3	FT3
LABCRPLB	CRPLB
LABAST	AST
LABLUPUS	LUPINT
POC5	DEVEL
POC5	DEVEXP
POC5	HEMED
POC5	HEML
POC5	QC10
LABHCPQ	HCVIPR
LABHCPQ	HCVLOG
LABHCPQ	HCVRES
LABHCPQ	HCVRNA
LABHCPQ	HCVSP
LABCTC	CULT
LABCTC	RPT
LABCTC	SDES
LABCTC	SREQ
LABALT	ALT
LABPSA	PSA
LABLEGU	TINFO
LABPCCG4	BD
LABCLACT	LACCSF
LABTBP3	SPEXP
LABEBPCRQ	EBVCP
LABEBPCRQ	EBVDNA
LABEBPCRQ	EBVIPR
LABEBPCRQ	EBVLOG
LABEBPCRQ	EBVSP
LABUPIE	UPIEI
LABUPIE	UPIER
LABSYNCT	DX
LABGLNF	GLU
LABSYNCT	JOINT
LABSYNCT	MALIG
LABSYNCT	SCOLOR
LABSYNCT	SLYM
LABSYNCT	SMONO
LABSYNCT	SNEUT
LABSYNCT	SRBC
LABSYNCT	STURB
LABSYNCT	SWBC
LABEITC	CEITC
LABRF	RHFINT
LABRF	RHFR
LABCBCS	META
LABTCDIF	CULT
LABTCDIF	RPT
LABTCDIF	SDES
LABTCDIF	SREQ
LABCBCS	MYEL
LABEBVPAN	EAGQUL
LABEBVPAN	EBINTR
LABEBVPAN	EBNQUL
LABEBVPAN	EBVDS
LABEBVPAN	VGQUL
LABEBVPAN	VMQUL
LABTRXNWI	CTRXNW
LABTRXNWI	TRXNWR
LABSTLC	CULT
LABSTLC	RPT
LABSTLC	SDES
LABSTLC	SREQ
LABTBP14	DI
LABCBCS	NRBC
LABHAVT	HATINT
LABHAVT	HATR
LABTT	TT
LABEBVPAN	VGQNT
LABBXTG	CULT
LABBXTG	GS
LABBXTG	RPT
LABBXTG	SDES
LABBXTG	SREQ
LABCMVIGG	CMGQNT
LABTBP18	PRO
LABTBP18	SI
LABTBP16	UBT
LABTBP16	UNT
LABDATBSI	DATG
LABDATBSI	DATC3
LABFLDB	CULT
LABFLDB	GS
LABFLDB	RPT
LABFLDB	SDES
LABFLDB	SREQ
LABEBVPAN	EBNQNT
LABFLUAPX	FLUXDI
LABFLUAPX	FLUXMT
LABFLUAPX	FLUXR
LABFLUAPX	FLUXSP
LABTYPSNI	SPEXP
LABALKP	ALKP
LABGNTPRL	GENTTRO
LABGNTPRL	GNTPR2
LABGNTPRL	GNTPR3
LABGNTPRL	GNTPR4
LABCSFCT	CCMT
LABCRPLC	CRPLC
LABPCCH8	CAION
LABPCCH8	CR
LABPCCH8	GLU
LABPCCH8	HCT
LABPCCH8	HGB
LABPCCH8	K
LABPCCH8	NA
LABPCCH8	PCAGP
LABPCCH8	PCBUN
LABPCCH8	PCCL
LABPCCH8	PCCOM
LABPCCH8	TCO2A
LABTBP10	XMR
LABDSDNA	DNAINT
LABDSDNA	DNAQUL
LABACTHO	ACTH
LABFE	FE
LABYHISTU	YHISU4
LABHITAB	PF4COM
LABHITAB	PF4ENH
LABACA	ACAIGG
LABACA	ACAIGM
LABTBP19	PRO
LABTBP19	SI
LABASQ	ACETONE
LABDVEHV	HERPR
LABDVEHV	HVIP
LABDVEHV	HVSP
LABDVEHV	VZR
LABTBP17	UBT
LABTBP17	UNT
LABCBCS	EOS
LABTBP15	DI
LABTBP11	XMR
LABLEID	LEICMT
LABLEID	LEIDIS
LABLEID	LEIMET
LABLEID	LEIPRM
LABLEID	LEIRES
LABCMVP	CMQDNA
LABCMVP	CMVQSP
LABCBCS	EOSAB
LABLEID	LEIDIR
LABCMVP	CMVLIP
LABUCRT	CRE
LABUCRT	UCR
LABUCRT	UT3
LABUCRT	VOL3
LABTOBPRL	TOBPR2
LABTOBPRL	TOBPR3
LABTOBPRL	TOBPR4
LABTOBPRL	TOBRATROUGH
LABHAVM	HAVINT
LABHAVM	HAVR
LABABIDI	ABIDR
LABHBSQL	HQLINT
LABHBSQL	HQLR
LAB11131R	VORI
LABYCERU	CER
LABFTRPL	TGLFLD
